L' R B U L2 B
L' R B U B L2
L2 R B U L' B
L2 R B U B L'
R L' B U L2 B
R L' B U B L2
D L2 R B U L'
R L2 B U L' B
R L2 B U B L'
D R L2 B U L'
B' R B U L B2
R D L2 B U L'
F' U L F R B2
F' U L F B2 R
F' U L B2 F R
R B U B' L B2
F2 L' U' B' R' B' L2
R L' F B U L2 B
R L' F B U B L2
R L' F' B U L2 B
R L' F' B U B L2
R L' F2 B U L2 B
R L' F2 B U B L2
R L' B L U L B
R L' B L' U L' B
R L' B L' U B L'
R L' B U L' B L'
R L' B U L2 D B
R L' B U L2 D' B
R L' B U L2 D2 B
R L' B U L2 B D
R L' B U L2 B D'
R L' B U L2 B D2
R L' B U B L2 D
R L' B U B L2 D'
R L' B U B L2 D2
R L' B U B' L2 B2
R L' B D F2 U B
R L' B F U L2 B
R L' B F U B L2
R L' B F' U L2 B
R L' B F' U B L2
R L' B F2 U L2 B
R L' B F2 U B L2
L R' B2 U' R2 B U
L R2 U' R' B U B
U2 L' B' R U B' L2
F2 L' B' U' B' L2 R'
F2 L' B' U' B' R' L2
R L2 D B L2 U L
D L2 R D B U L'
D L2 R D' B U L'
D L2 R D2 B U L'
D L2 R B U L' D
D L2 R B U L' D'
D L2 R B U L' D2
D L2 R B U D L'
D L2 R B U D' L'
D L2 R B U D2 L'
D L2 R B D U L'
D L2 R B D' U L'
D L2 R B D2 U L'
R L2 B L U L2 B
R L2 B L U B L2
R L2 B L2 U L B
R L2 B U L B L2
R L2 B U L' D B
R L2 B U L' D' B
R L2 B U L' D2 B
R L2 B U L' B D
R L2 B U L' B D'
R L2 B U L' B D2
R L2 B U D L' B
R L2 B U D B L'
R L2 B U D' L' B
R L2 B U D' B L'
R L2 B U D2 L' B
R L2 B U D2 B L'
R L2 B U B L' D
R L2 B U B L' D'
R L2 B U B L' D2
R L2 B U B D L'
R L2 B U B D' L'
R L2 B U B D2 L'
R L2 B U B' L' B2
R L2 B D U L' B
R L2 B D U B L'
R L2 B D' U L' B
R L2 B D' U B L'
R L2 B D2 U L' B
R L2 B D2 U B L'
D L2 D R B U L'
D L2 D' R B U L'
R U L U' B U B
D L2 D2 R B U L'
R U L B' D' R2 B'
R U L B' D' B' R2
R U L B2 U' B' U
D L2 B R B U L'
D L2 B' R B U L'
D L2 B2 R B U L'
B' R L' B U L B'
U2 R L' B' U B' L2
D R L' B L' U L'
D R L2 D B U L'
D R L2 D' B U L'
D R L2 D2 B U L'
D R L2 B U L' D
D R L2 B U L' D'
D R L2 B U L' D2
D R L2 B U D L'
D R L2 B U D' L'
D R L2 B U D2 L'
D R L2 B D U L'
D R L2 B D' U L'
D R L2 B D2 U L'
U2 R U L B' R' B'
B' R D B U L B2
D2 R D' L2 B U L'
B' R D' B U L B2
B2 R D' F2 B U B'
B2 R D' B F2 U B'
B' R D2 B U L B2
B2 R D2 B U B' L2
D R F L2 B U L'
B' R F B U L B2
U R F U L R B2
U R F U L B2 R
U R F U R L B2
D R F' L2 B U L'
B' R F' B U L B2
D' R F2 L' B U L2
D R F2 L2 B U L'
B' R F2 B U L B2
B' R B L' U L2 B2
B' R B L' U B2 L2
L U' R B' U R' B'
B' R B L2 U L' B2
B' R B L2 U B2 L'
B' R B U L B2 D
B' R B U L B2 D'
B' R B U L B2 D2
B' R B U L' B2 L2
B' R B U L2 B2 L'
B' R B D L2 U L'
B2 R B U D2 B' L2
B2 R B U B' D2 L2
B2 R B U' R2 U2 B'
B' R B F U L B2
B' R B F' U L B2
B2 R B D' F2 U B'
B' R B F2 U L B2
B2 R B D2 U B' L2
B R B U' R' U2 B
F2 R' L' F' U' L2 B2
F2 R' L' F' U' B2 L2
L U' B' R U R2 B'
L U' B' R U B' R2
F' R' F' L' U' L2 B2
F' R' F' L' U' B2 L2
R U2 R2 F' U' L B2
R U2 D' R2 F' U' L
L' D L2 R F2 B U
L' D L2 R B F2 U
R D L' B L' U L'
L' D R L2 F2 B U
L' D R L2 B F2 U
L D L2 R B U L2
R D L2 D B U L'
R D L2 D' B U L'
L' D R F2 L2 B U
R D L2 D2 B U L'
L' D R F2 B L2 U
L' D R B L2 F2 U
L' D R B F2 L2 U
R D L2 B U L' D
R D L2 B U L' D'
R D L2 B U L' D2
R D L2 B U D L'
R D L2 B U D' L'
R D L2 B U D2 L'
R D L2 B D U L'
R D L2 B D' U L'
R D L2 B D2 U L'
L2 D R B L2 U L
L D R L2 B U L2
L D R B L2 U L2
F' U L R F R B2
F' U L R F B2 R
F' U L R B2 F R
F' U L R' F R B2
F' U L R' F B2 R
F' U L R' B2 F R
F' U L R2 F R B2
F' U L R2 F B2 R
F' U L R2 B2 F R
F' U L F R B2 D
F' U L F R B2 D'
F' U L F R B2 D2
F' U L F R' B2 R2
F' U L F B' R B'
F' U L F B2 R D
F' U L F B2 R D'
F' U L F B2 R D2
F' U L F B2 D R
F' U L F B2 D' R
F' U L F B2 D2 R
F' U L B' F R B'
F' U L B2 R F R
F' U L B2 R' F R
F' U L B2 R2 F R
F' U L B2 D F R
F' U L B2 D' F R
F' U L B2 D2 F R
F' U L B2 F R D
F' U L B2 F R D'
F' U L B2 F R D2
F' U L B2 F D R
F' U L B2 F D' R
F' U L B2 F D2 R
R D F L2 B U L'
F' U L2 B2 L' F R
F' U R L F R B2
F' U R L F B2 R
F' U R L B2 F R
R D F' L2 B U L'
F' U R' L F R B2
F' U R' L F B2 R
F' U R' L B2 F R
R D F2 L2 B U L'
F' U R2 L F R B2
F' U R2 L F B2 R
F' U R2 L B2 F R
F' U F L R F B2
F' U F L R B2 F
F' U F L B2 R F
F' U F R L F B2
F' U F R L B2 F
F' U' L B' R' F' B'
F' U' L B' R' B' F'
R D' U2 R2 F' U' L
U F L B2 D R F'
R F L' B U L2 B
R F L' B U B L2
R F L2 B U L' B
R F L2 B U B L'
R F D L2 B U L'
B' D R B U L B2
R F B U B' L B2
R F' L' B U L2 B
R F' L' B U B L2
R F' L2 B U L' B
R F' L2 B U B L'
R' F' U' L B2 D' F2
R' F' U2 R2 U L B2
R' F' D' R2 U' L F2
R' F' D' R2 U' F2 L
B' D' R B U L B2
R F' D L2 B U L'
R F' B U B' L B2
R F2 L' B U L2 B
R F2 L' B U B L2
R F2 L2 B U L' B
R F2 L2 B U B L'
B' D2 R B U L B2
R F2 D L2 B U L'
R F2 B U B' L B2
R B L U B' L B2
R B L' U B' L B2
R B L2 U B' L B2
R B U L B' L B2
R B U L' B' L B2
R B U L2 B' L B2
R B U B U2 R' U2
R B U B' L B2 D
R B U B' L B2 D'
R B U B' L B2 D2
R B U B' L' B2 L2
R B U B' L2 B2 L'
R B U2 B' U' L B2
R B D L' F U B
R B D L2 U B L
R B D2 F U L' B
R B D2 F U B L'
R B F U B' L B2
R B F' U B' L B2
R B F2 U B' L B2
D B' L2 R B U L
L' B' R B U L2 B2
L' B' R B U B2 L2
L2 B' R B U L' B2
L2 B' R B U B2 L'
D B' R L2 B U L
D B' R B L2 U L'
R' B' R2 B U L B2
L' B2 R B U B' L2
L2 B2 R B U B' L'
L B2 R' U' R2 B U
L B2 R2 U' R' B U
L B2 U' R B' U R'
L B2 U' B' R U R2
