R2 L U' F B R
R2 L U' B F R
L R2 U' F B R
L R2 U' B F R
L U' R F R B
L U' R2 F B R
L U' R2 B F R
L U' F R D2 B2
L U' F D2 R B2
L U' F D2 B2 R
L U' F B' D2 B2 R
L U' F B2 R D2 B2
L U' F B2 D2 R B2
L U' F B2 D2 B2 R
L U' F' L' U2 L F2
L U' F' L' U2 F2 L
L U' B R F R B
L U' B R2 F B R
L U' B R2 B F R
L U' B F R D2 B2
L U' B F D2 R B2
L U' B F D2 B2 R
L U' B' R F R B
L U' B' R2 F B R
L U' B' R2 B F R
L U' B' F R D2 B2
L U' B' F D2 R B2
L U' B' F D2 B2 R
U2 R' D B' L U F'
L U' B2 R F R B
L U' B2 R2 F B R
L U' B2 R2 B F R
L U' B2 F R D2 B2
L U' B2 F D2 R B2
L U' B2 F D2 B2 R
R' U2 R' B' U F' B2
R' U2 R' B' U B2 F'
D2 R2 L U' F B R
D2 R2 L U' B F R
D' R2 L U' F B R
D' R2 L U' B F R
B' R2 L F' U F2 B
B' R2 L F' U B F2
D R2 L U' F B R
D R2 L U' B F R
R' U2 B' R' U F' B
R' U2 B' R' U B F'
R2 U2 B' R' U F' B2
R2 U2 B' R' U B2 F'
R2 D L U' F B R
R2 D L U' B F R
B' R2 F' L U F B
B' R2 F' L U B F
L2 D R2 F L' U' B
U2 R2 B' R U F' B2
U2 R2 B' R U B2 F'
L D R2 U' F B R
L D R2 U' B F R
L' D U F' B' U2 R
L' D U B' F' U2 R
U R2 B' R' U B2 L
L D U' R F R B
L D U' R2 F B R
L D U' R2 B F R
L D U' F R D2 B2
L D U' F D2 R B2
L D U' F D2 B2 R
L2 D F L' U F2 U2
L2 D F L' U' D2 B2
L2 D F L' D R2 U'
L2 D F L' D2 U' B2
L2 D F D L' R2 U'
L2 D F D R2 L' U'
L2 D F D2 L' U' B2
R2 D' L U' F B R
R2 D' L U' B F R
F' U B' R' U' R U2
F' U B' R' F2 U L'
L' D' U F' B' L U2
L D' R2 U' F B R
L' D' U B' L F' U2
L D' R2 U' B F R
L' D' U B' F' L U2
L D' U' R F R B
L D' U' R2 F B R
L D' U' R2 B F R
L D' U' F R D2 B2
L D' U' F D2 R B2
L D' U' F D2 B2 R
R' D2 L U' F R B'
R' D2 L U' F B' R
R' D2 L U' B' F R
R2 D2 L U' F B R
R2 D2 L U' B F R
B' U' F' U' L' B U'
B' U' F' U' B L' U'
L D2 R2 U' F B R
L D2 R2 U' B F R
L D2 U' R F R B
L D2 U' R2 F B R
L D2 U' R2 B F R
L D2 U' F R D2 B2
L D2 U' F D2 R B2
L D2 U' F D2 B2 R
F' U2 R' B' U F' B
F' U2 R' B' U B F'
L2 F L U F2 B' U2
L2 F L U B' F2 U2
R2 F L U' F B R
R2 F L U' B F R
L2 F L' U F2 U2 F'
L2 F L' U' D2 F B2
L2 F L' U' D2 B2 F
L2 F L' D R2 U' F
L2 F L' D2 U' F B2
L2 F L' D2 U' B2 F
F D L R2 U' F R
L2 F D2 R U' F' B2
L2 F D2 R U' B2 F'
F D R2 L U' F R
R2 F' L U' F B R
R2 F' L U' B F R
U2 F' U F R B' U
U2 F' U F B' R U
U2 F' U B' F R U
U F' U R' B' U F'
U F' U B' R' U F'
U F' U' L U' F R
U F' B U B2 R' U
U F' B' U R' U R
R2 F2 L U' F B R
R2 F2 L U' B F R
U F' B2 U B R' U
L' F2 L2 U' F R B'
L' F2 L2 U' F B' R
L' F2 L2 U' B' F R
F D2 L U' F R B2
F D2 L U' F B2 R
F D2 L U' B2 F R
U B F' U B2 R' U
U B' R' U' R F' U2
U B' F' U R' U R
U B2 F' U B R' U
