D' R2 F D' B' L2
D' R2 F B' D' L2
B R2 F' U' F2 B2
B R2 F' U' B2 F2
D' R2 B' F D' L2
B2 U F B D L2
B2 U B D F L2
B2 U B F D L2
R D' R2 F B' L'
R D' R2 B' F L'
R D' F R2 B' L'
R D' F B' L' R2
R D' F B' R2 L'
R D' B' R2 F L'
R D' B' F L' R2
R D' B' F R2 L'
B2 U2 B' U' F B2
B2 U2 B' U' B2 F
B U2 B U F B
B U2 B U B F
R2 F D' R2 B' L2
R2 F D' B' L2 R2
R2 F D' B' R2 L2
D' F B' R2 D L2
R2 F' B2 U F2 B
R2 F' B2 U B F2
B D' R2 F' U' F2
F D' B' R2 D L2
D2 F2 B U' F' B2
D2 F2 B U' B2 F'
D' B U' R2 F B2
D' B U' R2 B2 F
D' B U' F R2 B2
D' B U' F B2 R2
F D2 B' D L2 R2
F D2 B' D R2 L2
D' B U' B2 R2 F
D' B U' B2 F R2
D2 B F2 U' F' B2
D2 B F2 U' B2 F'
D' B' R2 D F L2
D' B' R2 F D L2
D2 B' D R2 F L2
D2 B' D F L2 R2
D2 B' D F R2 L2
D' B' F R2 D L2
R2 B2 F' U F2 B
R2 B2 F' U B F2
U D' R2 F D' B' L2
U D' R2 F B' D' L2
U D' R2 B' F D' L2
U2 D' F B' R2 D L2
R' D' B' R2 D' F L'
U D' F B' R2 D L2
R D' B R2 F L' B2
R D' B R2 F B2 L'
R D' B R2 B2 F L'
D2 U' F2 B U' F' B2
D2 U' F2 B U' B2 F'
R D' B F L' R2 B2
R D' B F L' B2 R2
R D' B F R2 L' B2
R D' B F R2 B2 L'
R2 D' B' F R2 D' L2
B' U' D B' U F L2
D' U' B U' R2 F B2
U' D' B U' R2 F B2
D' U' B U' R2 B2 F
U' D' B U' R2 B2 F
D' U' B U' F R2 B2
U' D' B U' F R2 B2
D' U' B U' F B2 R2
U' D' B U' F B2 R2
B U' R2 F B2 D R2
D' U' B U' B2 R2 F
U' D' B U' B2 R2 F
D' U' B U' B2 F R2
U' D' B U' B2 F R2
R D' B' R' F L' R'
R D' B' R' F R' L'
R D' B' R2 F L' D
R D' B' R2 F L' D'
R D' B' R2 F L' D2
R D' B' R2 F D L'
R D' B' R2 F D' L'
R D' B' R2 F D2 L'
B U' R2 B2 F D R2
D2 U' B F2 U' F' B2
D2 U' B F2 U' B2 F'
R D' B' F L' R2 D
R D' B' F L' R2 D'
R D' B' F L' R2 D2
R D' B' F R2 L' D
R D' B' F R2 L' D'
R D' B' F R2 L' D2
R D' B' F R2 D L'
R D' B' F R2 D' L'
R D' B' F R2 D2 L'
U2 D' B U' R2 F B2
U2 D' B U' R2 B2 F
U2 D' B U' F R2 B2
U' D' B' R2 D F L2
U2 D' B U' F B2 R2
U' D' B' R2 F D L2
D' U' B' R2 D F L2
U2 D' B U' B2 R2 F
U2 D' B U' B2 F R2
D' U' B' R2 F D L2
U' D' B' F R2 D L2
D' U' B' F R2 D L2
D2 U' B' D R2 F L2
D2 U' B' D F L2 R2
D2 U' B' D F R2 L2
B' U' D2 F2 B' U F'
B' U' D2 B' F2 U F'
U D' B U' R2 F B2
U D' B U' R2 B2 F
U2 D' B' R2 D F L2
U D' B U' F R2 B2
U D' B U' F B2 R2
U2 D' B' R2 F D L2
U D' B U' B2 R2 F
U D' B U' B2 F R2
R D' B2 F L' B R2
U2 D' B' F R2 D L2
U D' B' R2 D F L2
U D' B' R2 F D L2
U D' B' F R2 D L2
B U' F U' B U B
B U' F B' D' R2 B'
B U' F B' D' B' R2
B U' F B2 U' B' U
B' U' B' U2 B' U' F
B U' B' D' R2 F B'
B U' B' D' R2 B' F
B U' B' D' F R2 B'
B U' B' D' F B' R2
B U' B' D' B' R2 F
B U' B' D' B' F R2
B U' B' F D' R2 B'
B U' B' F D' B' R2
D' U2 R2 F D' B' L2
D' U2 R2 F B' D' L2
F U' B2 L U B L
D' U2 R2 B' F D' L2
B U' B2 U' B' U F
F U' B2 L2 F U B
F U' B2 U B D L2
B U' B2 F U' B' U
F U' B2 U2 B' U' B2
D' U2 F B' R2 D L2
U' D2 F2 B U' F' B2
U' D2 F2 B U' B2 F'
D2 U2 F2 B U' F' B2
D2 U2 F2 B U' B2 F'
D' U2 B U' R2 F B2
D' U2 B U' R2 B2 F
D' U2 B U' F R2 B2
D' U2 B U' F B2 R2
D' U2 B U' B2 R2 F
D' U2 B U' B2 F R2
U2 D2 F2 B U' F' B2
U2 D2 F2 B U' B2 F'
U' D2 B F2 U' F' B2
U' D2 B F2 U' B2 F'
D2 U2 B F2 U' F' B2
D2 U2 B F2 U' B2 F'
D' U2 B' R2 D F L2
D' U2 B' R2 F D L2
U' D2 B' D R2 F L2
B U2 R' U F R B2
B U2 R' U F B2 R
U' D2 B' D F L2 R2
U' D2 B' D F R2 L2
U D2 F2 B U' F' B2
U D2 F2 B U' B2 F'
B U2 R' U B2 F R
U2 D2 B F2 U' F' B2
U2 D2 B F2 U' B2 F'
D2 U2 B' D R2 F L2
D2 U2 B' D F L2 R2
D2 U2 B' D F R2 L2
D' U2 B' F R2 D L2
U2 D2 B' D R2 F L2
U2 D2 B' D F L2 R2
U2 D2 B' D F R2 L2
U D2 B F2 U' F' B2
U D2 B F2 U' B2 F'
B2 U2 D B' U' F B2
B2 U2 D B' U' B2 F
U D2 B' D R2 F L2
U D2 B' D F L2 R2
U D2 B' D F R2 L2
R D2 B' D R2 F L'
R D2 B' D F L' R2
R D2 B' D F R2 L'
B2 U2 D' B' U' F B2
B2 U2 D' B' U' B2 F
B2 U2 D2 B' U' F B2
B2 U2 D2 B' U' B2 F
D' F R D R B' L
D' F R D B' L R
D' F R D B' R L
R2 F L2 D' L2 R2 B'
R2 F L2 D' L2 B' R2
R2 F L2 D' R2 L2 B'
R2 F R D' R2 B' L2
R2 F R D' B' L2 R2
R2 F R D' B' R2 L2
D' F R2 U' F' U B'
R2 F R' D' R2 B' L2
R2 F R' D' B' L2 R2
R2 F R' D' B' R2 L2
D' F R2 B' U' F' U
B2 U2 B' R U' F B2
B2 U2 B' R U' B2 F
B2 U2 B' R' U' F B2
B2 U2 B' R' U' B2 F
B2 U2 B' R2 U' F B2
B2 U2 B' R2 U' B2 F
B U2 B U D F B
B U2 B U D B F
B U2 B U D' F B
B U2 B U D' B F
B U2 B U D2 F B
B U2 B U D2 B F
B U2 B U F D B
B U2 B U F D' B
B U2 B U F D2 B
B U2 B U F B D
B U2 B U F B D'
B U2 B U F B D2
B U2 B U B D F
B U2 B U B D' F
B U2 B U B D2 F
B U2 B U B F D
B U2 B U B F D'
B U2 B U B F D2
B2 U2 B' U' F B2 D
B2 U2 B' U' F B2 D'
B2 U2 B' U' F B2 D2
B2 U2 B' U' B2 D F
B2 U2 B' U' B2 D' F
B2 U2 B' U' B2 D2 F
B2 U2 B' U' B2 F D
B2 U2 B' U' B2 F D'
B2 U2 B' U' B2 F D2
B U2 B D U F B
B U2 B D U B F
B U2 B D' U F B
B U2 B D' U B F
R2 F R2 D' R2 B' L2
B2 U2 B' D' R2 U' F
B U2 B D2 U F B
R2 F R2 D' B' L2 R2
B U2 B D2 U B F
R2 F R2 D' B' R2 L2
D2 F U F B U' B2
D' F U B U' R2 B2
D' F U B U' B2 R2
D2 F U B F U' B2
R2 F U' F2 B2 U B
R2 F U' B2 F2 U B
R' F D' R2 D B' L
U' F D' B' R2 D L2
D' F D' B' D L2 R2
D' F D' B' D R2 L2
R2 F D B' D2 L2 R2
R2 F D B' D2 R2 L2
D F D B' D L2 R2
D F D B' D R2 L2
R2 F D' R B' L2 R
R2 F D' R B' R L2
R2 F D' R2 B L2 B2
R2 F D' R2 B' L2 D
R2 F D' R2 B' L2 D'
R2 F D' R2 B' L2 D2
R2 F D' R2 B2 L2 B
U2 F D' B' R2 D L2
U' F D2 B' D L2 R2
U' F D2 B' D R2 L2
R2 F D' B L2 R2 B2
R2 F D' B L2 B2 R2
R2 F D' B R2 L2 B2
R2 F D' B R2 B2 L2
R2 F D' B' L2 R2 D
R2 F D' B' L2 R2 D'
R2 F D' B' L2 R2 D2
R2 F D' B' R2 L2 D
R2 F D' B' R2 L2 D'
R2 F D' B' R2 L2 D2
R F D B' D2 L R2
R F D B' D2 R2 L
R2 F D' B2 L2 B R2
D' F B R2 B2 D L2
R F D' R2 D2 B' L
U2 F D2 B' D L2 R2
U2 F D2 B' D R2 L2
U F D' B' R2 D L2
D' F B' L R2 D L2
D' F B' L' R2 D L2
D' F B' L2 R2 D L2
D' F B' R D L2 R
D' F B' R D R L2
D' F B' R' D L2 R'
D' F B' R' D R' L2
D' F B' R2 L D L2
D' F B' R2 L' D L2
D' F B' R2 L2 D L2
D' F B' R2 U B2 U'
D' F B' R2 D L2 D
D' F B' R2 D L2 D'
D' F B' R2 D L2 D2
D F D2 B' R2 D L2
D2 F B' U F B2 U'
D' F B' U B2 U' R2
D2 F B' U B2 F U'
D' F B' D L2 D' R2
U F D2 B' D L2 R2
U F D2 B' D R2 L2
B2 D U F B D L2
R2 F B' U' F2 B' U
R2 F B' U' B' F2 U
B2 D U B D F L2
B2 D U B F D L2
D F B' D L2 D R2
D F B' D2 R2 D' L2
B' D U' B' U F L2
B' D F L2 U F U'
B2 D U2 B' U' F B2
B2 D U2 B' U' B2 F
B' D F U' B' U L2
B' D F2 L2 F' D R2
R2 F' R B2 U F2 B
R2 F' R B2 U B F2
B' D B' U F L2 B
B' D B' U F B L2
B' D B' U B F L2
R2 F' R' B2 U F2 B
R2 F' R' B2 U B F2
R2 F' R2 B2 U F2 B
R2 F' R2 B2 U B F2
R2 F' U F2 D' R2 B'
R2 F' U F2 D' B' R2
F D B' D L2 D R2
F D B' D2 R2 D' L2
D' F' B U' R2 F2 B2
D' F' B U' R2 B2 F2
D' F' B U' F2 R2 B2
D' F' B U' F2 B2 R2
D' F' B U' B2 R2 F2
D' F' B U' B2 F2 R2
F D' R D R B' L
F D' R D B' L R
F D' R D B' R L
D' F' B' R2 F2 D L2
B D' R2 U' F D R2
B D' R2 D F' U' F2
B D' R2 D' F' U' F2
B2 D' U F B D L2
B D' R2 D2 F' U' F2
B D' R2 F' L U' F2
B D' R2 F' L' U' F2
B D' R2 F' L2 U' F2
B D' R2 F' U' F2 D
B D' R2 F' U' F2 D'
B D' R2 F' U' F2 D2
B D' R2 F' D' L2 U'
B2 D' U B D F L2
F D' R2 U' F' U B'
B2 D' U B F D L2
R2 F' B2 L U F2 B
R2 F' B2 L U B F2
R2 F' B2 L' U F2 B
R2 F' B2 L' U B F2
R2 F' B2 L2 U F2 B
R2 F' B2 L2 U B F2
F D' R2 B' U' F' U
R2 F' B2 U F2 D B
R2 F' B2 U F2 D' B
R2 F' B2 U F2 D2 B
R2 F' B2 U F2 B D
R2 F' B2 U F2 B D'
R2 F' B2 U F2 B D2
R2 F' B2 U B F2 D
R2 F' B2 U B F2 D'
R2 F' B2 U B F2 D2
F D' U B U' R2 B2
F D' U B U' B2 R2
B2 D' U2 B' U' F B2
B2 D' U2 B' U' B2 F
B D' F R2 F' U' F
F2 D' F' B' R2 D L2
B D' F' R2 F' U' F'
F' D' B L2 U' R2 B2
F' D' B L2 U' B2 R2
F2 D' B U' F' R2 B2
F2 D' B U' F' B2 R2
F2 D' B U' B2 F' R2
F' D' B' R2 D L2 F2
F' D' B' R2 D F2 L2
F D' B R2 B2 D L2
F2 D' B' F' R2 D L2
F D' B' L R2 D L2
F D' B' L' R2 D L2
F D' B' L2 R2 D L2
F D' B' R D L2 R
F D' B' R D R L2
F D' B' R' D L2 R'
F D' B' R' D R' L2
D2 F2 U' F' B' D L2
F D' B' R2 L D L2
F D' B' R2 L' D L2
F D' B' R2 L2 D L2
F D' B' R2 U B2 U'
F D' B' R2 D L2 D
F D' B' R2 D L2 D'
F D' B' R2 D L2 D2
F D' B' U B2 U' R2
D2 F2 U' B' D L2 F'
D2 F2 U' B' D F' L2
D2 F2 U' B' F' D L2
F D' B' D L2 D' R2
D2 F2 D B U' F' B2
D2 F2 D B U' B2 F'
D2 F2 D' B U' F' B2
D2 F2 D' B U' B2 F'
D2 F2 D2 B U' F' B2
D2 F2 D2 B U' B2 F'
D2 F2 B L U' F' B2
D2 F2 B L U' B2 F'
D2 F2 B L' U' F' B2
D2 F2 B L' U' B2 F'
D2 F2 B L2 U' F' B2
D2 F2 B L2 U' B2 F'
D2 F2 B U' F' B2 D
D2 F2 B U' F' B2 D'
D2 F2 B U' F' B2 D2
D2 F2 B U' B2 D F'
D2 F2 B U' B2 D' F'
D2 F2 B U' B2 D2 F'
D2 F2 B U' B2 F' D
D2 F2 B U' B2 F' D'
D2 F2 B U' B2 F' D2
D' F2 B U' F' R2 B2
D' F2 B U' F' B2 R2
D' F2 B U' B2 F' R2
F D2 R D R2 B' L
F D2 R D B' L R2
F D2 R D B' R2 L
R' F2 B2 U F' L' B
R' F2 B2 U F' B L'
R' F2 B2 U B F' L'
B2 D2 U F B D L2
B2 D2 U B D F L2
B2 D2 U B F D L2
B' D2 U' F2 B' U F'
B' D2 U' B' F2 U F'
F D2 U F2 B U' B2
F D2 U B F2 U' B2
B2 D2 U2 B' U' F B2
B2 D2 U2 B' U' B2 F
B' D2 F U' F B' U
B' D2 F U' B' F U
D' B L2 U' B2 R2 F'
D' B R U' R F B2
D' B R U' R B2 F
D' B R U' B2 R F
D2 B R F2 U' F' B2
D2 B R F2 U' B2 F'
B' D2 F2 B' U F' B
B' D2 F2 B' U B F'
D' B R' U' R' F B2
D' B R' U' R' B2 F
D' B R' U' F R' B2
D2 B R' F2 U' F' B2
D2 B R' F2 U' B2 F'
F2 D2 F2 B U' F B2
F2 D2 F2 B U' B2 F
U' B R2 F' U' F2 B2
U' B R2 F' U' B2 F2
D' B R2 F B2 D L2
D2 B R2 F2 U' F' B2
D2 B R2 F2 U' B2 F'
D' B R2 B2 D F L2
D' B R2 B2 F D L2
F2 D2 B F2 U' F B2
F2 D2 B F2 U' B2 F
F D2 F2 B U' F2 B2
F D2 F2 B U' B2 F2
B' D2 B' F2 U F' B
B' D2 B' F2 U B F'
F' D2 B' D L2 R2 F
F' D2 B' D L2 F R2
F' D2 B' D R2 L2 F
U2 B R2 F' U' F2 B2
U2 B R2 F' U' B2 F2
F2 D2 B' D L2 F' R2
F2 D2 B' D F' L2 R2
F2 D2 B' D F' R2 L2
D' B U' R B2 R F
D' B U' R' F R' B2
F D2 B F2 U' F2 B2
F D2 B F2 U' B2 F2
D' B U' R2 F B2 D
D' B U' R2 F B2 D'
D' B U' R2 F B2 D2
F D2 B' L D L2 R2
F D2 B' L D R2 L2
D' B U' R2 B2 D F
D' B U' R2 B2 D' F
D' B U' R2 B2 D2 F
D' B U' R2 B2 F D
D' B U' R2 B2 F D'
D' B U' R2 B2 F D2
F D2 B' L' D L2 R2
F D2 B' L' D R2 L2
F D2 B' L2 D L2 R2
F D2 B' L2 D R2 L2
D' B U' F R B2 R
F D2 B' R D L2 R2
F D2 B' R D R2 L2
D' B U' F R2 B2 D
D' B U' F R2 B2 D'
D' B U' F R2 B2 D2
D' B U' F B' R2 B'
D' B U' F B2 R2 D
D' B U' F B2 R2 D'
D' B U' F B2 R2 D2
D B U L2 B' U2 B'
F D2 B' R' D L2 R2
F D2 B' R' D R2 L2
D' B U' F' R2 F2 B2
