F L2 U R B' U'
F L2 U B' R U'
U' R F2 U F' B
U' R F2 U B F'
F U R U2 F U
F' U' L' F' U F'
F U' F2 L' F' U
D' F L2 U R U'
D' F U R U' L2
D2 F U R B2 U'
D2 F U B2 R U'
U' D' R U F B L2
U' D' R U B F L2
D' U' R U B F L2
F U B2 R U2 F U
F' U' L F' L2 U F'
F' U' L' D F' R2 U
F' U' L' F' U D F'
F' U' L' F' U D' F'
F' U' L' F' U D2 F'
F' U' L' F' U F' D
F' U' L' F' U F' D'
F' U' L' F' U F' D2
F' U' L' F' D U F'
F' U' L' F' D' U F'
F' U' L' F' D2 U F'
F U' L F2 L' F U
R D' F L2 R' D B2
F' U' L2 F' L U F'
F U' L' U2 R B U'
R D' F R' L2 D B2
B' U' R F2 U F' B
B' U' R F2 U B F'
F U' L2 U2 R B' U'
F U' L2 U2 B' R U'
B2 U' R F2 U F' B
B2 U' R F2 U B F'
B U' R F2 U F' B
B U' R F2 U B F'
F' U' D L' F' R2 U
F U' D F2 L' F' U
F U' D' F2 L' F' U
F U' D2 F2 L' F' U
F U' F D' L U B'
F U' F2 L F' L2 U
F U' F2 L' D F' U
F U' F2 L' D' F' U
F U' F2 L' D2 F' U
F U' F2 L' F' U D
F U' F2 L' F' U D'
F U' F2 L' F' U D2
F U' F2 L' F' D U
F U' F2 L' F' D' U
F U' F2 L' F' D2 U
F U' F2 L2 F' L U
F U' F2 D L' F' U
F U' F2 D' L' F' U
F U' F2 D2 L' F' U
R D2 F R' D L2 B2
R D2 F R' D B2 L2
R' D2 B2 U' R F B
R' D2 B2 U' R B F
D' F L U R U' L
D2 F L U R B2 U'
D2 F L U B2 R U'
D' F L' U R U' L'
D2 F L' U R B2 U'
D2 F L' U B2 R U'
D' F L2 R' D R B2
D' F L2 R' D B2 R
D' F L2 U R U' D
D' F L2 U R U' D'
D' F L2 U R U' D2
D' F L2 U R D U'
D' F L2 U R D' U'
D' F L2 U R D2 U'
D' F L2 U D R U'
D' F L2 U D' R U'
D' F L2 U D2 R U'
D2 F L2 U R B2 U'
D2 F L2 U B2 R U'
D' F L2 D U R U'
D' F L2 D' U R U'
D' F L2 D2 U R U'
D' F L2 B U R U'
D' F L2 B' U R U'
D' F L2 B2 U R U'
U' F R F U F' B
U' F R F U B F'
D' F R' L2 D R B2
D' F R' L2 D B2 R
D2 F R' D L2 R B2
D2 F R' D L2 B2 R
D2 F R' D R L2 B2
D2 F R' D R B2 L2
D2 F R' D B2 L2 R
D2 F R' D B2 R L2
F U2 F2 U L' F' U
D F R' D B2 L R
D F R' D B2 R L
D' F U R U' L2 D
D' F U R U' L2 D'
D' F U R U' L2 D2
D' F U R D' B2 U'
D' F U R B U' L2
D' F U R B' U' L2
D' F U R B2 U' L2
D2 F U R U' D L2
D2 F U R D U' L2
D2 F U R B2 U' D
D2 F U R B2 U' D'
D2 F U R B2 U' D2
D2 F U R B2 D U'
D2 F U R B2 D' U'
D2 F U R B2 D2 U'
D2 F U R' B2 R2 U'
D' F U D' R B2 U'
D2 F U D R U' L2
D' F U D' B2 R U'
D' F U B R U' L2
D' F U B' R U' L2
D' F U B2 R U' L2
D2 F U B' R B' U'
D2 F U B2 R U' D
D2 F U B2 R U' D'
D2 F U B2 R U' D2
D2 F U B2 R D U'
D2 F U B2 R D' U'
D2 F U B2 R D2 U'
D2 F U B2 D R U'
D2 F U B2 D' R U'
D2 F U B2 D2 R U'
D' F U' D F2 L' U
D F U R U R U2
D2 F U' D2 F2 L' U
D' F U' F2 L' U L'
D F U D R B2 U'
D F U D B2 R U'
D F U D2 R U' L2
D F U' D' F2 L' U
D2 F D L2 U R U'
F' D L' F' R2 U R2
D2 F D U R U' L2
D' F D U' F2 L' U
D F U2 R2 U' R' U'
D' F D' U R B2 U'
D' F D' U B2 R U'
D F D U R B2 U'
D F D U B2 R U'
F D L2 U R B' U'
F D L2 U B' R U'
D2 F D2 U' F2 L' U
D F D' U' F2 L' U
D' F B L2 U R U'
F2 D R' U B R F'
D' F B U R U' L2
D2 F B U B R U'
D F D2 L2 U R U'
D F D2 U R U' L2
D' F B' L2 U R U'
D' F B' U R U' L2
D2 F B' U R B' U'
D2 F B' U B' R U'
D' F B2 L2 U R U'
D' F B2 U R U' L2
F' D U' L' F' R2 U
D' F' L F2 D' L B2
L' F' L F D' L2 B2
L' F' L F D' B2 L2
F D U R U2 F U
F D U' F2 L' F' U
D' F' L2 U' L U F2
D' F' L2 F2 U' L U
R2 F' L' F' U F' R2
R F' L' F' U F' R'
D' F' U' L' U L' F2
L F' U' L' F' U F2
F D' L2 U R B' U'
F D' L2 U B' R U'
D' F2 L D' L F' B'
D' F2 L D' L B' F'
D' F2 L D' F' L B'
F D' U R U2 F U
B' D' F L2 U R U'
B' D' F U R U' L2
B2 D' F L2 U R U'
F D' U' F2 L' F' U
B2 D' F U R U' L2
D' F2 L2 F' U R U'
B D' F L2 U R U'
F2 D' F' L D' B' L
B D' F U R U' L2
U' F2 U F' U' L' U
U' F2 U2 L' U' F' B'
U' F2 U2 L' U' B' F'
R F2 U D F' R' B
R F2 U F' R' D B2
F D2 L2 U R B' U'
F D2 L2 U B' R U'
R F2 D U F' R' B
F D2 U R U2 F U
B' D2 F U R B2 U'
B' D2 F U B2 R U'
F D2 U' F2 L' F' U
B2 D2 F U R B2 U'
B2 D2 F U B2 R U'
B D2 F U R B2 U'
B D2 F U B2 R U'
U2 B U F2 L U F'
B' F L2 U R B' U'
B' F L2 U B' R U'
B2 F L2 U R B' U'
B2 F L2 U B' R U'
B F L2 U R B' U'
B F L2 U B' R U'
F B L2 U R B' U'
F B L2 U B' R U'
D' B F L2 U R U'
D2 B F U B R U'
D' B F U R U' L2
B' F U R U2 F U
B2 F U R U2 F U
F' B U' L' F' U F'
B' F U' F2 L' F' U
B F U R U2 F U
F B U R U2 F U
B2 F U' F2 L' F' U
B F U' F2 L' F' U
F B U' F2 L' F' U
F B' L2 U R B' U'
F B' L2 U B' R U'
B' F' U' L' F' U F'
D' B' F L2 U R U'
D2 B' F U R B' U'
D2 B' F U B' R U'
F' B' U' L' F' U F'
D' B' F U R U' L2
B2 F' U' L' F' U F'
F B' U R U2 F U
B F' U' L' F' U F'
F B' U' F2 L' F' U
D2 B2 R' U' R F B
D2 B2 R' U' R B F
F B2 L2 U R B' U'
F B2 L2 U B' R U'
F' B2 U' L' F' U F'
F B2 U R U2 F U
D' B2 F L2 U R U'
F B2 U' F2 L' F' U
D' B2 F U R U' L2
