L2 R' F U R
R' L2 F U R
L2 F R' U R2
L2 R F R2 U R'
L2 R' D F U R
L2 R' D' F U R
L2 R' D2 F U R
L2 R' F U R D
L2 R' F U R D'
L2 R' F U R D2
L2 R' F U D R
L2 R' F U D' R
L2 R' F U D2 R
L2 R' F D U R
L2 R' F D' U R
L2 R' F D2 U R
L2 R' F B U R
L2 R' F B' U R
L2 R' F B2 U R
L2 R' B F U R
L2 R' B' F U R
L2 R' B2 F U R
R' L2 D F U R
R' L2 D' F U R
R' L2 D2 F U R
R' L2 F U R D
R' L2 F U R D'
R' L2 F U R D2
R' L2 F U D R
R' L2 F U D' R
R' L2 F U D2 R
R' L2 F D U R
R' L2 F D' U R
R' L2 F D2 U R
R' L2 F B U R
R' L2 F B' U R
R' L2 F B2 U R
R L2 F R2 U R'
F L2 R' F U R2
R' L2 B F U R
R' L2 B' F U R
R' L2 B2 F U R
F R' L2 F U R2
L2 D R' F U R
L2 D F R' U R2
L2 D' R' F U R
L2 D' F R' U R2
L2 D2 R' F U R
L2 D2 F R' U R2
L2 F R' U R2 D
L2 F R' U R2 D'
L2 F R' U R2 D2
L2 F R' D B2 U
L2 F R' B U R2
L2 F R' B' U R2
L2 F R' B2 U R2
L2 F U R D' F2
L2 F D R' U R2
L2 F D' R' U R2
L2 F D2 R' U R2
L2 F' R' F2 U R
L2 R' F D2 U R D'
L2 R' F D2 U R D2
L2 R' F D2 B U R
L2 R' F D2 B' U R
L2 R' F D2 B2 U R
L2 R' F B U R D
L2 R' F B U R D'
L2 R' F B U R D2
L2 R' F B U D R
L2 R' F B U D' R
L2 R' F B U D2 R
L2 R' F B D U R
L2 R' F B D' U R
L2 R' F B D2 U R
L2 R' F B' U R D
L2 R' F B' U R D'
L2 R' F B' U R D2
L2 R' F B' U D R
L2 R' F B' U D' R
L2 R' F B' U D2 R
L2 R' F B' D U R
L2 R' F B' D' U R
L2 R' F B' D2 U R
L2 R' F B2 U R D
L2 R' F B2 U R D'
L2 R' F B2 U R D2
L2 R' F B2 U D R
L2 R' F B2 U D' R
L2 R' F B2 U D2 R
L2 R' F B2 D U R
L2 R' F B2 D' U R
L2 R' F B2 D2 U R
R' L' B L' F U R
L' R' B L' F U R
L2 R' B D F U R
L2 R' B D' F U R
L2 R' B D2 F U R
R' L' B' L' F U R
L' R' B' L' F U R
L2 R' B F U R D
L2 R' B F U R D'
L2 R' B F U R D2
L2 R' B F U D R
L2 R' B F U D' R
L2 R' B F U D2 R
L2 R' B F D U R
L2 R' B F D' U R
L2 R' B F D2 U R
L2 R' B' D F U R
L2 R' B' D' F U R
R' L' B2 L' F U R
L' R' B2 L' F U R
L2 R' B' D2 F U R
L2 R' B' F U R D
L2 R' B' F U R D'
L2 R' B' F U R D2
L2 R' B' F U D R
L2 R' B' F U D' R
L2 R' B' F U D2 R
L2 R' B' F D U R
L2 R' B' F D' U R
L2 R' B' F D2 U R
L2 R' B2 D F U R
L2 R' B2 D' F U R
L2 R' B2 D2 F U R
L2 R' B2 F U R D
L2 R' B2 F U R D'
L2 R' B2 F U R D2
L2 R' B2 F U D R
L2 R' B2 F U D' R
L2 R' B2 F U D2 R
L2 R' B2 F D U R
L2 R' B2 F D' U R
L2 R' B2 F D2 U R
L2 R2 D R F U R
R' L2 D F U R D
R' L2 D F U R D'
R' L2 D F U R D2
R' L2 D F U D R
R' L2 D F U D' R
R' L2 D F U D2 R
R2 L2 D R F U R
R' L2 D F D U R
R' L2 D F D' U R
R' L2 D F D2 U R
R' L2 D F B U R
R' L2 D F B' U R
R' L2 D F B2 U R
R' L2 D B F U R
R' L2 D B' F U R
R' L2 D B2 F U R
R' L2 D' F U R D
R' L2 D' F U R D'
R' L2 D' F U R D2
R' L2 D' F U D R
R' L2 D' F U D' R
R' L2 D' F U D2 R
R' L2 D' F D U R
L2 R2 D' R F U R
R' L2 D' F D' U R
R' L2 D' F D2 U R
R' L2 D' F B U R
R' L2 D' F B' U R
R' L2 D' F B2 U R
R2 L2 D' R F U R
R' L2 D' B F U R
R' L2 D' B' F U R
R' L2 D' B2 F U R
R L2 D' F U R F
R' L2 D2 F U R D
R' L2 D2 F U R D'
R' L2 D2 F U R D2
R' L2 D2 F U D R
R' L2 D2 F U D' R
R' L2 D2 F U D2 R
R' L2 D2 F D U R
R' L2 D2 F D' U R
L2 R2 D2 R F U R
R' L2 D2 F D2 U R
R' L2 D2 F B U R
R' L2 D2 F B' U R
R' L2 D2 F B2 U R
R2 L2 D2 R F U R
U' L2 R F B R2 U
R' L2 D2 B F U R
U' L2 R B R2 F U
R' L2 D2 B' F U R
U' L2 R B F R2 U
R' L2 D2 B2 F U R
F L2 R F R2 U R2
D' L2 R' F U R B2
R' L2 F U R2 D R'
R' L2 F U R2 D' R'
R' L2 F U R2 D2 R'
D' L2 R' F U B2 R
R' L2 F U D R D
R' L2 F U D R D'
R' L2 F U D R D2
R' L2 F U D' R D
R' L2 F U D' R D'
R' L2 F U D' R D2
R' L2 F U D2 R D
R' L2 F U D2 R D'
R' L2 F U D2 R D2
R' L2 F U B R B'
F' L2 R' F U' L U2
R' L2 F U B2 R B2
R' L2 F U' L U2 R
R' L2 F U' L' U2 R
R' L2 F U' L2 U2 R
F' L2 R' F B2 U R'
U' L2 R' F U D R2
U' L2 R' F U2 F2 U'
U' L2 R' F D U R2
U' L2 R' F D2 B2 U
F2 L2 R' F U' L' U2
R' L2 F D U R D
R' L2 F D U R D'
R' L2 F D U R D2
R' L2 F D B U R
R' L2 F D B' U R
R' L2 F D B2 U R
R' L2 F D' U R D
R' L2 F D' U R D'
R' L2 F D' U R D2
F L2 R' D F B2 U
U2 L2 R' F B' U R'
R' L2 F D' B U R
F L2 R' D B2 F U
R' L2 F D' B' U R
R' L2 F D' B2 U R
R' L2 F D2 U R D
R' L2 F D2 U R D'
R' L2 F D2 U R D2
R' L2 F D2 B U R
R' L2 F D2 B' U R
R' L2 F D2 B2 U R
L2 R2 F U D R F'
F' L2 R' B2 F U R'
R' L2 F B U R D
R' L2 F B U R D'
R' L2 F B U R D2
R' L2 F B U D R
R' L2 F B U D' R
R' L2 F B U D2 R
R' L2 F B D U R
R' L2 F B D' U R
R' L2 F B D2 U R
R2 L2 F U D R F'
F L2 R' F U R2 D
F L2 R' F U R2 D'
F L2 R' F U R2 D2
R' L2 F B' U R D
R' L2 F B' U R D'
R' L2 F B' U R D2
R' L2 F B' U D R
R' L2 F B' U D' R
R' L2 F B' U D2 R
F L2 R' F D B2 U
R' L2 F B' D U R
R' L2 F B' D' U R
F L2 R' F B U R2
R' L2 F B' D2 U R
F L2 R' F B' U R2
F L2 R' F B2 U R2
R' L2 F B2 U R D
R' L2 F B2 U R D'
R' L2 F B2 U R D2
R' L2 F B2 U D R
R' L2 F B2 U D' R
R' L2 F B2 U D2 R
R' L2 F B2 D U R
U2 L2 R' B' F U R'
R' L2 F B2 D' U R
R' L2 F B2 D2 U R
R L2 F R2 U R' D
R L2 F R2 U R' D'
R L2 F R2 U R' D2
R L2 F R2 U D R'
R L2 F R2 U D' R'
R L2 F R2 U D2 R'
L2 R2 F D U R F'
R L2 F R2 D U R'
R L2 F R2 D' U R'
R L2 F R2 D2 U R'
R2 L2 F D U R F'
R L2 F U D' R F2
F L2 R' B F U R2
F L2 R' B' F U R2
F L2 R' B2 F U R2
R L2 F D' U R F2
R L2 F B R2 U R'
R L2 F B' R2 U R'
R L2 F B2 R2 U R'
R L2 F' R2 F2 U R
R' L2 B D F U R
L2 R2 B R F U R
R2 L2 B R F U R
R' L2 B D' F U R
R' L2 B D2 F U R
R' L2 B F U R D
R' L2 B F U R D'
R' L2 B F U R D2
R' L2 B F U D R
R' L2 B F U D' R
R' L2 B F U D2 R
R' L2 B F D U R
R' L2 B F D' U R
R' L2 B F D2 U R
R L2 B R2 F U R
R L2 B F R2 U R'
R' L2 B' D F U R
L2 R2 B' R F U R
R' L2 B' D' F U R
R2 L2 B' R F U R
R' L2 B' D2 F U R
R' L2 B' F U R D
R' L2 B' F U R D'
R' L2 B' F U R D2
R' L2 B' F U D R
R' L2 B' F U D' R
R' L2 B' F U D2 R
R' L2 B' F D U R
R' L2 B' F D' U R
R' L2 B' F D2 U R
R L2 B' R2 F U R
F2 L2 D R' F B U
F2 L2 D R' B F U
F2 L2 D F R' B U
F L2 D R' F U R2
R L2 B' F R2 U R'
R' L2 B2 D F U R
L2 R2 B2 R F U R
R' L2 B2 D' F U R
R2 L2 B2 R F U R
R' L2 B2 D2 F U R
R' L2 B2 F U R D
R' L2 B2 F U R D'
R' L2 B2 F U R D2
R' L2 B2 F U D R
R' L2 B2 F U D' R
R' L2 B2 F U D2 R
R' L2 B2 F D U R
R' L2 B2 F D' U R
R' L2 B2 F D2 U R
R L2 B2 R2 F U R
F L2 D' R' F U R2
R L2 B2 F R2 U R'
L' U L' R' F B' U
L' U L' R' B' F U
F L2 D2 R' F U R2
L' U L' F R' B' U
U L2 D2 R' F B U
U L2 D2 R' B F U
D' L2 F R' U R2 B2
D' L2 F R' U B2 R2
U' L2 F R B R2 U
U L2 D2 F R' B U
U' L2 F R' U2 F' U'
F' L2 F R' U' L U2
F' L2 F R' B2 U R'
F2 L2 F R' U' L' U2
U2 L2 F R' B' U R'
F L2 F D R' B U
U L2 F D2 R' B U
F2 L2 F' R' F2 U R2
L' U R' L' F B' U
L' U R' L' B' F U
U' R L2 F B R2 U
U' R L2 B R2 F U
U' R L2 B F R2 U
F R L2 F R2 U R2
F R U' L2 R2 F U
F R U' L2 F R2 U
F R U' R2 L2 F U
R2 U' L2 R F B U
R2 U' L2 R B F U
R2 U' R L2 F B U
R2 U' R L2 B F U
D' R' L2 F U R B2
D' R' L2 F U B2 R
U' R' L2 F U D R2
U' R' L2 F U2 F2 U'
U' R' L2 F D U R2
U' R' L2 F D2 B2 U
F' R' L2 F U' L U2
F' R' L2 F B2 U R'
F2 R' L2 F U' L' U2
U R' L' B' L' F U
U2 R' L2 F B' U R'
F' R' L2 B2 F U R'
F R' L2 D F B2 U
U2 R' L2 B' F U R'
F R' L2 D B2 F U
F R' L2 F U R2 D
F R' L2 F U R2 D'
F R' L2 F U R2 D2
F R' L2 F D B2 U
F R' L2 F B U R2
F R' L2 F B' U R2
F R' L2 F B2 U R2
F R' L2 B F U R2
F R' L2 B' F U R2
F R' L2 B2 F U R2
D2 R' U2 R' B' U' R'
D' R' U2 B' U' R' B'
D' R' D L2 F U R
D R' D' L2 F U R
F' R' F L2 F U R
F R' F L2 F U R2
F R' F' L2 F U R2
U' R' F2 L2 F B' U
U' R' F2 L2 B' F U
F2 R' F2 L2 F U R
F R' F2 L2 F U R2
R' U2 D' B' U' R' B'
R' U2 D2 R2 B' U' R'
R' U2 D2 B' R2 U' R
R' U2 B' U' R' D' B2
R' U2 B' U' D' R' B2
R' U2 B' U2 L2 U R'
R' U2 B' D' U' R' B2
R' U2 B' D2 R2 U' R
L D L R' F U R
L D L F R' U R2
L2 D R F R2 U R'
L2 D R' D F U R
L2 D R' D' F U R
L2 D R' D2 F U R
L2 D R' F U R D
L2 D R' F U R D'
L2 D R' F U R D2
L2 D R' F U D R
L2 D R' F U D' R
L2 D R' F U D2 R
L2 D R' F D U R
L2 D R' F D' U R
L2 D R' F D2 U R
L2 D R' F B U R
L2 D R' F B' U R
L2 D R' F B2 U R
L D R' L F U R
L2 D R' B F U R
L2 D R' B' F U R
L2 D R' B2 F U R
L2 D F R' U R2 D
L2 D F R' U R2 D'
L2 D F R' U R2 D2
L2 D F R' D B2 U
L2 D F R' B U R2
L2 D F R' B' U R2
L2 D F R' B2 U R2
L2 D F U R D' F2
L2 D F D R' U R2
L2 D F D' R' U R2
L2 D F D2 R' U R2
L2 D F' R' F2 U R
F U L2 R' F U R2
F U R' L2 F U R2
L D' L R' F U R
L D' L F R' U R2
R' D' L2 F U R B2
R' D' L2 F U B2 R
L2 D' R F R2 U R'
L2 D' R' D F U R
L2 D' R' D' F U R
L2 D' R' D2 F U R
L2 D' R' F U R D
L2 D' R' F U R D'
L2 D' R' F U R D2
L2 D' R' F U D R
L2 D' R' F U D' R
L2 D' R' F U D2 R
L2 D' R' F D U R
L2 D' R' F D' U R
L2 D' R' F D2 U R
L2 D' R' F B U R
L2 D' R' F B' U R
L2 D' R' F B2 U R
L D' R' L F U R
L2 D' R' B F U R
L2 D' R' B' F U R
L2 D' R' B2 F U R
R' D' U2 B' U' R' B'
L2 D' F R' U R2 D
L2 D' F R' U R2 D'
L2 D' F R' U R2 D2
L2 D' F R' D B2 U
L2 D' F R' B U R2
L2 D' F R' B' U R2
L2 D' F R' B2 U R2
L2 D' F U R D' F2
L2 D' F D R' U R2
L2 D' F D' R' U R2
L2 D' F D2 R' U R2
L2 D' F' R' F2 U R
F U' L2 R' F U R2
F U' R' L2 F U R2
L D2 L R' F U R
L D2 L F R' U R2
L2 D2 R F R2 U R'
L2 D2 R' D F U R
L2 D2 R' D' F U R
L2 D2 R' D2 F U R
L2 D2 R' F U R D
L2 D2 R' F U R D'
L2 D2 R' F U R D2
L2 D2 R' F U D R
L2 D2 R' F U D' R
L2 D2 R' F U D2 R
L2 D2 R' F D U R
L2 D2 R' F D' U R
L2 D2 R' F D2 U R
L2 D2 R' F B U R
L2 D2 R' F B' U R
L2 D2 R' F B2 U R
L2 D2 R' B F U R
L2 D2 R' B' F U R
L2 D2 R' B2 F U R
L D2 R' L F U R
R' D2 U2 R2 B' U' R'
R' D2 U2 B' R2 U' R
L2 D2 F R' U R2 D
L2 D2 F R' U R2 D'
L2 D2 F R' U R2 D2
L2 D2 F R' D B2 U
L2 D2 F R' B U R2
L2 D2 F R' B' U R2
L2 D2 F R' B2 U R2
L2 D2 F U R D' F2
L2 D2 F D R' U R2
L2 D2 F D' R' U R2
L2 D2 F D2 R' U R2
L2 D2 F' R' F2 U R
F U2 L2 R' F U R2
F U2 R' L2 F U R2
L F L R' F U R2
R F L2 R2 F U R'
L2 F R B R2 U R2
L2 F R B' R2 U R2
L2 F R B2 R2 U R2
L2 F R' U R D R
L2 F R' U R D' R
L2 F R' U R D2 R
L2 F R' U R' D R'
L2 F R' U R' D' R'
L2 F R' U R' D2 R'
L2 F R' U F' R2 F
L2 F R' U F2 R2 F2
L2 F R' U B R2 B'
L2 F R' U B2 R2 B2
L2 F R' U' L U2 R2
L2 F R' U' L' U2 R2
L2 F R' U' L2 U2 R2
L2 F R' U' D2 L2 U2
L2 F R' U2 D' F2 U'
L2 F R' U2 F U' R2
L2 F R' U2 F' U' R2
L2 F R' U2 F2 U' R2
L2 F R' D B2 U D
L2 F R' D B2 U D'
L2 F R' D B2 U D2
L2 F R' D B2 D U
L2 F R' D B2 D' U
L2 F R' D B2 D2 U
L2 F R' D' U2 F2 U'
L2 F R' D2 U' L2 U2
L2 F R' B U R2 D
L2 F R' B U R2 D'
L2 F R' B U R2 D2
L2 F R' B D B2 U
L2 F R' B' U R2 D
L2 F R' B' U R2 D'
L2 F R' B' U R2 D2
L2 F R' B' D B2 U
L2 F R' B2 U R2 D
L2 F R' B2 U R2 D'
L2 F R' B2 U R2 D2
L2 F R' B2 D B2 U
L F R' L F U R2
L2 F R2 U R' D' F2
L2 F R2 D R U R2
L2 F R2 D' R U R2
L2 F R2 D2 R U R2
L2 F U R U' R2 U
L2 F U R D' F2 D
L2 F U R D' F2 D'
L2 F U R D' F2 D2
L2 F U R F D' F2
L2 F U R F' D' F2
L2 F U R F2 D' F2
R F R2 L2 F U R'
L2 F U D R D' F2
L2 F U D' R D' F2
L2 F U D2 R D' F2
L2 F D R' U R2 D
L2 F D R' U R2 D'
L2 F D R' U R2 D2
L2 F D R' D B2 U
L2 F D R' B U R2
L2 F D R' B' U R2
L2 F D R' B2 U R2
L2 F D U R D' F2
L2 F D' R' U R2 D
L2 F D' R' U R2 D'
L2 F D' R' U R2 D2
L2 F D' R' D B2 U
L2 F D' R' B U R2
L2 F D' R' B' U R2
L2 F D' R' B2 U R2
L2 F D' U R D' F2
L2 F D2 R' U R2 D
L2 F D2 R' U R2 D'
L2 F D2 R' U R2 D2
L2 F D2 R' D B2 U
L2 F D2 R' B U R2
L2 F D2 R' B' U R2
L2 F D2 R' B2 U R2
L2 F D2 U R D' F2
L2 F B R2 U R' F'
L2 F B U R' F' R2
L2 F B' U D' R F'
L2 F B' D' U R F'
L2 F B2 U2 L U' R
R' F' L2 F U' L U2
R' F' L2 F B2 U R'
R' F' L2 B2 F U R'
L2 F' R F2 R2 U R'
L2 F' R' F2 U R D
L2 F' R' F2 U R D'
L2 F' R' F2 U R D2
L2 F' R' F2 U D R
L2 F' R' F2 U D' R
L2 F' R' F2 U D2 R
L2 F' R' F2 D U R
L2 F' R' F2 D' U R
L2 F' R' F2 D2 U R
L2 F' R' F2 B U R
L2 F' R' F2 B' U R
L2 F' R' F2 B2 U R
L2 F' R' B F2 U R
L2 F' R' B' F2 U R
L2 F' R' B2 F2 U R
B' D' F U' R F' B2
B' D' F U' R B2 F'
B' D' F U' B2 R F'
R' F2 L2 F U' L' U2
L2 F2 D F' R' B U
B' D2 R2 F L' U' R
B' D2 F L' R2 U' R'
B' D2 F R2 L' U' R'
L2 B F R2 U R' F'
L2 B F U R' F' R2
B' F U' D' R F' B2
B' F U' D' R B2 F'
B' F U' D' B2 R F'
B' F D' U' R F' B2
B' F D' U' R B2 F'
B' F D' U' B2 R F'
L2 B' D' F U R F'
L2 B' F U D' R F'
L2 B' F D' U R F'
F B' U' D' R F' B2
F B' U' D' R B2 F'
F B' U' D' B2 R F'
F B' D' U' R F' B2
F B' D' U' R B2 F'
F B' D' U' B2 R F'
D' B2 U L F B U'
D' B2 U L B F U'
L2 B2 F U2 L U' R
