F' L2 U L' U2 L2
F' L2 U' L D2 R2
F L2 U L' R U2
F L2 U R L' U2
L2 U L' U' B' U'
B2 L2 F' U' L' R'
B2 L2 F' U' R' L'
F' L2 F2 U' L R
F' L2 F2 U' R L
F L2 F2 U' L' R
F L2 F2 U' R L'
B2 F' L2 U' L R'
B2 F' L2 U' R' L
F' B2 L2 U' L R'
F' B2 L2 U' R' L
F' D' U' L' D2 R2 F2
F' D' U' L' D2 F2 R2
F D' U L R B2 U2
F D' U L B2 R U2
F D' U R L B2 U2
D F' B2 U' L' F' R'
F D' U R B2 U2 R'
F D' U B2 R U2 R2
L2 F2 U' R F L' F'
L2 F2 U' F L' F' R
L2 F2 D2 B' U' L R
L2 F2 D2 B' U' R L
L2 B U L' U' B' U'
B2 F L2 U R U2 R2
B2 F L2 U' R' D2 L2
B2 F L2 F2 U' L' R'
B2 F L2 F2 U' R' L'
B2 F U' D F2 L' R'
B2 F U' D F2 R' L'
B2 F D U' F2 L' R'
B2 F D U' F2 R' L'
L2 B' U L' U' B' U'
B2 F' L2 U' L R' D
B2 F' L2 U' L R' D'
B2 F' L2 U' L R' D2
B2 F' L2 U' L D R'
B2 F' L2 U' L D' R'
B2 F' L2 U' L D2 R'
B2 F' L2 U' R' L D
B2 F' L2 U' R' L D'
B2 F' L2 U' R' L D2
B2 F' L2 U' R' D L
B2 F' L2 U' R' D' L
B2 F' L2 U' R' D2 L
B2 F' L2 U' D L R'
B2 F' L2 U' D R' L
B2 F' L2 U' D' L R'
B2 F' L2 U' D' R' L
B2 F' L2 U' D2 L R'
B2 F' L2 U' D2 R' L
B2 F' L2 D U' L R'
B2 F' L2 D U' R' L
B2 F' L2 D' U' L R'
B2 F' L2 D' U' R' L
B2 F' L2 D2 U' L R'
B2 F' L2 D2 U' R' L
B2 F' L2 F U' L R'
B2 F' L2 F U' R' L
B2 F' L2 F' U' L R'
B2 F' L2 F' U' R' L
B2 F' L2 F2 U' L R'
B2 F' L2 F2 U' R' L
B2 F' U' R' D L' F2
B2 F' U' D L' R' F2
B2 F' U' D L' F2 R'
B2 F' U' D R' L' F2
B2 F' D U' L' R' F2
B2 F' D U' L' F2 R'
B2 F' D U' R' L' F2
F' B2 L2 U' L R' D
F' B2 L2 U' L R' D'
F' B2 L2 U' L R' D2
F' B2 L2 U' L D R'
F' B2 L2 U' L D' R'
F' B2 L2 U' L D2 R'
F' B2 L2 U' R' L D
F' B2 L2 U' R' L D'
F' B2 L2 U' R' L D2
F' B2 L2 U' R' D L
F' B2 L2 U' R' D' L
F' B2 L2 U' R' D2 L
F' B2 L2 U' D L R'
F' B2 L2 U' D R' L
F' B2 L2 U' D' L R'
F' B2 L2 U' D' R' L
F' B2 L2 U' D2 L R'
F' B2 L2 U' D2 R' L
F' B2 L2 D U' L R'
F' B2 L2 D U' R' L
F' B2 L2 D' U' L R'
F' B2 L2 D' U' R' L
F' B2 L2 D2 U' L R'
F' B2 L2 D2 U' R' L
F' B2 L2 F U' L R'
F' B2 L2 F U' R' L
F' B2 L2 F' U' L R'
F' B2 L2 F' U' R' L
F' B2 L2 F2 U' L R'
F' B2 L2 F2 U' R' L
B2 F2 L2 F U' L' R'
B2 F2 L2 F U' R' L'
F2 B2 L2 F U' L' R'
F2 B2 L2 F U' R' L'
F B2 L2 U R U2 R2
F B2 L2 U' R' D2 L2
L2 B2 U L' U' B' U'
F B2 L2 F2 U' L' R'
F B2 L2 F2 U' R' L'
F' B2 U' R' D L' F2
F' B2 U' D L' R' F2
F' B2 U' D L' F2 R'
F' B2 U' D R' L' F2
F B2 U' D F2 L' R'
F B2 U' D F2 R' L'
F' B2 D U' L' R' F2
F' B2 D U' L' F2 R'
F' B2 D U' R' L' F2
F B2 D U' F2 L' R'
F B2 D U' F2 R' L'
D B2 F' U' L' F' R'
