B' L R' F2 B' U
B' L R' B' F2 U
B' L F2 R' B' U
F2 L B' L R' U
F2 L B' R' L U
B' R' L F2 B' U
B' R' L B' F2 U
B' R' F2 L B' U
L F2 B' L R' U
L F2 B' R' L U
L B' L R' F2 U
L B' L F2 R' U
L B' R' L F2 U
L B' R' F2 L U
F2 B' L R' B' U
F2 B' R' L B' U
L B' F2 L R' U
L B' F2 R' L U
B' F2 L R' B' U
B' F2 R' L B' U
F2 L B' D' L R' U
F2 L B' D' R' L U
F2 L B' D2 L R' U
F2 L B' D2 R' L U
F' L B' F' L R' U
F' L B' F' R' L U
U' L B' F2 L U F'
B L' R' F L2 B' U'
L R' F2 B' L R' U
L R' F2 B' R' L U
L R' B' L R' F2 U
L R' B' L F2 R' U
L R' B' R' L F2 U
L R' B' R' F2 L U
L R' B' F2 L R' U
L R' B' F2 R' L U
B L' F L2 R' B' U'
B L' F R' L2 B' U'
L R2 F2 B' L R' U
L R2 F2 B' R' L U
L R2 B' L R' F2 U
L R2 B' L F2 R' U
L R2 B' R' L F2 U
L R2 B' R' F2 L U
L R2 B' F2 L R' U
L R2 B' F2 R' L U
B' R L F2 R2 B' U
B' R L F2 B' R2 U
B' R L B' R2 F2 U
B' R L B' F2 R2 U
F2 R L B' L R' U
F2 R L B' R' L U
B' R F2 L R2 B' U
B' R F2 L B' R2 U
B' R F2 R2 L B' U
F2 R B' L R' B' U
F2 R B' R' L B' U
B' R' L D' B' U L2
B' R' L F2 D B' U
B' R' L F2 D' B' U
B' R' L F2 D2 B' U
B' R' L F2 B' U D
B' R' L F2 B' U D'
B' R' L F2 B' U D2
B' R' L F2 B' D U
B' R' L F2 B' D' U
B' R' L F2 B' D2 U
B R' L U2 F2 B' U
B R' L U2 B' F2 U
B' R' L B' U D' L2
B' R' L B' D' U L2
B' R' L B' F2 U D
B' R' L B' F2 U D'
B' R' L B' F2 U D2
B' R' L B' F2 D U
B' R' L B' F2 D' U
B' R' L B' F2 D2 U
F2 R' L B' L R' U
F2 R' L B' R' L U
B R' L' F L2 B' U'
D' R' U L2 B R' F'
D' R' U B L2 R' F'
D' R' U B R' L2 F'
D' R' U B R' F' L2
L U' F2 B' L U F
L U' B' L F2 U F'
L U' B' F2 L U F
B' R' F' L F' B' U
B' R' F' L B' F' U
B' R' F2 L D B' U
B' R' F2 L D' B' U
B' R' F2 L D2 B' U
B' R' F2 L B' U D
B' R' F2 L B' U D'
B' R' F2 L B' U D2
B' R' F2 L B' D U
B' R' F2 L B' D' U
B' R' F2 L B' D2 U
F2 R' B' L R' B' U
F2 R' B' R' L B' U
B' R2 L B' R F2 U
F2 R2 L B' L R' U
F2 R2 L B' R' L U
F2 R2 B' L R' B' U
F2 R2 B' R' L B' U
B' U L R' F2 B' U
B' U L R' B' F2 U
B' U L F2 R' B' U
D' U L2 R' F' B R'
D' U L2 R' B F' R'
D' U L2 B R' F' B
D' U L2 B R' B F'
B' U R' L F2 B' U
D' U R' L2 F' B R'
B' U R' L B' F2 U
D' U R' L2 B F' R'
D' U R' F' L2 B R'
D' U R' F' B L2 R'
D' U R' F' B R' L2
D' U R' B L2 F' R'
B' U R' F2 L B' U
D' U R' B F' L2 R'
D' U R' B F' R' L2
F2 U D' R' F' B R'
F2 U D' R' B F' R'
F2 U D' B R' F' B
F2 U D' B R' B F'
D' U B L2 R' F' B
D' U B L2 R' B F'
D' U B R' L2 F' B
D' U B R' L2 B F'
D' U B R' F' L2 B
D' U B R' F' B L2
D' U B R' B L2 F'
D' U B R' B F' L2
B' U F2 L R' B' U
B' U F2 R' L B' U
B' U' L R' F2 B' U
B' U' L R' B' F2 U
B' U' L F2 R' B' U
U D' L2 R' F' B R'
U D' L2 R' B F' R'
U D' L2 B R' F' B
U D' L2 B R' B F'
U D' R' L2 F' B R'
U D' R' L2 B F' R'
U D' R' F' L2 B R'
U D' R' F' B L2 R'
U D' R' F' B R' L2
U D' R' B L2 F' R'
U D' R' B F' L2 R'
U D' R' B F' R' L2
B' U' R' L F2 B' U
B' U' R' L B' F2 U
B' U' R' F2 L B' U
L D' B' R' U L2 B
L D' B' R' U B L2
U D' B L2 R' F' B
U D' B L2 R' B F'
U D' B R' L2 F' B
U D' B R' L2 B F'
U D' B R' F' L2 B
U D' B R' F' B L2
U D' B R' B L2 F'
U D' B R' B F' L2
B' U' F2 L R' B' U
B' U' F2 R' L B' U
B' U2 L R' F2 B' U
B' U2 L R' B' F2 U
B' U2 L F2 R' B' U
B' U2 R' L F2 B' U
B' U2 R' L B' F2 U
B' U2 R' F2 L B' U
B' U2 F2 L R' B' U
B' U2 F2 R' L B' U
L F B' R' F L U
F2 D' R' U B R' F'
F2 D' U R' F' B R'
F2 D' U R' B F' R'
F2 D' U B R' F' B
F2 D' U B R' B F'
L F' B' L F' R' U
R' F2 L B' L R' U
R' F2 L B' R' L U
R2 F2 L B' L R' U
R2 F2 L B' R' L U
L2 F2 L' B' L R' U
L2 F2 L' B' R' L U
R F2 L B' L R' U
R F2 L B' R' L U
L F2 R B' L R' U
L F2 R B' R' L U
L F2 R' B' L R' U
L F2 R' B' R' L U
L F2 R2 B' L R' U
L F2 R2 B' R' L U
U' F2 B' L B' U F
R' F2 B' L R' B' U
L F2 D' B' R' U B
R' F2 B' R' L B' U
R2 F2 B' L R' B' U
R2 F2 B' R' L B' U
D' B L U' L R' B
D' B L U' R' L B
L F2 B' L R' U D
L F2 B' L R' U D'
L F2 B' L R' U D2
L F2 B' L R' D U
L F2 B' L R' D' U
L F2 B' L R' D2 U
L F2 B' L D R' U
L F2 B' L D' R' U
L F2 B' L D2 R' U
L F2 B' R' L U D
L F2 B' R' L U D'
L F2 B' R' L U D2
L F2 B' R' L D U
L F2 B' R' L D' U
L F2 B' R' L D2 U
L F2 B' R' D L U
L F2 B' R' D' L U
L F2 B' R' D2 L U
R F2 B' L R' B' U
L F2 B' D L R' U
L F2 B' D R' L U
L F2 B' D' L R' U
L F2 B' D' R' L U
R F2 B' R' L B' U
L F2 B' D2 L R' U
L F2 B' D2 R' L U
B' F R' F L B' U
R' B' L R' F2 B' U
R' B' L R' B' F2 U
U' B' L F2 B' U F'
U' B' L B' F2 U F'
R' B' L F2 R' B' U
R2 B' L R' F2 B' U
R2 B' L R' B' F2 U
R2 B' L F2 R' B' U
L B' L R F2 R2 U
L B' L R' U D' L2
L B' L R' D' U L2
L B' L R' F2 U D
L B' L R' F2 U D'
L B' L R' F2 U D2
L B' L R' F2 D U
L B' L R' F2 D' U
L B' L R' F2 D2 U
L B' L D' R' U L2
R B' L R' F2 B' U
L B' L F R' F U
R B' L R' B' F2 U
L B' L F2 R' U D
L B' L F2 R' U D'
L B' L F2 R' U D2
L B' L F2 R' D U
L B' L F2 R' D' U
L B' L F2 R' D2 U
L B' L F2 D R' U
L B' L F2 D' R' U
L B' L F2 D2 R' U
L B' L' R' F2 L2 U
R B' L F2 R' B' U
L B' L' F2 L2 R' U
L B' L' F2 R' L2 U
R' B' R' L F2 B' U
R' B' R' L B' F2 U
R' B' R' F2 L B' U
L B' R L F2 R2 U
R2 B' R' L F2 B' U
R2 B' R' L B' F2 U
B' F' L F' R' B' U
F2 B' L R B' R2 U
F2 B' L R' D B' U
F2 B' L R' D' B' U
F2 B' L R' D2 B' U
F2 B' L R' B' U D
F2 B' L R' B' U D'
F2 B' L R' B' U D2
F2 B' L R' B' D U
F2 B' L R' B' D' U
F2 B' L R' B' D2 U
F2 B' L R2 B' R U
L B' R F2 L R2 U
L B' R F2 R2 L U
F' B' L F' R' B' U
F2 B' L D R' B' U
F2 B' L D' R' B' U
R2 B' R' F2 L B' U
F2 B' L D2 R' B' U
L B' R' L U D' L2
L B' R' L D' U L2
L B' R' L F2 U D
L B' R' L F2 U D'
L B' R' L F2 U D2
L B' R' L F2 D U
L B' R' L F2 D' U
L B' R' L F2 D2 U
L B' R' L' F2 L2 U
L B' R' D' L U L
R B' R' L F2 B' U
R B' R' L B' F2 U
L B' R' F' L F' U
L B' R' F2 L U D
L B' R' F2 L U D'
L B' R' F2 L U D2
L B' R' F2 L D U
L B' R' F2 L D' U
L B' R' F2 L D2 U
L B' R' F2 D L U
L B' R' F2 D' L U
L B' R' F2 D2 L U
R B' R' F2 L B' U
F2 B' R L B' R2 U
F2 B' R' L D B' U
F2 B' R' L D' B' U
F2 B' R' L D2 B' U
F2 B' R' L B' U D
F2 B' R' L B' U D'
F2 B' R' L B' U D2
F2 B' R' L B' D U
F2 B' R' L B' D' U
F2 B' R' L B' D2 U
F2 B' R2 L B' R U
F B' R' F L B' U
L B' D' L R' U L
L B' D' R' L U L
U' B' F2 L B' U F
R' B' F2 L R' B' U
R' B' F2 R' L B' U
L B' F R' F L U
R2 B' F2 L R' B' U
L B' F' L F' R' U
R2 B' F2 R' L B' U
L B' F2 L R' U D
L B' F2 L R' U D'
L B' F2 L R' U D2
L B' F2 L R' D U
L B' F2 L R' D' U
L B' F2 L R' D2 U
L B' F2 L D R' U
L B' F2 L D' R' U
L B' F2 L D2 R' U
L B' F2 R' L U D
L B' F2 R' L U D'
L B' F2 R' L U D2
L B' F2 R' L D U
L B' F2 R' L D' U
L B' F2 R' L D2 U
L B' F2 R' D L U
L B' F2 R' D' L U
L B' F2 R' D2 L U
R B' F2 L R' B' U
L B' F2 D L R' U
L B' F2 D R' L U
L B' F2 D' L R' U
L B' F2 D' R' L U
F2 B' D2 L R' B U
L B' F2 D2 L R' U
L B' F2 D2 R' L U
R B' F2 R' L B' U
B' F2 L R B' R2 U
B' F2 L R' D B' U
B' F2 L R' D' B' U
B' F2 L R' D2 B' U
B' F2 L R' B' U D
B' F2 L R' B' U D'
B' F2 L R' B' U D2
B' F2 L R' B' D U
B' F2 L R' B' D' U
B' F2 L R' B' D2 U
F2 B' D2 R' L B U
B' F2 L R2 B' R U
B' F2 L D R' B' U
B' F2 L D' R' B' U
B' F2 L D2 R' B' U
B' F2 R L B' R2 U
B' F2 R' L D B' U
B' F2 R' L D' B' U
B' F2 R' L D2 B' U
B' F2 R' L B' U D
B' F2 R' L B' U D'
B' F2 R' L B' U D2
B' F2 R' L B' D U
B' F2 R' L B' D' U
B' F2 R' L B' D2 U
B' F2 R2 L B' R U
B' F2 D2 L R' B U
B' F2 D2 R' L B U
