F L2 U L F' R2
F L2 U F' L R2
F L2 U F' R2 L
U' L2 F U L' R2
U' L2 F U R2 L'
R2 U' L2 F U L'
R2 U' F L2 U L
F' R2 D' F B2 L
F' R2 D' B2 F L
F' R2 F D' B2 L
R2 D' B' D' B' L
R2 D2 B D B2 L
R2 D2 B' L D B2
R2 D2 B' D L B2
U' F L2 U L R2
U' F L2 U R2 L
L2 F U L' F' R2
R2 F D' L' F' B2
R2 F D' L' B2 F'
R2 F D' B2 L' F'
D2 B' L D B2 R'
F' R U2 R F D' B2
F' R U2 D' R F B2
F' R U2 D' R B2 F
F' R U2 D' B2 R F
F' R D F2 L' U2 F'
F' R D' R F B2 L
F' R D' R B2 F L
F' R D' U2 R F B2
F' R D' U2 R B2 F
F' R D' U2 B2 R F
R2 U' L F L U L2
L U' L F U L' R2
L U' L F U R2 L'
L' U' L' F U L' R2
L' U' L' F U R2 L'
R2 U' L' D' L' F U
R2 U' L' F U L' B'
R' U' L2 F U L' R'
R' U' L2 F U R' L'
R2 U' L2 U F L' F'
R2 U' L2 F U L' D
R2 U' L2 F U L' D'
R2 U' L2 F U L' D2
R2 U' L2 F U D L'
R2 U' L2 F U D' L'
R2 U' L2 F U D2 L'
R2 U' L2 F D U L'
R2 U' L2 F D' U L'
R2 U' L2 F D2 U L'
R2 U' L2 F' U' R U2
R2 U' D' L' F U B2
R' U' F L2 U L R'
R' U' F L2 U R' L
L' U' F U L' R2 B'
L' U' F U L' B' R2
L' U' F U R2 L' B'
R2 U' F L2 U L D
R2 U' F L2 U L D'
R2 U' F L2 U L D2
R2 U' F L2 U D L
R2 U' F L2 U D' L
R2 U' F L2 U D2 L
R2 U' F L2 D U L
R2 U' F L2 D' U L
R2 U' F L2 D2 U L
R2 U' F L2 F U L
R2 U' F L2 F' U L
R2 U' F L2 F2 U L
L2 U' F U L' R2 B
L U' F L U L2 R2
L U' F L U R2 L2
L2 U' F U R2 L' B
L2 U' F U R2 B L'
R2 U' F U D' L' B2
R2 U' F U D' B2 L'
R2 U' F D' U L' B2
R2 U' F D' U B2 L'
R2 U' F' L2 U' R U2
R2 U' F' L2 F2 U L'
R2 U' F2 L2 F' U L'
F' R' F R' D' B2 L
R2 U2 F U L2 U L
R2 U2 F U2 D' L' B2
R2 U2 F U2 D' B2 L'
R2 U2 F D F2 R U2
R2 U2 F D' U2 L' B2
R2 U2 F D' U2 B2 L'
R2 U2 F' R U L2 U
R2 U2 F' R U2 D' B2
R2 U2 F' R D F2 U2
R2 U2 F' R D' U2 B2
R2 U2 F' D R F2 U2
R2 U2 F' D F2 U2 L'
R2 U2 F' D' R U2 B2
B' R2 U' L2 F U L'
B2 R2 U' L2 F U L'
B' R2 U' F L2 U L
B2 R2 U' F L2 U L
B R2 U' L2 F U L'
B R2 U' F L2 U L
F' R2 D' L' B2 L F
F' R2 D' F L B2 L
F' R2 D' F L' B2 L
F' R2 D' F L2 B2 L
F' R2 D' F B2 L D
F' R2 D' F B2 L D'
F' R2 D' F B2 L D2
F' R2 D' F B2 D L
F' R2 D' F B2 D' L
F' R2 D' F B2 D2 L
F' R2 D' F' B2 L F2
F' R2 D' F2 B2 L F'
B' R2 D' B' D' B' L
F' R2 D' B2 D F L
F' R2 D' B2 D' F L
F' R2 D' B2 D2 F L
F' R2 D' B2 F L D
F' R2 D' B2 F L D'
F' R2 D' B2 F L D2
F' R2 D' B2 F D L
F' R2 D' B2 F D' L
F' R2 D' B2 F D2 L
F' R2 D' B2 F' L F2
F' R2 D' B2 F2 L F'
F R2 D' L B2 L2 F
B2 R2 D' B' D' B' L
B R2 D' B' D' B' L
F' R2 D2 F D B2 L
B' R2 D2 B D B2 L
B' R2 D2 B' L D B2
B' R2 D2 B' D L B2
F R2 D' B2 L2 F L
B2 R2 D2 B D B2 L
B2 R2 D2 B' L D B2
B2 R2 D2 B' D L B2
B R2 D2 B D B2 L
B R2 D2 B' L D B2
B R2 D2 B' D L B2
U' R2 F D' L' F2 B2
B' R2 F D' L' F' B2
U' R2 F D' L' B2 F2
B' R2 F D' L' B2 F'
F' R2 F D' L B2 L
F' R2 F D' L' B2 L
F' R2 F D' L2 B2 L
U' R2 F D' B2 L' F2
B' R2 F D' B2 L' F'
F' R2 F D' B2 L D
F' R2 F D' B2 L D'
F' R2 F D' B2 L D2
F' R2 F D' B2 D L
F' R2 F D' B2 D' L
F' R2 F D' B2 D2 L
B2 R2 F D' L' F' B2
B2 R2 F D' L' B2 F'
B2 R2 F D' B2 L' F'
F' R2 F B2 D' L B2
B R2 F D' L' F' B2
B R2 F D' L' B2 F'
B R2 F D' B2 L' F'
U' R2 F' D' F2 L' B2
U' R2 F' D' F2 B2 L'
U' R2 F' D' B2 F2 L'
F2 R2 F' D' L' F' B2
F2 R2 F' D' L' B2 F'
F2 R2 F' D' B2 L' F'
L2 D R F' B2 U F
F' R2 F2 D' F' B2 L
F' R2 F2 D' B2 L F'
F' R2 F2 D' B2 F' L
L2 D R B2 F' U F
F' R2 B2 D' F L B2
F' R2 B2 F D' L B2
F U L2 U L F' R2
F U L2 U F' L R2
F U L2 U F' R2 L
F' U R2 D' F B2 L
F' U R2 D' B2 F L
F' U R2 F D' B2 L
L2 D B2 R F' U F
R2 D' L U B' U' B'
R2 D' L B D L2 B
R2 D' L B D B L2
R2 D' L B2 U B U'
R2 D' L' U' F U B2
R2 D' L' B2 U' F U
R' D' R' B' D' B' L
R D' R B' D' B' L
R2 D' U' L' F U B2
B' U' L2 F U L' R2
B' U' L2 F U R2 L'
B2 U' L2 F U L' R2
B2 U' L2 F U R2 L'
F U' L2 U L F' R2
F U' L2 U F' L R2
B U' L2 F U L' R2
F U' L2 U F' R2 L
B U' L2 F U R2 L'
R2 D' F' B2 D F L'
R2 D' B L B D L2
R2 D' B D' B' L B2
F' U' R2 D' F B2 L
F' U' R2 D' B2 F L
F' U' R2 F D' B2 L
R2 D' B' D' B' L D
R2 D' B' D' B' L D'
R2 D' B' D' B' L D2
R2 D' B' D' B' D L
R2 D' B' D' B' D' L
R2 D' B' D' B' D2 L
R2 D' B2 L U B' U'
R2 D' B2 L' U' F U
R D' B' R D' B' L
R D' B' D' R B' L
R D' B' D' B' L R
R D' B' D' B' R L
R2 D' B2 D F L' F'
R2 D' B2 D' B' L B
R2 D' B2 F' D F L'
B' U' F L2 U L R2
B' U' F L2 U R2 L
R2 D2 L B D B2 L
R2 D2 L B' L D B2
R2 D2 L B' D L B2
B2 U' F L2 U L R2
B2 U' F L2 U R2 L
R2 D2 L' B D B2 L
R2 D2 L' B' L D B2
R2 D2 L' B' D L B2
B U' F L2 U L R2
B U' F L2 U R2 L
R2 D2 L2 B D B2 L
R2 D2 L2 B' L D B2
R2 D2 L2 B' D L B2
R' D2 R' B' D L B'
R2 D2 U R2 B' U' L
R2 D2 U B' R2 U' L
F U2 L2 U L F' R2
F U2 L2 U F' L R2
F U2 L2 U F' R2 L
R2 D2 B L D B2 L
R2 D2 B L' D B2 L
R2 D2 B L2 D B2 L
L' D2 B' L D' B2 R'
R2 D2 B D L B2 L
R2 D2 B D L' B2 L
R2 D2 B D L2 B2 L
R2 D2 B D B2 L D
R2 D2 B D B2 L D'
R2 D2 B D B2 L D2
R2 D2 B D B2 D L
R2 D2 B D B2 D' L
R2 D2 B D B2 D2 L
F' U2 R2 D' F B2 L
F' U2 R2 D' B2 F L
F' U2 R2 F D' B2 L
R2 D2 B' L U R2 U'
R2 D2 B' L D B2 D
R2 D2 B' L D B2 D'
R2 D2 B' L D B2 D2
R2 D2 B' L B D B2
R2 D2 B' L B' D B2
R2 D2 B' L B2 D B2
R2 D2 B' L2 D L' B2
R2 D2 B' L2 D B2 L'
R2 D2 B' U R2 U' L
R D2 B D B2 L R
R D2 B D B2 R L
R2 D2 B' D L B2 D
R2 D2 B' D L B2 D'
R2 D2 B' D L B2 D2
R2 D2 B' D L' B2 L2
R2 D2 B' D L2 B2 L'
R2 D2 B' D' L D2 B2
R D2 B' L D R B2
R D2 B' L D B2 R
R D2 B' D L R B2
R D2 B' D L B2 R
R D2 B' D R L B2
R2 D2 B2 D B L B
R' F L' F' D R' B
L F L U L2 F' R2
U' F L2 U L R2 D
U' F L2 U L R2 D'
U' F L2 U L R2 D2
L F L U F' L2 R2
L F L U F' R2 L2
U' F L2 U R2 L D
U' F L2 U R2 L D'
U' F L2 U R2 L D2
U' F L2 U R2 D L
U' F L2 U R2 D' L
U' F L2 U R2 D2 L
R' F L2 U L F' R'
R' F L2 U F' L R'
R' F L2 U F' R' L
R2 F L' U' L' U F'
U' F L2 F U L R2
U' F L2 F U R2 L
U' F L2 F' U L R2
U' F L2 F' U R2 L
U' F L2 F2 U L R2
U' F L2 F2 U R2 L
L F L' F' R2 D' B2
R F L2 U L F' R
R F L2 U F' L R
R F L2 U F' R L
U' F R2 D' L' F2 B2
U' F R2 D' L' B2 F2
U' F R2 D' B2 L' F2
U' F U R2 D' L' B2
U' F U R2 D' B2 L'
L' F U L' F' R2 B'
L' F U L' F' B' R2
L' F U L' B' F' R2
L2 F U L F' L2 R2
L2 F U L F' R2 L2
L2 F U L' F R2 F2
L2 F U L' F' R2 D
L2 F U L' F' R2 D'
L2 F U L' F' R2 D2
L2 F U L' F2 R2 F
U2 F U L2 U L R2
U2 F U L2 U R2 L
L2 F U L2 F' L R2
L2 F U L2 F' R2 L
R2 F U' L2 U L F'
R2 F U' L2 U F' L
U2 F U2 R2 D' L' B2
U2 F U2 R2 D' B2 L'
U F U' R2 D' L' B2
U F U' R2 D' B2 L'
U F U2 L2 U L R2
U F U2 L2 U R2 L
R' F D' L' F' R' B2
R2 F D L' D2 F' B2
R2 F D L' D2 B2 F'
L2 F D B2 U L' F'
F D L' F' D' R2 B
R2 F D' L F' L2 B2
R2 F D' L F' B2 L2
R2 F D' L B2 L2 F'
R2 F D' L B2 F' L2
R2 F D' L' F' B2 D
R2 F D' L' F' B2 D'
R2 F D' L' F' B2 D2
R2 F D' L' B2 D F'
R2 F D' L' B2 D' F'
R2 F D' L' B2 D2 F'
R2 F D' L' B2 F' D
R2 F D' L' B2 F' D'
R2 F D' L' B2 F' D2
R2 F D' L2 F' L B2
R2 F D' B L' F' B
R2 F D' B L' B F'
U' F B L2 U L R2
U' F B L2 U R2 L
R2 F D' B2 L F' L2
R2 F D' B2 L' D F'
R2 F D' B2 L' D' F'
R2 F D' B2 L' D2 F'
R2 F D' B2 L' F' D
R2 F D' B2 L' F' D'
R2 F D' B2 L' F' D2
R2 F D' B2 L2 F' L
R2 F D' B2 D L' F'
R2 F D' B2 D' L' F'
R2 F D' B2 D2 L' F'
R2 F D2 L' D F' B2
R2 F D2 L' D B2 F'
R2 F D2 L' F' D B2
U' F B' L2 U L R2
U' F B' L2 U R2 L
L2 F B U L' F' R2
U' F B2 L2 U L R2
U' F B2 L2 U R2 L
R2 F B D' L' F' B2
R2 F B D' L' B2 F'
R2 F B D' B2 L' F'
L2 F B' U L' F' R2
R2 F B' D' L' F' B2
R2 F B' D' L' B2 F'
R2 F B' D' B2 L' F'
L2 F B2 U L' F' R2
R2 F B2 D' L' F' B2
R2 F B2 D' L' B2 F'
R2 F B2 D' B2 L' F'
U' F' L2 U' R U2 R
U' F' L2 F2 U L' R2
U' F' L2 F2 U R2 L'
U2 F' R U L2 U R
U2 F' R U2 R D' B2
U2 F' R U2 D' R B2
U2 F' R U2 D' B2 R
U2 F' R D F2 L' U2
U2 F' R D' U2 R B2
U2 F' R D' U2 B2 R
U' F' R2 D' F2 B2 L
U' F' R2 D' B2 L F2
U' F' R2 D' B2 F2 L
U' F' U R2 D' B2 L
L2 F' U F2 L' F' R2
L2 F' U' R U2 R F
U2 F' U2 R2 D' B2 L
U F' U' R2 D' B2 L
F D' L' B2 D F' R2
D F' D' R2 F L' B
D F' D' R2 F B L'
D F' D' R2 B F L'
R2 F' D' F2 L' F' B2
R2 F' D' F2 L' B2 F'
R2 F' D' F2 B2 L' F'
R2 F' D' B2 F2 L' F'
U F' D' F2 U' L' B2
U F' D' F2 U' B2 L'
D' F2 L B' U' F2 B'
D' F2 L B' U' B' F2
U' F2 L2 F' U L' R2
U' F2 L2 F' U R2 L'
F' D' F2 U' L' F' B2
F' D' F2 U' L' B2 F'
F' D' F2 U' B2 L' F'
F D' B2 L' D F' R2
F D' B2 D L' F' R2
D2 B L D B2 L R'
D2 B L D B2 R' L
D' B L B D L2 R2
D' B L B D R2 L2
U' B L2 F U L' R2
U' B L2 F U R2 L'
U2 B L2 U R2 F L'
U2 B L2 U F L' R2
U2 B L2 U F R2 L'
B' D2 B' L D B2 R'
B2 D2 B' L D B2 R'
B D2 B' L D B2 R'
R2 B U' L2 F U L'
R2 B U' F L2 U L
B' F L2 U L F' R2
B' F L2 U F' L R2
B' F L2 U F' R2 L
D2 B D B2 L D R2
D2 B D B2 D L R2
D2 B D B2 D R2 L
B2 F L2 U L F' R2
B2 F L2 U F' L R2
B2 F L2 U F' R2 L
D' B D' B' L B2 R'
B F L2 U L F' R2
B F L2 U F' L R2
B F L2 U F' R2 L
F B L2 U L F' R2
F B L2 U F' L R2
F B L2 U F' R2 L
U' B F L2 U L R2
U' B F L2 U R2 L
R2 B D' B' D' B' L
R2 B D2 B D B2 L
R2 B D2 B' L D B2
F' B R2 D' F B2 L
R2 B D2 B' D L B2
F' B R2 D' B2 F L
L2 B F U L' F' R2
F' B R2 F D' B2 L
R2 B F D' L' F' B2
R2 B F D' L' B2 F'
R2 B F D' B2 L' F'
D2 B' L D R B2 R'
D2 B' L D R' B2 R'
D2 B' L D R2 B2 R'
D2 B' L D B2 R' D
D2 B' L D B2 R' D'
D2 B' L D B2 R' D2
D2 B' L D B2 D R'
D2 B' L D B2 D' R'
D2 B' L D B2 D2 R'
D2 B' L B2 D R' B2
U' B' L2 F U L' R2
U' B' L2 F U R2 L'
D2 B' L2 D L' B2 R'
R2 B' U' L2 F U L'
R2 B' U' F L2 U L
D2 B' D L B2 D R2
F B' L2 U L F' R2
F B' L2 U F' L R2
F B' L2 U F' R2 L
D' B' D R2 D2 B' L
B' F' R2 D' F B2 L
B' F' R2 D' B2 F L
B' F' R2 F D' B2 L
F' B' R2 D' F B2 L
F' B' R2 D' B2 F L
F' B' R2 F D' B2 L
B2 F' R2 D' F B2 L
D' B' D' B' D2 L R2
D' B' D' B' D2 R2 L
B2 F' R2 D' B2 F L
B2 F' R2 F D' B2 L
D2 B' D2 R2 D' L B2
U' B' F L2 U L R2
U' B' F L2 U R2 L
B F' R2 D' F B2 L
B F' R2 D' B2 F L
B F' R2 F D' B2 L
R2 B' D' B' D' B' L
R2 B' D2 B D B2 L
L2 B' F U L' F' R2
R2 B' D2 B' L D B2
R2 B' D2 B' D L B2
R2 B' F D' L' F' B2
R2 B' F D' L' B2 F'
R2 B' F D' B2 L' F'
D' B2 L U F2 B' U'
D' B2 L U B' F2 U'
U' B2 L2 F U L' R2
U' B2 L2 F U R2 L'
F B2 L2 U L F' R2
F B2 L2 U F' L R2
F B2 L2 U F' R2 L
F' B2 R2 D' F B2 L
F' B2 R2 D' B2 F L
F' B2 R2 F D' B2 L
R2 B2 U' L2 F U L'
R2 B2 U' F L2 U L
D' B2 D R2 F L' F'
D' B2 D F L' F' R2
U' B2 F L2 U L R2
U' B2 F L2 U R2 L
R2 B2 D' B' D' B' L
L2 B2 F U L' F' R2
R2 B2 D2 B D B2 L
R2 B2 D2 B' L D B2
R2 B2 D2 B' D L B2
R2 B2 F D' L' F' B2
R2 B2 F D' L' B2 F'
R2 B2 F D' B2 L' F'
