B2 L2 R' F B U'
B2 L2 R' B F U'
B2 L2 F R' B U'
B2 R' L2 F B U'
B2 R' L2 B F U'
B2 U' L2 R' B F U'
B2 U' L2 F R' B U'
B2 U' R' L2 F B U'
B2 U' R' L2 B F U'
R D2 L F' R2 B' U
R D2 L F' B' R2 U
R D2 L B' F' R2 U
L2 D2 U2 L' F B U
L2 D2 U2 L' B F U
L2 D2 U2 B L' F U
B2 U2 L2 R' F B U'
B2 U2 L2 R' B F U'
B2 U2 L2 F R' B U'
B U2 L2 R' B R' U'
R D2 F' L R2 B' U
R D2 F' L B' R2 U
B U2 L2 B R' B U'
R D2 F' R2 L B' U
B2 U2 R' L2 F B U'
B2 U2 R' L2 B F U'
B U2 R' L2 B R' U'
B U2 R' B L2 R' U'
B U2 R' B R' L2 U'
R2 F L2 F2 R B U'
B U2 B L2 R' B U'
B U2 B R' L2 B U'
B U2 B R' B L2 U'
B D L U F2 B' L
B D L U B' L F2
B D L U B' F2 L
B D U L F2 B' L
B D U L B' L F2
B D U L B' F2 L
B D U F2 L B' L
B D U F2 B' L B'
B D U B' L F2 B'
B D U B' L B' F2
B D U B' F2 L B'
R F' L B2 R' B U
L2 F' R2 F' R B U'
R F' D2 L R2 B' U
R F' D2 L B' R2 U
R F' D2 R2 L B' U
L' F2 L2 B R F' U
B D2 L' R2 F L' U
B D2 L' F L' R2 U
B D2 L' F R2 L' U
L' F2 B L2 R F' U
L' F2 B R L2 F' U
L' F2 B R F' L2 U
B D2 R2 L' F L' U
B D2 R2 F L' F U
B D2 F L' R2 F U
B D2 F L' F R2 U
B D2 F R2 L' F U
L B R D2 F' R U
B2 F L2 R' F B U'
B2 F L2 R' B F U'
B2 F L2 F R' B U'
B2 F R' L2 F B U'
B2 F R' L2 B F U'
L' B F2 L2 R F' U
L' B F2 R L2 F' U
L' B F2 R F' L2 U
B2 F' L2 R' F B U'
B2 F' L2 R' B F U'
B2 F' L2 F R' B U'
B2 F' R' L2 F B U'
B2 F' R' L2 B F U'
U' B2 L2 R' F B U'
U' B2 L2 R' B F U'
U' B2 L2 F R' B U'
U2 B2 L2 R' F B U'
U2 B2 L2 R' B F U'
U2 B2 L2 F R' B U'
U' B2 R' L2 F B U'
U' B2 R' L2 B F U'
U B2 L2 R' F B U'
U B2 L2 R' B F U'
R' B2 R' F' B' L2 U'
R' B2 R' B' L2 F' U'
R' B2 R' B' F' L2 U'
F' B2 L2 R' F B U'
F' B2 L2 R' B F U'
U B2 L2 F R' B U'
U2 B2 R' L2 F B U'
U2 B2 R' L2 B F U'
B2 F2 L2 R' F B U'
B2 F2 L2 R' B F U'
F2 B2 L2 R' F B U'
F2 B2 L2 R' B F U'
F' B2 L2 F R' B U'
B2 F2 L2 F R' B U'
F2 B2 L2 F R' B U'
L B2 R F' R2 B' U
L B2 R F' B' R2 U
L B2 R B' F' R2 U
U B2 R' L2 F B U'
U B2 R' L2 B F U'
F B2 L2 R' F B U'
F B2 L2 R' B F U'
F' B2 R' L2 F B U'
F' B2 R' L2 B F U'
B2 F2 R' L2 F B U'
B2 F2 R' L2 B F U'
L B2 R' B' U D L2
L B2 R' B' U2 B2 U'
L B2 R' B' D U L2
L B2 R' B' D2 F2 U
F B2 L2 F R' B U'
F2 B2 R' L2 F B U'
F2 B2 R' L2 B F U'
F B2 R' L2 F B U'
F B2 R' L2 B F U'
L B2 D R' B' U L
