F' L2 B' U R' F2
F' L2 B' U F2 R'
B' R' D' F L' B2
B' R' D' F B2 L'
B' R' D' B2 F L'
U2 F R D' L2 B2
U2 F R D' B2 L2
U2 F D' L2 R B2
U2 F D' L2 B2 R
U2 F D' R L2 B2
U2 F D' R B2 L2
U2 F D' B2 L2 R
U2 F D' B2 R L2
D F D' L2 B' R'
F D' L2 B' R' B'
F D' B' R' B' L2
F' B L2 U F2 R
B' F R' D' L2 B2
B' F R' D' B2 L2
B' F D' L2 R' B2
B' F D' R' L2 B2
B' F D' R' B2 L2
B F D' B2 L2 R'
B F D' B2 R' L2
F B D' B2 L2 R'
F B D' B2 R' L2
F' B' L2 U R' F2
F' B' L2 U F2 R'
B' F' L2 U R' F2
B' F' L2 U F2 R'
B F' L2 U F2 R
F B' R' D' L2 B2
F B' R' D' B2 L2
F B' D' L2 R' B2
F B' D' R' L2 B2
F B' D' R' B2 L2
F' B' L2 U F R' F
F' B' L2 U F2 R' D
F' B' L2 U F2 R' D'
F' B' L2 U F2 R' D2
F' B' L2 U F2 D R'
F' B' L2 U F2 D' R'
F' B' L2 U F2 D2 R'
F' B' L2 D R2 U R
B' F' R L2 U R2 F2
B' F' R L2 U F2 R2
B2 F' L2 B U R' F2
B2 F' L2 B U F2 R'
F' B' R L2 U R2 F2
F' B' R L2 U F2 R2
B F' L2 R U F2 R
B F' L2 R' U F2 R
B F' L2 R2 U F2 R
B F' L2 U R F2 R
B F' L2 U R' F2 R
B F' L2 U R2 F2 R
B F' L2 U F2 R D
B F' L2 U F2 R D'
B F' L2 U F2 R D2
B F' L2 U F2 D R
B F' L2 U F2 D' R
B F' L2 U F2 D2 R
B F' L2 U' L' U2 F2
B F' L2 B U F2 R
B F' L2 B' U F2 R
B F' L2 B2 U F2 R
B F' R L2 U F2 R
B' F' R' F2 D' L2 B2
B' F' R' F2 D' B2 L2
F B' L2 F2 U R' F2
F B' L2 F2 U F2 R'
B' F' R2 L2 U R F2
F' B' R' F2 D' L2 B2
F' B' R' F2 D' B2 L2
R' B' D' R' F L' B2
R' B' D' R' F B2 L'
R' B' D' R' B2 F L'
F' B' R2 L2 U R F2
R' B' D' F L' R' B2
R' B' D' F R' L' B2
R' B' D' F R' B2 L'
B F' R' L2 U F2 R
R2 B' D R' F L2 B'
R2 B' D F L2 R' B'
R2 B' D F R' L2 B'
B' F' U R' F2 D' B2
F B' R' U' L2 F2 U
F B' R' U' F2 L2 U
F B' R' D' L' B2 L'
F B' R' D' L2 B2 D
F B' R' D' L2 B2 D'
F B' R' D' L2 B2 D2
F B' R' D' B L2 B
F B' R' D' B2 L2 D
F B' R' D' B2 L2 D'
F B' R' D' B2 L2 D2
B F' R2 L2 U F2 R
B' F' U F2 R' D' B2
F' B' U R' F2 D' B2
B' F' U F2 D' R' B2
R2 B' D' R' F B2 L
R2 B' D' R' B2 F L
F B' R' B D' L2 B2
F B' R' B D' B2 L2
F B' R' B' D' L2 B2
F B' R' B' D' B2 L2
R2 B' D' F R' B2 L
F B' R' B2 D' L2 B2
F B' R' B2 D' B2 L2
F' B' U F2 R' D' B2
F' B' U F2 D' R' B2
D' B' F R' D' B' L2
D' B' F R' B' D' L2
F B' R2 D' L2 R B2
F B' R2 D' L2 B2 R
F B' R2 D' R L2 B2
F B' R2 D' R B2 L2
F B' R2 D' B2 L2 R
F B' R2 D' B2 R L2
D2 B' F D R' B2 L
D' B' F D' R' B' L2
U2 B' F R D' L2 B2
U2 B' F R D' B2 L2
B F' U F2 D' B2 R'
D' B' F' U R' F2 B'
D' B' F' U R' B' F2
D' B' F' U F2 R' B'
U2 B' F D' L2 R B2
U2 B' F D' L2 B2 R
U2 B' F D' R L2 B2
U2 B' F D' R B2 L2
U2 B' F D' B2 L2 R
U2 B' F D' B2 R L2
D B' F R' D' L2 B'
R2 B' F D' R' B2 L
F B' U' L2 F2 U R'
D B' F D' L2 R' B'
D B' F D' R' L2 B'
F B' U' F2 L2 U R'
F B' D R' D2 B2 L
F B' D' L' R' B2 L'
F B' D' L2 R B2 R2
F B' D' L2 R' B2 D
F B' D' L2 R' B2 D'
F B' D' L2 R' B2 D2
F B' D' L2 R2 B2 R
F B' D' R L2 B2 R2
F B' D' R B2 L2 R2
F B' D' R B2 R2 L2
F B' D' R' L' B2 L'
F B' D' R' L2 B2 D
F B' D' R' L2 B2 D'
F B' D' R' L2 B2 D2
F B' D' R' B L2 B
F B' D' R' B2 L2 D
F B' D' R' B2 L2 D'
F B' D' R' B2 L2 D2
F B' D' R2 L2 B2 R
F B' D' R2 B2 L2 R
F B' D' R2 B2 R L2
F' B2 L2 B U R' F2
F' B2 L2 B U F2 R'
D2 B2 R2 B U' R' F
D2 B2 R2 B U' F R'
U2 B2 F R D' L2 B2
U2 B2 F R D' B2 L2
U2 B2 F D' L2 R B2
U2 B2 F D' L2 B2 R
U2 B2 F D' R L2 B2
U2 B2 F D' R B2 L2
U2 B2 F D' B2 L2 R
U2 B2 F D' B2 R L2
L2 B2 F' U' B U2 R'
