L U R' B L
U R' B D L2
L2 F U R' B
F L U R' B L
F2 L U R' B L
F' L U R' B L
L U L R' B L
L U L' R' B L
D' L2 F L' U R'
F' L2 F U R' B
F2 L2 F U R' B
L U L2 R' B L
F L2 F U R' B
L U R' L B L
L U R' L' B L
L U R' L2 B L
L U R' D B L
L U R' D' B L
L U R' D2 B L
L U R' B L D
L U R' B L D'
L U R' B L D2
L U R' B D L
L U R' B D' L
L U R' B D2 L
U2 R B' U' R2 B
U R' U B' U' B2
U R' D B D L2
U R' D' B D L2
U R' D2 B D L2
U' R' B D L2 F
U R' B L D L2
U R' B L' D L2
U R' B L2 D L2
U R' B U B2 U'
U R' B D L2 D
U R' B D L2 D'
U R' B D L2 D2
F' U R' B D L2
F2 U R' B D L2
F U R' B D L2
L2 D' F L' U R'
L2 F L U R' B
L2 F L' U R' B
L2 F L2 U R' B
L2 F U R' D B
L2 F U R' D' B
L2 F U R' D2 B
L2 F U R' B D
L2 F U R' B D'
L2 F U R' B D2
L F U R' B L
L F' U R' B L
L F2 U R' B L
U2 B' R' U' B R'
U2 B' U' R' B R'
U2 B' U' B R' B
U2 D' F' R B' U' R2
F U' R' B D L2 F
L D2 L F U R' B'
R2 D2 R B D L2 F2
R2 D2 R B D F2 L2
B' U' B R' B D2 F2
L D2 U R' B L B'
L D2 U B L B' R'
L2 D2 F L U R' B'
D' U2 F' R B' U' R2
L2 D2 F U D2 R' B
L2 D2 F D2 U R' B
F' U2 R B' U' R2 B
F2 U2 R B' U' R2 B
F U2 R B' U' R2 B
L2 F L U R' D B
L2 F L U R' D' B
L2 F L U R' D2 B
L2 F L U R' B D
L2 F L U R' B D'
L2 F L U R' B D2
L' F L' F U R' B
L2 F L' U R' D B
L2 F L' U R' D' B
L2 F L' U R' D2 B
L2 F L' U R' B D
L2 F L' U R' B D'
L2 F L' U R' B D2
L' F L2 U R' B L
L F L F U R' B
D' F L2 F L U R'
L2 F L2 U R' D B
L2 F L2 U R' D' B
L2 F L2 U R' D2 B
L2 F L2 U R' B D
L2 F L2 U R' B D'
L2 F L2 U R' B D2
U2 F R B' U' R2 B
U' F R' B D L2 F
B2 U2 B R' U' B R'
B2 U2 B U' R' B R'
B2 U2 B U' B R' B
F' U2 B' R' U' B R'
F' U2 B' U' R' B R'
F' U2 B' U' B R' B
F2 U2 B' R' U' B R'
F2 U2 B' U' R' B R'
F2 U2 B' U' B R' B
L2 F U L R' B L'
L2 F U L2 R' B L2
L2 F U R B R2 B
L2 F U R B' R2 B
L2 F U R B2 R2 B
L2 F U R' L B L'
L2 F U R' L2 B L2
L2 F U R' D B D
L2 F U R' D B D'
L2 F U R' D B D2
L2 F U R' D' B D
L2 F U R' D' B D'
L2 F U R' D' B D2
L2 F U R' D2 B D
L2 F U R' D2 B D'
L2 F U R' D2 B D2
L2 F U R' B2 D B'
L2 F U R' B2 D' B'
L2 F U R' B2 D2 B'
L2 F U R2 D R B
L2 F U R2 D' R B
L2 F U R2 D2 R B
L2 F U R2 B R B
L2 F U R2 B' R B
L2 F U R2 B2 R B
L2 F U F' R' F B
L2 F U F' R' B F
F U2 B' R' U' B R'
L2 F U F2 R' F2 B
L2 F U F2 R' B F2
L2 F U B' R' B R'
F U2 B' U' R' B R'
F U2 B' U' B R' B
L2 F U' L U2 R' B
L2 F U' L' U2 R' B
L F U L R' B L
L2 F U' L2 U2 R' B
L F U L' R' B L
L F U L2 R' B L
U2 F U' R' B D L2
L F U R' L B L
L F U R' L' B L
L F U R' L2 B L
L F U R' D B L
U' F U2 R' B D L2
L F U R' D' B L
L F U R' D2 B L
L F U R' B L D
L F U R' B L D'
L F U R' B L D2
L F U R' B D L
L F U R' B D' L
L F U R' B D2 L
L2 F U' F U2 R' B
L2 F U' F' U2 R' B
L2 F U' F2 U2 R' B
L2 F U2 R U' R2 B
L2 F U2 F U' R' B
L2 F U2 F' U' R' B
L2 F U2 F2 U' R' B
L2 F D2 L U R' B'
U2 F B' R' U' B R'
L2 F B' U R' B R'
L2 F B' U B R' B
U2 F B' U' R' B R'
U2 F B' U' B R' B
L2 F B2 U B2 R' B
L2 F' L F2 U R' B
L' F' L' F U R' B
L' F' L2 U R' B L
L2 F' L' F2 U R' B
L F' L F U R' B
L2 F' L2 F2 U R' B
U' F' R' B D L2 F
U2 F' R B' U' R2 B
U F' R' F B D L2
U F' R' B D F L2
U F' R' B F D L2
B D B' L U L R'
B D B' L U R' L
L2 F' U R' D' L2 B
L2 F' U R' D' B L2
L2 F' U R' B D' L2
L F' U L R' B L
L F' U L' R' B L
U' F' U2 R' B D L2
U2 F' U' R' B D L2
L F' U L2 R' B L
L F' U R' L B L
L F' U R' L' B L
L F' U R' L2 B L
L F' U R' D B L
L F' U R' D' B L
L F' U R' D2 B L
D' F' U2 R B' U' R2
L F' U R' B L D
L F' U R' B L D'
L F' U R' B L D2
L F' U R' B D L
L F' U R' B D' L
L F' U R' B D2 L
F' D' L2 F L' U R'
F2 D' L2 F L' U R'
F D' L2 F L' U R'
U2 F' B' R' U' B R'
U2 F' B' U' R' B R'
U2 F' B' U' B R' B
L2 F2 L F' U R' B
L' F2 L' F U R' B
L' F2 L2 U R' B L
L2 F2 L' F' U R' B
L F2 L F U R' B
L2 F2 L2 F' U R' B
U' F2 R' B D L2 F
U2 F2 R B' U' R2 B
R' F2 U B' L' U' B2
U F2 R' F2 B D L2
U F2 R' B F2 D L2
L F2 U L R' B L
U' F2 U2 R' B D L2
L F2 U L' R' B L
U2 F2 U' R' B D L2
L F2 U L2 R' B L
L F2 U R' L B L
L F2 U R' L' B L
L F2 U R' L2 B L
L F2 U R' D B L
L F2 U R' D' B L
L F2 U R' D2 B L
L F2 U R' B L D
L F2 U R' B L D'
L F2 U R' B L D2
L F2 U R' B D L
L F2 U R' B D' L
L F2 U R' B D2 L
R' F2 B L D L2 F2
R' F2 B L D F2 L2
R' F2 B U L' B2 U'
R' F2 B U B2 L' U'
U2 F2 B' R' U' B R'
U2 F2 B' U' R' B R'
U2 F2 B' U' B R' B
R' B R' D' R F2 L'
R' B U B2 U2 R U
R' B U' R U D L2
R' B U' R U2 B2 U'
R' B U' R D U L2
R' B U' R D2 F2 U
R' B U' D R U L2
R' B U' D2 R F2 U
R' B D L2 U' R U
R' B D U' R U L2
R' B D2 U' R F2 U
R2 B D' R F2 L' B
R2 B D' R F2 B L'
R2 B D' R B F2 L'
R' B F2 L D L2 F2
R' B F2 L D F2 L2
R' B F2 U L' B2 U'
R' B F2 U B2 L' U'
U2 B' R U' R2 B R'
U2 B' R' U' B R' D
U2 B' R' U' B R' D'
U2 B' R' U' B R' D2
U2 B' R' U' B D R'
U2 B' R' U' B D' R'
U2 B' R' U' B D2 R'
U2 B' R' F U' B R'
U2 B' R' F' U' B R'
U2 B' R' F2 U' B R'
U' B' U B U2 R' B
U' B' U' R' B R' F'
U2 B' U' R' B R' D
U2 B' U' R' B R' D'
U2 B' U' R' B R' D2
U2 B' U' R' B D R'
U2 B' U' R' B D' R'
U2 B' U' R' B D2 R'
L B' U R' B L R'
L B' U R' B R' L
U2 B' U' B R' D B
U2 B' U' B R' D' B
U2 B' U' B R' D2 B
U2 B' U' B R' B D
U2 B' U' B R' B D'
U2 B' U' B R' B D2
L B' U B L R' B
L B' U B R' L B
U2 B' U2 B U R' B
U2 B' D' R F' R U'
U2 B' D' F' R F' U'
U2 B' F R' U' B R'
L2 B' F U R' B R'
L2 B' F U B R' B
U2 B' F U' R' B R'
U2 B' F U' B R' B
U2 B' F' R' U' B R'
U2 B' F' U' R' B R'
U2 B' F' U' B R' B
U2 B' F2 R' U' B R'
U2 B' F2 U' R' B R'
U2 B' F2 U' B R' B
R B2 L B U' R2 B
R2 B2 R2 F' U R' B
L2 B2 F U B2 R' B
