B2 U F' U R' B'
F' U' L B2 U2 B'
F' U' B2 U2 R' B'
B2 U2 R' D B' L
L B2 U F' U B'
B2 U2 R2 B' R D L2
B2 U2 R2 B' D L2 R
B2 U2 R2 B' D R L2
B2 U2 D R' D B' L
B2 U2 D' R' D B' L
B2 U2 D2 R' D B' L
B2 U2 F' U R' F B'
B2 U2 F' U R' B' F
B2 U2 F' U F R' B'
B U2 B U F' U R'
D' F D' L2 F2 B R
D' F D' L2 B F2 R
B2 D U F' U R' B'
B2 D U2 R' D B' L
L F B2 U F2 U B'
L F B2 U2 D' B' L2
L F B2 U2 B' D' L2
L F B2 D R2 U2 B'
L F B2 D' U2 B' L2
R2 F' L B2 U' B' U'
D' F' R2 U' L F' U2
D' F' R2 U' F' L U2
D2 F' U F' B2 R' B'
L' F' U D2 F2 B R2
L' F' U D2 B R2 F2
L' F' U D2 B F2 R2
U' F' U' L B2 U2 B'
D2 F' U B D2 F' R
D2 F' U B2 F' R' B'
D2 F' U' L U2 F' B
D2 F' U' L U2 B F'
L' F' U B D2 R2 F'
L2 F' U D2 F2 B R'
L2 F' U D2 B R' F2
L2 F' U D2 B F2 R'
L' F' U' L2 B2 U2 B'
L2 F' U B R2 F' R
U' F' U' B2 U2 R' B'
U2 F' U' L B2 U2 B'
L' F' U' B2 L2 F U2
U2 F' U' B2 U2 R' B'
U F' U' L B2 U2 B'
U F' U' B2 U2 R' B'
L' F' D' B2 R2 U B'
L' F' D2 U F2 B R2
L' F' D2 U B R2 F2
L' F' D2 U B F2 R2
F D' L2 D' F2 B R
F D' L2 D' B F2 R
F D' L2 B D' F2 R
L2 F' D2 U F2 B R'
L2 F' D2 U B R' F2
L2 F' D2 U B F2 R'
F' D' R2 U' L F' U2
F' D' R2 U' F' L U2
D' F' B2 R2 U R B'
D' F' B2 R2 U B' R
D2 F' B2 U F' R' B'
B2 D' U F' U R' B'
B2 D' U2 R' D B' L
F' D' B2 R2 U R B'
F' D' B2 R2 U B' R
F' D2 L2 U F2 B R
F' D2 L2 U B F2 R
F' D2 U F2 B2 R' B'
B2 D2 U F' U R' B'
F' D2 U B2 R' F2 B'
F' D2 U B2 R' B' F2
F' D2 U B2 F2 R' B'
F' D2 U' L U2 F2 B
F' D2 U' L U2 B F2
B2 D2 U2 R' D B' L
L F2 B2 U F U B'
R2 B R2 U' F' B R'
R2 B R2 U' B F' R'
F' D2 B2 U R' F2 B'
F' D2 B2 U R' B' F2
F' D2 B2 U F2 R' B'
R2 B U F' B U2 R'
R2 B U B F' U2 R'
R2 B U' R2 F' B R'
R2 B U' R2 B F' R'
F D2 B2 U' R' F2 B'
F D2 B2 U' R' B' F2
F D2 B2 U' F2 R' B'
B2 F U F2 U R' B'
B2 F U2 R' D' B' L2
B2 F U2 R' B' D' L2
B2 F U2 D' R' B' L2
B2 F D R2 U2 R B'
B2 F D R2 U2 B' R
B2 F D' U2 R' B' L2
L' B2 L2 F U F2 U
L' B2 L2 F U2 D' L2
L' B2 L2 F D R2 U2
L' B2 L2 F D' U2 L2
D2 B2 R' F2 D B' L
D B2 R' D F2 B' L
D B2 R' D B' L F2
D B2 R' D B' F2 L
U' B2 U F' U R' B'
L B2 R' U2 D B' L
L B2 R' D U2 B' L
U2 B2 U F' U R' B'
L B2 R2 U' B U' B2
L B2 R2 U2 B' D L2
U' B2 U2 R' D B' L
L B2 U D F' U B'
L B2 U D' F' U B'
L B2 U D2 F' U B'
L B2 U F' U D B'
L B2 U F' U D' B'
L B2 U F' U D2 B'
L B2 U F' U B' D
L B2 U F' U B' D'
L B2 U F' U B' D2
L B2 U F' D U B'
L B2 U F' D' U B'
L B2 U F' D2 U B'
U B2 U F' U R' B'
U2 B2 U2 R' D B' L
B2 F2 U F U R' B'
L B2 U' R2 B U' B2
F2 B2 U F U R' B'
U B2 U2 R' D B' L
L B2 U2 B' U' F' U
F B2 U F2 U R' B'
L B2 D U F' U B'
L B2 D' U F' U B'
F B2 U2 R' D' B' L2
F B2 U2 R' B' D' L2
F B2 U2 D' R' B' L2
D2 B2 F' U F' R' B'
D' B2 F' R2 U R B'
D' B2 F' R2 U B' R
L B2 D2 U F' U B'
F B2 D R2 U2 R B'
F B2 D R2 U2 B' R
L B2 F U F2 U B'
L B2 F U2 D' B' L2
L B2 F U2 B' D' L2
L B2 F D R2 U2 B'
L B2 F D' U2 B' L2
F B2 D' U2 R' B' L2
L B2 F2 U F U B'
