F' L' F' U' B'
F' L' R U' B' R'
F' L' D F' U' B'
F' L' D' F' U' B'
F' L' D2 F' U' B'
F' L' F' R U' B'
F' L' F' R' U' B'
F' L' F' R2 U' B'
F' L' F' U' D B'
F' L' F' U' D' B'
F' L' F' U' D2 B'
F' L' F' U' B' D
F' L' F' U' B' D'
F' L' F' U' B' D2
F' L' F' D U' B'
F' L' F' D' U' B'
F' L' F' D2 U' B'
F' L2 F' L U' B'
F' R L' U' B' R'
F' D L' F' U' B'
R' F' L' F' U' B'
R2 F' L' F' U' B'
D F' L' U' R2 B'
D F' L' U' B' R2
R F' L' F' U' B'
F' D' L' F' U' B'
F2 D' L' U' F B'
F2 D' L' U' B' F
F' D2 L' F' U' B'
F' L' F' D' U' B' D'
F' L' F' D' U' B' D2
F' L' F' D2 R U' B'
F' L' F' D2 R' U' B'
F' L' F' D2 R2 U' B'
F' L' F' D2 U' B' D
F' L' F' D2 U' B' D'
F' L' F' D2 U' B' D2
F' L' F2 R F U' B'
F' L' F2 R' F U' B'
F' L' F2 R2 F U' B'
F' L' F2 D F U' B'
F' L' F2 D' F U' B'
F' L' F2 D2 F U' B'
U L' B' U' R' F2 U'
U L' B' U' F2 R' U'
F' L2 D L F' R U'
F' L2 D F' L R U'
F' L2 D F' R L U'
F' L2 F L F2 U' B'
F' L2 F' L R U' B'
F' L2 F' L R' U' B'
F' L2 F' L R2 U' B'
F' L2 F' L U' D B'
F' L2 F' L U' D' B'
F' L2 F' L U' D2 B'
F' L2 F' L U' B' D
F' L2 F' L U' B' D'
F' L2 F' L U' B' D2
F' L2 F' L D U' B'
F' L2 F' L D' U' B'
F' L2 F' L D2 U' B'
F' L2 F' R L U' B'
F' L2 F' R' L U' B'
F' L2 F' R2 L U' B'
F' R L' U' R B' R'
F' R L' U' R' B' R'
F' R L' U' R2 B' R'
F' R L' U' D B' R'
F' R L' U' D' B' R'
F' R L' U' D2 B' R'
F' R L' U' B' R' D
F' R L' U' B' R' D'
F' R L' U' B' R' D2
F' R L' U' B' D R'
F' R L' U' B' D' R'
F' R L' U' B' D2 R'
F' R L' D U' B' R'
F' R L' D' U' B' R'
F' R L' D2 U' B' R'
F' R L' F U' B' R'
F' R L' F' U' B' R'
F' R L' F2 U' B' R'
F' R D L' U' B' R'
F' R D' L' U' B' R'
F2 R D' L' U' F B'
F2 R D' L' U' B' F
F' R D2 L' U' B' R'
F2 R F L' F' U' B'
L' U' R D R2 F' B'
L' U' R D R2 B' F'
L' U' R' D F' R2 B'
L' U' R' D F' B' R2
L' U' R' D B' F' R2
L' U' R' B' D F' R2
L' U' D R' F' R' B'
L' U' D B' R' F' R'
D R' L' U' R' F' B'
D R' L' U' R' B' F'
L' U' B' R D R2 F'
L' U' B' R' D F' R2
L' U' B' D R' F' R'
F2 R' D' L' U' F B'
F2 R' D' L' U' B' F
F' R' D2 L' F U' B'
F2 R' F L' F' U' B'
D R' F' L' U' R' B'
F' R2 L' U' B' D' R2
F' R2 L' U2 B U B2
F2 R2 D' L' U' F B'
F2 R2 D' L' U' B' F
F2 R2 F L' F' U' B'
L' D R' U' R' F' B'
L' D R' U' R' B' F'
L' D U' R' F' R' B'
L' D U' B' R' F' R'
R' D F' L' U' R2 B'
R' D F' L' U' B' R2
L2 D F' L' R U' R
L2 D F' R L' U' R
R2 D F' L' U' R2 B'
R2 D F' L' U' B' R2
R D F' L' U' R2 B'
R D F' L' U' B' R2
F2 U F U' L' U' B'
F2 U F' U R U B
F2 U' F U L' R U'
F2 U' F U R L' U'
F2 U' F' U' L' R U
F2 U' F' U' R L' U
F U2 L2 R B' U B2
F U2 L2 B' R U B
F U2 R L2 B' U B2
F U2 R U2 F U' B
F2 U2 D R U F' B
F2 U2 D R U B F'
F2 U2 F' R F U B
U' F R' F' D R2 B2
U' F R' F' D B2 R2
D2 F U2 R B2 U B'
F' D L' R U' B' R'
D2 F U2 B2 R U B
F2 D L' R U' F' B'
F2 D L' R U' B' F'
F' D L' D F' U' B'
F' D L' D' F' U' B'
F' D L' D2 F' U' B'
F' D L' F' R U' B'
F' D L' F' R' U' B'
F' D L' F' R2 U' B'
F' D L' F' U' D B'
F' D L' F' U' D' B'
F' D L' F' U' D2 B'
F' D L' F' U' B' D
F' D L' F' U' B' D'
F' D L' F' U' B' D2
F' D L' F' D U' B'
F' D L' F' D' U' B'
F' D L' F' D2 U' B'
D F U2 R U B R
D' F D F2 L' U' B'
F' D L2 F' L U' B'
F' D R L' U' B' R'
F2 D R L' U' F' B'
F2 D R L' U' B' F'
D2 F D2 F2 L' U' B'
D F D' F2 L' U' B'
R' F' L' R U' B' R'
D2 F' L' U' D' R2 B'
D2 F' L' U' D' B' R2
R' F' L' D F' U' B'
D2 F' L' U2 B2 U B
F2 D U2 R U F' B
F2 D U2 R U B F'
R' F' L' D' F' U' B'
R' F' L' D2 F' U' B'
D2 F' L' D' U' R2 B'
D2 F' L' D' U' B' R2
D2 F' L' D2 F2 U' B'
R' F' L' F' R U' B'
R' F' L' F' R' U' B'
R' F' L' F' R2 U' B'
R' F' L' F' U' D B'
R' F' L' F' U' D' B'
R' F' L' F' U' D2 B'
R' F' L' F' U' B' D
R' F' L' F' U' B' D'
R' F' L' F' U' B' D2
R' F' L' F' D U' B'
R' F' L' F' D' U' B'
R' F' L' F' D2 U' B'
L' F' L' D F' R U'
D' F' L' F2 U' R B'
D' F' L' F2 U' B' R
R2 F' L' R U' B' R'
D F' L' R U' R B'
D F' L' R U' B' R
D F' L' R' U' R' B'
L2 F' L' F' U F2 U2
L2 F' L' F' U' D2 B2
L2 F' L' F' D R2 U'
L2 F' L' F' D2 U' B2
R2 F' L' D F' U' B'
R' F' L2 F' L U' B'
R2 F' L' D' F' U' B'
D F' L' U' R B' R
D F' L' U' R2 D B'
D F' L' U' R2 D' B'
D F' L' U' R2 D2 B'
D F' L' U' R2 B' D
D F' L' U' R2 B' D'
D F' L' U' R2 B' D2
D F' L' U' B R2 B2
D F' L' U' B' R2 D
D F' L' U' B' R2 D'
D F' L' U' B' R2 D2
R2 F' L' D2 F' U' B'
R2 F' L' F' R U' B'
R2 F' L' F' R' U' B'
R2 F' L' F' R2 U' B'
R2 F' L' F' U' D B'
R2 F' L' F' U' D' B'
R2 F' L' F' U' D2 B'
R2 F' L' F' U' B' D
R2 F' L' F' U' B' D'
R2 F' L' F' U' B' D2
R2 F' L' F' D U' B'
R2 F' L' F' D' U' B'
R2 F' L' F' D2 U' B'
D F' L' D' F2 U' B'
R' F' R L' U' B' R'
D F' L' F U' R2 B'
D F' L' F U' B' R2
D F' L' F' U' R2 B'
D F' L' F' U' B' R2
D F' L' F2 U' R2 B'
D F' L' F2 U' B' R2
R F' L' R U' B' R'
L F' L' D F' R2 U'
L F' L' D2 F' U' B2
R F' L' D F' U' B'
L F' L' F' R2 U' B
L F' L' F' U F' U2
R F' L' D' F' U' B'
R F' L' D2 F' U' B'
R2 F' L2 F' L U' B'
R F' L' F' R U' B'
R F' L' F' R' U' B'
R F' L' F' R2 U' B'
R F' L' F' U' D B'
R F' L' F' U' D' B'
R F' L' F' U' D2 B'
R F' L' F' U' B' D
R F' L' F' U' B' D'
R F' L' F' U' B' D2
R F' L' F' D U' B'
R F' L' F' D' U' B'
R F' L' F' D2 U' B'
R2 F' R L' U' B' R'
D F' R L' U' R B'
D F' R L' U' B' R
R F' L2 F' L U' B'
R F' R L' U' B' R'
F D F2 L' F' U' B'
D F' R' L' U' R' B'
F2 D' L U F B' U2
F2 D' L U B' F U2
F' D' L' R U' B' R'
R' F' D L' F' U' B'
F2 D' L' R U' F B'
F2 D' L' R U' B' F
D' F' D L' F2 U' B'
F2 D' L' R' U' F B'
F2 D' L' R' U' B' F
F' D' L' D F' U' B'
F2 D' L' R2 U' F B'
F2 D' L' R2 U' B' F
F' D' L' D' F' U' B'
F' D' L' D2 F' U' B'
F2 D' L' U' D F B'
F2 D' L' U' D B' F
F2 D' L' U' D' F B'
F2 D' L' U' D' B' F
F2 D' L' U' D2 F B'
F2 D' L' U' D2 B' F
F2 D' L' U' F D B'
F2 D' L' U' F D' B'
F2 D' L' U' F D2 B'
F2 D' L' U' F B' D
F2 D' L' U' F B' D'
F2 D' L' U' F B' D2
F2 D' L' U' B' D F
F2 D' L' U' B' D' F
F2 D' L' U' B' D2 F
F2 D' L' U' B' F D
F2 D' L' U' B' F D'
F2 D' L' U' B' F D2
F' D' L' F' R U' B'
F' D' L' F' R' U' B'
F' D' L' F' R2 U' B'
F' D' L' F' U' D B'
F' D' L' F' U' D' B'
F' D' L' F' U' D2 B'
F' D' L' F' U' B' D
F' D' L' F' U' B' D'
F' D' L' F' U' B' D2
F' D' L' F' D U' B'
F' D' L' F' D' U' B'
F' D' L' F' D2 U' B'
F2 D' L' D U' F B'
F2 D' L' D U' B' F
U F' U' F' L' U' B'
F2 D' L' D' U' F B'
F2 D' L' D' U' B' F
F2 D' L' D2 U' F B'
F2 D' L' D2 U' B' F
L2 F' D L' F' R U'
R' F' D' L' F' U' B'
D2 F' D' L' U' R2 B'
D2 F' D' L' U' B' R2
R2 F' D L' F' U' B'
F' D' L2 F' L U' B'
F' D' R L' U' B' R'
R' F' D2 L' F' U' B'
D' F' D2 L' U' R2 B'
D' F' D2 L' U' B' R2
D2 F' D2 L' F2 U' B'
L F' D L' F' R2 U'
F2 D' R L' U' F B'
F2 D' R L' U' B' F
R2 F' D' L' F' U' B'
R F' D L' F' U' B'
D F' D' L' F2 U' B'
F2 D' R' L' U' F B'
F2 D' R' L' U' B' F
R2 F' D2 L' F' U' B'
R F' D' L' F' U' B'
L F' D2 L' F' U' B2
F2 D' R2 L' U' F B'
F2 D' R2 L' U' B' F
R F' D2 L' F' U' B'
F D' F2 L' F' U' B'
L F2 U F' U R U
F' D2 L' R U' B' R'
F' D2 L' D F' U' B'
F' D2 L' D' F' U' B'
F' D2 L' D2 F' U' B'
L' F2 D R U' F' B'
L' F2 D R U' B' F'
F' D2 L' F' R U' B'
F' D2 L' F' R' U' B'
F' D2 L' F' R2 U' B'
F' D2 L' F' U' D B'
F' D2 L' F' U' D' B'
F' D2 L' F' U' D2 B'
F' D2 L' F' U' B' D
F' D2 L' F' U' B' D'
F' D2 L' F' U' B' D2
F' D2 L' F' D U' B'
F' D2 L' F' D' U' B'
F' D2 L' F' D2 U' B'
R' F2 D' L' U' F B'
R' F2 D' L' U' B' F
F' D2 L2 F' L U' B'
F' D2 R L' U' B' R'
R2 F2 D' L' U' F B'
R2 F2 D' L' U' B' F
R F2 D' L' U' F B'
R F2 D' L' U' B' F
F D2 F2 L' F' U' B'
U2 B' R' U D R2 B
U2 B' R' D U R2 B
B' F' L' F' B U' B2
B' F' L' B F' U' B2
F' B' L' F' B U' B2
F' B' L' B F' U' B2
B2 F' L' F' B2 U' B
B2 F' L' B2 F' U' B
F' B2 L' F' B2 U' B
F' B2 L' B2 F' U' B
