L' R' F U' L2 F2
L' R' F U' F2 L2
R' L' F U' L2 F2
R' L' F U' F2 L2
R' U' D L F' R
R' U' D F' L R
R' U' D F' R L
D R' U' L F' R
D R' U' F' L R
D R' U' F' R L
R' D U' L F' R
R' D U' F' L R
R' D U' F' R L
L' F R' U' L2 F'
L' F R' U' F' L2
F' R' L' F U' F2 L2
D R' L' U' L2 F' R
D R' L' U' F' L2 R
D R' L' U' F' R L2
F2 R' L' F U' L2 F2
F2 R' L' F U' F2 L2
U2 R' L' F U' L2 F
R' U' F' L U' B' U
U2 R' L2 U' L' F R
F R' L' F U' L2 F2
F R' L' F U' F2 L2
D R' L2 U' L' F' R
B2 R' U L B' U F'
D' R' U' L D2 F' R
D' R' U' D2 L F' R
F' R' U' D L F' R
D' R' U' D2 F' L R
D' R' U' D2 F' R L
F' R' U' D F' L R
F' R' U' D F' R L
D R' U' L F' R D
D R' U' L F' R D'
D R' U' L F' R D2
D R' U' L F' D R
D R' U' L F' D' R
D R' U' L F' D2 R
D R' U' L' F' L2 R
D R' U' L' F' R L2
F2 R' U' D L F' R
F2 R' U' D F' L R
F2 R' U' D F' R L
D R' U' F' L R D
D R' U' F' L R D'
D R' U' F' L R D2
D R' U' F' L D R
D R' U' F' L D' R
D R' U' F' L D2 R
D R' U' F' R L D
D R' U' F' R L D'
D R' U' F' R L D2
D R' U' F' R D L
D R' U' F' R D' L
D R' U' F' R D2 L
D R' U' F' D L R
D R' U' F' D R L
D R' U' F' D' L R
D R' U' F' D' R L
D R' U' F' D2 L R
D R' U' F' D2 R L
F R' U' D L F' R
F R' U' D F' L R
F R' U' D F' R L
F' R' D U' L F' R
F' R' D U' F' L R
F' R' D U' F' R L
F2 R' D U' L F' R
F2 R' D U' F' L R
F2 R' D U' F' R L
L U' B' D' R' U B
F R' D U' L F' R
L U' B2 L B R' U
F R' D U' F' L R
F R' D U' F' R L
D' R' D2 U' L F' R
D' R' D2 U' F' L R
D' R' D2 U' F' R L
D R' F U' F2 L R
D R' F U' F2 R L
U R' F' L' F U' L2
R' D L' U' L2 F' R
R' D L' U' F' L2 R
R' D L' U' F' R L2
R D L R2 F' R B2
R D L R2 F' B2 R
R D L R2 B2 F' R
R' D L2 U' L' F' R
R D R2 L F' R B2
R D R2 L F' B2 R
R D R2 L B2 F' R
R' D U' L F' R D
R' D U' L F' R D'
R' D U' L F' R D2
R' D U' L F' D R
R' D U' L F' D' R
R' D U' L F' D2 R
R' D U' L' F' L2 R
R' D U' L' F' R L2
R D R2 F' L R B2
R D R2 F' L B2 R
R D R2 F' R L B2
R' D U' F' L R D
R' D U' F' L R D'
R' D U' F' L R D2
R' D U' F' L D R
R' D U' F' L D' R
R' D U' F' L D2 R
R' D U' F' R L D
R' D U' F' R L D'
R' D U' F' R L D2
R' D U' F' R D L
R' D U' F' R D' L
R' D U' F' R D2 L
R' D U' F' D L R
R' D U' F' D R L
R' D U' F' D' L R
R' D U' F' D' R L
R' D U' F' D2 L R
R' D U' F' D2 R L
R' D F U' F2 L R
R' D F U' F2 R L
L' D' R' F B2 U' F2
L' D' R' B2 F U' F2
R' D' U' L D2 F' R
L' D' F R' B2 U' F'
R' D2 U' L D' F' R
L' F L R' U' L F'
L' F L R' U' F' L
L' F L' R' U' L' F'
R' F L' F U' F L2
L' F R' L U' L F'
L' F R' L U' F' L
L' F R' L' U' L' F'
L' F R' U' L F' L
L' F R' U' L2 D F'
L' F R' U' L2 D' F'
L' F R' U' L2 D2 F'
L' F R' U' L2 F' D
L' F R' U' L2 F' D'
L' F R' U' L2 F' D2
L' F R' U' F L2 F2
L' F R' U' F' L2 D
L' F R' U' F' L2 D'
L' F R' U' F' L2 D2
L' F R' D' B2 U' F'
L' F R' B U' L2 F'
L' F R' B U' F' L2
L' F R' B' U' L2 F'
L' F R' B' U' F' L2
L' F R' B2 U' L2 F'
L' F R' B2 U' F' L2
L' F D' R' B2 U' F'
F' D R' U' L F' R
F' D R' U' F' L R
F' D R' U' F' R L
F2 D R' U' L F' R
F2 D R' U' F' L R
F2 D R' U' F' R L
F D R' U' L F' R
F D R' U' F' L R
F D R' U' F' R L
R' F' L U' B' U B
R' F' L' F U' L2 F'
R' F' L' F U' F' L2
U F' L' R' F U' L2
U F' L' F R' U' L2
L' F' R' F2 U' F L2
D F' R' U' L F' R2
D F' R' U' F' L R2
D F' R' U' F' R2 L
U F' R' L' F U' L2
B' D' R' F' B L R'
B' D' R' F' B R' L
B' D' R' B L F' R'
B' D' R' B F' L R'
B' D' R' B F' R' L
B' D' B L R' F' B
B' D' B L R' B F'
B' D' B R' L F' B
B' D' B R' L B F'
B' D' B R' F' L B
