F2 L U F B U2
F2 L U B F U2
F2 L' R2 U' F' B'
F2 L' R2 U' B' F'
F2 L' U B U2 B2
D L' U' R2 F' B'
D L' U' R2 B' F'
F2 L' U' B' D2 F2
R2 L' F2 U' F B'
R2 L' F2 U' B' F
L' R2 F2 U' F B'
L' R2 F2 U' B' F
L' U' D R2 F' B'
L' U' D R2 B' F'
F2 R2 L' U' F' B'
F2 R2 L' U' B' F'
L' D U' R2 F' B'
L' D U' R2 B' F'
F2 U B U L U
L' F2 R2 U' F' B'
L' F2 R2 U' B' F'
L' F2 U B U2 B2
L' F2 U' B' D2 F2
L F2 R2 U' F' B
L F2 R2 U' B F'
L F2 U F' B U2
L F2 U B F' U2
F2 R2 L' U' B' F' D'
F2 R2 L' U' B' F' D2
F2 R2 L' D U' F' B'
F2 R2 L' D U' B' F'
F2 R2 L' D' U' F' B'
F2 R2 L' D' U' B' F'
F2 R2 L' D2 U' F' B'
F2 R2 L' D2 U' B' F'
F2 R2 U' F' U' L' U
F2 R2 D L' U' F' B'
F2 R2 D L' U' B' F'
F2 R2 D' L' U' F' B'
F2 R2 D' L' U' B' F'
F2 R2 D2 L' U' F' B'
F2 R2 D2 L' U' B' F'
R2 D L' U' F' R2 B'
R2 D L' U' F' B' R2
R2 D L' U' B' F' R2
F R2 F L' U' F2 B'
F R2 F L' U' B' F2
L' D R U' R F' B'
L' D R U' R B' F'
L' D R U' B' R F'
L D L2 U' R2 F' B'
L D L2 U' R2 B' F'
L' D U B U2 R2 B2
L' D U B U2 B2 R2
L' D U' R B' R F'
L' D U' R2 D F' B'
L' D U' R2 D B' F'
L' D U' R2 D' F' B'
L' D U' R2 D' B' F'
L' D U' R2 D2 F' B'
L' D U' R2 D2 B' F'
L' D U' R2 F' D B'
L' D U' R2 F' D' B'
L' D U' R2 F' D2 B'
L' D U' R2 F' B' D
L' D U' R2 F' B' D'
L' D U' R2 F' B' D2
L' D U' R2 B' D F'
L' D U' R2 B' D' F'
L' D U' R2 B' D2 F'
L' D U' R2 B' F' D
L' D U' R2 B' F' D'
L' D U' R2 B' F' D2
L' D U' F R2 F' B'
L' D U' F R2 B' F'
L' D U' F' R2 F' B'
L' D U' F' R2 B' F'
L' D U' F2 R2 F' B'
L' D U' F2 R2 B' F'
L' D U' B' R2 D2 F2
L D U F U2 R2 F'
L D U F B U2 R2
L D U B F U2 R2
L D U' R2 F' D2 B2
L D U' F2 R2 F' B
L D U' F2 R2 B F'
L' D F U' R2 F' B'
L' D F U' R2 B' F'
L' D F' U' R2 F' B'
L' D F' U' R2 B' F'
D' U L2 B U L U
L2 D F' R U' R F'
L' D F2 U' R2 F' B'
L' D F2 U' R2 B' F'
U2 D R U B R F'
L D F2 U' R2 F' B
L D F2 U' R2 B F'
U' D R2 F' U' L' U
F2 U D B U L U
F2 U D' B U L U
F2 U D2 B U L U
D' U B L2 U L' U
D2 U B U L B U
F2 U F B U L U
D U B U L U R2
F2 U F' B U L U
U D B U L U R2
F2 U F2 B U L U
F2 U B U L U D
F2 U B U L U D'
F2 U B U L U D2
F2 U B U L D U
F2 U B U L D' U
F2 U B U L D2 U
F2 U B U D L U
F2 U B U D' L U
F2 U B U D2 L U
F2 U B D U L U
F2 U B D' U L U
F2 U B D2 U L U
F2 U B F U L U
F2 U B F' U L U
F2 U B F2 U L U
L' D' U L2 F B U2
L' D' U L2 B F U2
L' D' U B L2 U2 B2
B U B' R' F2 L' U'
L' D' U' B' D2 R2 F2
L' D' U' B' D2 F2 R2
L D' U L2 B U2 B2
L D' U F L2 B U2
L D' U F B L2 U2
L D' U B L2 U2 B'
L D' U B F L2 U2
U D' L2 B U L U
D U' R2 F' U' L' U
U D' B L2 U L' U
B U' F R F B' U'
B U' F R B' F U'
B U' F B' R F U'
D U2 R U B R F'
B U' B' F R F U'
B U2 R B D L2 R2
B U2 R B D R2 L2
U D2 B U L B U
D F L' U' R2 F' B'
D F L' U' R2 B' F'
L' F R2 F U' F2 B'
L' F R2 F U' B' F2
F2 D L U F B U2
F2 D L U B F U2
B2 D L' R2 B' L' F
F2 D L' R2 U' F' B'
F2 D L' R2 U' B' F'
F2 D L' U B U2 B2
F2 D L' U' B' D2 F2
B2 D L' B' L' R2 F
B2 D L' B' L' F R2
B2 D L' B' R2 L' F
R F D' F L' U' B'
B2 D R2 L' B' L' F
F2 D R2 L' U' F' B'
F2 D R2 L' U' B' F'
L F B U' F B' U'
L F B U' B' F U'
F2 D U B U L U
D F' L' U' R2 F' B'
D F' L' U' R2 B' F'
R2 F' L' F' U' F B'
R2 F' L' F' U' B' F
F2 D' L U F B U2
F2 D' L U B F U2
F2 D' L' R2 U' F' B'
F2 D' L' R2 U' B' F'
F2 D' L' U B U2 B2
F2 D' L' U' B' D2 F2
L F' D F' R2 U' F'
F2 D' R2 L' U' F' B'
F2 D' R2 L' U' B' F'
F2 D' U B U L U
L2 F2 L R2 U' F' B'
L2 F2 L R2 U' B' F'
R' F2 L' R' U' F' B'
R' F2 L' R' U' B' F'
L2 F2 L U B U2 B2
L2 F2 L U' B' D2 F2
L2 F2 L' U F B U2
L2 F2 L' U B F U2
L F2 L R2 U' F' B
L F2 L R2 U' B F'
L F2 L U F' B U2
L F2 L U B F' U2
L' F2 L2 U F B U2
L' F2 L2 U B F U2
D F2 L' U' R2 F' B'
D F2 L' U' R2 B' F'
L F2 L' R2 U' F' B
L F2 L' R2 U' B F'
L F2 L' U F' B U2
L F2 L' U B F' U2
R F2 L' R U' F' B'
R F2 L' R U' B' F'
R' F2 R' L' U' F' B'
R' F2 R' L' U' B' F'
L F2 L2 R2 U' F' B
L F2 L2 R2 U' B F'
L F2 L2 U F' B U2
L F2 L2 U B F' U2
R F2 R L' U' F' B'
R F2 R L' U' B' F'
L' F2 R2 U' D F' B'
L' F2 R2 U' D B' F'
L' F2 R2 U' D' F' B'
L' F2 R2 U' D' B' F'
L' F2 R2 U' D2 F' B'
L' F2 R2 U' D2 B' F'
L' F2 R2 U' F' D B'
L' F2 R2 U' F' D' B'
L' F2 R2 U' F' D2 B'
L' F2 R2 U' F' B' D
L' F2 R2 U' F' B' D'
L' F2 R2 U' F' B' D2
L' F2 R2 U' B' D F'
L' F2 R2 U' B' D' F'
L' F2 R2 U' B' D2 F'
L' F2 R2 U' B' F' D
L' F2 R2 U' B' F' D'
L' F2 R2 U' B' F' D2
L' F2 R2 D U' F' B'
L' F2 R2 D U' B' F'
L' F2 R2 D' U' F' B'
L' F2 R2 D' U' B' F'
L' F2 R2 D2 U' F' B'
L' F2 R2 D2 U' B' F'
L2 F2 R2 L U' F' B'
L2 F2 R2 L U' B' F'
L' F2 U D B U2 B2
L' F2 U D' B U2 B2
L' F2 U D2 B U2 B2
L' F2 U F B U2 B2
L' F2 U F' B U2 B2
L' F2 U F2 B U2 B2
L' F2 U B U2 B2 D
L' F2 U B U2 B2 D'
L' F2 U B U2 B2 D2
L' F2 U B D2 F2 U2
L' F2 U B F U2 B2
L' F2 U B F' U2 B2
L' F2 U B F2 U2 B2
L F2 R2 L U' F' B
L F2 R2 L U' B F'
L F2 R2 L' U' F' B
L F2 R2 L' U' B F'
L F2 R2 L2 U' F' B
L F2 R2 L2 U' B F'
L F2 R2 U' D F' B
L F2 R2 U' D B F'
L F2 R2 U' D' F' B
L F2 R2 U' D' B F'
L F2 R2 U' D2 F' B
L F2 R2 U' D2 B F'
L F2 R2 U' F' D B
L F2 R2 U' F' D' B
L F2 R2 U' F' D2 B
L F2 R2 U' F' B D
L F2 R2 U' F' B D'
L F2 R2 U' F' B D2
L F2 R2 U' B D F'
L F2 R2 U' B D' F'
L F2 R2 U' B D2 F'
L F2 R2 U' B F' D
L F2 R2 U' B F' D'
L F2 R2 U' B F' D2
L F2 R2 D U' F' B
L F2 R2 D U' B F'
L F2 R2 D' U' F' B
L F2 R2 D' U' B F'
L' F2 U' R2 F' R2 B'
L' F2 U' R2 F' B' R2
L' F2 U' R2 B' F' R2
L F2 R2 D2 U' F' B
L F2 R2 D2 U' B F'
L' F2 U' D B' D2 F2
L' F2 U' D' B' D2 F2
L' F2 U' D2 B' D2 F2
L' F2 U' F B' D2 F2
L' F2 U' F' B' D2 F2
L' F2 U' F2 B' D2 F2
L' F2 U' B' U2 B2 U2
L' F2 U' B' D2 F2 D
L' F2 U' B' D2 F2 D'
L' F2 U' B' D2 F2 D2
L' F2 U' B' F D2 F2
L' F2 U' B' F' D2 F2
L' F2 U' B' F2 D2 F2
F2 D2 L U F B U2
F2 D2 L U B F U2
L F2 U D F' B U2
L F2 U D B F' U2
L' F2 U2 R2 U F' B'
L' F2 U2 R2 U B' F'
L F2 U D' F' B U2
L F2 U D' B F' U2
L F2 U D2 F' B U2
L F2 U D2 B F' U2
L F2 U F' D B U2
L F2 U F' D' B U2
L F2 U F' D2 B U2
L F2 U F' B U2 D
L F2 U F' B U2 D'
L F2 U F' B U2 D2
L F2 U F' B D U2
L F2 U F' B D' U2
L F2 U F' B D2 U2
R2 F2 U' F U R U'
L F2 U B D F' U2
L F2 U B D' F' U2
L F2 U B D2 F' U2
L F2 U B F' U2 D
L F2 U B F' U2 D'
L F2 U B F' U2 D2
L F2 U B F' D U2
L F2 U B F' D' U2
L F2 U B F' D2 U2
F2 D2 L' R2 U' F' B'
F2 D2 L' R2 U' B' F'
F2 D2 L' U B U2 B2
F2 D2 L' U' B' D2 F2
L F2 U' R2 F' B R2
L F2 U' R2 B F' R2
R2 F2 U2 R U F B
R2 F2 U2 R U B F
L' F2 D R2 U' F' B'
L' F2 D R2 U' B' F'
L' F2 D U B U2 B2
L' F2 D U' B' D2 F2
L F2 U2 R2 U F' B
L F2 U2 R2 U B F'
L' F2 D' R2 U' F' B'
L' F2 D' R2 U' B' F'
L' F2 D' U B U2 B2
R F2 U2 R U F' B
R F2 U2 R U B F'
L' F2 D' U' B' D2 F2
L F2 D R2 U' F' B
L F2 D R2 U' B F'
L F2 D U F' B U2
L F2 D U B F' U2
L' F2 D2 R2 U' F' B'
L' F2 D2 R2 U' B' F'
L' F2 D2 U B U2 B2
L' F2 D2 U' B' D2 F2
L F2 D' R2 U' F' B
L F2 D' R2 U' B F'
L F2 D' U F' B U2
L F2 D' U B F' U2
F2 D2 R2 L' U' F' B'
F2 D2 R2 L' U' B' F'
L F2 D2 R2 U' F' B
L F2 D2 R2 U' B F'
L F2 D2 U F' B U2
L F2 D2 U B F' U2
R F2 D2 L' U' F B'
R F2 D2 L' U' B' F
F2 D2 U B U L U
U B L' D F2 U2 R2
U B L' D' L2 U2 B2
U B L2 U' F2 R U'
L' B U' F2 B' U' B'
L' B U' B' F2 U' B'
U B U L U D R2
U B U L U2 F2 U'
U B U L D U R2
U B U L D2 B2 U
U B U D L U R2
U B U D2 L B2 U
U B U' F2 U2 L U
U B D U L U R2
U B D' L2 U L' U
U B D2 U L B2 U
L B F U' F B' U'
L B F U' B' F U'
B F U' F R B' U'
B F U' F B' R U'
B F U' B' F R U'
F B U' F R B' U'
F B U' F B' R U'
F B U' B' F R U'
L' B2 D L2 F B R2
L' B2 D L2 B R2 F
L' B2 D L2 B F R2
L B2 D L2 R2 F B'
L B2 D L2 R2 B' F
L B2 D L2 F R2 B'
L B2 D L2 F B' R2
L B2 D L2 B' R2 F
L B2 D L2 B' F R2
L B2 D R2 L2 F B'
L B2 D R2 L2 B' F
