B' F U' F2 B2
B' F U' B2 F2
F' B D L2 R2
F' B D R2 L2
F B' U' F2 B2
F B' U' B2 F2
B F' D L2 R2
B F' D R2 L2
F' B D R2 L2 D
F' B D R2 L2 D'
F' B D R2 L2 D2
U B F' D L2 R2
U B F' D R2 L2
B' F D' L2 R2 U'
B' F D' R2 L2 U'
B F' L D L2 R2
B F' L D R2 L2
F B' L U' F2 B2
F B' L U' B2 F2
B F' L' D L2 R2
B F' L' D R2 L2
F B' L' U' F2 B2
F B' L' U' B2 F2
B F' L2 D L2 R2
B F' L2 D R2 L2
F B' L2 U' F2 B2
F B' L2 U' B2 F2
B F' R D L2 R2
B F' R D R2 L2
F B' R U' F2 B2
F B' R U' B2 F2
B F' R' D L2 R2
B F' R' D R2 L2
F B' R' U' F2 B2
F B' R' U' B2 F2
U' B' F U' F2 B2
U' B' F U' B2 F2
B F' R2 D L2 R2
B F' R2 D R2 L2
F B' R2 U' F2 B2
F B' R2 U' B2 F2
D2 B' F U' F2 B2
D2 B' F U' B2 F2
D' B' F U' F2 B2
D' B' F U' B2 F2
U2 B' F U' F2 B2
U2 B' F U' B2 F2
L2 B' F U F2 B2
L2 B' F U B2 F2
B F' U F2 B2 U'
B F' U B2 F2 U'
D B' F U' F2 B2
D B' F U' B2 F2
F B' U' F2 B2 D
F B' U' F2 B2 D'
F B' U' F2 B2 D2
F B' U' B2 F2 D
F B' U' B2 F2 D'
F B' U' B2 F2 D2
U B' F U' F2 B2
U B' F U' B2 F2
B F' D L2 R2 D
B F' D L2 R2 D'
B F' D L2 R2 D2
B F' D R2 L2 D
B F' D R2 L2 D'
B F' D R2 L2 D2
F B' D' L2 R2 U'
F B' D' R2 L2 U'
F L U B L F2 R
F L U' F' L' F' B
F L U' F' L' B F'
F L U' F' B L' F'
B' L U' B2 D F' R
F L U' B F' L' F'
B L D L F' L R
B L D L F' R L
B L D L2 F' R D
B L D L2 F' R D'
B L D L2 F' R D2
B L D L2 F' D R
B L D L2 F' D' R
B L D L2 F' D2 R
B L D F' L2 R D
B L D F' L2 R D'
B L D F' L2 R D2
B L D F' L2 D R
B L D F' L2 D' R
B L D F' L2 D2 R
B L D F' R L2 D
B L D F' R L2 D'
B L D F' R L2 D2
B' L B2 D L2 F' R
B' L B2 D F' L2 R
B' L B2 D F' R L2
B' L' U' F R F2 B2
B' L' U' F R B2 F2
B' L' U' F B2 R F2
B' L' U' B2 F R F2
B L' D L2 D F' R
F' L' D' B' L B2 R'
B' L' F2 U' F R B2
B' L' F2 U' F B2 R
B' L' F2 U' B2 F R
B' L2 U2 B' U F' B'
B' L2 U2 B' U B' F'
F L2 U2 F U F B
F L2 U2 F U B F
B L2 D L2 F' D R2
F L2 D' L2 B' U' B2
D2 L2 F B' U F2 B2
D2 L2 F B' U B2 F2
D' L2 F B' U F2 B2
D' L2 F B' U B2 F2
U' L2 F B' U F2 B2
U' L2 F B' U B2 F2
U2 L2 F B' U F2 B2
U2 L2 F B' U B2 F2
D L2 F B' U F2 B2
D L2 F B' U B2 F2
U L2 F B' U F2 B2
U L2 F B' U B2 F2
D2 L2 F' B D' L2 R2
D2 L2 F' B D' R2 L2
D' L2 F' B D' L2 R2
D' L2 F' B D' R2 L2
U' L2 F' B D' L2 R2
U' L2 F' B D' R2 L2
U2 L2 F' B D' L2 R2
U2 L2 F' B D' R2 L2
D L2 F' B D' L2 R2
D L2 F' B D' R2 L2
U L2 F' B D' L2 R2
U L2 F' B D' R2 L2
D2 L2 B F' D' L2 R2
D2 L2 B F' D' R2 L2
D' L2 B F' D' L2 R2
D' L2 B F' D' R2 L2
U' L2 B F' D' L2 R2
U' L2 B F' D' R2 L2
U2 L2 B F' D' L2 R2
U2 L2 B F' D' R2 L2
D L2 B F' D' L2 R2
D L2 B F' D' R2 L2
U L2 B F' D' L2 R2
U L2 B F' D' R2 L2
D2 L2 B' F U F2 B2
D2 L2 B' F U B2 F2
D' L2 B' F U F2 B2
D' L2 B' F U B2 F2
U' L2 B' F U F2 B2
U' L2 B' F U B2 F2
U2 L2 B' F U F2 B2
U2 L2 B' F U B2 F2
D L2 B' F U F2 B2
D L2 B' F U B2 F2
U L2 B' F U F2 B2
U L2 B' F U B2 F2
L U D F' B L R
L U D F' B R L
L U D B L F' R
L U D B F' L R
L U D B F' R L
L U D' F' B L R'
L U D' F' B R' L
L U D' B L F' R'
L U D' B F' L R'
L U D' B F' R' L
R' U F R B' U' F'
R' U F B' R U' F'
L2 U F B' U F2 B2
L2 U F B' U B2 F2
L2 U F' B D' L2 R2
L2 U F' B D' R2 L2
L U F' D' B L R'
L U F' D' B R' L
L2 U B F' D' L2 R2
L2 U B F' D' R2 L2
L U B D L F' R
L U B D F' L R
L U B D F' R L
R' U B' F R U' F'
L2 U B' F U F2 B2
L2 U B' F U B2 F2
B' R F R' U' F' B2
B' R F R' U' B2 F'
F R B' R' U' F2 B
F R B' R' U' B F2
L U' D F' L' B R
L U' D F' B L' R
L U' D F' B R L'
L U' D B F' L' R
L U' D B F' R L'
L U' D' F' L' B R'
L U' D' F' B L' R'
L U' D' F' B R' L'
L U' D' B F' L' R'
L U' D' B F' R' L'
L2 U' F B' U F2 B2
L2 U' F B' U B2 F2
L2 U' F' B D' L2 R2
L2 U' F' B D' R2 L2
L U' F' D' L' B R'
L U' F' D' B L' R'
L U' F' D' B R' L'
L2 U' B F' D' L2 R2
L2 U' B F' D' R2 L2
L U' B D F' L' R
L U' B D F' R L'
L2 U' B' F U F2 B2
L2 U' B' F U B2 F2
B' R' D' R2 F L' U'
B' R' D' F L' R2 U'
B' R' D' F R2 L' U'
B' R' F R U' F' B2
B' R' F R U' B2 F'
F R' B' R U' F2 B
F R' B' R U' B F2
L2 U2 F B' U F2 B2
L2 U2 F B' U B2 F2
L2 U2 F' B D' L2 R2
L2 U2 F' B D' R2 L2
L2 U2 B F' D' L2 R2
L2 U2 B F' D' R2 L2
F' R2 D R2 B D L2
L2 U2 B' F U F2 B2
L2 U2 B' F U B2 F2
B' R2 D' R2 F U' F2
B' R2 D' F R2 U' F'
B' R2 F R2 U' F' B2
B' R2 F R2 U' B2 F'
B' R2 F U B U2 B
B' R2 F D' R2 U' F'
B R2 F' D L2 R2 F'
B R2 F' D R2 L2 F'
B R2 F' D R2 F' L2
F' R2 B D L2 R2 B
F' R2 B D R2 L2 B
F' R2 B D R2 B L2
F R2 B' R2 U' F2 B
F R2 B' R2 U' B F2
F R2 B' U F' U2 F'
L D U F' B L R
L D U F' B R L
L D U B L F' R
L D U B F' L R
L D U B F' R L
L D U' F' L' B R
L D U' F' B L' R
L D U' F' B R L'
L D U' B F' L' R
L D U' B F' R L'
L2 D F B' U F2 B2
L2 D F B' U B2 F2
L2 D F' B D' L2 R2
L2 D F' B D' R2 L2
L2 D B F' D' L2 R2
L2 D B F' D' R2 L2
L2 D B' F U F2 B2
L2 D B' F U B2 F2
F' U D B' U' R2 B2
F' U D B' U' B2 R2
D' U F B' U' F2 B2
D' U F B' U' B2 F2
U' D F B' U' F2 B2
U' D F B' U' B2 F2
D2 U F B' U' F2 B2
D2 U F B' U' B2 F2
B U D F U' L2 F2
B U D F U' F2 L2
U2 D F B' U' F2 B2
U2 D F B' U' B2 F2
D' U F' B D L2 R2
D' U F' B D R2 L2
U' D F' B D L2 R2
U' D F' B D R2 L2
D U F B' U' F2 B2
D U F B' U' B2 F2
D2 U F' B D L2 R2
D2 U F' B D R2 L2
U D F B' U' F2 B2
U D F B' U' B2 F2
U2 D F' B D L2 R2
U2 D F' B D R2 L2
D U F' B D L2 R2
D U F' B D R2 L2
U D F' B D L2 R2
U D F' B D R2 L2
B U F L B2 U' F2
B U F L' B2 U' F2
B2 U F B U' F2 B2
B2 U F B U' B2 F2
B U F L2 B2 U' F2
F2 U F B D L2 R2
F2 U F B D R2 L2
D' U B F' D L2 R2
D' U B F' D R2 L2
U' D B F' D L2 R2
U' D B F' D R2 L2
D2 U B F' D L2 R2
D2 U B F' D R2 L2
B U F U' F2 D L2
B U F B2 L U' F2
B U F B2 L' U' F2
B U F B2 L2 U' F2
B U F B2 U' F2 D
B U F B2 U' F2 D'
B U F B2 U' F2 D2
B U F B2 D' L2 U'
U2 D B F' D L2 R2
U2 D B F' D R2 L2
B2 U F' B' D L2 R2
B2 U F' B' D R2 L2
F2 U F' B' U' F2 B2
F2 U F' B' U' B2 F2
D' U B' F U' F2 B2
D' U B' F U' B2 F2
U' D B' F U' F2 B2
U' D B' F U' B2 F2
D2 U B' F U' F2 B2
D2 U B' F U' B2 F2
D U B F' D L2 R2
D U B F' D R2 L2
F' U F2 U' B D L2
F' U F2 D B' U' B2
F' U F2 D' B' U' B2
U D B F' D L2 R2
U D B F' D R2 L2
F' U F2 D2 B' U' B2
U2 D B' F U' F2 B2
U2 D B' F U' B2 F2
F' U F2 B' R U' B2
F' U F2 B' R' U' B2
F' U F2 B' R2 U' B2
F' U F2 B' U' B2 D
F' U F2 B' U' B2 D'
F' U F2 B' U' B2 D2
F' U F2 B' D' R2 U'
D U B' F U' F2 B2
D U B' F U' B2 F2
U D B' F U' F2 B2
U D B' F U' B2 F2
B2 U B F U' F2 B2
B2 U B F U' B2 F2
F2 U B F D L2 R2
F2 U B F D R2 L2
F' U B' R F2 U' B2
F' U B' R' F2 U' B2
F' U B' R2 F2 U' B2
F' U B' U' B2 D R2
F' U B' F2 R U' B2
F' U B' F2 R' U' B2
F' U B' F2 R2 U' B2
F' U B' F2 U' B2 D
F' U B' F2 U' B2 D'
F' U B' F2 U' B2 D2
F' U B' F2 D' R2 U'
B2 U B' F' D L2 R2
B2 U B' F' D R2 L2
F2 U B' F' U' F2 B2
F2 U B' F' U' B2 F2
L D' U F' B L R'
L D' U F' B R' L
L D' U B L F' R'
B U B2 U' F' D R2
L D' U B F' L R'
L D' U B F' R' L
B U B2 D F U' F2
B U B2 D' F U' F2
B U B2 D2 F U' F2
B U B2 F L U' F2
B U B2 F L' U' F2
B U B2 F L2 U' F2
B U B2 F U' F2 D
B U B2 F U' F2 D'
B U B2 F U' F2 D2
B U B2 F D' L2 U'
L D' U' F' L' B R'
L D' U' F' B L' R'
L D' U' F' B R' L'
L D' U' B F' L' R'
L D' U' B F' R' L'
L2 D' F B' U F2 B2
L2 D' F B' U B2 F2
L2 D' F' B D' L2 R2
L2 D' F' B D' R2 L2
D' U' F B' U' F2 B2
U' D' F B' U' F2 B2
D' U' F B' U' B2 F2
U' D' F B' U' B2 F2
D2 U' F B' U' F2 B2
D2 U' F B' U' B2 F2
U2 D' F B' U' F2 B2
U2 D' F B' U' B2 F2
U' D' F' B D L2 R2
U' D' F' B D R2 L2
D' U' F' B D L2 R2
D' U' F' B D R2 L2
D2 U' F' B D L2 R2
D2 U' F' B D R2 L2
D U' F B' U' F2 B2
D U' F B' U' B2 F2
L2 D' B F' D' L2 R2
L2 D' B F' D' R2 L2
U D' F B' U' F2 B2
U D' F B' U' B2 F2
U2 D' F' B D L2 R2
U2 D' F' B D R2 L2
D U' F' B D L2 R2
D U' F' B D R2 L2
L2 D' B' F U F2 B2
L2 D' B' F U B2 F2
U D' F' B D L2 R2
U D' F' B D R2 L2
U' D' B F' D L2 R2
U' D' B F' D R2 L2
D' U' B F' D L2 R2
D' U' B F' D R2 L2
D2 U' B F' D L2 R2
D2 U' B F' D R2 L2
B' U' D' F' D R2 B2
B' U' D' F' D B2 R2
U2 D' B F' D L2 R2
U2 D' B F' D R2 L2
U' D' B' F U' F2 B2
U' D' B' F U' B2 F2
D' U' B' F U' F2 B2
D' U' B' F U' B2 F2
B' U' D2 F' D R2 B
D2 U' B' F U' F2 B2
D2 U' B' F U' B2 F2
D U' B F' D L2 R2
D U' B F' D R2 L2
U D' B F' D L2 R2
U D' B F' D R2 L2
U2 D' B' F U' F2 B2
U2 D' B' F U' B2 F2
F U' D' B D L2 F2
F U' D' B D F2 L2
D U' B' F U' F2 B2
D U' B' F U' B2 F2
B2 U' F B U' F2 B2
B2 U' F B U' B2 F2
F2 U' F B D L2 R2
F2 U' F B D R2 L2
B' U' F' R B2 D R2
U D' B' F U' F2 B2
U D' B' F U' B2 F2
B' U' F' R' B2 D R2
B' U' F' R2 B2 D R2
B' U' F' U F2 U' B2
B' U' F' D R2 D' B2
B' U' F' B D B R2
B' U' F' B' D R2 B'
B' U' F' B' D B' R2
B' U' F' B2 R D R2
B' U' F' B2 R' D R2
B' U' F' B2 R2 D R2
B' U' F' B2 U F2 U'
B' U' F' B2 D R2 D
B' U' F' B2 D R2 D'
B' U' F' B2 D R2 D2
B2 U' F' B' D L2 R2
B2 U' F' B' D R2 L2
F2 U' F' B' U' F2 B2
F2 U' F' B' U' B2 F2
F U' F B D F L2
F U' F' B D L2 F'
F U' F' B D F' L2
B' U' B F' D B R2
F U' F2 U B' U' B2
B2 U' B F U' F2 B2
B2 U' B F U' B2 F2
F U' F2 D B D L2
F2 U' B F D L2 R2
F2 U' B F D R2 L2
F U' F2 D' B D L2
F U' F2 D2 B D L2
F U' F2 B L D L2
F U' F2 B L' D L2
F U' F2 B L2 D L2
F U' F2 B U B2 U'
F U' F2 B D L2 D
F U' F2 B D L2 D'
F U' F2 B D L2 D2
F U' B L F2 D L2
F U' B L' F2 D L2
F U' B L2 F2 D L2
B' U' B' F' D R2 B'
B' U' B' F' D B' R2
F U' B U B2 U' F2
F U' B D L2 D' F2
B2 U' B' F' D L2 R2
B2 U' B' F' D R2 L2
F2 U' B' F' U' F2 B2
F2 U' B' F' U' B2 F2
F U' B F D F L2
F U' B F' D L2 F'
B' U' B2 U F U' F2
F U' B F' D F' L2
F U' B F2 L D L2
F U' B F2 L' D L2
F U' B F2 L2 D L2
F U' B F2 U B2 U'
F U' B F2 D L2 D
F U' B F2 D L2 D'
F U' B F2 D L2 D2
B' U' B2 D F' D R2
B' U' B2 D' F' D R2
B' U' B2 D2 F' D R2
B' U' B2 F' R D R2
B' U' B2 F' R' D R2
B' U' B2 F' R2 D R2
B' U' B2 F' U F2 U'
B' U' B2 F' D R2 D
B' U' B2 F' D R2 D'
B' U' B2 F' D R2 D2
U' D2 F B' U' F2 B2
U' D2 F B' U' B2 F2
D' U2 F B' U' F2 B2
D' U2 F B' U' B2 F2
F U2 L U F2 B L
F U2 L U B L F2
F U2 L U B F2 L
D2 U2 F B' U' F2 B2
D2 U2 F B' U' B2 F2
U2 D2 F B' U' F2 B2
U2 D2 F B' U' B2 F2
L2 D2 F B' U F2 B2
L2 D2 F B' U B2 F2
U' D2 F' B D L2 R2
U' D2 F' B D R2 L2
D' U2 F' B D L2 R2
D' U2 F' B D R2 L2
D2 U2 F' B D L2 R2
D2 U2 F' B D R2 L2
B' U2 L2 B' U F' B'
B' U2 L2 B' U B' F'
D U2 F B' U' F2 B2
D U2 F B' U' B2 F2
U2 D2 F' B D L2 R2
U2 D2 F' B D R2 L2
U D2 F B' U' F2 B2
U D2 F B' U' B2 F2
L2 D2 F' B D' L2 R2
L2 D2 F' B D' R2 L2
D U2 F' B D L2 R2
D U2 F' B D R2 L2
F U2 L2 F U F B
F U2 L2 F U B F
U D2 F' B D L2 R2
U D2 F' B D R2 L2
U' D2 B F' D L2 R2
U' D2 B F' D R2 L2
D' U2 B F' D L2 R2
D' U2 B F' D R2 L2
D2 U2 B F' D L2 R2
D2 U2 B F' D R2 L2
U2 D2 B F' D L2 R2
U2 D2 B F' D R2 L2
L2 D2 B F' D' L2 R2
L2 D2 B F' D' R2 L2
U' D2 B' F U' F2 B2
U' D2 B' F U' B2 F2
D' U2 B' F U' F2 B2
D' U2 B' F U' B2 F2
D2 U2 B' F U' F2 B2
D2 U2 B' F U' B2 F2
D U2 B F' D L2 R2
D U2 B F' D R2 L2
B' U2 D L2 B' U F'
U2 D2 B' F U' F2 B2
U2 D2 B' F U' B2 F2
L2 D2 B' F U F2 B2
L2 D2 B' F U B2 F2
U D2 B F' D L2 R2
U D2 B F' D R2 L2
D U2 B' F U' F2 B2
D U2 B' F U' B2 F2
U D2 B' F U' F2 B2
U D2 B' F U' B2 F2
B2 U2 F B U' F2 B2
B2 U2 F B U' B2 F2
F2 U2 F B D L2 R2
F2 U2 F B D R2 L2
B2 U2 F' B' D L2 R2
B2 U2 F' B' D R2 L2
R' F R B' U' F' B2
R' F R B' U' B2 F'
F2 U2 F' B' U' F2 B2
F2 U2 F' B' U' B2 F2
B U2 F' D L2 R2 B'
B U2 F' D L2 B' R2
B U2 F' D R2 L2 B'
F' U2 B D L2 R2 F
F' U2 B D L2 F R2
F' U2 B D R2 L2 F
B2 U2 B F U' F2 B2
B2 U2 B F U' B2 F2
F2 U2 B F D L2 R2
F2 U2 B F D R2 L2
B2 U2 B' F' D L2 R2
B2 U2 B' F' D R2 L2
R F R' B' U' F' B2
R F R' B' U' B2 F'
F2 U2 B' F' U' F2 B2
F2 U2 B' F' U' B2 F2
L2 F U F2 B D' R2
L2 F U B F2 D' R2
U' F U' F2 B D L2
U' F U' B F2 D L2
D' F U' F2 B D L2
D2 F U' F2 B D L2
D' F U' B F2 D L2
D2 F U' B F2 D L2
U2 F U' F2 B D L2
U2 F U' B F2 D L2
D F U' F2 B D L2
B D L D L F' R
D F U' B F2 D L2
B D L D F' L R
B D L D F' R L
U F U' F2 B D L2
U F U' B F2 D L2
R2 F D R2 B' U' F'
L2 F D B' R2 U B2
U' F D' B' L2 U' B2
D' F D' B' L2 U' B2
D2 F D' B' L2 U' B2
B D L2 U' B' U F'
B D L2 F' U' B' U
U2 F D' B' L2 U' B2
D F D' B' L2 U' B2
U' F B' L U' F2 B2
U' F B' L U' B2 F2
U F D' B' L2 U' B2
U' F B' L' U' F2 B2
U' F B' L' U' B2 F2
U' F B' L2 U' F2 B2
U' F B' L2 U' B2 F2
D' F B' L U' F2 B2
D' F B' L U' B2 F2
D2 F B' L U' F2 B2
D2 F B' L U' B2 F2
U' F B' R U' F2 B2
U' F B' R U' B2 F2
D' F B' L' U' F2 B2
D' F B' L' U' B2 F2
D2 F B' L' U' F2 B2
D2 F B' L' U' B2 F2
U' F B' R' U' F2 B2
U' F B' R' U' B2 F2
D' F B' L2 U' F2 B2
D' F B' L2 U' B2 F2
R' F B' R U' F' B
R' F B' R U' B F'
U' F B' R2 U' F2 B2
U' F B' R2 U' B2 F2
D2 F B' L2 U' F2 B2
D2 F B' L2 U' B2 F2
D' F B' R U' F2 B2
D' F B' R U' B2 F2
D2 F B' R U' F2 B2
D2 F B' R U' B2 F2
D' F B' R' U' F2 B2
D' F B' R' U' B2 F2
D2 F B' R' U' F2 B2
D2 F B' R' U' B2 F2
U' F B' U' F2 B2 D
U' F B' U' F2 B2 D'
U' F B' U' F2 B2 D2
U' F B' U' B2 F2 D
U' F B' U' B2 F2 D'
U' F B' U' B2 F2 D2
D' F B' R2 U' F2 B2
D' F B' R2 U' B2 F2
D2 F B' R2 U' F2 B2
D2 F B' R2 U' B2 F2
U' F B' D' L2 R2 U'
U' F B' D' R2 L2 U'
D' F B' U' F2 B2 D
D' F B' U' F2 B2 D'
D' F B' U' F2 B2 D2
D' F B' U' B2 F2 D
D' F B' U' B2 F2 D'
D' F B' U' B2 F2 D2
D2 F B' U' F2 B2 D
D2 F B' U' F2 B2 D'
D2 F B' U' F2 B2 D2
D2 F B' U' B2 F2 D
D2 F B' U' B2 F2 D'
D2 F B' U' B2 F2 D2
D' F B' D' L2 R2 U'
D2 F B' D' L2 R2 U'
D' F B' D' R2 L2 U'
D2 F B' D' R2 L2 U'
U2 F B' L U' F2 B2
U2 F B' L U' B2 F2
L2 F B' L U F2 B2
L2 F B' L U B2 F2
U2 F B' L' U' F2 B2
U2 F B' L' U' B2 F2
L2 F B' L' U F2 B2
L2 F B' L' U B2 F2
U2 F B' L2 U' F2 B2
U2 F B' L2 U' B2 F2
L2 F B' L2 U F2 B2
L2 F B' L2 U B2 F2
U2 F B' R U' F2 B2
U2 F B' R U' B2 F2
L2 F B' R U F2 B2
L2 F B' R U B2 F2
U2 F B' R' U' F2 B2
U2 F B' R' U' B2 F2
L2 F B' R' U F2 B2
L2 F B' R' U B2 F2
U2 F B' R2 U' F2 B2
U2 F B' R2 U' B2 F2
L2 F B' R2 U F2 B2
L2 F B' R2 U B2 F2
L2 F B' U F2 B2 D
L2 F B' U F2 B2 D'
L2 F B' U F2 B2 D2
L2 F B' U B2 F2 D
L2 F B' U B2 F2 D'
L2 F B' U B2 F2 D2
U2 F B' U' F2 B2 D
U2 F B' U' F2 B2 D'
U2 F B' U' F2 B2 D2
U2 F B' U' B2 F2 D
U2 F B' U' B2 F2 D'
U2 F B' U' B2 F2 D2
D F B' L U' F2 B2
D F B' L U' B2 F2
L2 F B' D L2 R2 U
L2 F B' D R2 L2 U
D F B' L' U' F2 B2
D F B' L' U' B2 F2
U2 F B' D' L2 R2 U'
U2 F B' D' R2 L2 U'
D F B' L2 U' F2 B2
D F B' L2 U' B2 F2
R2 F B' U F2 B2 U2
D F B' R U' F2 B2
D F B' R U' B2 F2
R2 F B' U B2 F2 U2
F' D U B' U' R2 B2
F' D U B' U' B2 R2
R2 F B' U' D2 F2 B2
R2 F B' U' D2 B2 F2
D F B' R' U' F2 B2
D F B' R' U' B2 F2
D F B' R2 U' F2 B2
D F B' R2 U' B2 F2
R2 F B' D L2 R2 U'
R2 F B' D R2 L2 U'
U F B' L U' F2 B2
U F B' L U' B2 F2
D F B' U' F2 B2 D
D F B' U' F2 B2 D'
D F B' U' F2 B2 D2
R2 F B' D2 U' F2 B2
R2 F B' D2 U' B2 F2
U F B' L' U' F2 B2
U F B' L' U' B2 F2
D F B' U' B2 F2 D
D F B' U' B2 F2 D'
D F B' U' B2 F2 D2
U F B' L2 U' F2 B2
U F B' L2 U' B2 F2
U F B' R U' F2 B2
U F B' R U' B2 F2
D F B' D' L2 R2 U'
D F B' D' R2 L2 U'
U F B' R' U' F2 B2
U F B' R' U' B2 F2
U F B' R2 U' F2 B2
U F B' R2 U' B2 F2
U F B' U' F2 B2 D
U F B' U' F2 B2 D'
U F B' U' F2 B2 D2
U F B' U' B2 F2 D
U F B' U' B2 F2 D'
U F B' U' B2 F2 D2
R F B' R' U' F' B
R F B' R' U' B F'
B D U F U' L2 F2
B D U F U' F2 L2
B' D U2 L2 B' U F'
U F B' D' L2 R2 U'
U F B' D' R2 L2 U'
B' D F U' F2 D' B2
B' D F U2 L2 U F2
B' D F D' L2 U' B2
L2 F' L' D' L2 B R'
L2 F' L' D' B L2 R'
L2 F' L' D' B R' L2
B2 D F B U' F2 B2
B2 D F B U' B2 F2
F2 D F B D L2 R2
F2 D F B D R2 L2
B D F L2 F2 D R2
B2 D F' B' D L2 R2
B2 D F' B' D R2 L2
B D F' L D L R2
B D F' L D R2 L
B D F' L' D L' R2
B D F' L' D R2 L'
F2 D F' B' U' F2 B2
F2 D F' B' U' B2 F2
B D F' L2 R D R2
B D F' L2 R' D R2
B D F' L2 R2 D R2
B D F' L2 U F2 U'
B D F' L2 D R2 D
B D F' L2 D R2 D'
B D F' L2 D R2 D2
B D F' R L2 D R2
B D F' R' L2 D R2
B D F' R2 L2 D R2
B D F' U F2 U' L2
B D F' D R2 D' L2
F' D B L R2 D L2
F' D B L' R2 D L2
F' D B L2 R2 D L2
F' D B R D L2 R
F' D B R D R L2
F' D B R' D L2 R'
F' D B R' D R' L2
F' D B R2 L D L2
F' D B R2 L' D L2
F' D B R2 L2 D L2
F' D B R2 U B2 U'
F' D B R2 D L2 D
F' D B R2 D L2 D'
F' D B R2 D L2 D2
F' D B U B2 U' R2
F' D B D L2 D' R2
B2 D B F U' F2 B2
B2 D B F U' B2 F2
F2 D B F D L2 R2
F2 D B F D R2 L2
F' D B' R2 B2 D L2
U' F' U F2 B' U' B2
U' F' U B' F2 U' B2
D2 F' U F2 B' U' B2
D' F' U F2 B' U' B2
B2 D B' F' D L2 R2
B2 D B' F' D R2 L2
D2 F' U B' F2 U' B2
D' F' U B' F2 U' B2
F2 D B' F' U' F2 B2
F2 D B' F' U' B2 F2
U2 F' U F2 B' U' B2
U2 F' U B' F2 U' B2
F D B' U' B2 D' F2
F D B' U2 R2 U B2
F D B' D' R2 U' F2
D F' U F2 B' U' B2
D F' U B' F2 U' B2
L2 F' U' F2 B' U B2
U F' U F2 B' U' B2
L2 F' U' B' F2 U B2
U F' U B' F2 U' B2
U' F' D B R2 D L2
D2 F' D B R2 D L2
D' F' D B R2 D L2
U2 F' D B R2 D L2
D F' D B R2 D L2
L2 F' D' B L2 D' R2
F D' L2 U2 F U B
U F' D B R2 D L2
U' F' B L D L2 R2
U' F' B L D R2 L2
U' F' B L' D L2 R2
U' F' B L' D R2 L2
U' F' B L2 D L2 R2
U' F' B L2 D R2 L2
U' F' B R D L2 R2
U' F' B R D R2 L2
D2 F' B L D L2 R2
D2 F' B L D R2 L2
D' F' B L D L2 R2
D' F' B L D R2 L2
U' F' B R' D L2 R2
U' F' B R' D R2 L2
D2 F' B L' D L2 R2
D2 F' B L' D R2 L2
D' F' B L' D L2 R2
D' F' B L' D R2 L2
U' F' B R2 D L2 R2
U' F' B R2 D R2 L2
D2 F' B L2 D L2 R2
D2 F' B L2 D R2 L2
D' F' B L2 D L2 R2
D' F' B L2 D R2 L2
D2 F' B R D L2 R2
D2 F' B R D R2 L2
U' F' B U F2 B2 U'
U' F' B U B2 F2 U'
D' F' B R D L2 R2
D' F' B R D R2 L2
