F' U' B L F
F' L U' B L F
F' L' U' B L F
F' L2 U' B L F
B U L F' U' L'
B U F' L U' L2
F' U' L F B L
F' U' L B F L
F' U' D B L F
F' U' D' B L F
F' U' D2 B L F
F' U' F B L F
F' U' F' B L F
F' U' F2 B L F
F' U' B L D F
F' U' B L D' F
F' U' B L D2 F
F' U' B L F D
F' U' B L F D'
F' U' B L F D2
F' U' B D L F
F' U' B D' L F
F' U' B D2 L F
F' U' B F L F
F' U' B F' L F
F' U' B F2 L F
F' D U' B L F
U2 F' L' B' U' B2
L' F' U' B L F
D2 F' U' B L F
D' F' U' B L F
L2 F' U' B L F
L F' U' B L F
D F' U' B L F
F' D' U' B L F
F' D2 U' B L F
U' B L F D R2
D' L' F' U' B L F
D2 L' F' U' B L F
D L' F' U' B L F
U2 L' F' B' L' U' B2
F L' F2 U' B L F
U2 L' B' F' L' U' B2
B L2 U L' F' U' L'
F' L2 U' L F B L
F' L2 U' L B F L
F' L2 U' D B L F
F' L2 U' D' B L F
F' L2 U' D2 B L F
F' L2 U' F B L F
F' L2 U' F' B L F
F' L2 U' F2 B L F
F' L2 U' B L D F
F' L2 U' B L D' F
F' L2 U' B L D2 F
F' L2 U' B L F D
F' L2 U' B L F D'
F' L2 U' B L F D2
F' L2 U' B D L F
F' L2 U' B D' L F
F' L2 U' B D2 L F
F' L2 U' B F L F
F' L2 U' B F' L F
F' L2 U' B F2 L F
F' L2 D U' B L F
F' L2 D' U' B L F
F' L2 D2 U' B L F
D2 L2 F' U' B L F
D' L2 F' U' B L F
D L2 F' U' B L F
F L2 F2 U' B L F
F2 L2 B' R' F' U B2
B R L B U' B' R'
F' R D B L R' U'
F' R D B R' L U'
F' R D2 B L U' B'
F' R B L R' U' B
F' R B R' L U' B
F' R B D2 L U' B'
L' U' B L F D R2
L2 U' B L F D R2
L U' B L F D R2
U R' D' F' L' R B
U R' D' F' R L' B
U R' D' F' R B L'
L' U2 F' L' B' U' B2
L2 U2 F' L' B' U' B2
L U2 F' L' B' U' B2
B U L D F' U' L'
B U L D' F' U' L'
B U L D2 F' U' L'
B U L F' U' L' D
B U L F' U' L' D'
B U L F' U' L' D2
B U L F' U' D L'
B U L F' U' D' L'
B U L F' U' D2 L'
B U L F' D U' L'
B U L F' D' U' L'
B U L F' D2 U' L'
B U L F' B U' L'
B U L F' B' U' L'
B U L F' B2 U' L'
B U L B F' U' L'
B U L B' F' U' L'
B U L B2 F' U' L'
B U L' F' L2 U' L
L' D F' U' B L F
L2 D F' U' B L F
L D F' U' B L F
R D B L R' F' U'
R D B R' L F' U'
R D B R' F' L U'
B U D L F' U' L'
B U D F' L U' L2
U2 D F' L' B' U' B2
B U D' L F' U' L'
B U D' F' L U' L2
B U D2 L F' U' L'
U' D B L F D R2
B U D2 F' L U' L2
B U F L F2 U' L'
B U F' L U' L2 D
B U F' L U' L2 D'
B U F' L U' L2 D2
B U F' L D' B2 U'
B U F' L B U' L2
B U F' L B' U' L2
B U F' L B2 U' L2
B U F' U' L' D F2
B U F' D L U' L2
B U F' D' L U' L2
B U F' D2 L U' L2
F' U' L D F B L
F' U' L D B F L
F' U' L D' F B L
F' U' L D' B F L
F' U' L D2 F B L
F' U' L D2 B F L
F' U' L F L B L
F' U' L F L' B L
F' U' L F L2 B L
F' U' L F D B L
F' U' L F D' B L
F' U' L F D2 B L
F' U' L F B L D
F' U' L F B L D'
F' U' L F B L D2
F' U' L F B D L
F' U' L F B D' L
F' U' L F B D2 L
F' U' L F' B L F2
F' U' L F2 B L F'
F' U' L B D F L
F' U' L B D' F L
F' U' L B D2 F L
F' U' L B F L D
F' U' L B F L D'
F' U' L B F L D2
F' U' L B F D L
F' U' L B F D' L
F' U' L B F D2 L
F' U' L B F' L F2
F' U' L B F2 L F'
F' U' L' B L D2 F2
F' U' L' B D2 L F2
F' U' L' B D2 F2 L
L' D' F' U' B L F
F' U' L2 B L' F L2
L2 D' F' U' B L F
L D' F' U' B L F
U2 D' F' L' B' U' B2
F' U' D L F B L
F' U' D L B F L
U' D' B L F D R2
D' U' B L F D R2
D2 U' B L F D R2
F' U' D F B L F
F' U' D F' B L F
F' U' D F2 B L F
F' U' D B L D F
F' U' D B L D' F
F' U' D B L D2 F
F' U' D B L F D
F' U' D B L F D'
F' U' D B L F D2
F' U' D B D L F
F' U' D B D' L F
F' U' D B D2 L F
F' U' D B F L F
F' U' D B F' L F
F' U' D B F2 L F
F' U' D' L F B L
F' U' D' L B F L
F' U' D' F B L F
F' U' D' F' B L F
F' U' D' F2 B L F
F' U' D' B L D F
F' U' D' B L D' F
F' U' D' B L D2 F
F' U' D' B L F D
F' U' D' B L F D'
F' U' D' B L F D2
D U' B L F D R2
F' U' D' B D L F
F' U' D' B D' L F
F' U' D' B D2 L F
F' U' D' B F L F
F' U' D' B F' L F
F' U' D' B F2 L F
F' U' D2 L F B L
F' U' D2 L B F L
F U' D B L R2 F
F U' D B L F R2
F U' D B R2 L F
F' U' D2 F B L F
F' U' D2 F' B L F
F' U' D2 F2 B L F
F' U' D2 B L D F
F' U' D2 B L D' F
F' U' D2 B L D2 F
F' U' D2 B L F D
F' U' D2 B L F D'
F' U' D2 B L F D2
F' U' D2 B D L F
F' U' D2 B D' L F
F' U' D2 B D2 L F
F' U' D2 B F L F
F' U' D2 B F' L F
F' U' D2 B F2 L F
F' U' F L F B L
F' U' F L B F L
F' U' F D B L F
F' U' F D' B L F
F' U' F D2 B L F
F' U' F B L D F
F' U' F B L D' F
F' U' F B L D2 F
F' U' F B L F D
F' U' F B L F D'
F' U' F B L F D2
F' U' F B D L F
F' U' F B D' L F
F' U' F B D2 L F
F' U' F' L F B L
F' U' F' L B F L
F' U' F' D B L F
F' U' F' D' B L F
F' U' F' D2 B L F
F' U' F' B L D F
F' U' F' B L D' F
F' U' F' B L D2 F
F' U' F' B L F D
F' U' F' B L F D'
F' U' F' B L F D2
F' U' F' B D L F
F' U' F' B D' L F
F' U' F' B D2 L F
F' U' F2 L F B L
F' U' F2 L B F L
F' U' F2 D B L F
F' U' F2 D' B L F
F' U' F2 D2 B L F
F' U' F2 B L D F
F' U' F2 B L D' F
F' U' F2 B L D2 F
F' U' F2 B L F D
F' U' F2 B L F D'
F' U' F2 B L F D2
F' U' F2 B D L F
F' U' F2 B D' L F
F' U' F2 B D2 L F
F' U' B L R F R'
F' U' B L R2 F R2
F' U' B L D F D
F' U' B L D F D'
F' U' B L D F D2
F' U' B L D' F D
F' U' B L D' F D'
F' U' B L D' F D2
F' U' B L D2 F D
F' U' B L D2 F D'
F' U' B L D2 F D2
F' U' B L F2 D F'
F' U' B L F2 D' F'
F' U' B L F2 D2 F'
F' U' B L' F L2 F
F' U' B L' F' L2 F
F' U' B L' F2 L2 F
F' U' B R L F R'
F' U' B R2 L F R2
F' U' B D L D F
F' U' B D L D' F
F' U' B D L D2 F
F' U' B D L F D
F' U' B D L F D'
F' U' B D L F D2
F' U' B D F L F
F' U' B D F' L F
F' U' B D F2 L F
F' U' B D' L D F
F' U' B D' L D' F
F' U' B D' L D2 F
F' U' B D' L F D
F' U' B D' L F D'
F' U' B D' L F D2
F' U' B D' F L F
F' U' B D' F' L F
F' U' B D' F2 L F
F' U' B D2 L D F
F' U' B D2 L D' F
F' U' B D2 L D2 F
F' U' B D2 L F D
F' U' B D2 L F D'
F' U' B D2 L F D2
F' U' B D2 F L F
F' U' B D2 F' L F
F' U' B D2 F2 L F
F' U' B F L D F
F' U' B F L D' F
F' U' B F L D2 F
F' U' B F L F D
F' U' B F L F D'
F' U' B F L F D2
F' U' B F D L F
F' U' B F D' L F
F' U' B F D2 L F
F' U' B F' L D F
F' U' B F' L D' F
F' U' B F' L D2 F
F' U' B F' L F D
F' U' B F' L F D'
F' U' B F' L F D2
F' U' B F' D L F
F' U' B F' D' L F
F' U' B F' D2 L F
F' U' B F2 L D F
F' U' B F2 L D' F
F' U' B F2 L D2 F
F' U' B F2 L F D
F' U' B F2 L F D'
F' U' B F2 L F D2
F' U' B F2 D L F
F' U' B F2 D' L F
F' U' B F2 D2 L F
F' U' B' L F B2 L
F' U' B' L B2 F L
F U' B L D R2 F
F U' B L D F R2
F U' B D L R2 F
F U' B D L F R2
F U' B D R2 L F
D' U2 F' L' B' U' B2
D2 U2 F' L' B' U' B2
L' D2 F' U' B L F
U2 D2 F' L' B' U' B2
L2 D2 F' U' B L F
D U2 F' L' B' U' B2
U' D2 B L F D R2
L D2 F' U' B L F
R D2 B L U' B' R'
F' D L U' B L F
F' D L' U' B L F
U' F D B L R2 F
U' F D B L F R2
U' F D B R2 L F
F' D L2 U' B L F
U' F B L D R2 F
U' F B L D F R2
U' F B D L R2 F
U' F B D L F R2
U' F B D R2 L F
F' D U' L F B L
F' D U' L B F L
D' F' L U' B L F
D2 F' L U' B L F
B D U L F' U' L'
L' F' L U' B L F
F' D U' F B L F
F' D U' F' B L F
F' D U' F2 B L F
F' D U' B L D F
F' D U' B L D' F
F' D U' B L D2 F
F' D U' B L F D
F' D U' B L F D'
F' D U' B L F D2
F' D U' B D L F
F' D U' B D' L F
F' D U' B D2 L F
F' D U' B F L F
F' D U' B F' L F
F' D U' B F2 L F
B D U F' L U' L2
L2 F' L U' B L F
D' F' L' U' B L F
D2 F' L' U' B L F
L' F' L' U' B L F
D F' L U' B L F
U2 F' L' U' B D L2
L2 F' L' U' B L F
F D U' B L R2 F
F D U' B L F R2
U2 F' L' D B' U' B2
F D U' B R2 L F
L F' L U' B L F
U2 F' L' D' B' U' B2
D' F' L2 U' B L F
D2 F' L2 U' B L F
U2 F' L' D2 B' U' B2
L' F' L2 U' B L F
F2 D F U' B L F
U2 F' L' B' R U' B2
U2 F' L' B' R' U' B2
U2 F' L' B' R2 U' B2
U2 F' L' B' U' B2 D
U2 F' L' B' U' B2 D'
U2 F' L' B' U' B2 D2
D F' L' U' B L F
U2 F' L' B' D' R2 U'
L2 F' L2 U' B L F
L F' L' U' B L F
D F' L2 U' B L F
L F' L2 U' B L F
D2 F' U' L F B L
D' F' U' L F B L
D2 F' U' L B F L
D' F' U' L B F L
L' F' U' L F B L
L' F' U' L B F L
D2 F' U' D B L F
D' F' U' D B L F
D2 F' U' D' B L F
D' F' U' D' B L F
D2 F' U' D2 B L F
D' F' U' D2 B L F
L' F' U' D B L F
D2 F' U' F B L F
D' F' U' F B L F
L' F' U' D' B L F
D2 F' U' F' B L F
D' F' U' F' B L F
L' F' U' D2 B L F
D2 F' U' F2 B L F
D2 F' U' B L D F
D2 F' U' B L D' F
D2 F' U' B L D2 F
D2 F' U' B L F D
D2 F' U' B L F D'
D2 F' U' B L F D2
D' F' U' F2 B L F
D' F' U' B L D F
D' F' U' B L D' F
D' F' U' B L D2 F
D' F' U' B L F D
D' F' U' B L F D'
D' F' U' B L F D2
L2 F' U' L F B L
L' F' U' F B L F
D2 F' U' B D L F
D2 F' U' B D' L F
L2 F' U' L B F L
D2 F' U' B D2 L F
D2 F' U' B F L F
D2 F' U' B F' L F
D' F' U' B D L F
D2 F' U' B F2 L F
D' F' U' B D' L F
D' F' U' B D2 L F
D' F' U' B F L F
D' F' U' B F' L F
D' F' U' B F2 L F
L' F' U' F' B L F
L' F' U' F2 B L F
L' F' U' B L D F
L' F' U' B L D' F
L' F' U' B L D2 F
L' F' U' B L F D
L' F' U' B L F D'
L' F' U' B L F D2
L' F' U' B D L F
L' F' U' B D' L F
L' F' U' B D2 L F
F' D' L U' B L F
L' F' U' B F L F
L' F' U' B F' L F
L' F' U' B F2 L F
L2 F' U' D B L F
L2 F' U' D' B L F
L2 F' U' D2 B L F
L2 F' U' F B L F
D F' U' L F B L
D F' U' L B F L
L2 F' U' F' B L F
L2 F' U' F2 B L F
L2 F' U' B L D F
L2 F' U' B L D' F
L2 F' U' B L D2 F
L2 F' U' B L F D
L2 F' U' B L F D'
L2 F' U' B L F D2
L2 F' U' B D L F
L2 F' U' B D' L F
L2 F' U' B D2 L F
L2 F' U' B F L F
L2 F' U' B F' L F
L2 F' U' B F2 L F
D F' U' D B L F
D F' U' D' B L F
D F' U' D2 B L F
L F' U' L F B L
L F' U' L B F L
D F' U' F B L F
F' D' L' U' B L F
D F' U' F' B L F
D F' U' F2 B L F
D F' U' B L D F
D F' U' B L D' F
D F' U' B L D2 F
D F' U' B L F D
D F' U' B L F D'
D F' U' B L F D2
D F' U' B D L F
D F' U' B D' L F
D F' U' B D2 L F
D F' U' B F L F
D F' U' B F' L F
D F' U' B F2 L F
L F' U' D B L F
L F' U' D' B L F
D2 F' D U' B L F
D' F' D U' B L F
L F' U' D2 B L F
L F' U' F B L F
L F' U' F' B L F
U F' U' B L' D F2
L' F' D U' B L F
L F' U' F2 B L F
L F' U' B L D F
L F' U' B L D' F
L F' U' B L D2 F
L F' U' B L F D
L F' U' B L F D'
L F' U' B L F D2
L F' U' B D L F
L F' U' B D' L F
L F' U' B D2 L F
L F' U' B F L F
L F' U' B F' L F
L F' U' B F2 L F
U2 F' D L' B' U' B2
F' D' L2 U' B L F
L2 F' D U' B L F
D2 F' D' U' B L F
D' F' D' U' B L F
L' F' D' U' B L F
U2 F' D' L' B' U' B2
D F' D U' B L F
L2 F' D' U' B L F
D2 F' D2 U' B L F
L F' D U' B L F
D' F' D2 U' B L F
L' F' D2 U' B L F
U2 F' D2 L' B' U' B2
D F' D' U' B L F
L2 F' D2 U' B L F
L F' D' U' B L F
U2 F' B L' B' U' B
D F' D2 U' B L F
L F' D2 U' B L F
U2 F' B' L' B' U' B'
F' D' U' L F B L
F' D' U' L B F L
B D' U L F' U' L'
F' D' U' F B L F
F' D' U' F' B L F
F' D' U' F2 B L F
F' D' U' B L D F
F' D' U' B L D' F
F' D' U' B L D2 F
F' D' U' B L F D
F' D' U' B L F D'
F' D' U' B L F D2
F' D' U' B D L F
F' D' U' B D' L F
F' D' U' B D2 L F
F' D' U' B F L F
F' D' U' B F' L F
F' D' U' B F2 L F
B D' U F' L U' L2
F2 D' F U' B L F
F' D2 L U' B L F
F' D2 L' U' B L F
F' D2 L2 U' B L F
U' B L U F' U' F2
F' D2 U' L F B L
U' B L D F D R2
F' D2 U' L B F L
U' B L D' F D R2
U' B L D2 F D R2
U' B L F R D R2
U' B L F R' D R2
U' B L F R2 D R2
U' B L F U F2 U'
U' B L F D R2 D
U' B L F D R2 D'
U' B L F D R2 D2
B D2 U L F' U' L'
F' D2 U' F B L F
F' D2 U' F' B L F
F' D2 U' F2 B L F
F' D2 U' B L D F
F' D2 U' B L D' F
F' D2 U' B L D2 F
F' D2 U' B L F D
F' D2 U' B L F D'
F' D2 U' B L F D2
F' D2 U' B D L F
F' D2 U' B D' L F
F' D2 U' B D2 L F
F' D2 U' B F L F
F' D2 U' B F' L F
F' D2 U' B F2 L F
B D2 U F' L U' L2
R B L R' F' U' B
F2 D2 F U' B L F
R B L U' B' R' B
D2 B U L F' U' L'
D' B U L F' U' L'
L' B U L F' U' L'
U' B U F' U' L F
R B R' L F' U' B
U B R' D' F' L' R
U B R' D' F' R L'
D2 B U F' L U' L2
D' B U F' L U' L2
L' B U F' L U' L2
L2 B U L F' U' L'
R B R' F' L U' B
L2 B U F' L U' L2
D B U L F' U' L'
F' B L R B U' B'
L B U L F' U' L'
D B U F' L U' L2
F' B L B' U' B L
U' B D L F D R2
L B U F' L U' L2
U B U F' L' B' U'
U' B D' L F D R2
U' B D2 L F D R2
F' B R L B U' B'
U' B F L D R2 F
U' B F L D F R2
U' B F D L R2 F
U' B F D L F R2
U' B F D R2 L F
R B D2 L U' B' R'
U2 B F' L' B' U' B
B F' L R B U' B'
B F' L B' U' B L
B F' R L B U' B'
U2 B' F' L' B' U' B'
