B L' D L2 F2 B
B L' D L2 B F2
B L' D F2 L2 B
B L' D F2 B L2
B L' D B L2 F2
B L' D B F2 L2
U R' B' U' F' B'
U R' B' U' B' F'
B U L B2 U' B'
B2 U B U2 R' U
B2 U B' L B2 U'
U B' R' U' F' B'
U B' R' U' B' F'
L' B2 D L' F L'
L' B2 D F L' F
B D L2 B U L' U'
L2 F B' R' U R B'
L2 F B' R' U B' R
B2 D U L' B U' F
L' F B2 D L' F L'
B2 D U B L' U' F
L' F B2 D F L' F
B D U L U' L B
B D B L' D L' F
L' F' B2 D L' F L'
L' F' B2 D F L' F
L' F2 B2 D L' F L'
L' F2 B2 D F L' F
D' B L R2 B2 U' R2
B2 D2 U' R2 F' R U
R' B L B2 U' R B'
R' B L B2 U' B' R
D' B L B2 R2 U' R2
D' B L' D L2 F2 B2
D' B L' D L2 B2 F2
D' B L' D F2 L2 B2
D' B L' D F2 B2 L2
D' B L' D B2 L2 F2
D' B L' D B2 F2 L2
R2 B L B2 U' R2 B'
R2 B L B2 U' B' R2
B2 D2 F U L' B U'
B2 D2 F U B L' U'
D B L B2 R' U' R
L B L' B D L2 F2
L B L' B D F2 L2
D' B R2 L B2 U' R2
D' B U L R2 B2 U'
D' B U L B2 R2 U'
L' B U L B' U' B2
D' B U R2 L B2 U'
D B U L B2 R' U'
F' B L' D L2 F2 B
F' B L' D L2 B F2
F' B L' D F2 L2 B
F' B L' D F2 B L2
F' B L' D B L2 F2
F' B L' D B F2 L2
F2 B L' D L2 F2 B
F2 B L' D L2 B F2
F2 B L' D F2 L2 B
F2 B L' D F2 B L2
F2 B L' D B L2 F2
F2 B L' D B F2 L2
B F L' D L2 F2 B
B F L' D L2 B F2
B F L' D F2 L2 B
B F L' D F2 B L2
B F L' D B L2 F2
B F L' D B F2 L2
F B L' D L2 F2 B
F B L' D L2 B F2
F B L' D F2 L2 B
F B L' D F2 B L2
F B L' D B L2 F2
F B L' D B F2 L2
F' B U L B2 U' B'
F2 B U L B2 U' B'
B2 F U B U2 R' U
B2 F U B' L B2 U'
B F U L B2 U' B'
F B U L B2 U' B'
R' B' R' U' B' R2 F'
D' B' R2 U2 R U R
U B' R U B U2 B2
U B' R U' B' D2 F2
D' B' R2 D' F2 L' U'
D' B' R2 F2 L' U' R2
U B' R' U' D F' B'
U B' R' U' D B' F'
U B' R' U' D' F' B'
U B' R' U' D' B' F'
U B' R' U' D2 F' B'
U B' R' U' D2 B' F'
U B' R' U' F' D B'
U B' R' U' F' D' B'
U B' R' U' F' D2 B'
U B' R' U' F' B' D
U B' R' U' F' B' D'
U B' R' U' F' B' D2
U B' R' U' B' D F'
U B' R' U' B' D' F'
U B' R' U' B' D2 F'
U B' R' U' B' F' D
U B' R' U' B' F' D'
U B' R' U' B' F' D2
U B' R' D U' F' B'
U B' R' D U' B' F'
U B' R' D' U' F' B'
U B' R' D' U' B' F'
U B' R' D2 U' F' B'
U B' R' D2 U' B' F'
R' B' U' R D' F2 B'
R' B' U' R D' B' F2
R' B' U' R B' D' F2
R' B' U' B' D' R F'
B F' L' D L2 F2 B
B F' L' D L2 B F2
B F' L' D F2 L2 B
B F' L' D F2 B L2
B F' L' D B L2 F2
B F' L' D B F2 L2
L2 B' U' R' F U B'
R' B' U2 R' U R2 B'
R' B' U2 R' U B' R2
L2 B' U' F R' U B'
D B' U' L2 R' U L2
D B' U' R' L2 U L2
R2 B' U2 R' U R' B'
U B' U' B' U' R' U
U B' D R' U' F' B'
U B' D R' U' B' F'
B2 F' U B U2 R' U
B2 F' U B' L B2 U'
B F' U L B2 U' B'
U B' D' R' U' F' B'
U B' D' R' U' B' F'
L2 B' F R' U R B'
L2 B' F R' U B' R
U B' D2 R' U' F' B'
U B' D2 R' U' B' F'
L' B2 L U B' L U'
L2 B2 L D L' F L'
L2 B2 L D F L' F
L2 B2 L2 U B' L U'
L B2 L' U B' L U'
L B2 L2 D L' F L'
L B2 L2 D F L' F
B F2 L' D L2 F2 B
B F2 L' D L2 B F2
B F2 L' D F2 L2 B
B F2 L' D F2 B L2
B F2 L' D B L2 F2
B F2 L' D B F2 L2
L' B2 U L B' L U'
L2 B2 U L2 B' L U'
L' B2 U B' L B' U'
L' B2 D L' F L' D
L' B2 D L' F L' D'
L' B2 D L' F L' D2
L' B2 D L' F D L'
L' B2 D L' F D' L'
L' B2 D L' F D2 L'
F' B2 U B U2 R' U
F' B2 U B' L B2 U'
L' B2 D F L' D F
L' B2 D F L' D' F
L' B2 D F L' D2 F
L' B2 D F L' F D
L' B2 D F L' F D'
L' B2 D F L' F D2
B2 F2 U B U2 R' U
B2 F2 U B' L B2 U'
F2 B2 U B U2 R' U
F2 B2 U B' L B2 U'
B F2 U L B2 U' B'
F B2 U B U2 R' U
F B2 U B' L B2 U'
L' B2 F D L' F L'
L' B2 F D F L' F
L' B2 F' D L' F L'
L' B2 F' D F L' F
L' B2 F2 D L' F L'
L' B2 F2 D F L' F
