U' R' U2 R B' U'
U' R' U2 B' R U'
R' U2 B' U' B R
U' B' U2 B R' U
U' B2 L D' B U' R2
U' B2 L D2 F2 B U'
U' B2 L D2 B F2 U'
U' B2 L B U2 B U
R B2 L U R2 F' U
U B2 L B U2 L' U
U2 B2 U' L B U' B
R' B2 U2 B U' R B'
R' B2 U2 B U' B' R
U' B2 D' L B U' R2
U' B2 D2 L F2 B U'
U' B2 D2 L B F2 U'
U' B2 D2 F2 L B U'
