R' U2 B' U L'
L2 R' F L2 U' L'
R' L2 F L2 U' L'
D2 R' U2 B' U L'
D' R' U2 B' U L'
D R' U2 B' U L'
R' U2 D B' U L'
R' U2 D' B' U L'
R' U2 D2 B' U L'
R' U2 B' U L' D
R' U2 B' U L' D'
R' U2 B' U L' D2
R' U2 B' U D L'
R' U2 B' U D' L'
R' U2 B' U D2 L'
R' U2 B' D U L'
R' U2 B' D' U L'
R' U2 B' D' U L'
R' U2 B' D2 U L'
R' D U2 B' U L'
R' D' U2 B' U L'
R' D' U2 B' U L'
B U' L' D' R2 B'
B U' L' D' B' R2
B U' D' L' R2 B'
B U' D' L' B' R2
B U' D' R2 L' B'
R' D2 U2 B' U L'
B2 U2 L B U L2
L2 F L2 R' U' L'
L2 F R' L2 U' L'
B U2 B2 U L' B'
B D' U' L' R2 B'
B D' U' L' B' R2
B D' U' R2 L' B'
R' B U' L' D' R2
R' B U' D' L' R2
R' B U' D' R2 L'
R' B U2 B2 U L'
R' B D' U' L' R2
R' B D' U' R2 L'
U2 B2 L B U L2
R' B2 U2 B U L'
F2 R' U2 B' U' R2 U2
U2 R' U2 B' R U L'
F2 R' U2 B' D' F2 U
F2 R' U2 B' D2 U L2
D R' U2 B' U L' D
D R' U2 B' U L' D'
D R' U2 B' U L' D2
D R' U2 B' U D L'
D R' U2 B' U D' L'
D R' U2 B' U D2 L'
L' U' B2 L R' B' U
D R' U2 B' D U L'
D R' U2 B' D' U L'
D R' U2 B' D2 U L'
D2 R' D U2 B' U L'
D' R' D U2 B' U L'
B R' U2 B2 U L' B'
L' U' B2 R' L B' U
F R' U2 B' U' R' U2
D R' D U2 B' U L'
F2 R' D B2 U2 B U
D2 R' D' U2 B' U L'
D' R' D' U2 B' U L'
F2 R' D' U2 F2 B' U
F2 R' D' U2 B' F2 U
B R' D' U' L' R2 B'
B R' D' U' L' B' R2
B R' D' U' R2 L' B'
D R' D' U2 B' U L'
D2 R' D2 U2 B' U L'
D' R' D2 U2 B' U L'
F' R' D2 U2 B' U L
F2 R' D2 U2 B' U L2
D R' D2 U2 B' U L'
F' R' F U2 B' U L'
F R' F' U2 B' U L'
R' U2 R' B' R U L'
D2 R' B U' L' D' R2
D2 R' B U' D' L' R2
D2 R' B U' D' R2 L'
D' R' B U' L' D' R2
D' R' B U' D' L' R2
D' R' B U' D' R2 L'
L2 U2 R' F L2 U' L'
D2 R' B U2 B2 U L'
D' R' B U2 B2 U L'
D2 R' B D' U' L' R2
D2 R' B D' U' R2 L'
D' R' B D' U' L' R2
D' R' B D' U' R2 L'
D R' B U' L' D' R2
F2 R' B D2 F2 U' L2
D R' B U' D' L' R2
D R' B U' D' R2 L'
R' U2 R2 B' R2 U L'
D R' B U2 B2 U L'
D R' B D' U' L' R2
D R' B D' U' R2 L'
B2 R' B' U' L' B' R'
F2 R' B' U R2 U2 R2
R' U2 D B' U L' D
R' U2 D B' U L' D'
R' U2 D B' U L' D2
R' U2 D B' U D L'
R' U2 D B' U D' L'
R' U2 D B' U D2 L'
R' U2 D B' D U L'
R' U2 D B' D' U L'
R' U2 D B' D2 U L'
D2 R' B2 U2 B U L'
D' R' B2 U2 B U L'
R' U2 D' B' U L' D
R' U2 D' B' U L' D'
R' U2 D' B' U L' D2
R' U2 D' B' U D L'
R' U2 D' B' U D' L'
R' U2 D' B' U D2 L'
R' U2 D' B' D U L'
R' U2 D' B' D' U L'
R' U2 D' B' D2 U L'
D R' B2 U2 B U L'
R U2 D B' U B' L'
F R' B2 U2 B U L
R' U2 D2 B' U L' D
R' U2 D2 B' U L' D'
R' U2 D2 B' U L' D2
R' U2 D2 B' U D L'
R' U2 D2 B' U D' L'
R' U2 D2 B' U D2 L'
R' U2 D2 B' D U L'
R' U2 D2 B' D' U L'
R' U2 D2 B' D2 U L'
L2 U2 F L2 R' U' L'
L2 U2 F R' L2 U' L'
R U2 D2 B' L2 U L
R' U2 F' D2 B' U L
R' U2 F2 B' U' R U2
R' U2 B U L' D' R2
R' U2 B U D' L' R2
R' U2 B U D' R2 L'
B R2 U' L' D' R2 B'
B R2 U' L' D' B' R2
R' U2 B D' U L' R2
R' U2 B D' U R2 L'
B R2 U' D' L' R2 B'
B R2 U' D' L' B' R2
B R2 U' D' R2 L' B'
R' U2 B' U L2 D L
R' U2 B' U L2 D' L
R' U2 B' U L2 D2 L
R' U2 B' U D L' D
R' U2 B' U D L' D'
R' U2 B' U D L' D2
R' U2 B' U D' L' D
R' U2 B' U D' L' D'
R' U2 B' U D' L' D2
R' U2 B' U D2 L' D
R' U2 B' U D2 L' D'
R' U2 B' U D2 L' D2
R' U2 B' U B' L' B
R' U2 B' U B2 L' B2
R' U2 B' U' R U2 L'
R' U2 B' U' R' U2 L'
R' U2 B' U' R2 U2 L'
R' U2 B' U2 B U' L'
R' U2 B' U2 B' U' L'
R' U2 B' U2 B2 U' L'
R' U2 B' D U L' D
R' U2 B' D U L' D'
R' U2 B' D U L' D2
R' U2 B' D' U L' D
R' U2 B' D' U L' D'
R' U2 B' D' U L' D2
R' U2 B' D2 U L' D
R' U2 B' D2 U L' D'
R' U2 B' D2 U L' D2
R' U2 B' F2 U' R U2
B R2 U2 B2 U L' B'
R2 U2 B' U2 R U' L'
R' U2 B2 D B U L'
R' U2 B2 D' B U L'
R' U2 B2 D2 B U L'
R U2 B' U L' D B2
R U2 B' U D L' B2
R U2 B' U D B2 L'
R U2 B' U2 R2 U' L'
R U2 B' D U L' B2
R U2 B' D U B2 L'
R U2 B' D2 L2 U L
B R2 D' U' L' R2 B'
B R2 D' U' L' B' R2
B R2 D' U' R2 L' B'
R' D L2 F L2 U' L'
R2 D R U2 B' U L'
L2 D R' F U' F L
R' D U2 B' U L' D
R' D U2 B' U L' D'
R' D U2 B' U L' D2
R' D U2 B' U D L'
R' D U2 B' U D' L'
R' D U2 B' U D2 L'
R' D U2 B' D U L'
R' D U2 B' D' U L'
R' D U2 B' D2 U L'
B2 U L B U L2 F
L2 D F R' U' F L
R D U2 B' U B' L'
R' D B U' L' D' R2
R' D B U' D' L' R2
R' D B U' D' R2 L'
R' D B U2 B2 U L'
R' D B D' U' L' R2
R' D B D' U' R2 L'
R' D B2 U2 B U L'
R' D' L2 F L2 U' L'
R2 D' R U2 B' U L'
U2 D B2 L B U L2
R' D' U2 B' U L' D
R' D' U2 B' U L' D'
R' D' U2 B' U L' D2
R' D' U2 B' U D L'
R' D' U2 B' U D' L'
R' D' U2 B' U D2 L'
R' D' U2 B' D U L'
R' D' U2 B' D' U L'
R' D' U2 B' D2 U L'
B' U' L' D' B2 R' B
B2 U' L' U' L2 B U
B2 U' L' U' B L2 U
B U' L' R D' R2 B'
B U' L' R D' B' R2
B U' L' R' D' R2 B'
B U' L' R' D' B' R2
B2 U' L' B' D' R2 B2
B2 U' L' B' D' B2 R2
B U' L' R2 D' R2 B'
B U' L' R2 D' B' R2
B U' L' U' B2 U B
B U' L' D B' D2 R2
B U' L' D' R B' R
B U' L' D' R2 D B'
B U' L' D' R2 D' B'
B U' L' D' R2 D2 B'
B U' L' D' R2 B' D
B U' L' D' R2 B' D'
B U' L' D' R2 B' D2
B U' L' D' B R2 B2
B U' L' D' B' R2 D
B U' L' D' B' R2 D'
B U' L' D' B' R2 D2
B U' L' D2 B' D R2
B U' L' B' U' B' U
B U' R L' D' R2 B'
B U' R L' D' B' R2
R' D' B U' L' D' R2
R' D' B U' D' L' R2
R' D' B U' D' R2 L'
R' D' B U2 B2 U L'
R' D' B D' U' L' R2
R' D' B D' U' R2 L'
B U' R D' L' R2 B'
B U' R D' L' B' R2
B U' R D' R2 L' B'
B U' R' L' D' R2 B'
B U' R' L' D' B' R2
B U' R' D' L' R2 B'
B U' R' D' L' B' R2
B U' R' D' R2 L' B'
B U' R2 L' D' R2 B'
B U' R2 L' D' B' R2
R' D' B2 U2 B U L'
B U' R2 D' L' R2 B'
B U' R2 D' L' B' R2
B U' R2 D' R2 L' B'
B' U' D' L' B2 R' B
B U' D' L' R B' R
B U' D' L' R2 D B'
B U' D' L' R2 D' B'
B U' D' L' R2 D2 B'
B U' D' L' R2 B' D
B U' D' L' R2 B' D'
B U' D' L' R2 B' D2
B U' D' L' B R2 B2
B U' D' L' B' R2 D
B U' D' L' B' R2 D'
B U' D' L' B' R2 D2
B U' D' R L' B' R
B U' D' R2 L' D B'
B U' D' R2 L' D' B'
B U' D' R2 L' D2 B'
B U' D' R2 L' B' D
B U' D' R2 L' B' D'
B U' D' R2 L' B' D2
B U' D' R2 D L' B'
B U' D' R2 D' L' B'
B U' D' R2 D2 L' B'
B U' D' R2 B L' B'
B U' D' R2 B' L' B'
B U' D' R2 B2 L' B'
B U' D' B L' R2 B'
B U' D' B L' B' R2
B U' D' B R2 L' B'
B U' D' B' L' R2 B'
B U' D' B' L' B' R2
B U' D' B' R2 L' B'
B U' D' B2 L' R2 B'
B U' D' B2 L' B' R2
B U' D' B2 R2 L' B'
B U' D2 L' D R2 B'
B U' D2 L' D B' R2
B U' D2 L' B' D R2
U2 D' B2 L B U L2
R' D2 L2 F L2 U' L'
R2 D2 R U2 B' U L'
B' U' B' L' D' B2 R'
B U' B L' B' D' R2
B2 U2 L D F2 B U
B2 U2 L D B F2 U
R' D2 U2 B' U L' D
R' D2 U2 B' U L' D'
R' D2 U2 B' U L' D2
R' D2 U2 B' U D L'
R' D2 U2 B' U D' L'
R' D2 U2 B' U D2 L'
R' D2 U2 B' D U L'
R' D2 U2 B' D' U L'
R' D2 U2 B' D2 U L'
B2 U2 L F B U L2
B2 U2 L F' B U L2
B2 U2 L F2 B U L2
B2 U2 L B U L2 D
B2 U2 L B U L2 D'
B2 U2 L B U L2 D2
B2 U2 L B D F2 U
B2 U2 L B F U L2
B2 U2 L B F' U L2
B2 U2 L B F2 U L2
B2 U2 L' B L2 U L2
R D2 U2 B' L2 U L
R' D2 B U' L' D' R2
R' D2 B U' D' L' R2
R' D2 B U' D' R2 L'
R' D2 B U2 B2 U L'
R' D2 B D' U' L' R2
R' D2 B D' U' R2 L'
D' U2 B2 L B U L2
D2 U2 B2 L B U L2
B2 U2 D L B U L2
R' D2 B2 U2 B U L'
U2 D2 B2 L B U L2
B2 U2 D' L B U L2
D U2 B2 L B U L2
B2 U2 D2 L B U L2
L2 F L2 R' U' L' D
L2 F L2 R' U' L' D'
L2 F L2 R' U' L' D2
L2 F L2 R' U' D L'
L2 F L2 R' U' D' L'
L2 F L2 R' U' D2 L'
L2 F L2 R' D U' L'
L2 F L2 R' D' U' L'
L2 F L2 R' D2 U' L'
L2 F L2 R' B U' L'
L2 F L2 R' B' U' L'
L2 F L2 R' B2 U' L'
L2 F L2 D R' U' L'
L2 F L2 D' R' U' L'
L2 F L2 D2 R' U' L'
L2 F L2 B U' L' B'
L2 F R' L2 U' L' D
L2 F R' L2 U' L' D'
L2 F R' L2 U' L' D2
L2 F R' L2 U' D L'
L2 F R' L2 U' D' L'
L2 F R' L2 U' D2 L'
L2 F R' L2 D U' L'
L2 F R' L2 D' U' L'
L2 F R' L2 D2 U' L'
L2 F R' L2 B U' L'
L2 F R' L2 B' U' L'
L2 F R' L2 B2 U' L'
L2 F R' U' D L F2
L2 F R' U' D F2 L
L2 F R' D U' L F2
L2 F R' D U' F2 L
B U2 B2 U L' D B'
B U2 B2 U L' D' B'
B U2 B2 U L' D2 B'
B U2 B2 U L' B' D
B U2 B2 U L' B' D'
B U2 B2 U L' B' D2
B U2 B2 U D L' B'
B U2 B2 U D' L' B'
B U2 B2 U D2 L' B'
B U2 B2 U B L' B'
B U2 B2 U B' L' B'
B U2 B2 U B2 L' B'
B U2 B2 D U L' B'
B U2 B2 D' U L' B'
B U2 B2 D2 U L' B'
R' F U2 B' U' R' U2
L2 F D R' U' L F2
L2 F D R' U' F2 L
F' D R' B U' D' R2
F' D R' B U2 B2 U
F' D R' B D' U' R2
F' D R' B D2 F2 U'
R' F B2 U2 B U L
B2 D U2 L B U L2
R F B2 R2 F' U' L'
R' F' L2 F L2 U' L
L2 F' R' F2 L2 U' L'
R' F' U2 D2 B' U L
R' F' U2 F B' U L'
R' F' U2 B' F U L'
R' F' D2 U2 B' U L
B D' R U' L' R B'
B D' R U' L' B' R
B D' R U' R L' B'
B D' R' U' L' R' B'
B D' R' U' R' L' B'
B' D' U' L' B2 R' B
B2 D' U2 L B U L2
B D' U' L' R B' R
B D' U' L' R2 D B'
B D' U' L' R2 D' B'
B D' U' L' R2 D2 B'
B D' U' L' R2 B' D
B D' U' L' R2 B' D'
B D' U' L' R2 B' D2
B D' U' L' B R2 B2
B D' U' L' B' R2 D
B D' U' L' B' R2 D'
B D' U' L' B' R2 D2
B D' U' R L' B' R
B D' U' R2 L' D B'
B D' U' R2 L' D' B'
B D' U' R2 L' D2 B'
B D' U' R2 L' B' D
B D' U' R2 L' B' D'
B D' U' R2 L' B' D2
B D' U' R2 D L' B'
B D' U' R2 D' L' B'
B D' U' R2 D2 L' B'
B D' U' R2 B L' B'
B D' U' R2 B' L' B'
B D' U' R2 B2 L' B'
B D' U' B L' R2 B'
B D' U' B L' B' R2
B D' U' B R2 L' B'
B D' U' B' L' R2 B'
B D' U' B' L' B' R2
B D' U' B' R2 L' B'
B D' U' B2 L' R2 B'
B D' U' B2 L' B' R2
B D' U' B2 R2 L' B'
R' F2 U R U B' U
B D' B' R' U' L' R'
B D' B' R' U' R' L'
R' F2 U2 F2 B' U L'
R' F2 U2 B' U' R U2
R' F2 U2 B' F2 U L'
F' D2 R' U2 B' U L
R' F2 B D2 F2 U' L'
R' F2 B' U R U2 R'
B2 D2 U2 L B U L2
B D2 U' L' D R2 B'
B D2 U' L' D B' R2
B D2 U' L' B' D R2
R2 B R U' L' D' R2
R2 B R U' D' L' R2
R2 B R U' D' R2 L'
R2 B R U2 B2 U L'
R2 B R D' U' L' R2
R2 B R D' U' R2 L'
B D2 F2 U R U2 B
R' B U D L2 U2 L
R' B U' L' R D' R2
R' B U' L' R' D' R2
R' B U' L' R2 D' R2
R' B U' L' U' B2 U
R' B U' L' D' R2 D
R' B U' L' D' R2 D'
R' B U' L' D' R2 D2
D2 B U' L' D' R2 B'
D2 B U' L' D' B' R2
R' B U' L2 D' L R2
R' B U' L2 D' R2 L
R' B U' R L' D' R2
D' B U' L' D' R2 B'
D' B U' L' D' B' R2
R' B U' R D' L' R2
R' B U' R D' R2 L'
R' B U' R' L' D' R2
R' B U' R' D' L' R2
R' B U' R' D' R2 L'
R' B U' R2 L' D' R2
R' B U' R2 D' L' R2
R' B U' R2 D' R2 L'
R' B U' D' L' R2 D
R' B U' D' L' R2 D'
R' B U' D' L' R2 D2
R' B U' D' R2 L' D
R' B U' D' R2 L' D'
R' B U' D' R2 L' D2
R' B U' D' R2 D L'
R' B U' D' R2 D' L'
R' B U' D' R2 D2 L'
R' B U' D2 L' D R2
D2 B U' D' L' R2 B'
D2 B U' D' L' B' R2
D2 B U' D' R2 L' B'
D' B U' D' L' R2 B'
D' B U' D' L' B' R2
D' B U' D' R2 L' B'
R B R2 U' L' D' R2
R B R2 U' D' L' R2
R B R2 U' D' R2 L'
R B R2 U2 B2 U L'
R B R2 D' U' L' R2
R B R2 D' U' R2 L'
D B U' L' D' R2 B'
D B U' L' D' B' R2
R' B U2 B2 U L' D
R' B U2 B2 U L' D'
R' B U2 B2 U L' D2
R' B U2 B2 U D L'
R' B U2 B2 U D' L'
R' B U2 B2 U D2 L'
R' B U2 B2 D U L'
R' B U2 B2 D' U L'
R' B U2 B2 D2 U L'
D2 B U2 B2 U L' B'
D B U' D' L' R2 B'
D B U' D' L' B' R2
D B U' D' R2 L' B'
D' B U2 B2 U L' B'
R' B D U L2 U2 L
R' B D' U' L' R2 D
R' B D' U' L' R2 D'
R' B D' U' L' R2 D2
R' B D' U' R2 L' D
R' B D' U' R2 L' D'
R' B D' U' R2 L' D2
R' B D' U' R2 D L'
R' B D' U' R2 D' L'
R' B D' U' R2 D2 L'
D2 B D' U' L' R2 B'
D B U2 B2 U L' B'
D2 B D' U' L' B' R2
D2 B D' U' R2 L' B'
D' B D' U' L' R2 B'
D' B D' U' L' B' R2
D' B D' U' R2 L' B'
R' B D' B U' L' R2
R' B D' B U' R2 L'
R' B D' B' U' L' R2
R' B D' B' U' R2 L'
R' B D' B2 U' L' R2
R' B D' B2 U' R2 L'
R' B D2 U' L' D R2
R2 B D' R U' L' R
R2 B D' R U' R L'
R' B D2 F2 U R U2
D B D' U' L' R2 B'
D B D' U' L' B' R2
D B D' U' R2 L' B'
R' B F2 D2 F2 U' L'
B2 F U2 L B U L
U2 B' L2 U D L B'
U2 B' L2 D U L B'
F2 B D2 F2 U' L' B'
R' B' U R U2 L' R'
R' B' U R U2 R' L'
R' B' U R' U2 L' R
R' B' U R' U2 R L'
R' B' U R2 U2 L' R2
R' B' U R2 U2 R2 L'
R' B' U' L' U2 L U2
U2 B' U L2 D L B'
R' B' U' L' B2 R' B2
R' B' U' L2 D2 L R2
R' B' U' L2 D2 R2 L
U2 B' U D L B' L2
U2 B' U B' L' D' B2
R' B' U' B2 L' B2 R'
U2 B' U2 B R' U' L'
U2 B' U2 B2 U' L' B'
R B' U' L' D B2 R'
U2 B' D L U B' L2
R B' U' D L' B2 R'
U2 B' D U L B' L2
R B' D U' L' B2 R'
R' B' F2 U R U2 R'
L' B2 L R' B' U L'
U' B2 L' U' L2 B U
U' B2 L' U' B L2 U
U2 B2 L D F2 B U
U2 B2 L D B F2 U
U' B2 L' B' D' R2 B2
U' B2 L' B' D' B2 R2
U2 B2 L F B U L2
U2 B2 L F' B U L2
U2 B2 L F2 B U L2
U2 B2 L B U L2 D
U2 B2 L B U L2 D'
U2 B2 L B U L2 D2
U2 B2 L B D F2 U
U2 B2 L B F U L2
U2 B2 L B F' U L2
U2 B2 L B F2 U L2
U2 B2 L' B L2 U L2
L' B2 R' L B' U L'
U' B2 U' L B U L2
R' B2 U' L' U' B U
L' B2 U' L R' B' U
L' B2 U' R' L B' U
D2 B2 U2 L B U L2
D' B2 U2 L B U L2
R' B2 U2 D B U L'
R' B2 U2 D' B U L'
R' B2 U2 D2 B U L'
R' B2 U2 B U L' D
R' B2 U2 B U L' D'
R' B2 U2 B U L' D2
R' B2 U2 B U D L'
R' B2 U2 B U D' L'
R' B2 U2 B U D2 L'
R' B2 U2 B D U L'
R' B2 U2 B D' U L'
R' B2 U2 B D2 U L'
R' B2 D U2 B U L'
D B2 U2 L B U L2
U2 B2 D L B U L2
R' B2 D' U2 B U L'
U2 B2 D' L B U L2
R' B2 D2 U2 B U L'
U2 B2 D2 L B U L2
R' B2 F U2 B U L
F B2 U2 L B U L
R B2 F R2 F' U' L'
B F2 D2 F2 U' L' B'
