R2 U' F' U' F2
R2 U2 F D R2
R2 L' U' F' L' U'
L' R2 U' F' L' U'
L2 R2 B' U' F' U'
R2 L2 B' U' F' U'
R2 U R U F R
R2 U R2 B U F
R2 U' D F' U' F2
R2 U' D' F' U' F2
R2 U' D2 F' U' F2
R2 U' F' L U' F2
R2 U' F' L' U' F2
R2 U' F' L2 U' F2
R2 U' F' U' F2 D
R2 U' F' U' F2 D'
R2 U' F' U' F2 D2
R2 U' F' D' L2 U'
R2 U2 D F D R2
R2 U2 D' F D R2
R2 U2 D2 F D R2
R2 U2 F R D R2
R2 U2 F R' D R2
R2 U2 F R2 D R2
R2 U2 F U F2 U'
R2 U2 F D R2 D
R2 U2 F D R2 D'
R2 U2 F D R2 D2
B' R2 U B2 U F
B2 R2 U B' U F
B' R2 U2 D' R2 F
B' R2 U2 D' F R2
B' R2 U2 F D' R2
B' R2 D L2 B' U2
B' R2 D' U2 R2 F
B' R2 D' U2 F R2
R2 D U' F' U' F2
R2 D U2 F D R2
D' U F2 B U F'
D2 U B U F L2
D' U B F2 U F'
R2 D' U' F' U' F2
R2 D' U2 F D R2
U D' F2 B U F'
U D' B F2 U F'
R2 D2 U' F' U' F2
R2 D2 U2 F D R2
U D2 B U F L2
R2 B U' F' U' F2
U B U D2 F L2
R2 B U2 F D R2
U B U F D2 L2
U B U' R2 U2 F
U B D' F2 U F'
U B D2 U F L2
L2 B' R2 U B2 U
L2 B' R2 U2 D' R2
L2 B' R2 D L2 U2
L2 B' R2 D' U2 R2
R2 B' U' F' U' F2
R2 B' U2 F D R2
R2 B2 U' F' U' F2
R2 B2 U2 F D R2
L' R2 D U' F' L' U'
R L2 D R B' L U2
L2 R2 D B' U' F' U'
R2 L2 D B' U' F' U'
R L2 D B' L R U2
R L2 D B' R L U2
L' R2 D' U' F' L' U'
L2 R2 D' B' U' F' U'
R2 L2 D' B' U' F' U'
L' R2 D2 U' F' L' U'
L2 R2 D2 B' U' F' U'
R2 L2 D2 B' U' F' U'
B' L2 R2 D L2 U2 F
B' L2 R2 D B' L2 U2
B' L2 R2 D' B' U2 R2
B' L2 R2 B' U B' U
B2 L2 R2 B' U' F U'
B L2 R2 B' U B U
L' R2 B U' F' L' U'
L2 R2 B' L U' F' U'
L2 R2 B' L' U' F' U'
R2 L2 B' L U' F' U'
L2 R2 B' L2 U' F' U'
R2 L2 B' L' U' F' U'
L' R2 B' U' F' L' U'
R2 L2 B' L2 U' F' U'
L2 R2 B' U' D F' U'
L2 R2 B' U' D' F' U'
L2 R2 B' U' D2 F' U'
L2 R2 B' U' F' U' D
L2 R2 B' U' F' U' D'
L2 R2 B' U' F' U' D2
L2 R2 B' U' F' D U'
L2 R2 B' U' F' D' U'
L2 R2 B' U' F' D2 U'
R L2 B' R U' F' U'
R2 L2 B' U' D F' U'
R2 L2 B' U' D' F' U'
R2 L2 B' U' D2 F' U'
R2 L2 B' U' F' U' D
R2 L2 B' U' F' U' D'
R2 L2 B' U' F' U' D2
R2 L2 B' U' F' D U'
R2 L2 B' U' F' D' U'
R2 L2 B' U' F' D2 U'
L2 R2 B' D U' F' U'
R2 L2 B' D U' F' U'
L2 R2 B' D' U' F' U'
L2 R2 B' D2 U' F' U'
R2 L2 B' D' U' F' U'
R2 L2 B' D2 U' F' U'
L' R2 B2 U' F' L' U'
R2 U R U R F R
R2 U R U R' F R
R2 U R U R2 F R
R2 U R U D F R
R2 U R U D' F R
R2 U R U D2 F R
R2 U R U F R D
R2 U R U F R D'
R2 U R U F R D2
R2 U R U F D R
R2 U R U F D' R
R2 U R U F D2 R
R2 U R D U F R
R2 U R D' U F R
R2 U R D2 U F R
R2 U R B U F R
R2 U R B' U F R
R2 U R B2 U F R
B' L2 B' R2 U B' U
R2 U R2 D B U F
R2 U R2 D' B U F
D' L2 B' U F2 B2 U
D' L2 B' U B2 F2 U
R2 U R2 D2 B U F
D2 L2 B' D L2 U2 L2
B2 L2 B' R2 U' F U'
D' L2 B' U2 D' L2 R2
D' L2 B' U2 D' R2 L2
D' L2 B' D L2 R2 U2
D' L2 B' D R2 L2 U2
D' L2 B' D' U2 L2 R2
D' L2 B' D' U2 R2 L2
R2 U R2 B R U F
R2 U R2 B R' U F
R2 U R2 B R2 U F
R2 U R2 B U D F
R2 U R2 B U D' F
R2 U R2 B U D2 F
R2 U R2 B U F D
R2 U R2 B U F D'
R2 U R2 B U F D2
B L2 B' R2 U' F' U'
R2 U R2 B D U F
R2 U R2 B D' U F
R2 U R2 B D2 U F
R2 U D R U F R
R2 U D R2 B U F
R2 U D' R U F R
R2 U D' R2 B U F
L U D' F2 B R' U
L U D' B R' F2 U
L U D' B F2 R' U
R2 U D2 R U F R
R2 U D2 R2 B U F
R2 U B R U F R
L2 U B U D2 L2 F2
L2 U B U D2 F2 L2
L2 U B U' R2 B2 U2
R2 U B R2 B U F
L2 U B U' B2 R2 U2
R2 U B U F D R2
L2 U B D' R2 F2 U
R2 U B U2 F' U' F2
L2 U B D' F2 R2 U
L2 U B D2 U L2 F2
L2 U B D2 U F2 L2
L' U B' R' B2 U L
B' R D L2 R B' U2
B' R D L2 B' R U2
R2 U B' R U F R
B' R D R L2 B' U2
R2 U B' R2 B U F
R2 U B' U F D R2
R2 U B' U2 F' U' F2
B' R D' R U2 R F
R2 U B2 R U F R
R2 U B2 R2 B U F
R2 U B2 U F D R2
R2 U B2 U2 F' U' F2
R2 U' L F' L' U' F
R2 U' L' F' L U' F
R2 U' L2 F' L2 U' F
R2 U' L2 F' U B' U2
U2 R F2 L' D' F' R
U2 R F2 D' L' F' R
R2 U' D F' L U' F2
R2 U' D F' L' U' F2
R2 U' D F' L2 U' F2
R2 U' D F' U' F2 D
R2 U' D F' U' F2 D'
R2 U' D F' U' F2 D2
R2 U' D F' D' L2 U'
R2 U' D' F' L U' F2
R2 U' D' F' L' U' F2
R2 U' D' F' L2 U' F2
R2 U' D' F' U' F2 D
R2 U' D' F' U' F2 D'
R2 U' D' F' U' F2 D2
R2 U' D' F' D' L2 U'
R2 U' D2 F' L U' F2
R2 U' D2 F' L' U' F2
R2 U' D2 F' L2 U' F2
R2 U' D2 F' U' F2 D
R2 U' D2 F' U' F2 D'
R2 U' D2 F' U' F2 D2
R2 U' D2 F' D' L2 U'
R2 U' F L F2 U' F2
R2 U' F L' F2 U' F2
R2 U' F L2 F2 U' F2
R2 U' F' L U' F2 D
R2 U' F' L U' F2 D'
R2 U' F' L U' F2 D2
R2 U' F' L D' L2 U'
R2 U' F' L' U' F2 D
R2 U' F' L' U' F2 D'
R2 U' F' L' U' F2 D2
R2 U' F' L' D' L2 U'
R2 U' F' L2 U' F2 D
R2 U' F' L2 U' F2 D'
R2 U' F' L2 U' F2 D2
R2 U' F' L2 D' L2 U'
R2 U' F' U D2 B2 U2
R2 U' F' U B U2 F2
R2 U' F' U B' U2 F2
R2 U' F' U B2 U2 F2
R2 U' F' U' L' F2 L
R2 U' F' U' L2 F2 L2
R2 U' F' U' R F2 R'
R2 U' F' U' R2 F2 R2
R2 U' F' U' F D F
R2 U' F' U' F D' F
R2 U' F' U' F D2 F
R2 U' F' U' F' D F'
R2 U' F' U' F' D' F'
R2 U' F' U' F' D2 F'
R2 U' F' U2 R U F2
R2 U' F' U2 R' U F2
R2 U' F' U2 R2 U F2
R2 U' F' U2 D R2 U
R2 U' F' D U2 R2 U
D' R' U F2 U F' R
R2 U' F' D' L2 U' D
R2 U' F' D' L2 U' D'
R2 U' F' D' L2 U' D2
R2 U' F' D' L2 D U'
R2 U' F' D' L2 D' U'
R2 U' F' D' L2 D2 U'
R2 U' F' D2 U B2 U2
B' R' U B2 U F L
U R' U F R D2 L2
R2 U' F2 U' F' D R2
R2 U' F2 D F U' F2
R2 U' F2 D' F U' F2
R2 U' F2 D2 F U' F2
U R' U' R' U2 F R
B' R' D L2 R' B' U2
B' R' D R' L2 B' U2
B' R' D' R' U2 R' F
B' R' D' R' U2 F R'
R2 U2 R' D' F' R F2
R2 U2 R' F2 D' F' R
R2 U2 R2 U' B U F
R2 U2 R2 F U' B U
R2 U2 D F R D R2
R2 U2 D F R' D R2
R2 U2 D F R2 D R2
R2 U2 D F U F2 U'
R2 U2 D F D R2 D
R2 U2 D F D R2 D'
R2 U2 D F D R2 D2
R2 U2 D' F R D R2
R2 U2 D' F R' D R2
R2 U2 D' F R2 D R2
R2 U2 D' F U F2 U'
R2 U2 D' F D R2 D
R2 U2 D' F D R2 D'
R2 U2 D' F D R2 D2
U R' B2 U F L R
U R' B2 U F R L
R2 U2 D2 F R D R2
R2 U2 D2 F R' D R2
R2 U2 D2 F R2 D R2
R2 U2 D2 F U F2 U'
R2 U2 D2 F D R2 D
R2 U2 D2 F D R2 D'
R2 U2 D2 F D R2 D2
R2 U2 F L D L' R2
R2 U2 F L D R2 L'
R2 U2 F L' D L R2
R2 U2 F L' D R2 L
R2 U2 F R U F2 U'
R2 U2 F R D R2 D
R2 U2 F R D R2 D'
R2 U2 F R D R2 D2
R2 U2 F R' U F2 U'
B' R2 L2 D L2 U2 F
R2 U2 F R' D R2 D
R2 U2 F R' D R2 D'
R2 U2 F R' D R2 D2
B' R2 L2 D B' L2 U2
R2 U2 F R2 U F2 U'
R2 U2 F R2 D R2 D
R2 U2 F R2 D R2 D'
R2 U2 F R2 D R2 D2
B' R2 L2 D' B' U2 R2
R2 U2 F U F2 U' D
R2 U2 F U F2 U' D'
R2 U2 F U F2 U' D2
R2 U2 F U F2 D U'
R2 U2 F U F2 D' U'
R2 U2 F U F2 D2 U'
R2 U2 F U' D2 B2 U
R2 U2 F U2 D' L2 U2
R2 U2 F D R D R
R2 U2 F D R D' R
R2 U2 F D R D2 R
R2 U2 F D R' D R'
R2 U2 F D R' D' R'
R2 U2 F D R' D2 R'
R2 U2 F D F' R2 F
R2 U2 F D F2 R2 F2
R2 U2 F D B R2 B'
R2 U2 F D B2 R2 B2
R2 U2 F D' R D2 R2
R2 U2 F D' R' D2 R2
R2 U2 F D' R2 D2 R2
R2 U2 F D' U2 L2 U2
R2 U2 F D2 R D' R2
R2 U2 F D2 R' D' R2
R2 U2 F D2 R2 D' R2
B' R2 L2 B' U B' U
R2 U2 F D2 U' B2 U
R2 U2 F B D R2 B'
R2 U2 F B D B' R2
R2 U2 F B' D B R2
B2 R2 L2 B' U' F U'
B' R2 U R B2 U F
B' R2 U R' B2 U F
R2 U2 F' R F2 D R2
B' R2 U R2 B2 U F
R2 U2 F' R' F2 D R2
B2 R2 U R B' U F
R2 U2 F' R2 F2 D R2
B R2 L2 B' U B U
B2 R2 U R' B' U F
B2 R2 U R2 B' U F
B2 R2 U D B' U F
B2 R2 U D' B' U F
B2 R2 U D2 B' U F
B R2 U R U R' F
B R2 U R U F R'
B R2 U R' U R F
B' R2 U B2 R U F
B' R2 U B2 R' U F
B' R2 U B2 R2 U F
B' R2 U B2 U D F
B' R2 U B2 U D' F
B' R2 U B2 U D2 F
B' R2 U B2 U F D
B' R2 U B2 U F D'
B' R2 U B2 U F D2
B' R2 U B2 D U F
B' R2 U B2 D' U F
B' R2 U B2 D2 U F
B R2 U R2 U R2 F
B R2 U R2 U F R2
B2 R2 U B' R U F
B2 R2 U B' R' U F
B2 R2 U B' R2 U F
B2 R2 U B' U D F
B2 R2 U B' U D' F
B2 R2 U B' U D2 F
B2 R2 U B' U F D
B2 R2 U B' U F D'
B2 R2 U B' U F D2
B2 R2 U B' D U F
B2 R2 U B' D' U F
B2 R2 U B' D2 U F
R2 U2 F2 U F U' F2
B' R2 U' D2 F2 U' F'
D2 R2 U' F' U' L2 F2
D2 R2 U' F' U' F2 L2
R U2 F2 L' D' F' R
U' R2 U' F' R2 U' F2
R2 U2 F2 D F' D R2
R2 U2 F2 D' F' D R2
R2 U2 F2 D2 F' D R2
B' R2 U2 R D' R2 F
B' R2 U2 R D' F R2
B' R2 U2 R F D' R2
R U2 F2 D' L' F' R
B' R2 U2 R' D' R2 F
B' R2 U2 R' D' F R2
B' R2 U2 R' F D' R2
B' R2 U2 R2 D' R2 F
B' R2 U2 R2 D' F R2
D R2 U' F' B2 U' F2
B' R2 U2 R2 F D' R2
B' R2 U2 D F D2 R2
B' R2 U2 D' R' F R'
B' R2 U2 D' R2 D F
B' R2 U2 D' R2 D' F
B' R2 U2 D' R2 D2 F
B' R2 U2 D' R2 F D
B' R2 U2 D' R2 F D'
B' R2 U2 D' R2 F D2
D2 R2 U2 F L2 D R2
B' R2 U2 D' F R2 D
B' R2 U2 D' F R2 D'
B' R2 U2 D' F R2 D2
B' R2 U2 D' F' R2 F2
B' R2 U2 F R D' R2
B' R2 U2 F R' D' R2
B' R2 U2 F R2 D' R2
B' R2 U2 F U' B2 U
U' R2 U2 F D R2 B2
U' R2 U2 F D B2 R2
B' R2 U2 F D' R2 D
B' R2 U2 F D' R2 D'
B' R2 U2 F D' R2 D2
D R2 U' B2 F' U' F2
B' R2 U2 F2 D' F' R2
B2 R2 U2 F U' B' U
R2 U2 B F D R2 B'
R2 U2 B F D B' R2
U2 R2 U2 F D R2 B
B' R2 D L2 D B' U2
B' R2 D L2 D' B' U2
B' R2 D L2 D2 B' U2
B' R2 D L2 B' U2 D
B' R2 D L2 B' U2 D'
B' R2 D L2 B' U2 D2
B' R2 D L2 B' D U2
B' R2 D L2 B' D' U2
B' R2 D L2 B' D2 U2
B R2 U2 F U F' U'
D R2 U2 F D L2 R2
D R2 U2 F D R2 L2
B R2 U2 F2 D F' R2
B' R2 D U2 F D2 R2
B2 R2 D U B' U F
B' R2 D B L2 B' U2
B' R2 D B' L2 B' U2
B' R2 D B2 L2 B' U2
R2 U2 B' F D B R2
B' R2 D' L2 B' U2 R2
B' R2 D' U2 R' F R'
B' R2 D' U2 R2 D F
B' R2 D' U2 R2 D' F
B' R2 D' U2 R2 D2 F
B' R2 D' U2 R2 F D
B' R2 D' U2 R2 F D'
B' R2 D' U2 R2 F D2
B' R2 D' U2 F R2 D
B' R2 D' U2 F R2 D'
B' R2 D' U2 F R2 D2
B' R2 D' U2 F' R2 F2
B2 R2 D' U B' U F
B' R2 D' B U2 R2 F
B' R2 D' B U2 F R2
B' R2 D' B' U2 R2 F
B' R2 D' B' U2 F R2
B' R2 D' B2 U2 R2 F
B' R2 D' B2 U2 F R2
B' R2 D2 U' F2 U' F'
B2 R2 D2 U B' U F
D2 R2 F L2 D R2 B
R2 D L' U' F' L' U'
F' R2 F U' F2 U' F'
F' R2 F U2 D R2 F
F' R2 F U2 D F R2
F' R2 F D U2 R2 F
F' R2 F D U2 F R2
F' R2 F D' L2 B' U2
U2 R2 F D R2 D2 L2
D R2 F D L2 R2 B
D R2 F D R2 L2 B
D R2 F D R2 B L2
D2 R2 F' U' L2 F2 B'
D2 R2 F' U' L2 B' F2
R D L2 R B' L U2
R2 D L2 B' U' F' U'
R' D R' U' F' U' F2
R D L2 B' L R U2
R' D R' U2 F D R2
R D L2 B' R L U2
R D R L2 B' L U2
F2 R2 F2 B U' F U'
B' R2 B U B U F
R D R B U2 R' F
R D R B U2 F R'
B2 R2 B U B2 U F
R D R B2 U2 F R
B2 R2 B U2 D' R2 F
B2 R2 B U2 D' F R2
B2 R2 B U2 F D' R2
B2 R2 B D L2 B' U2
B2 R2 B D' U2 R2 F
B2 R2 B D' U2 F R2
B R2 B U B' U F
F2 R2 B F2 U' F U'
B' R2 B' U B' U F
B R2 B' U B U F
R2 D U R U F R
R2 D U R2 B U F
B2 R2 B2 U B U F
B R2 B2 U B2 U F
B R2 B2 U2 D' R2 F
B R2 B2 U2 D' F R2
B R2 B2 U2 F D' R2
B R2 B2 D L2 B' U2
B R2 B2 D' U2 R2 F
B R2 B2 D' U2 F R2
R2 D U' F' L U' F2
R2 D U' F' L' U' F2
R2 D U' F' L2 U' F2
R2 D U' F' U' F2 D
R2 D U' F' U' F2 D'
R2 D U' F' U' F2 D2
R2 D U' F' D' L2 U'
R2 D U2 F R D R2
R2 D U2 F R' D R2
R2 D U2 F R2 D R2
R2 D U2 F U F2 U'
R2 D U2 F D R2 D
R2 D U2 F D R2 D'
R2 D U2 F D R2 D2
D2 U R' U F L2 R
D2 U R' U F R L2
B' U R' B2 U F L
R2 D B U' F' U' F2
R2 D B U2 F D R2
R D B R U2 R2 F
R D B R U2 F R2
U2 D R2 F D L2 R2
U2 D R2 F D R2 L2
R2 D B' U' F' U' F2
R2 D B' U2 F D R2
R2 D B2 U' F' U' F2
R2 D B2 U2 F D R2
B' U D' F2 U F' R2
B2 U D' F2 B' U F'
R D B2 R U2 F R
B2 U D' B' F2 U F'
D2 U F' B U L2 F2
D2 U F' B U F2 L2
D' U F2 D B U F'
B2 U D2 B' U F L2
D' U F2 D' B U F'
D' U F2 D2 B U F'
D' U F2 B U D F'
D' U F2 B U D' F'
D' U F2 B U D2 F'
D' U F2 B U F' D
D' U F2 B U F' D'
D' U F2 B U F' D2
D' U F2 B D U F'
D' U F2 B D' U F'
D' U F2 B D2 U F'
D2 U F2 B U L2 F'
D2 U F2 B U F' L2
B U D2 F L2 D' B2
R2 D' L' U' F' L' U'
D' U B R F2 U F'
D2 U B R U F L2
D' U B R' F2 U F'
D2 U B R' U F L2
D' U B R2 F2 U F'
D2 U B R2 U F L2
D' U B U D' F L2
D2 U B U F L2 D
D2 U B U F L2 D'
D2 U B U F L2 D2
D2 U B U F' L2 F2
D2 U B U F2 L2 F'
D' U B D' U F L2
D2 U B D F2 U F'
D' U B F2 U D F'
D' U B F2 U D' F'
D' U B F2 U D2 F'
D' U B F2 U F' D
D' U B F2 U F' D'
D' U B F2 U F' D2
D' U B F2 D U F'
D' U B F2 D' U F'
D2 U B F' U L2 F2
D' U B F2 D2 U F'
D2 U B F' U F2 L2
D2 U B F2 U L2 F'
D2 U B F2 U F' L2
B U F D2 L2 D' B2
D U B R2 F' U F2
D U B U2 B U' F
R2 D' L2 B' U' F' U'
U D B R2 F' U F2
U D B U2 B U' F
R' D' R' U' F' U' F2
R' D' R' U2 F D R2
U' D B2 U2 B' U F
R D' R U2 F' R F2
B2 U B' U D2 F L2
B2 U B' U F D2 L2
B2 U B' U' R2 U2 F
B2 U B' D' F2 U F'
B2 U B' D2 U F L2
B' U B2 U D2 F L2
B' U B2 U F D2 L2
R2 D' U R U F R
B' U B2 U' R2 U2 F
R2 D' U R2 B U F
B' U B2 D' F2 U F'
B' U B2 D2 U F L2
L D' U F2 B R' U
L D' U B R' F2 U
R2 D' U' F' L U' F2
R2 D' U' F' L' U' F2
R2 D' U' F' L2 U' F2
R2 D' U' F' U' F2 D
R2 D' U' F' U' F2 D'
R2 D' U' F' U' F2 D2
L D' U B F2 R' U
R2 D' U' F' D' L2 U'
R2 D' U2 F R D R2
R2 D' U2 F R' D R2
R2 D' U2 F R2 D R2
R2 D' U2 F U F2 U'
R2 D' U2 F D R2 D
R2 D' U2 F D R2 D'
R2 D' U2 F D R2 D2
U2 D' F U' F B U
U2 D' F U' B F U
R2 D' B U' F' U' F2
R2 D' B U2 F D R2
L2 D' B' U F2 B2 U
L2 D' B' U B2 F2 U
L2 D' B' U2 D' L2 R2
L2 D' B' U2 D' R2 L2
L2 D' B' D L2 R2 U2
L2 D' B' D R2 L2 U2
L2 D' B' D' U2 L2 R2
L2 D' B' D' U2 R2 L2
R2 D' B' U' F' U' F2
B U' R2 U' R2 U' F
R2 D' B' U2 F D R2
B U' R2 U2 D F B2
B U' R2 U2 D B2 F
B U' R2 U2 F D B2
B U' R2 D U2 F B2
B U' R2 D U2 B2 F
B U' R2 D' F2 U2 F'
U2 D' F2 B U F' B'
U2 D' F2 B U B' F'
R2 D' B2 U' F' U' F2
R2 D' B2 U2 F D R2
U D' F2 D B U F'
U D' F2 D' B U F'
U D' F2 D2 B U F'
U D' F2 B U D F'
U D' F2 B U D' F'
U D' F2 B U D2 F'
U D' F2 B U F' D
U D' F2 B U F' D'
U D' F2 B U F' D2
U D' F2 B D U F'
U D' F2 B D' U F'
U D' F2 B D2 U F'
U2 D' B F2 U F' B'
U2 D' B F2 U B' F'
U D' B R F2 U F'
U D' B R' F2 U F'
B' U' D2 F2 U' L2 F'
B' U' D2 F2 U' F' L2
U D' B R2 F2 U F'
U D' B U D' F L2
U D' B D' U F L2
U D' B F2 U D F'
U D' B F2 U D' F'
U D' B F2 U D2 F'
U D' B F2 U F' D
U D' B F2 U F' D'
U D' B F2 U F' D2
U D' B F2 D U F'
U D' B F2 D' U F'
U D' B F2 D2 U F'
R2 D2 L' U' F' L' U'
D U' B2 U2 B' U F
R2 D2 L2 B' U' F' U'
R' D2 R' U' F' U' F2
R' D2 R' U2 F D R2
F U' B U' R2 U2 B
F U' B U' F' R2 U2
R2 D2 U R U F R
R2 D2 U R2 B U F
D2 U2 R2 F L2 D R2
R2 D2 U' F' L U' F2
U D2 R' U F L2 R
U D2 R' U F R L2
R2 D2 U' F' L' U' F2
R2 D2 U' F' L2 U' F2
R2 D2 U' F' U' F2 D
R2 D2 U' F' U' F2 D'
R2 D2 U' F' U' F2 D2
R2 D2 U' F' D' L2 U'
D2 U2 F L2 U' B U
U2 D2 R2 F L2 D R2
D' U2 F U' F B U
D' U2 F U' B F U
D2 U2 F U' B U L2
R2 D2 U2 F R D R2
R2 D2 U2 F R' D R2
R2 D2 U2 F R2 D R2
R2 D2 U2 F U F2 U'
R2 D2 U2 F D R2 D
R2 D2 U2 F D R2 D'
R2 D2 U2 F D R2 D2
U2 D2 F L2 U' B U
D U2 R2 F D L2 R2
D U2 R2 F D R2 L2
U2 D2 F U' B U L2
D' U2 F2 B U F' B'
D' U2 F2 B U B' F'
D2 U2 B U F B' L2
U D2 F' B U L2 F2
U D2 F' B U F2 L2
D2 U2 B U B' F L2
D' U2 B F2 U F' B'
D' U2 B F2 U B' F'
U2 D2 B U F B' L2
U2 D2 B U B' F L2
U D2 F2 B U L2 F'
U D2 F2 B U F' L2
R2 D2 B U' F' U' F2
R2 D2 B U2 F D R2
U D2 B R U F L2
U D2 B R' U F L2
U D2 B R2 U F L2
U D2 B U F L2 D
U D2 B U F L2 D'
U D2 B U F L2 D2
U D2 B U F' L2 F2
U D2 B U F2 L2 F'
L2 D2 B' U B2 U L2
L2 D2 B' U2 L2 D' R2
U D2 B D F2 U F'
R2 D2 B' U' F' U' F2
U D2 B F' U L2 F2
U D2 B F' U F2 L2
R2 D2 B' U2 F D R2
U D2 B F2 U L2 F'
U D2 B F2 U F' L2
F U2 R2 U' F' U' B
B' U2 D' R2 D' F L2
R2 D2 B2 U' F' U' F2
R2 D2 B2 U2 F D R2
B U2 D B2 U' F B2
B U2 D B2 U' B2 F
B' U2 F D' R2 D' L2
B' U2 F D2 L2 D R2
D2 F L2 B' D' R2 B
F U2 F' R2 U' F' U'
U2 F U' D' F2 B U
U2 F U' D' B F2 U
U2 F U' D2 B U L2
U2 F U' B U D2 L2
U2 F U' B U' R2 U2
U2 F U' B D' F2 U
U2 F U' B D2 U L2
U2 F U2 R2 U' F' U'
B' D L2 U2 D L2 F
B' D L2 D U2 L2 F
B' D L2 D B' U2 L2
B' D L2 D' R2 B' U2
B' D L2 D' B' R2 U2
B' D L2 B' U' B' U'
R2 F D R2 D2 L2 B
R2 F D R2 D2 B L2
R2 F D R2 B D2 L2
R2 F D F' U2 R2 F
R2 F D F' U2 F R2
U2 F D' U' F2 B U
U2 F D' U' B F2 U
R2 F D' L2 F' U2 F
R2 F D' F' L2 B' U2
U2 F D2 L2 U' B U
U2 F D2 U' B U L2
U F D' F2 B U F2
U F D' B F2 U F2
D2 F B' L2 D' R2 B
U F B D' F2 U F2
B D U2 B2 U' F B2
B D U2 B2 U' B2 F
D2 F' L2 F2 B' D' R2
D2 F' L2 B' F2 D' R2
F2 D' L2 F2 B U F
F2 D' L2 B F2 U F
U F' D B R2 F' U
D2 F' B U L2 F2 B'
D2 F' B U L2 B' F2
B' D' U F2 U F' R2
U F' B R U F2 L'
U F' B U F2 D2 L2
U F' B U' R2 U2 F2
B2 D' U F2 B' U F'
B2 D' U B' F2 U F'
B' D' U2 R2 D' F L2
B' D' F2 U F' R2 B
F2 D' B L2 F2 U F
B D' F2 U D2 F' B2
B D' F2 U D2 B2 F'
B D' F2 U' F2 U2 F
B D' F2 D' L2 U F'
B D' F2 D2 U F' B2
B D' F2 D2 U B2 F'
F D' B' D' L2 R2 B
F D' B' D' R2 L2 B
F D' B' D' R2 B L2
R2 F2 U2 F' D R2 B
D' F2 D' L2 B U F'
D' F2 D' B L2 U F'
D' F2 D2 B U F' B
D' F2 D2 B U B F'
