R' F2 L' U L
R' L U2 R U' L'
B2 L U' L' D' R2
B2 L U' D' L' R2
B2 L U' D' R2 L'
B2 L U2 B2 U L'
B2 L D' U' L' R2
B2 L D' U' R2 L'
R' L' U2 R U' L
L' R' U2 R U' L
L R' U2 R U' L'
L2 R' U2 R U' L2
L2 R' D F2 L' U
L' R' F2 L' U L2
R' L' F2 L' U L2
L2 R' F2 L' U L'
R' L2 U2 R U' L2
R' L2 D F2 L' U
R' L2 F2 L' U L'
U2 R' U' R U2 R'
R' U2 R U R' U2
R' U2 R B2 U' L
F' R' F2 L' U L
F2 R' F2 L' U L
D2 R' F2 L' U L
D' R' F2 L' U L
D R' F2 L' U L
F R' F2 L' U L
L2 D R' F2 L' U
R' D F2 L' U L
R' D' F2 L' U L
R2 D2 L2 R U L2
R2 D2 R L2 U L2
B' U' B R' U B'
B2 U' B2 R' U B2
R' D2 F2 L' U L
R' F' L U L' B'
B2 D' L U' L' R2
B2 D' L U' R2 L'
R' F2 L' U L D
R' F2 L' U L D'
R' F2 L' U L D2
R' F2 L' U D L
R' F2 L' U D' L
R' F2 L' U D2 L
R' F2 L' D U L
R' F2 L' D' U L
R' F2 L' D2 U L
R' F2 L' F U L
R' F2 L' F' U L
R' F2 L' F2 U L
R' F2 D L' U L
R' F2 D' L' U L
R' F2 D2 L' U L
B2 D2 F2 L U' L'
R' L2 D F2 L' D2 U
R' L2 D F2 D L' U
R' L2 D F2 D' L' U
R' L2 D F2 D2 L' U
R' L2 D' U2 R B2 U'
R' L2 D' U2 B2 R U'
L' R2 D2 L2 R U L'
L' R2 D2 R L2 U L'
L R2 D2 L2 R U L
L R2 D2 R L2 U L
D2 L2 R' U2 R U' L2
D' L2 R' U2 R U' L2
F' L2 R' U2 R U' L2
D2 L2 R' D F2 L' U
D' L2 R' D F2 L' U
F' L2 R' D F2 L' U
F2 L2 R' U2 R U' L2
F2 L2 R' D F2 L' U
U' L2 R' D' B2 U B2
D L2 R' U2 R U' L2
D2 L2 R' F2 L' U L'
D' L2 R' F2 L' U L'
F' L2 R' F2 L' U L'
D L2 R' D F2 L' U
F L2 R' U2 R U' L2
F2 L2 R' F2 L' U L'
F L2 R' D F2 L' U
D L2 R' F2 L' U L'
F L2 R' F2 L' U L'
R' L2 F' L' U L' B'
R' L2 F' U L' B' L'
R' L2 F2 L' U L' D
R' L2 F2 L' U L' D'
R' L2 F2 L' U L' D2
R' L2 F2 L' U D L'
R' L2 F2 L' U D' L'
R' L2 F2 L' U D2 L'
R' L2 F2 L' D U L'
R' L2 F2 L' D' U L'
R' L2 F2 L' D2 U L'
R' L2 F2 D L' F2 U
U2 L2 U2 L2 R' U L2
U2 L2 U2 R' L2 U L2
B' L2 U2 B R' U L2
D2 L2 D R' F2 L' U
D' L2 D R' F2 L' U
F' L2 D R' F2 L' U
F2 L2 D R' F2 L' U
D L2 D R' F2 L' U
F L2 D R' F2 L' U
B2 L2 D' L' B2 U' R2
U' L2 D' R' B2 U B2
B2 L2 D' B2 L' U' R2
B L2 F L U' L F
B L2 F U' L F L
B L2 F B L U' L
R' U R F U' F' R'
R' U R F' U' R' F
R' U R F' U' F R'
R' U R F2 U' R' F2
R' U R F2 U' F2 R'
R U R' U' R D' F2
R U R' U2 R' U R2
B L2 B F L U' L
R2 U R2 U2 R' U R'
R U D' R' U' R F2
R U D2 L2 R' U' R
R U D2 R' L2 U' R
R2 U F2 L' R2 U' R2
R2 U F2 R2 L' U' R2
R' U B U R B' U'
R' U B U B' R U'
B2 R U' B2 L R' U
B2 R U' B2 R' L U
R' U B' U B R U'
R' U B2 U R B2 U'
R' U B2 U B2 R U'
L' U' L R D' F2 R
L' U' L F2 R D' F2
L' U' R L D' F2 R
L' U' R D' L F2 R
R2 U' R U2 R U' R'
R U' R2 U2 R U' R'
B2 R B2 L R' U L'
B2 R B2 R' L U L'
D2 R' L U2 R U' L'
D' R' L U2 R U' L'
F' R' L U2 R U' L'
F2 R' L U2 R U' L'
D R' L U2 R U' L'
D2 R' L' U2 R U' L
D' R' L' U2 R U' L
F R' L U2 R U' L'
F' R' L' U2 R U' L
F2 R' L' U2 R U' L
D2 R' L' F2 L' U L2
D' R' L' F2 L' U L2
F' R' L' F2 L' U L2
D R' L' U2 R U' L
U' R' L' B2 U R' B2
F2 R' L' F2 L' U L2
D2 R' L2 U2 R U' L2
D' R' L2 U2 R U' L2
F R' L' U2 R U' L
D2 R' L2 D F2 L' U
D' R' L2 D F2 L' U
F' R' L2 U2 R U' L2
D R' L' F2 L' U L2
F' R' L2 D F2 L' U
U' R' L2 D' B2 U B2
F2 R' L2 U2 R U' L2
D2 R' L2 F2 L' U L'
D' R' L2 F2 L' U L'
F R' L' F2 L' U L2
F2 R' L2 D F2 L' U
F' R' L2 F2 L' U L'
D R' L2 U2 R U' L2
D R' L2 D F2 L' U
F2 R' L2 F2 L' U L'
F R' L2 U2 R U' L2
D R' L2 F2 L' U L'
F R' L2 D F2 L' U
F R' L2 F2 L' U L'
R' U' F2 U L' F2 U
U2 R' U' L R U2 R'
U2 R' U' L' R U2 R'
U2 R' U' L2 R U2 R'
U2 R' U' R L U2 R'
U2 R' U' R L' U2 R'
U2 R' U' R L2 U2 R'
U2 R' U' R U2 R' D
U2 R' U' R U2 R' D'
U2 R' U' R U2 R' D2
U2 R' U' R U2 D R'
U2 R' U' R U2 D' R'
U2 R' U' R U2 D2 R'
U2 R' U' R D U2 R'
U2 R' U' R D' U2 R'
U2 R' U' R D2 U2 R'
U2 R' U' D R U2 R'
U2 R' U' D' R U2 R'
U2 R' U' D2 R U2 R'
D2 R' U2 R U R' U2
D' R' U2 R U R' U2
D2 R' U2 R B2 U' L
D' R' U2 R B2 U' L
F' R' U2 R U R' U2
F' R' U2 R B2 U' L
F2 R' U2 R U R' U2
F2 R' U2 R B2 U' L
D R' U2 R U R' U2
D R' U2 R B2 U' L
F R' U2 R U R' U2
F R' U2 R B2 U' L
D2 R' D F2 L' U L
D' R' D F2 L' U L
F' R' D F2 L' U L
U2 R' D U' R U2 R'
F2 R' D F2 L' U L
D R' D F2 L' U L
F R' D F2 L' U L
D2 R' D' F2 L' U L
D' R' D' F2 L' U L
F' R' D' F2 L' U L
U2 R' D' U' R U2 R'
F2 R' D' F2 L' U L
D R' D' F2 L' U L
D2 R' D2 F2 L' U L
F R' D' F2 L' U L
D' R' D2 F2 L' U L
F' R' D2 F2 L' U L
U2 R' D2 U' R U2 R'
F2 R' D2 F2 L' U L
D R' D2 F2 L' U L
F R' D2 F2 L' U L
D2 R' F' L U L' B'
D' R' F' L U L' B'
F' R' F' L U L' B'
F2 R' F' L U L' B'
R' U2 R U R' U2 D
R' U2 R U R' U2 D'
R' U2 R U R' U2 D2
R' U2 R U R' D U2
R' U2 R U R' D' U2
R' U2 R U R' D2 U2
R' U2 R U D R' U2
R' U2 R U D' R' U2
R' U2 R U D2 R' U2
R' U2 R U' B2 L B2
D R' F' L U L' B'
R' U2 R D U R' U2
R' U2 R D B2 U' L
R' U2 R D' U R' U2
R' U2 R D' B2 U' L
R' U2 R D2 U R' U2
R' U2 R D2 B2 U' L
F R' F' L U L' B'
D2 R' F2 L' U L D
D2 R' F2 L' U L D'
D2 R' F2 L' U L D2
D2 R' F2 L' U D L
D2 R' F2 L' U D' L
D2 R' F2 L' U D2 L
D' R' F2 L' U L D
D' R' F2 L' U L D'
D' R' F2 L' U L D2
D' R' F2 L' U D L
D' R' F2 L' U D' L
D' R' F2 L' U D2 L
D2 R' F2 L' D U L
D2 R' F2 L' D' U L
D2 R' F2 L' D2 U L
D' R' F2 L' D U L
D2 R' F2 L' F U L
D' R' F2 L' D' U L
D' R' F2 L' D2 U L
D2 R' F2 L' F' U L
D' R' F2 L' F U L
D2 R' F2 L' F2 U L
D' R' F2 L' F' U L
D' R' F2 L' F2 U L
F' R' F2 L' U L D
F' R' F2 L' U L D'
F' R' F2 L' U L D2
F' R' F2 L' U D L
F' R' F2 L' U D' L
F' R' F2 L' U D2 L
F' R' F2 L' D U L
F' R' F2 L' D' U L
F' R' F2 L' D2 U L
F' R' F2 L' F U L
F' R' F2 L' F' U L
F' R' F2 L' F2 U L
R' U2 R B2 U' L D
R' U2 R B2 U' L D'
R' U2 R B2 U' L D2
R' U2 R B2 U' D L
R' U2 R B2 U' D' L
R' U2 R B2 U' D2 L
R' U2 R B2 D U' L
R' U2 R B2 D' U' L
R' U2 R B2 D2 U' L
F2 R' F2 L' U L D
F2 R' F2 L' U L D'
F2 R' F2 L' U L D2
F2 R' F2 L' U D L
F2 R' F2 L' U D' L
F2 R' F2 L' U D2 L
F2 R' F2 L' D U L
F2 R' F2 L' D' U L
F2 R' F2 L' D2 U L
F2 R' F2 L' F U L
F2 R' F2 L' F' U L
F2 R' F2 L' F2 U L
D2 R' F2 D L' U L
D' R' F2 D L' U L
D2 R' F2 D' L' U L
D' R' F2 D' L' U L
F' R' F2 D L' U L
D2 R' F2 D2 L' U L
D' R' F2 D2 L' U L
D R' F2 L' U L D
D R' F2 L' U L D'
D R' F2 L' U L D2
D R' F2 L' U D L
D R' F2 L' U D' L
D R' F2 L' U D2 L
D R' F2 L' D U L
D R' F2 L' D' U L
D R' F2 L' D2 U L
D R' F2 L' F U L
D R' F2 L' F' U L
F' R' F2 D' L' U L
D R' F2 L' F2 U L
F' R' F2 D2 L' U L
U2 R' F2 U L' D R2
U2 R' F2 U D L' R2
U2 R' F2 U D R2 L'
F2 R' F2 D L' U L
F R' F2 L' U L D
F R' F2 L' U L D'
F R' F2 L' U L D2
F R' F2 L' U D L
F R' F2 L' U D' L
F R' F2 L' U D2 L
F R' F2 L' D U L
F R' F2 L' D' U L
F R' F2 L' D2 U L
F2 R' F2 D' L' U L
F R' F2 L' F U L
U2 R' F2 D U L' R2
U2 R' F2 D U R2 L'
F R' F2 L' F' U L
F R' F2 L' F2 U L
L2 U2 R' U L2 D2 R2
F2 R' F2 D2 L' U L
U2 R' F2 D2 B2 U L'
D R' F2 D L' U L
D R' F2 D' L' U L
D R' F2 D2 L' U L
F R' F2 D L' U L
F R' F2 D' L' U L
R' U2 R2 D R' B2 U'
F R' F2 D2 L' U L
R' U2 R2 D2 R' U' L2
U2 R' B U' R U2 R'
R' U2 D R U R' U2
R' U2 D R B2 U' L
R2 U2 R2 D B2 L U'
U2 R' B' U' R U2 R'
U' R' B2 L' U B2 R'
R' U2 D' R U R' U2
R' U2 D' R B2 U' L
U' R' B2 U B2 D' R2
U2 R' B2 U' R U2 R'
R' U2 D2 R U R' U2
R' U2 D2 R B2 U' L
R U2 D' R' U' F2 L'
R' U2 B R U R' U2
R' U2 B R B2 U' L
R' U2 B' R U R' U2
R' U2 B' R B2 U' L
R' U2 B2 R U R' U2
R' U2 B2 R B2 U' L
R' D L U2 R U' L'
L2 D L R' F2 L' U
D2 R2 D2 L2 R U L2
D' R2 D2 L2 R U L2
R2 D L R U L' B2
R2 D L R U B2 L'
D2 R2 D2 R L2 U L2
D' R2 D2 R L2 U L2
F' R2 D2 L2 R U L2
F' R2 D2 R L2 U L2
F2 R2 D2 L2 R U L2
F2 R2 D2 R L2 U L2
R' D L' U2 R U' L
D R2 D2 L2 R U L2
D R2 D2 R L2 U L2
R' D L' F2 L' U L2
L2 D L' R' F2 L' U
R2 D L' R U L B2
F R2 D2 L2 R U L2
F R2 D2 R L2 U L2
R' D L2 U2 R U' L2
R' D L2 D F2 L' U
R' D L2 F2 L' U L'
L2 D L2 R' F2 L' U
R2 D L2 R U L2 B2
R2 D L2 R U B2 L2
R2 D R L U L' B2
R2 D R L U B2 L'
R2 D R L' U L B2
R2 D R L2 U L2 B2
R2 D R L2 U B2 L2
R2 D R U B2 D L2
R2 D R D L2 U L2
L' D R' U2 R U' L
L2 D R' L F2 L' U
L2 D R' L' F2 L' U
L2 D R' L2 F2 L' U
L' D R' F2 L' U L2
L2 D R' F2 L' U D
L2 D R' F2 L' U D'
L2 D R' F2 L' U D2
L2 D R' F2 L' D U
L2 D R' F2 L' D' U
L2 D R' F2 L' D2 U
L2 D R' F2 D L' U
L2 D R' F2 D' L' U
L2 D R' F2 D2 L' U
L D R' U2 R U' L'
R2 D R' B2 D' R2 F2
R2 D R' B2 D' F2 R2
R' D U2 R U R' U2
R' D U2 R B2 U' L
B2 U L U2 B2 U B2
R' D F' L U L' B'
R' D F2 L' U L D
R' D F2 L' U L D'
R' D F2 L' U L D2
R' D F2 L' U D L
R' D F2 L' U D' L
R' D F2 L' U D2 L
R' D F2 L' D U L
R' D F2 L' D' U L
R' D F2 L' D2 U L
R' D F2 L' F U L
R' D F2 L' F' U L
R' D F2 L' F2 U L
R' D F2 D L' U L
R' D F2 D' L' U L
R' D F2 D2 L' U L
L2 D F2 R' U2 R U'
U2 D R' U' R U2 R'
R2 D B2 R' D' R2 F2
R2 D B2 R' D' F2 R2
R' D' L U2 R U' L'
R2 D B2 U' R B2 U
R2 D B2 U' B2 R U
R' D' L' U2 R U' L
R' D' L' F2 L' U L2
R' D' L2 U2 R U' L2
R' D' L2 D F2 L' U
R' D' L2 F2 L' U L'
R2 D' R D' L2 U L2
L' D' R' U2 R U' L
L' D' R' F2 L' U L2
L2 D' R' U2 R B2 U'
L2 D' R' U2 B2 R U'
L2 D' R' D2 F2 L' U
L D' R' U2 R U' L'
R' D' U2 R U R' U2
R' D' U2 R B2 U' L
R D' U R' U' R F2
B' U' L B R' U B'
R' D' F' L U L' B'
B' U' L' B R' U B'
R D' U2 R' U' F2 L'
U2 D' R' U' R U2 R'
B' U' L2 B R' U B'
R' D' F2 L' U L D
R' D' F2 L' U L D'
R' D' F2 L' U L D2
R' D' F2 L' U D L
R' D' F2 L' U D' L
R' D' F2 L' U D2 L
R' D' F2 L' D U L
R' D' F2 L' D' U L
R' D' F2 L' D2 U L
R' D' F2 L' F U L
R' D' F2 L' F' U L
R' D' F2 L' F2 U L
R' D' F2 D L' U L
R' D' F2 D' L' U L
R' D' F2 D2 L' U L
B2 U' R B2 R' U B2
R D' F2 U R' U' R
B2 U' R' B2 R' U B2
B2 U' R2 B2 R' U B2
L2 D' B2 L U' D' R2
L2 D' B2 L U2 B2 U
L2 D' B2 L D' U' R2
L2 D' B2 L D2 F2 U'
R' D2 L U2 R U' L'
L2 D' B2 U2 B2 R' U
L2 D' B2 D' L U' R2
L2 D' B2 D2 L F2 U'
L2 D' B2 D2 F2 L U'
R' D2 L' U2 R U' L
R' D2 L' F2 L' U L2
R' D2 L2 U2 R U' L2
R' D2 L2 D F2 L' U
R' D2 L2 F2 L' U L'
R2 D2 L2 R U L2 D
R2 D2 L2 R U L2 D'
R2 D2 L2 R U L2 D2
R2 D2 L2 R D F2 U
R2 D2 L2 R F U L2
R2 D2 L2 R F' U L2
R2 D2 L2 R F2 U L2
R2 D2 L2 D R F2 U
R2 D2 R L2 U L2 D
R2 D2 R L2 U L2 D'
R2 D2 R L2 U L2 D2
R2 D2 R L2 D F2 U
R2 D2 R L2 F U L2
R2 D2 R L2 F' U L2
R2 D2 R L2 F2 U L2
L' D2 R' U2 R U' L
R2 D2 R F L2 U L2
R2 D2 R F' L2 U L2
R2 D2 R F2 L2 U L2
B' U' B R' U D B'
B' U' B R' U D' B'
B' U' B R' U D2 B'
B' U' B R' U B' D
B' U' B R' U B' D'
B' U' B R' U B' D2
L' D2 R' F2 L' U L2
B' U' B R' D U B'
B' U' B R' D' U B'
B' U' B R' D2 U B'
B' U' B D R' U B'
B' U' B D' R' U B'
B' U' B D2 R' U B'
L D2 R' U2 R U' L'
D' U2 R' U' R U2 R'
B U' B' L U F B
B U' B' L U B F
D2 U2 R' U' R U2 R'
B2 U' B2 L R' U B2
B2 U' B2 L' R' U B2
B2 U' B2 L2 R' U B2
B2 U' B2 R' L U B2
B2 U' B2 R' L' U B2
B2 U' B2 R' L2 U B2
B2 U' B2 R' U B2 D
B2 U' B2 R' U B2 D'
B2 U' B2 R' U B2 D2
B2 U' B2 R' D L2 U
U2 D2 R' U' R U2 R'
B2 U' B2 D L2 R' U
B2 U' B2 D R' L2 U
R' D2 U2 R U R' U2
R' D2 U2 R B2 U' L
D U2 R' U' R U2 R'
R D2 U L2 R' U' R
R D2 U R' L2 U' R
R' D2 F' L U L' B'
R' D2 F2 L' U L D
R' D2 F2 L' U L D'
R' D2 F2 L' U L D2
R' D2 F2 L' U D L
R' D2 F2 L' U D' L
R' D2 F2 L' U D2 L
R' D2 F2 L' D U L
R' D2 F2 L' D' U L
R' D2 F2 L' D2 U L
R' D2 F2 L' F U L
R' D2 F2 L' F' U L
R' D2 F2 L' F2 U L
R' D2 F2 D L' U L
R' D2 F2 D' L' U L
R' D2 F2 D2 L' U L
B2 U2 R B2 R' U L
F' U2 R' U' R U2 R'
F2 U2 R' U' R U2 R'
F U2 R' U' R U2 R'
R' F L' U D' L B'
R' F L' D' U L B'
R' F L' F L' U L2
R' F L2 F L' U L'
L' F R' U2 R U' L
D' F R' F2 L' U L
D2 F R' F2 L' U L
B' U2 B R' U' R U2
B' U2 B R' F2 U L'
L' F R' F2 L' U L2
L2 F R' U2 R U' L2
L2 F R' D F2 L' U
L2 F R' F2 L' U L'
D F R' F2 L' U L
L F R' F' U L' B'
B2 U2 B2 R' U' R U2
B2 U2 B2 R' F2 U L'
R F R2 F2 L' U L
B2 D L U L U2 L2
B2 D L U' L' D2 R2
B2 D L B2 U' L' R'
B2 D L B2 U' R' L'
R' F D' L U B' L'
L2 F D R' F2 L' U
F' D R' F2 L' U L
F2 D R' F2 L' U L
F D R' F2 L' U L
R' F' L U L' D B'
R' F' L U L' D' B'
R' F' L U L' D2 B'
R' F' L U L' B' D
R' F' L U L' B' D'
R' F' L U L' B' D2
R' F' L U D L' B'
R' F' L U D' L' B'
R' F' L U D2 L' B'
R' F' L U B L' B'
R' F' L U B' L' B'
R' F' L U B2 L' B'
R' F' L D U L' B'
R' F' L D' U L' B'
R' F' L D2 U L' B'
R' F' L' U L' B' L2
R' F' L' F' L' U L2
R' F' L2 U L' B' L'
R' F' L2 F' L' U L'
L' F' R' U2 R U' L
D2 F' R' F2 L' U L
D' F' R' F2 L' U L
L' F' R' F2 L' U L2
L2 F' R' U2 R U' L2
L2 F' R' D F2 L' U
L2 F' R' F2 L' U L'
D F' R' F2 L' U L
R F' R2 F2 L' U L
B2 D' L U' L' R2 D
