U2 L2 D' R2 F
U2 L2 D' F R2
U2 L2 F D' R2
B' U B' U L2
L2 D' F R2 B
L2 F D' R2 B
U2 L2 R2 D' R2 D2 F
U2 L2 R2 D' R2 F D
U2 L2 R2 D' R2 F D'
U2 L2 R2 D' R2 F D2
U2 L2 R2 D' F R2 D
U2 L2 R2 D' F R2 D'
U2 L2 R2 D' F R2 D2
U2 L2 R2 D' F' R2 F2
D L2 R2 D R2 U2 F
R L2 F D' R2 D B
R L2 F D' R2 D' B
R L2 F D' R2 D2 B
R L2 F D' R2 B D
R L2 F D' R2 B D'
R L2 F D' R2 B D2
R L2 F D' B R2 B
R L2 F D' B' R2 B
R L2 F D' B2 R2 B
D L2 R2 D' U2 F L2
U2 L2 R2 F R D' R2
U2 L2 R2 F R' D' R2
U2 L2 R2 F R2 D' R2
U2 L2 R2 F U' B2 U
U2 L2 R2 F D' R2 D
U2 L2 R2 F D' R2 D'
U2 L2 R2 F D' R2 D2
F L2 R2 D' F B R2
F L2 R2 D' B R2 F
F L2 R2 D' B F R2
U2 L2 R2 F2 D' F' R2
U L2 R2 D' R2 F B2
U L2 R2 D' R2 B2 F
U L2 R2 D' F R2 B2
U L2 R2 D' F B2 R2
F L2 R2 F D' B R2
U L2 R2 D' B2 R2 F
U L2 R2 D' B2 F R2
U L2 R2 F D' R2 B2
U L2 R2 F D' B2 R2
D L2 U R F2 U F'
D L2 U R' F2 U F'
D L2 U R2 F2 U F'
U2 L2 U D2 F2 U' F'
D L2 U F2 U D F'
D L2 U F2 U D' F'
D L2 U F2 U D2 F'
D L2 U F2 U F' D
D L2 U F2 U F' D'
D L2 U F2 U F' D2
D L2 U F2 D U F'
D L2 U F2 D' U F'
D L2 U F2 D2 U F'
U2 L2 U' R B2 U F
U2 L2 U' R' B2 U F
B' L2 U' F U2 F' U
U2 L2 U' R2 B2 U F
D L2 U' D2 B2 U' F
D' L2 U' B2 U' R2 F
D' L2 U' B2 U' F R2
F' L2 U' B2 U F B
F' L2 U' B2 U B F
U' L2 U' B2 U F B2
U' L2 U' B2 U B2 F
U2 L2 U' B2 R U F
U2 L2 U' B2 R' U F
U2 L2 U' B2 R2 U F
U2 L2 U' B2 U D F
U2 L2 U' B2 U D' F
U2 L2 U' B2 U D2 F
U2 L2 U' B2 U F D
U2 L2 U' B2 U F D'
U2 L2 U' B2 U F D2
U2 L2 U' B2 D U F
U2 L2 U' B2 D' U F
U2 L2 U' B2 D2 U F
D' L2 U2 R2 D F L2
D' L2 U2 R2 F D L2
D L2 U2 L2 D' L2 F
D' L2 U2 F R2 D L2
U2 L2 U2 D L2 B' U2
D L2 U2 D F D2 L2
D L2 U2 D' F L2 D
D L2 U2 D' F L2 D'
D L2 U2 D' F L2 D2
D L2 U2 D' F' L2 F2
D L2 U2 D' F2 L2 F'
D L2 U2 D2 F D L2
D L2 U2 F U' F U
U2 L2 D R D2 R2 F
U2 L2 D R D2 F R2
U2 L2 D R F D2 R2
U2 L2 D R' D2 R2 F
U2 L2 D R' D2 F R2
U2 L2 D R' F D2 R2
U2 L2 D R2 D2 R2 F
U2 L2 D R2 D2 F R2
U2 L2 D R2 F D2 R2
F' L2 D F D2 R2 B'
F' L2 D F D2 B' R2
F' L2 D F B' D2 R2
D L2 D R2 U2 D F
D L2 D R2 U2 D' F
D L2 D R2 U2 D2 F
D L2 D R2 U2 F D
D L2 D R2 U2 F D'
D L2 D R2 U2 F D2
D L2 D R2 D U2 F
D L2 D R2 D' U2 F
D L2 D R2 D2 U2 F
D L2 D R2 B U2 F
D L2 D R2 B' U2 F
D L2 D R2 B2 U2 F
U2 L2 D U2 L2 B' U2
U2 L2 D F R D2 R2
U2 L2 D F R' D2 R2
U2 L2 D F R2 D2 R2
U2 L2 D F U2 L2 U2
U2 L2 D F D2 R2 D
U2 L2 D F D2 R2 D'
U2 L2 D F D2 R2 D2
D L2 D U2 F D2 L2
F' L2 D B' D2 R2 F
F' L2 D B' D2 F R2
F' L2 D B' F D2 R2
U2 L2 D F2 D2 F' R2
F L2 D F D2 R2 B2
F L2 D F D2 B2 R2
D L2 D B R2 U2 F
D L2 D B' R2 U2 F
D L2 D B2 R2 U2 F
F' L2 D' R B' R F
F' L2 D' R' F R' B'
U' L2 D' R2 D F B2
U' L2 D' R2 D B2 F
U' L2 D' R2 F D B2
F' L2 D' R2 D F B'
F' L2 D' R2 D B' F
F' L2 D' R2 D' F B'
F' L2 D' R2 D' B' F
F' L2 D' R2 D2 F B'
F' L2 D' R2 D2 B' F
F' L2 D' R2 F D B'
F' L2 D' R2 F D' B'
F' L2 D' R2 F D2 B'
F' L2 D' R2 F B' D
F' L2 D' R2 F B' D'
F' L2 D' R2 F B' D2
U2 L2 D' R D R F
U2 L2 D' R D' R F
F' L2 D' R2 B' D F
F' L2 D' R2 B' D' F
F' L2 D' R2 B' D2 F
F' L2 D' R2 B' F D
F' L2 D' R2 B' F D'
F' L2 D' R2 B' F D2
U2 L2 D' R D2 R F
U2 L2 D' R' D R' F
U2 L2 D' R' D F R'
U2 L2 D' R' D' R' F
U2 L2 D' R' D' F R'
U2 L2 D' R' D2 R' F
U2 L2 D' R' D2 F R'
U2 L2 D' R' F R' D
U2 L2 D' R' F R' D'
U2 L2 D' R' F R' D2
U2 L2 D' R' F D R'
U2 L2 D' R' F D' R'
U2 L2 D' R' F D2 R'
U2 L2 D' R' F' R' F2
F2 L2 D' R2 D' F B2
F2 L2 D' R2 D' B2 F
F2 L2 D' R2 F D' B2
D L2 D' R U2 F L2
U2 L2 D' R2 D F D
U2 L2 D' R2 D F D'
U2 L2 D' R2 D F D2
U2 L2 D' R2 D' F D
U2 L2 D' R2 D' F D'
U2 L2 D' R2 D' F D2
U2 L2 D' R2 D2 F D
U2 L2 D' R2 D2 F D'
U2 L2 D' R2 D2 F D2
U2 L2 D' R2 F2 D F'
U2 L2 D' R2 F2 D' F'
U2 L2 D' R2 F2 D2 F'
U' L2 D' F R2 D B2
D L2 D' R' U2 F L2
F' L2 D' F R B' R
F' L2 D' F R2 D B'
F' L2 D' F R2 D' B'
F' L2 D' F R2 D2 B'
F' L2 D' F R2 B' D
F' L2 D' F R2 B' D'
F' L2 D' F R2 B' D2
F' L2 D' F B R2 B2
F' L2 D' F B' R2 D
F' L2 D' F B' R2 D'
F' L2 D' F B' R2 D2
D L2 D' R2 U2 F L2
F' L2 D' F' R2 F2 B'
F' L2 D' F' R2 B' F2
F' L2 D' F' B' R2 F2
F L2 D' R' F R' B
F2 L2 D' F R2 D' B2
U2 L2 D' F R D R
U2 L2 D' F R D' R
U2 L2 D' F R D2 R
U2 L2 D' F R' D R'
U2 L2 D' F R' D' R'
U2 L2 D' F R' D2 R'
F L2 D' R2 D F B
F L2 D' R2 D B F
F L2 D' R2 D' F B
F L2 D' R2 D' B F
F L2 D' R2 D2 F B
F L2 D' R2 D2 B F
U2 L2 D' F B R2 B'
F L2 D' R2 F D B
F L2 D' R2 F D' B
F L2 D' R2 F D2 B
F L2 D' R2 F B D
F L2 D' R2 F B D'
F L2 D' R2 F B D2
F' L2 D' B R2 F B2
F' L2 D' B R2 B2 F
U2 L2 D' F B2 R2 B2
F L2 D' R2 B D F
F L2 D' R2 B D' F
F L2 D' R2 B D2 F
F L2 D' R2 B F D
F L2 D' R2 B F D'
F L2 D' R2 B F D2
U2 L2 D' F' R' F2 R'
F' L2 D' B F R2 B2
U2 L2 D' F' R2 F2 D
U2 L2 D' F' R2 F2 D'
U2 L2 D' F' R2 F2 D2
D L2 D' U2 F L2 D
D L2 D' U2 F L2 D'
D L2 D' U2 F L2 D2
D L2 D' U2 F' L2 F2
D L2 D' U2 F2 L2 F'
U L2 D' R B2 R F
F' L2 D' B' R' F R'
F' L2 D' B' R2 D F
F' L2 D' B' R2 D' F
F' L2 D' B' R2 D2 F
F' L2 D' B' R2 F D
F' L2 D' B' R2 F D'
F' L2 D' B' R2 F D2
U L2 D' R' F R' B2
F' L2 D' B' F R2 D
F' L2 D' B' F R2 D'
F' L2 D' B' F R2 D2
F' L2 D' B' F' R2 F2
U2 L2 D' B R2 F B'
U2 L2 D' B R2 B' F
U L2 D' R2 F B2 D
U L2 D' R2 F B2 D'
U L2 D' R2 F B2 D2
U2 L2 D' B F R2 B'
U L2 D' R2 B2 D F
U L2 D' R2 B2 D' F
U L2 D' R2 B2 D2 F
U L2 D' R2 B2 F D
U L2 D' R2 B2 F D'
U L2 D' R2 B2 F D2
F L2 D' F R2 D2 B2
U2 L2 D' B2 R2 F B2
U2 L2 D' B2 R2 B2 F
D L2 D' B U2 F L2
U2 L2 D' B2 F R2 B2
D L2 D' B' U2 F L2
U L2 D' F R B2 R
U L2 D' F R2 B2 D
U L2 D' F R2 B2 D'
U L2 D' F R2 B2 D2
U L2 D' F B' R2 B'
F L2 D' B R2 F B
F L2 D' B R2 B F
U L2 D' F B2 R2 D
U L2 D' F B2 R2 D'
U L2 D' F B2 R2 D2
D L2 D' B2 U2 F L2
U L2 D' F' R2 F2 B2
U L2 D' F' R2 B2 F2
F L2 D' B' R2 F B
U L2 D' F' B2 R2 F2
F L2 D' B' R2 B F
F L2 D' B2 R2 F B
U2 L2 D2 R D R2 F
F L2 D' B2 R2 B F
U2 L2 D2 R D F R2
U2 L2 D2 R' D R2 F
U2 L2 D2 R' D F R2
U L2 D' B' R2 F B'
U L2 D' B' R2 B' F
U L2 D' B' F R2 B'
U2 L2 D2 R2 D R2 F
U2 L2 D2 R2 D F R2
U L2 D' B2 R' F R'
U L2 D' B2 R2 D F
U L2 D' B2 R2 D' F
U L2 D' B2 R2 D2 F
U L2 D' B2 R2 F D
U L2 D' B2 R2 F D'
U L2 D' B2 R2 F D2
U L2 D' B2 F R2 D
U L2 D' B2 F R2 D'
U L2 D' B2 F R2 D2
U L2 D' B2 F' R2 F2
U2 L2 D2 U F2 U' F'
U2 L2 D2 F U F U'
D L2 D2 U' B2 U' F
D L2 D2 U2 F D L2
F' L2 D2 B' D R2 F
F' L2 D2 B' D F R2
F2 L2 D2 B2 D R2 F
F2 L2 D2 B2 D F R2
U2 L2 F L D' L' R2
U2 L2 F L D' R2 L'
F' L2 F R D' R2 B'
F' L2 F R D' B' R2
U2 L2 F L' D' L R2
U2 L2 F L' D' R2 L
D' L2 F R2 D L2 B
D' L2 F R2 D B L2
F' L2 F R' D' R2 B'
F' L2 F R' D' B' R2
F' L2 F R2 D' R2 B'
F' L2 F R2 D' B' R2
U2 L2 F R U' B2 U
U2 L2 F R D' R2 D
U2 L2 F R D' R2 D'
U2 L2 F R D' R2 D2
U2 L2 F R' U' B2 U
U2 L2 F R' D' R2 D
U2 L2 F R' D' R2 D'
U2 L2 F R' D' R2 D2
U2 L2 F R2 U' B2 U
U' L2 F U' B2 U B2
U2 L2 F R2 D' R2 D
U2 L2 F R2 D' R2 D'
U2 L2 F R2 D' R2 D2
F' L2 F U' B2 U B
U2 L2 F U D2 F2 U'
F' L2 F D B' D2 R2
U' L2 F D' R2 D B2
F' L2 F D' R B' R
U2 L2 F U' B2 U D
U2 L2 F U' B2 U D'
U2 L2 F U' B2 U D2
U2 L2 F U' B2 D U
U2 L2 F U' B2 D' U
U2 L2 F U' B2 D2 U
F' L2 F D' R2 D B'
F' L2 F D' R2 D' B'
F' L2 F D' R2 D2 B'
F' L2 F D' R2 B' D
F' L2 F D' R2 B' D'
F' L2 F D' R2 B' D2
F' L2 F D' B R2 B2
U2 L2 F U2 D L2 U2
F' L2 F D' B' R2 D
F' L2 F D' B' R2 D'
F' L2 F D' B' R2 D2
R' U L2 D' R2 F B2
R' U L2 D' R2 B2 F
R' U L2 D' F R2 B2
R' U L2 D' F B2 R2
U2 L2 F D R D2 R2
R' U L2 D' B2 R2 F
R' U L2 D' B2 F R2
U2 L2 F D R' D2 R2
U2 L2 F D R2 D2 R2
F' L2 F D2 B' D R2
U2 L2 F D U2 L2 U2
U2 L2 F D' R D R
U2 L2 F D' R D' R
U2 L2 F D' R D2 R
U2 L2 F D' R' D R'
U2 L2 F D' R' D' R'
U2 L2 F D' R' D2 R'
U L2 F R D' R2 B2
U L2 F R D' B2 R2
U2 L2 F D' F' R2 F
U2 L2 F D' F2 R2 F2
U2 L2 F D' B R2 B'
F' L2 F B' U' B' U
U2 L2 F D' B2 R2 B2
