U' R F2 U2 F U
R' U' F2 B R2 U'
R' U' B R2 F2 U'
R' U' B R2 F2 U'
R' U' B F2 R2 U'
U' R' F2 B R2 U'
U' R' B R2 F2 U'
U' R' B F2 R2 U'
R F2 U2 F U F'
U' F2 U2 D2 L' F U
R F2 U2 R F U F'
R F2 U2 R' F U F'
R F2 U2 R2 F U F'
R F2 U2 D F U F'
R F2 U2 D' F U F'
R F2 U2 D2 F U F'
R F2 U2 F U D F'
R F2 U2 F U D' F'
R F2 U2 F U D2 F'
R F2 U2 F U F' D
R F2 U2 F U F' D'
R F2 U2 F U F' D2
R F2 U2 F D U F'
R F2 U2 F D' U F'
R F2 U2 F D2 U F'
U' F2 D2 U2 L' F U
R F2 D U2 F U F'
R' F2 B L2 R2 U' F
R' F2 B R2 L2 U' F
R' F2 B R2 U B' U2
R F2 D' U2 F U F'
R' F2 B' R2 B2 U' F'
R F2 D2 U2 F U F'
R F2 B L2 B' U' F
F2 D2 U2 L' F U F'
R' B L2 R2 F2 U' F'
R F2 B2 D L2 B' U'
U' B R F2 U2 F U
U' B R' F2 B R2 U'
U' B R' B R2 F2 U'
U' B R' B F2 R2 U'
R' B R2 L2 F2 U' F'
R' B R2 F2 L2 U' F
R' B R2 F2 U B' U2
R' B U' D B2 R2 F'
R' B D U' B2 R2 F'
R' B F2 L2 R2 U' F
R' B F2 R2 L2 U' F
R' B F2 R2 U B' U2
R B F2 L2 B' U' F
U' B' R F2 U2 F U
U' B' R' F2 B R2 U'
U' B' R' B R2 F2 U'
U' B' R' B F2 R2 U'
D B' R U' L R F'
D B' R U' R L F'
D B' R U' R F' L
R' B' R2 F2 B2 U' F
R' B' R2 B2 F2 U' F
R' B' D L2 R2 F' B2
R' B' D L2 R2 B2 F'
R' B' D R2 L2 F' B2
R' B' D R2 L2 B2 F'
R' B' D R2 F' L2 B2
R' B' D R2 F' B2 L2
R' B' D R2 B2 L2 F'
R' B' D R2 B2 F' L2
R' B' D B2 L2 R2 F
R' B' D B2 L2 F R2
R' B' D B2 R2 L2 F
R' B' F2 R2 B2 U' F'
U' B2 R F2 U2 F U
U' B2 R' F2 B R2 U'
U' B2 R' B R2 F2 U'
U' B2 R' B F2 R2 U'
R B2 F2 D L2 B' U'
