R' L D' F2 B R2
R' L D' B R2 F2
R' L D' B F2 R2
L R' D' F2 B R2
L R' D' B R2 F2
L R' D' B F2 R2
R U L D' R2 B
R U D' L R2 B
R U D' R2 L B
B2 R U' R2 U2 B
B2 R U' F' R2 U2
R' D' L F2 B R2
R' D' L B R2 F2
R' D' L B F2 R2
R D' U L R2 B
R D' U R2 L B
R' D' F2 L B R2
D2 F2 L' U' L2 B'
R B2 U' F' R' U2
R U D' L R2 D2 B
R U D' L R2 B D
R U D' L R2 B D'
R U D' L R2 B D2
R U D' L B R2 B
R U D' L B' R2 B
R U D' L B2 R2 B
R U D' L' R2 B L2
R U D' L2 R2 B L'
B2 R L U' R2 U2 B
B2 R L U' F' R2 U2
R U D' R2 L D B
R U D' R2 L D' B
R U D' R2 L D2 B
R U D' R2 L B D
R U D' R2 L B D'
R U D' R2 L B D2
R U D' R2 L' B L2
R U D' R2 L2 B L'
R U D' R2 D L B
R U D' R2 D' L B
R U D' R2 D2 L B
R U D' B' R2 B L
R U D2 L D R2 B
B2 R L' U' R2 U2 B
B2 R L' U' F' R2 U2
B2 R L2 U' R2 U2 B
B2 R L2 U' F' R2 U2
D2 R U L D R2 B'
D2 R U L D B' R2
D2 R U L B' D R2
U' R U L D' R2 B
D' R U R D' L B'
U2 R U L D' R2 B
D' R U D' L R B'
D' R U D' L B' R
D' R U D' R L B'
U' R U D' L R2 B
U' R U D' R2 L B
U2 R U D' L R2 B
U2 R U D' R2 L B
U R U L D' R2 B
U R U D' L R2 B
U R U D' R2 L B
B2 R U' R2 U2 D B
B2 R U' R2 U2 D' B
B2 R U' R2 U2 D2 B
B2 R U' R2 U2 B D
B2 R U' R2 U2 B D'
B2 R U' R2 U2 B D2
B2 R U' R2 D U2 B
B2 R U' R2 D' U2 B
B2 R U' R2 D2 U2 B
B2 R U' R2 F U2 B
B2 R U' R2 F' U2 B
B2 R U' R2 F2 U2 B
B2 R U' D2 F' U2 L2
B2 R U' F R2 F2 U2
B2 R U' F' R2 U2 D
B2 R U' F' R2 U2 D'
B2 R U' F' R2 U2 D2
B2 R U' F' R2 D U2
B2 R U' F' R2 D' U2
B2 R U' F' R2 D2 U2
B2 R U' F' U2 D2 L2
B2 R U' F' D2 U2 L2
B2 R U' F2 R2 F U2
D2 R U2 F2 U' L B'
D' R D' U L R B'
D' R D' U L B' R
D' R D' U R L B'
U' R D' U L R2 B
U' R D' U R2 L B
U2 R D' U L R2 B
U2 R D' U R2 L B
R' U' L D' F2 B R2
R' U' L D' B R2 F2
R' U' L D' B F2 R2
B2 R D' F2 L2 U B'
B2 R D' F2 U' F U2
U R D' U L R2 B
U R D' U R2 L B
B2 R D2 U' F' U2 L2
B2 R D2 F2 U L2 B'
B2 R F U D2 L2 B2
B2 R F U D2 B2 L2
B2 R F U' R2 F2 U2
B2 R F U' F2 R2 U2
B2 R F D' L2 F2 U
B2 R F D' F2 L2 U
B2 R F D2 U L2 B2
B2 R F D2 U B2 L2
L U' R U D' R2 B
B2 R F2 U D2 L2 B'
L U' R D' U R2 B
B2 R F2 U' R2 F U2
B2 R F2 U' F R2 U2
B2 R F2 D2 U L2 B'
L U' R B2 U' F' U2
L U' R' B2 R2 U B'
B' R B' U' F' R' U2
R' U' D' L F2 B R2
R' U' D' L B R2 F2
R' U' D' L B F2 R2
U' R B2 U' F' R' U2
R' U' D' F2 L B R2
R U' D F' L2 U2 L'
U2 R B2 U' F' R' U2
U' R' L D' F2 B R2
U' R' L D' B R2 F2
U' R' L D' B F2 R2
U R B2 U' F' R' U2
F2 R' L D' B R2 F'
U2 R' L D' F2 B R2
U2 R' L D' B R2 F2
U2 R' L D' B F2 R2
R U' D' F' U2 L R2
R U' D' F' U2 R2 L
U R' L D' F2 B R2
U R' L D' B R2 F2
U R' L D' B F2 R2
B2 R' U R2 U R2 B
R U' F' U2 L D' R2
R U' F' U2 D' L R2
R U' F' U2 D' R2 L
R U' F' D L2 U2 L'
R U' F' D' U2 L R2
R U' F' D' U2 R2 L
D' R' D' L R' F2 B'
D' R' D' L R' B' F2
D' R' D' L F2 R' B'
U' R' D' L F2 B R2
U' R' D' L B R2 F2
U' R' D' L B F2 R2
D' R' D' R' L F2 B'
D' R' D' R' L B' F2
D' R' D' R' F2 L B'
U2 R' D' L F2 B R2
U2 R' D' L B R2 F2
U2 R' D' L B F2 R2
L U' B2 R U' F' U2
D' R' D' F2 L R' B'
D' R' D' F2 R' L B'
U' R' D' F2 L B R2
R' U2 L D' F2 B R2
R' U2 L D' B R2 F2
R' U2 L D' B F2 R2
U R' D' L F2 B R2
U R' D' L B R2 F2
U R' D' L B F2 R2
U2 R' D' F2 L B R2
U R' D' F2 L B R2
B' R' B L D' R2 F2
B' R' B L D' F2 R2
B' R' B D' L R2 F2
B' R' B D' L F2 R2
B' R' B D' R2 L F2
B' R' B D' R2 F2 L
B' R' B D' F2 L R2
B' R' B D' F2 R2 L
R' U2 D' L F2 B R2
R' U2 D' L B R2 F2
R' U2 D' L B F2 R2
R' U2 D' F2 L B R2
R' D L2 B2 U2 B' L'
R D U' F' L2 U2 L'
R' D B2 L2 R' F U2
R' D B2 L2 F R' U2
R' D B2 R' L2 F U2
R' D' L F B R2 F
R' D' L F2 B R2 D
R' D' L F2 B R2 D'
R' D' L F2 B R2 D2
R' D' L F2 B' R2 B2
R' D' L F2 B2 R2 B'
R' D' L B R' F2 R'
R' D' L B R2 F2 D
R' D' L B R2 F2 D'
R' D' L B R2 F2 D2
R' D' L B F R2 F
R' D' L B F2 R2 D
R' D' L B F2 R2 D'
R' D' L B F2 R2 D2
R' D' L B' R2 F2 B2
R' D' L B' R2 B2 F2
R' D' L B' F2 R2 B2
R' D' L B2 R2 F2 B'
R' D' L B2 R2 B' F2
R' D' L B2 F2 R2 B'
R' D' L' R2 F2 L2 B'
D2 U F2 L' U' L2 B'
R' D' L' F2 L2 B R2
R' D' L' F2 B L2 R2
R' D' L' F2 B R2 L2
R' D' L' B L2 R2 F2
R' D' L' B L2 F2 R2
R' D' L' B R2 L2 F2
R' D' L' B R2 F2 L2
R' D' L' B F2 L2 R2
R' D' L' B F2 R2 L2
R D' L R2 D' F2 B
R D' L R2 D' B F2
R D' L R2 B D' F2
R' D' L2 B L' R2 F2
R' D' L2 B L' F2 R2
R' D' L2 B R2 L' F2
R D' L' U L2 R2 B
R D' L' U R2 L2 B
R D' L' U R2 B L2
R D' L2 U L' R2 B
R D' L2 U R2 L' B
R D' L2 U R2 B L'
R' D' R2 L' F2 L2 B'
R' D' R2 F2 L2 B' L'
R' D' U L F2 B R2
R' D' U L B R2 F2
R' D' U L B F2 R2
R' D' U F2 L B R2
R D' R2 L D' F2 B
R D' R2 L D' B F2
R D' R2 L B D' F2
R' D' U' L F2 B R2
R' D' U' L B R2 F2
R' D' U' L B F2 R2
R D' R2 D' L F2 B
R D' R2 D' L B F2
R D' R2 D' F2 L B
R' D' U' F2 L B R2
R' D' U2 L F2 B R2
R' D' U2 L B R2 F2
R' D' U2 L B F2 R2
R D' U L R2 D B
R D' U L R2 D' B
R D' U L R2 D2 B
R D' U L R2 B D
R D' U L R2 B D'
R D' U L R2 B D2
R D' U L B R2 B
R D' U L B' R2 B
R D' U L B2 R2 B
R D' U L' R2 B L2
R D' U L2 R2 B L'
R D' U R2 L D B
R D' U R2 L D' B
R D' U R2 L D2 B
R D' U R2 L B D
R D' U R2 L B D'
R D' U R2 L B D2
R D' U R2 L' B L2
R D' U R2 L2 B L'
R D' U R2 D L B
R D' U R2 D' L B
R D' U R2 D2 L B
R' D' U2 F2 L B R2
R D' U B' R2 B L
R D' U' F' U2 L R2
R D' U' F' U2 R2 L
R' D' F' L F' B R2
R' D' F' L B F' R2
R' D' F2 L B R2 D
R' D' F2 L B R2 D'
R' D' F2 L B R2 D2
R' D' F2 L B' R2 B2
R' D' F2 L B2 R2 B'
R' D' F2 L' B L2 R2
R' D' F2 L' B R2 L2
R' D' F2 L2 B L' R2
R' D' F2 L2 B R2 L'
B2 U' R' U2 D' F2 B
B2 U' R' U2 D' B F2
B2 U' R' U2 B D' F2
B2 U' R' D B2 U2 B'
B2 U' R' D' U2 F2 B
B2 U' R' D' U2 B F2
D2 U' F2 L' U' L2 B'
R' D' B2 R2 F2 B' L'
R' D' B2 R2 B' F2 L'
R D2 U L D R2 B
U' D2 F2 L' U' L2 B'
R' D2 F2 L2 U' L' B
R' D2 F2 L2 U' B L'
D2 U2 F2 L' U' L2 B'
U2 D2 F2 L' U' L2 B'
U D2 F2 L' U' L2 B'
R' F L D' F2 B R2
R' F L D' B R2 F2
R' F L D' B F2 R2
R' F D' L F2 B R2
R' F D' L B R2 F2
R' F D' L B F2 R2
R' F D' F2 L B R2
R F D' L2 U L' R2
R F D' L2 U R2 L'
R' F' L D' F2 B R2
R' F' L D' B R2 F2
R' F' L D' B F2 R2
R F B2 U D2 B2 L
R F B2 U' R' F2 U2
R F B2 U' F2 R' U2
R F B2 D2 U B2 L
R' F' D' L F2 B R2
R' F' D' L B R2 F2
R' F' D' L B F2 R2
R' F' D' F2 L B R2
R' F2 L D' F2 B R2
R' F2 L D' B R2 F2
R' F2 L D' B F2 R2
D2 F2 L' R U' L2 B'
D2 F2 L' R' U' L2 B'
D2 F2 L' R2 U' L2 B'
D2 F2 L' U F U2 L2
D2 F2 L' U' L2 D B'
D2 F2 L' U' L2 D' B'
D2 F2 L' U' L2 D2 B'
D2 F2 L' U' L2 B' D
D2 F2 L' U' L2 B' D'
D2 F2 L' U' L2 B' D2
D2 F2 L' U' B L2 B'
D2 F2 L' U' B' L2 B'
D2 F2 L' U' B2 L2 B'
D2 F2 L' B U' L2 B'
D2 F2 L' B' U' L2 B'
D2 F2 L' B2 U' L2 B'
D2 F2 R L' U' L2 B'
D2 F2 R' L' U' L2 B'
D2 F2 R2 L' U' L2 B'
R F2 L2 B2 U L' B
R F2 L2 B2 U B L'
D2 F2 U' L D F2 B'
D2 F2 U' L D B' F2
D2 F2 U' L B' D F2
F2 D2 L D R2 F2 B'
F2 D2 L D R2 B' F2
F2 D2 L D F2 R2 B'
F2 D2 L D F2 B' R2
F2 D2 L D B' R2 F2
F2 D2 L D B' F2 R2
F2 D2 L B' D R2 F2
F2 D2 L B' D F2 R2
R' F2 D' L F2 B R2
R' F2 D' L B R2 F2
R' F2 D' L B F2 R2
R' F2 D' F2 L B R2
R F2 B2 U' R' F U2
R F2 B2 U' F R' U2
L B' R' B D' R2 F2
L B' R' B D' F2 R2
B2 F' U' R' U2 F' B
B2 F' U' R' U2 B F'
U' B2 R U' R2 U2 B
U' B2 R U' F' R2 U2
R B2 L U' F' R' U2
L' B2 R U' F' U2 L2
L' B2 R F2 U L2 B'
R B2 L' U' F' R' U2
U2 B2 R U' R2 U2 B
U2 B2 R U' F' R2 U2
R B2 L2 U' F' R' U2
R' B2 R2 U' R U2 B'
U B2 R U' R2 U2 B
U B2 R U' F' R2 U2
R' B2 R2 F2 U B' L'
F' B2 U' R' U2 F' B
F' B2 U' R' U2 B F'
R B2 U' D F' R' U2
R B2 U' D' F' R' U2
R B2 U' D2 F' R' U2
R B2 U' F R' F2 U2
R B2 U' F' R' U2 D
R B2 U' F' R' U2 D'
R B2 U' F' R' U2 D2
R B2 U' F' R' D U2
R B2 U' F' R' D' U2
R B2 U' F' R' D2 U2
R B2 U' F' D R' U2
R B2 U' F' D' R' U2
R B2 U' F' D2 R' U2
R B2 U' F2 R' F U2
R B2 D U' F' R' U2
R B2 D' U' F' R' U2
R B2 D2 U' F' R' U2
R B2 F U D2 B2 L
R B2 F U' R' F2 U2
R B2 F U' F2 R' U2
R B2 F D2 U B2 L
R B2 F2 U' R' F U2
R B2 F2 U' F R' U2
