D' L2 R' B2 U L2
F2 L2 U R' U L2
U2 L2 F2 U R' U
D' R D' R2 F2 B2
D' R D' R2 B2 F2
D' R D' F2 R2 B2
D' R D' F2 B2 R2
D' R D' B2 R2 F2
D' R D' B2 F2 R2
D2 R B2 D' R F2
D' R' L2 B2 U L2
U' R' U D2 R2 B2
U' R' U D2 B2 R2
U' R' U' L2 F2 U2
U' R' U' F2 L2 U2
U' R' D' L2 B2 U
U' R' D' B2 L2 U
U' R' D2 U R2 B2
U' R' D2 U B2 R2
D' R' B2 L2 U L2
D2 R2 U' R U B2
D R2 F2 L' U' L
D2 R2 B2 U' R U
U D R2 F2 L' U'
D U R2 F2 L' U'
R' D' L2 B2 U L2
U' D' L2 R' B2 U
D' U' L2 R' B2 U
U' D' R' L2 B2 U
D2 U' R' U R' B2
D' U' R' L2 B2 U
U' D' R' B2 L2 U
D' U' R' B2 L2 U
R' D' B2 L2 U L2
R D' F2 D' R2 B2
R D' F2 D' B2 R2
R' D2 R2 B2 D' F2
U' D2 R' U R' B2
R D2 R2 B2 D F2
R' D2 B2 R2 D' F2
R D2 B2 R2 D F2
U2 F2 L2 U R' U
L2 F2 U R' U L2
D2 B2 R2 U L U'
D2 B2 U L U' R2
D2 U' R' L' U R' B2
U' D' R' U D' R2 B2
U' D' R' U D' B2 R2
D' U' R' U D' R2 B2
D' U' R' U D' B2 R2
D2 U' R' L2 U R' B2
D2 U' R' U R B2 R2
D2 U' R' U R' B2 D
D2 U' R' U R' B2 D'
D2 U' R' U R' B2 D2
D2 U' R' U R2 B2 R
R D' U' B2 L2 U F2
R' D' F B2 L2 U L2
U' D' R' D' U R2 B2
U' D' R' D' U B2 R2
D' U' R' D' U R2 B2
D' U' R' D' U B2 R2
D2 U' R' D L2 U R'
R' D' F' L2 B2 U L2
U' D' R' B L2 B U
D' U' R' B L2 B U
U' D' R' B2 L2 U D
U' D' R' B2 L2 U D'
U' D' R' B2 L2 U D2
U' D' R' B2 L2 D U
U' D' R' B2 L2 D' U
U' D' R' B2 L2 D2 U
D' U' R' B2 L2 U D
D' U' R' B2 L2 U D'
D' U' R' B2 L2 U D2
D' U' R' B2 L2 D U
D' U' R' B2 L2 D' U
D' U' R' B2 L2 D2 U
U' D' R' B2 U D' B2
D' U' R' B2 U D' B2
U' D' R' B2 D' U B2
D' U' R' B2 D' U B2
U' D' R2 L2 B2 R U
D' U' R2 L2 B2 R U
R' D' F' B2 L2 U L2
D U' R' U2 R' F2 U'
D U' R' U2 F2 R' U'
R' D' F2 L2 B2 U L2
D U' R' D2 B2 L U
U' D' R2 B2 L2 R U
D' U' R2 B2 L2 R U
D' U' R2 B2 R L2 U
U' D' R2 B2 R L2 U
R D' F D' R2 F B2
R D' F D' R2 B2 F
R D' F D' F R2 B2
R D' F D' F B2 R2
R D' F D' B2 R2 F
R D' F D' B2 F R2
R' D' F2 B2 L2 U L2
R' D' B L2 B U L2
R D' F' D' F' R2 B2
R D' F' D' F' B2 R2
R D' F' D' B2 F' R2
R D' F2 R D' R2 B2
R D' F2 R D' B2 R2
R D' F2 R' D' R2 B2
R D' F2 R' D' B2 R2
R D' F2 R2 D' R2 B2
R D' F2 R2 D' B2 R2
R D' F2 U' L2 B2 U
R D' F2 U' B2 L2 U
R D' F2 D' R B2 R
R D' F2 D' R2 B2 D
R D' F2 D' R2 B2 D'
R D' F2 D' R2 B2 D2
R D' F2 D' B' R2 B'
R D' F2 D' B2 R2 D
R D' F2 D' B2 R2 D'
R D' F2 D' B2 R2 D2
F U' R' U' L2 U2 B'
F U' R' U' F L2 U2
R' D' B2 L2 U L2 D
R' D' B2 L2 U L2 D'
R' D' B2 L2 U L2 D2
R' D' B2 L2 D F2 U
R' D' B2 L2 F U L2
R' D' B2 L2 F' U L2
R' D' B2 L2 F2 U L2
R' D' B2 F L2 U L2
R' D' B2 F' L2 U L2
R' D' B2 F2 L2 U L2
R' D2 L U L' R2 B2
R' D2 L U L' B2 R2
R' D2 L U R2 L' B2
R' D2 L U R2 B2 L'
R2 D' B2 L2 R U L2
R' D2 L U B2 L' R2
R' D2 L U B2 R2 L'
R2 D' B2 R L2 U L2
R D' B2 L2 U L2 F2
R D' B2 L2 U F2 L2
B2 U' D' B2 L2 R' U
B2 U' D' B2 R' L2 U
R' D2 L' U L R2 B2
R' D2 L' U L B2 R2
R' D2 L' U R2 L B2
F' U' D2 R' U R' B
D' U' B2 L2 U2 L' U'
U' D' B2 L2 U2 L' U'
R' D2 L2 U L2 R2 B2
R' D2 L2 U L2 B2 R2
R' D2 L2 U R2 L2 B2
R' D2 L2 U R2 B2 L2
R' D2 L2 U B2 L2 R2
R' D2 L2 U B2 R2 L2
U' D2 L R' U R' B2
U' D2 L' R' U R' B2
R D2 L2 U' L2 R2 B2
R D2 L2 U' L2 B2 R2
R D2 L2 U' R2 L2 B2
R D2 L2 U' R2 B2 L2
R D2 L2 U' B2 L2 R2
R D2 L2 U' B2 R2 L2
U' D2 L2 R' U R' B2
R' D2 R2 U' R2 U B2
R' D2 R2 D' F2 D B2
R' D2 R2 F B2 D' F2
R' D2 R2 F' B2 D' F2
R' D2 R2 F2 B2 D' F2
R' D2 R2 B D' F2 B
R' D2 R2 B D' B F2
R D2 R B2 R D F2
R' D2 R2 B' D' F2 B'
