R U F2 L' B'
L' R U F2 L' B'
L R U F2 L' B'
L2 R U F2 L' B'
R L U F2 L' B'
R L' U F2 L' B'
F' L' U D2 L2 F'
F' L' U D2 F' L2
F' L' U F' D2 L2
F' L' U' R2 B U2
F' L' D' F2 U F
F' L' D2 U L2 F'
F' L' D2 U F' L2
U L' D2 B' L2 F
R L2 U F2 L' B'
U L' F2 D2 B' L2
U L' F2 B' D2 L2
U L' B' F2 D2 L2
R U L' F2 B' L'
R U L' B' F2 L'
R U F2 L' D B'
R U F2 L' D' B'
R U F2 L' D2 B'
R U F2 L' B' D
R U F2 L' B' D'
R U F2 L' B' D2
R U F2 D L' B'
R U F2 D' L' B'
R U F2 D2 L' B'
U2 R U' F2 L' B'
R U F2 B L' B'
R U F2 B' L' B'
R U F2 B2 L' B'
U' R U2 F2 L' B
U' R U2 F2 B L'
U' R U2 B F2 L'
R U B F2 L' B'
R U B' F2 L' B'
R U B2 F2 L' B'
R' U' R' F' U2 F'
U R F2 L' R' B'
R U' R U2 F2 B
R U' R U2 B F2
U R F2 R' L' B'
F' D' L' F2 U F
U F2 L D2 L2 B'
U F2 L' D2 B' L2
U F2 L' B' D2 L2
F D' F2 L' U F'
F' D2 L' U L' F'
U F2 D2 L' B' L'
R U F2 D' L' D2 B'
R U F2 D' L' B' D
R U F2 D' L' B' D'
R U F2 D' L' B' D2
U2 R U' F2 L' D B'
U2 R U' F2 L' D' B'
U2 R U' F2 L' D2 B'
U2 R U' F2 L' B' D
U2 R U' F2 L' B' D'
U2 R U' F2 L' B' D2
R U F2 D' B L' B'
R U F2 D' B' L' B'
R U F2 D' B2 L' B'
R U F2 D2 L' D B'
R U F2 D2 L' D' B'
R U F2 D2 L' D2 B'
R U F2 D2 L' B' D
R U F2 D2 L' B' D'
R U F2 D2 L' B' D2
U2 R U' F2 D L' B'
U2 R U' F2 D' L' B'
U2 R U' F2 D2 L' B'
U2 R U' F2 B L' B'
U2 R U' F2 B' L' B'
U2 R U' F2 B2 L' B'
U' R U2 L F2 L' B
R U F2 D2 B L' B'
U' R U2 L F2 B L'
R U F2 D2 B' L' B'
U' R U2 L B F2 L'
R U F2 D2 B2 L' B'
R U F2 B L' D B'
R U F2 B L' D' B'
R U F2 B L' D2 B'
R U F2 B L' B' D
R U F2 B L' B' D'
R U F2 B L' B' D2
U2 R U' B F2 L' B'
R U F2 B D L' B'
R U F2 B D' L' B'
U' R U2 L' F2 L' B
U' R U2 L' F2 B L'
R U F2 B D2 L' B'
U' R U2 L' B F2 L'
R U F2 B' L' D B'
R U F2 B' L' D' B'
R U F2 B' L' D2 B'
R U F2 B' L' B' D
R U F2 B' L' B' D'
R U F2 B' L' B' D2
R U F2 B' D L' B'
U2 R U' B' F2 L' B'
R U F2 B' D' L' B'
R U F2 B' D2 L' B'
U' R U2 L2 F2 L' B
R U F2 B2 L' D B'
R U F2 B2 L' D' B'
R U F2 B2 L' D2 B'
U' R U2 L2 F2 B L'
R U F2 B2 L' B' D
R U F2 B2 L' B' D'
R U F2 B2 L' B' D2
U' R U2 L2 B F2 L'
R U F2 B2 D L' B'
R U F2 B2 D' L' B'
R U F2 B2 D2 L' B'
U2 R U' B2 F2 L' B'
R U B L' F2 B' L'
R U B L' B' F2 L'
R' U B' L' F2 B' L
R' U B' L' B' L F2
R' U B' L' B' F2 L
U' R U2 F2 L B L2
U' R U2 F2 L' D B
U' R U2 F2 L' D' B
U' R U2 F2 L' D2 B
U' R U2 F2 L' B D
U' R U2 F2 L' B D'
U' R U2 F2 L' B D2
U' R U2 F2 D L' B
U' R U2 F2 D B L'
U' R U2 F2 D' L' B
U' R U2 F2 D' B L'
U' R U2 F2 D2 L' B
U' R U2 F2 D2 B L'
U' R U2 F2 B L' D
U' R U2 F2 B L' D'
U' R U2 F2 B L' D2
U' R U2 F2 B D L'
U' R U2 F2 B D' L'
U' R U2 F2 B D2 L'
U' R U2 F2 B' L' B2
U' R U2 B L F2 L'
U' R U2 B L' F2 L'
U' R U2 B L2 F2 L'
U' R U2 B F2 L' D
U' R U2 B F2 L' D'
U' R U2 B F2 L' D2
U' R U2 B F2 D L'
U' R U2 B F2 D' L'
U' R U2 B F2 D2 L'
U' R U2 B' F2 L' B2
R U B F2 L' D B'
R U B F2 L' D' B'
R U B F2 L' D2 B'
R U B F2 L' B' D
R U B F2 L' B' D'
R U B F2 L' B' D2
R U B F2 D L' B'
R U B F2 D' L' B'
R U B F2 D2 L' B'
R' U B' F2 L' B' L
R U B' L' F2 B' L'
R U B' L' B' F2 L'
R' U B2 L' F2 B' L2
R' U B2 L' B' L2 F2
R' U B2 L' B' F2 L2
R U B' F2 L' D B'
R U B' F2 L' D' B'
R U B' F2 L' D2 B'
R U B' F2 L' B' D
R U B' F2 L' B' D'
R U B' F2 L' B' D2
R U B' F2 D L' B'
R U B' F2 D' L' B'
R U B' F2 D2 L' B'
R' U B2 F2 L' B' L2
R U B2 L' F2 B' L'
R U B2 L' B' F2 L'
R U B2 F2 L' D B'
R U B2 F2 L' D' B'
R U B2 F2 L' D2 B'
R U B2 F2 L' B' D
R U B2 F2 L' B' D'
R U B2 F2 L' B' D2
R U B2 F2 D L' B'
R U B2 F2 D' L' B'
R U B2 F2 D2 L' B'
U' R D2 B2 R U2 B'
R U' L F2 L' R B
R U' L F2 R L' B
R U' L F2 R B L'
U' R F U2 F L' B
U' R F U2 F B L'
U' R F U2 B F L'
U R F R' F L' B'
U' R F' U2 F' B L
U' R F' U2 B L F'
U' R F' U2 B F' L
L' U' R U2 F2 L' B
L' U' R U2 F2 B L'
L' U' R U2 B F2 L'
U' R F2 L' B2 R' B'
L2 U' R U2 F2 L' B
L2 U' R U2 F2 B L'
L2 U' R U2 B F2 L'
L U' R U2 F2 L' B
L U' R U2 F2 B L'
L U' R U2 B F2 L'
R U' R U2 F2 D B
R U' R U2 F2 D' B
R U' R U2 F2 D2 B
R U' R U2 F2 B D
R U' R U2 F2 B D'
R U' R U2 F2 B D2
R U' R U2 B F2 D
R U' R U2 B F2 D'
R U' R U2 B F2 D2
F2 R F2 U L' F2 B'
F2 R F2 U L' B' F2
U R F2 L' R B' R2
U R F2 L' R' D B'
U R F2 L' R' D' B'
U R F2 L' R' D2 B'
U R F2 L' R' B' D
U R F2 L' R' B' D'
U R F2 L' R' B' D2
R' U' R' D2 F' B2 U2
U R F2 L' R2 B' R
R U' R D2 B2 U2 B'
U' R F2 B' L' B2 R'
U R F2 L' D R' B'
R' U' R' D2 B2 F' U2
U R F2 L' D' R' B'
U R F2 L' D2 R' B'
R U' R F U2 F B
R U' R F U2 B F
R U' R F' U2 F' B
R U' R F' U2 B F'
R' U' R' F' U2 D F'
R' U' R' F' U2 D' F'
R' U' R' F' U2 D2 F'
R' U' R' F' U2 F' D
R' U' R' F' U2 F' D'
R' U' R' F' U2 F' D2
R' U' R' F' D U2 F'
U R F2 R L' B' R2
R' U' R' F' D' U2 F'
R' U' R' F' D2 U2 F'
R' U' R' F' B U2 F'
R' U' R' F' B' U2 F'
R' U' R' F' B2 U2 F'
U' R B L F2 L' R
U' R B L F2 R L'
U R F2 R' L' D B'
U R F2 R' L' D' B'
U R F2 R' L' D2 B'
U R F2 R' L' B' D
U R F2 R' L' B' D'
U R F2 R' L' B' D2
U R F2 R' D L' B'
U R F2 R' D' L' B'
U R F2 R' D2 L' B'
U R F2 R' B L' B'
U R F2 R' B' L' B'
U R F2 R' B2 L' B'
U R F2 R2 L' B' R
R' U' R' B F' U2 F'
R U' R B' U2 F2 B2
R U' R B' U2 B2 F2
R' U' R' B' F' U2 F'
R U' R B2 U2 F2 B'
R U' R B2 U2 B' F2
R' U' R' B2 F' U2 F'
U R F2 D L' R' B'
U R F2 D R' L' B'
U R F2 D' L' R' B'
U R F2 D' R' L' B'
U R F2 D2 L' R' B'
U R F2 D2 R' L' B'
U R F2 B L' B' R'
R U' R' F' R2 B U2
U' R B' R U2 F2 B2
U' R B' R U2 B2 F2
U' R B' U2 F2 L' B2
U' R B' U2 F2 B2 L'
U' R B' U2 B2 F2 L'
U R B F2 L' B' R'
U' R B' F2 L' B2 R'
B R B' U F2 L' B'
U' R B2 R U2 F2 B'
U' R B2 R U2 B' F2
U' R B2 U2 F2 B' L'
U' R B2 U2 B' F2 L'
B2 R B2 U F2 L' B'
R' U' D2 R' F' B2 U2
R' U' D2 R' B2 F' U2
F' R' L' U' R' B U2
R' U' F R' F' U2 F2
R U' D2 R B2 U2 B'
R U' D2 B2 R U2 B
R U' F U2 F L' B'
R' U' F2 R' F' U2 F
U2 R' U R' F' U2 F'
F R' U D F B2 L
F R' U D B2 F L
F R' U F D B2 L
R U' B R U2 F2 B
R U' B R U2 B F2
R U' B U2 F2 L' B'
R' U' B2 L F2 R B
R U' B' R U2 F2 B
R U' B' R U2 B F2
R U' B' U2 F2 L' B'
F R' D U F B2 L
F R' D U B2 F L
R U' B2 R U2 F2 B
R U' B2 R U2 B F2
R U' B2 U2 F2 L' B'
R2 U2 L U' L' F2 B'
R2 U2 L U' L' B' F2
U' R' D2 F' R' B2 U2
R U2 L U' F2 L' B'
U' R' D2 F' B2 U2 L
U' R' D2 B2 F' U2 L
U' R' F R' F2 U2 F'
R U2 L' U' F2 L' B'
U' R' F' R2 B R U2
R U2 L2 U' F2 L' B'
L' U2 R U' F2 L' B'
U' R' F' B U2 F' L'
U' R' F' B2 U2 L F'
U' R' F' B2 U2 F' L
L2 U2 R U' F2 L' B'
U' R' F2 R' F U2 F'
L U2 R U' F2 L' B'
R' U2 R2 U' F2 L' B'
U' R' B F' U2 F' L'
U' R' B2 F' U2 L F'
U' R' B2 F' U2 F' L
F2 R' B2 D' L R2 B'
F2 R' B2 D' L B' R2
F2 R' B2 D' R2 L B'
U R2 L U2 F2 R2 B
U R2 L F U2 R2 F
U R2 L F U2 F R2
U R2 L' U2 R2 F2 B'
U R2 L' U2 R2 B' F2
U R2 L' U2 F2 R2 B'
U R2 L' U2 F2 B' R2
U R2 L' U2 B' R2 F2
U R2 L' U2 B' F2 R2
U' R2 U R' U F2 B
U' R2 U R' U B F2
D R2 U L D L2 B'
D R2 U L' D B' L2
D R2 U D L' B' L'
U' R2 U' R' U' F2 B
U' R2 U' R' U' B F2
U' R2 U2 R' B R F2
U' R2 U2 F2 R' B R
U R2 U2 R B R F2
D R2 U2 B' R' B' U'
D R2 D L' U L' B'
U R2 U2 F2 R B R
D R2 D U L' B' L'
D R2 D F' L' U L'
D R2 D2 F' L' F' U
D R2 F U2 R B2 U'
D R2 F U2 B2 R U'
D R2 F D2 F2 L' U
D R2 F' L' U D L2
D R2 F' L' U2 B2 U'
D R2 F' L' D U L2
D R2 F' L' D2 F2 U
D R2 F' D L' U L'
D R2 F' D2 L' F2 U
F' R2 B U B' L' U
R' D R2 U' R U2 B
U2 R2 B' R' U' F2 L'
R D R2 U' R' F' U2
D2 U L' D2 B' L' F2
D2 U L' B' L2 F L
D U L' D B' L2 F
U D L' D B' L2 F
D2 U B' L' B' L' F
D2 U' R B2 U2 B' L2
D2 U' R' F' B2 U2 L2
D2 U' R' B2 F' U2 L2
F' U' R2 B U L' U
F U' R2 U' R' U' F
D2 U' B2 R U2 L2 B
D2 U' B2 R U2 B L2
D2 U' B2 R' F' U2 L2
D2 U' B2 U2 L' B' L'
U D2 L' D2 B' L' F2
U D2 L' B' L2 F L
U' D2 R B2 U2 B' L2
U' D2 R' F' B2 U2 L2
R' D2 U' R' F' B2 U2
R' D2 U' R' B2 F' U2
U' D2 R' B2 F' U2 L2
R D2 U' R B2 U2 B'
R D2 U' B2 R U2 B
F U2 R U R U2 F
F U2 R U' F2 L' F'
D2 U2 B' R' U' L2 F
U2 D2 B' R' U' L2 F
U' D2 B2 R U2 L2 B
U' D2 B2 R U2 B L2
U' D2 B2 R' F' U2 L2
U' D2 B2 U2 L' B' L'
U D2 B' L' B' L' F
F U2 D R B2 U' F
F U2 D B2 R U' F
F U2 D2 R U' F L2
U' F R' F' R' U2 F2
D F R2 U2 R' B2 U'
D' F U2 L2 R B' U'
D' F U2 L2 B' R U'
D' F U2 R L2 B' U'
F' D L' U D L2 F'
F' D L' U D F' L2
F' D L' U F' D L2
F' D L' U2 B2 U' F'
F' D L' D U L2 F'
F' D L' D U F' L2
F' D L' D2 F2 U F
R F U2 R U' F L'
L' F D' F2 L' U F'
L2 F D' F2 L' U F'
L F D' F2 L' U F'
U F D2 F L' B' L'
D2 F' L' U L' D2 F2
D2 F' L' U D2 L' F2
D2 F' L' U' B2 U2 L'
L' F' L' U D2 L2 F'
L' F' L' U D2 F' L2
L' F' L' U F' D2 L2
L' F' L' U' R2 B U2
D2 F' L' D' R2 U L'
D2 F' L' D2 U L' F2
L' F' L' D' F2 U F
L' F' L' D2 U L2 F'
D' F' L' F2 R F U
L' F' L' D2 U F' L2
L2 F' L' U D2 L2 F'
L2 F' L' U D2 F' L2
L2 F' L' U F' D2 L2
L2 F' L' U' R2 B U2
L2 F' L' D' F2 U F
L2 F' L' D2 U L2 F'
L2 F' L' D2 U F' L2
U F' L D2 L2 F' B'
U F' L D2 L2 B' F'
D F' L' R2 U D L2
D F' L' R2 U2 B2 U'
D F' L' R2 D U L2
D F' L' R2 D2 F2 U
U F' L F' D2 L2 B2
U F' L F' D2 B2 L2
F D U2 R B2 U' F
L F' L' U D2 L2 F'
L F' L' U D2 F' L2
L F' L' U F' D2 L2
F D U2 B2 R U' F
L F' L' U' R2 B U2
U F' L' D2 F' B' L2
U F' L' D2 B' L2 F'
U F' L' D2 B' F' L2
L F' L' D' F2 U F
L F' L' D2 U L2 F'
L F' L' D2 U F' L2
