L' R U' R' F U'
L' R U' F R' U'
R L' U' R' F U'
R L' U' F R' U'
D2 R U' F' R' U'
R U B2 L B' U
R L2 U' R' F U' R
R L2 U' F R' U' R2
D2 L2 R U' F' R' U'
B L2 U R U2 F R
B' L2 U B L R U2
B' L2 U B R L U2
B L2 U' F2 L' F' R
R U L B2 L B U
R U L' U2 R' F U'
R U L' U2 F R' U'
R U L2 U2 R' F' U'
L U R U R' B' U
D2 R L U' F' R' U'
U R L U R' B' U
D2 R L' U' F' R' U'
D2 R L2 U' F' R' U'
U R U D2 R' B U
D2 R U' D F' R' U'
D2 R U' D' F' R' U'
D2 R U' D2 F' R' U'
D2 R U' F R' F2 U'
D2 R U' F' R' U' D
D2 R U' F' R' U' D'
D2 R U' F' R' U' D2
D2 R U' F' R' D U'
D2 R U' F' R' D' U'
D2 R U' F' R' D2 U'
D2 R U' F' D R' U'
D2 R U' F' D' R' U'
D2 R U' F' D2 R' U'
D2 R U' F2 R' F U'
D R U' R' F' U' R
D R U' F' R' U' R2
R U B' L B' L U
D2 R D U' F' R' U'
R U B2 L D B' U
R U B2 L D' B' U
R U B2 L D2 B' U
R U B2 L B' U D
R U B2 L B' U D'
R U B2 L B' U D2
R U B2 L B' D U
R U B2 L B' D' U
R U B2 L B' D2 U
D2 R D' U' F' R' U'
D2 R D2 U' F' R' U'
U R D2 U R' B U
D2 R F U' R' F2 U'
R U' L' R' F L U'
D2 R F U' F2 R' U'
D R F L' U' R' U'
R U' L' F L R' U'
R U' L' F R' L U'
D2 R F' U' R' U' R
D R F' U' R' U' R2
D R F' U2 R D B2
D2 R F2 U' R' F U'
D2 R F2 U' F R' U'
D R F2 U' R' F' U'
R U' R' L' F L U'
R U' R' D F' U' R
R U' R2 D2 R F' U'
B2 R B2 U L B' U
R U' D R' F' U' R
R U' D F' R' U' R2
R' U' D2 R F' U' L2
R U' D2 R F' R2 U'
R U' D2 R' U2 B U
L U2 F2 B' U L' F2
B' R2 D F' B2 L R
B' R2 D F' B2 R L
B' R2 D B2 L F' R
B' R2 D B2 F' L R
B' R2 D B2 F' R L
R U2 B' D' R' B R'
R U2 B' D' B R' B
L U2 B' F2 U L' F2
R U2 B2 U' L B' U
L' D R U' R' F U'
L' D R U' F R' U'
R2 D R' F L' U2 B2
R2 D R' F' U2 R B2
R2 D R' F' U2 B2 R
R D U' R' F' U' R
R D U' F' R' U' R2
R2 D F L' R' U2 B2
R2 D F L' U2 B2 L
R2 D F R' L' U2 B2
R D F L' U' R' U'
R2 D F' R' U2 R2 B2
R2 D F' R' U2 B2 R2
R2 D F' U2 B2 L R
R2 D F' U2 B2 R L
R D F' U' R' U' R2
R D F' U2 R D B2
B U R D' B' L U2
R D F2 U' R' F' U'
B' U D' B R U2 R2
B U D' R B' L U2
B U D' B' L R U2
B U D' B' R L U2
L' D' R U' R' F U'
L' D' R U' F R' U'
F2 U' L' U F L U'
L' D2 R U' R' F U'
L' D2 R U' F R' U'
R2 D2 R' U L2 B U
R2 D2 R' U B L2 U
R' D2 U' R F' U' L2
R D2 U' R F' R2 U'
R D2 U' R' U2 B U
R F L' U' R' F U'
R F L' U' F R' U'
L' F U2 F U L' F'
R F U B2 L B' U
L' F B L2 U' F L'
L' F B U' L2 F L'
R F' L' U' R' F U'
R F' L' U' F R' U'
R F' U B2 L B' U
B' D' U B R U2 R2
B D' U R B' L U2
U' F2 L' U F L U'
B D' U B' L R U2
B D' U B' R L U2
R F2 L' U' R' F U'
R F2 L' U' F R' U'
R F2 U B2 L B' U
D' B U R B' U2 R2
L2 B U R B' U2 R'
D' B U' R' D2 L2 F
L2 B U B' R U2 R2
F2 B L2 U' F L R
F2 B L2 U' F R L
B F L' F U' L' F
F B L' F U' L' F
B F L2 U' F L' R
B F L2 U' F R L'
F B L2 U' F L' R
F B L2 U' F R L'
L' B F L2 U' F L'
L' B F U' L2 F L'
D' B' U L B R U2
L2 B' U B L R U2
L2 B' U B R L U2
L B' U B R U2 R'
L B' U' B R U2 B'
R B' D' B U2 R' B
B F2 L2 U' F L R
B F2 L2 U' F R L
L' B2 D2 F U' F L'
