U L U2 B' L2
U L R U2 B' L2
U L R' U2 B' L2
U L R2 U2 B' L2
U L U2 B L2 B2
U L U2 B' L2 D
U L U2 B' L2 D
U L U2 B' L2 D'
U L U2 B' L2 D2
U L U2 B2 L2 B
U L D2 R2 U2 B'
U L F U2 B' L2
U L F' U2 B' L2
U L F2 U2 B' L2
U' L B' L2 D2 R2
U' L' U2 L2 U2 B'
U' L' U2 F L2 U2
U L' F L2 U2 L2
R' U L U2 B' L2
R2 U L U2 B' L2
R U L U2 B' L2
U R L U2 B' L2
U R' L U2 B' L2
U R2 L U2 B' L2
F2 U L R U2 B'
F2 U R L U2 B'
B2 U' L R' B' L2
B2 U' R' L B' L2
B2 U' D2 L' R' B
B2 U' D2 R' L' B
B2 U' D2 R' B L'
D2 U' B2 L' R' B
D2 U' B2 R' L' B
D2 U' B2 R' B L'
U' D2 B2 L' R' B
U' D2 B2 R' L' B
U' D2 B2 R' B L'
U F2 L R U2 B'
U F2 R L U2 B'
B2 D2 U' L' R' B
B2 D2 U' R' L' B
B2 D2 U' R' B L'
U' B' L B' L2 R'
U' B' L B' R' L2
U' B2 L R' B' L2
U' B2 R' L B' L2
D2 B2 U' L' R' B
D2 B2 U' R' L' B
D2 B2 U' R' B L'
D' B2 U' L' R' B'
D' B2 U' R' L' B'
U' B2 D2 L' R' B
U' B2 D2 R' L' B
U' B2 D2 R' B L'
R2 U' L' U2 L2 U2 B'
R2 U' L' U2 F L2 U2
L U' L' U' L B' L2
R U' L' U2 L2 U2 B'
R U' L' U2 F L2 U2
U R F2 L R U2 B'
U R F2 R L U2 B'
U' R B' L B' L2 R'
U' R B' L B' R' L2
U' R B2 L R' B' L2
U' R B2 R' L B' L2
D' R B2 U' L' R' B'
D' R B2 U' R' L' B'
U' R B2 D2 L' R' B
U' R B2 D2 R' L' B
U' R B2 D2 R' B L'
R' U' D2 B2 L' R' B
R' U' D2 B2 R' L' B
R' U' D2 B2 R' B L'
U' R' L B' L2 D2 R2
L U' D' B2 L' U' B
U' R' L' U2 L2 U2 B'
U' R' L' U2 F L2 U2
U R' L U2 B L2 B2
U R' L U2 B' L2 D
U R' L U2 B' L2 D'
U R' L U2 B' L2 D2
U R' L U2 B2 L2 B
U R' L D2 R2 U2 B'
U R' L F U2 B' L2
R2 U' D2 B2 L' R' B
U R' L F' U2 B' L2
R2 U' D2 B2 R' L' B
R2 U' D2 B2 R' B L'
U R' L F2 U2 B' L2
R U' D2 B2 L' R' B
R U' D2 B2 R' L' B
R U' D2 B2 R' B L'
U R' L' F L2 U2 L2
D2 R' U L U2 L2 B
D2 R' U L U2 B L2
F2 R' U L R2 U2 B'
F2 R' U R2 L U2 B'
D2 R' U' L' D2 B R2
D2 R' U' L' B D2 R2
D2 R' U' B2 R' B' L'
U' R' U2 L U2 B' L2
R' U' B' L B' L2 R'
R' U' B' L B' R' L2
L U' B L' U' L' B2
L U' B L' U' B2 L'
R2 U' B' L B' L2 R'
R2 U' B' L B' R' L2
R' U' B2 L R' B' L2
R U' B' L B' L2 R'
R U' B' L B' R' L2
R' U' B2 R' L B' L2
R2 U' B2 L R' B' L2
R' U' B2 D2 L' R' B
R' U' B2 D2 R' L' B
R' U' B2 D2 R' B L'
R2 U' B2 R' L B' L2
L U' B2 L' U' L' B
L U' B2 L' U' B L'
R U' B2 L R' B' L2
R U' B2 R' L B' L2
R2 U' B2 D2 L' R' B
R2 U' B2 D2 R' L' B
R2 U' B2 D2 R' B L'
R U' B2 D2 L' R' B
R U' B2 D2 R' L' B
R U' B2 D2 R' B L'
U' R' D2 B2 L' R' B
U' R' D2 B2 R' L' B
U' R' D2 B2 R' B L'
U R' F2 L R U2 B'
U R' F2 R L U2 B'
U' R' B' L B' L2 R'
U' R' B' L B' R' L2
U' R' B2 L R' B' L2
U' R' B2 R' L B' L2
D2 R' B2 U' R' B' L'
D' R' B2 U' L' R' B'
D' R' B2 U' R' L' B'
L2 U2 D F2 L R B
L2 U2 D F2 R L B
U' R' B2 D2 L' R' B
U' R' B2 D2 R' L' B
U' R' B2 D2 R' B L'
U' R2 L B' L2 D2 R2
U' R2 L' U2 L2 U2 B'
U' R2 L' U2 F L2 U2
L' U2 F L2 U' L' U'
U R2 L U2 B L2 B2
U R2 L U2 B' L2 D
U R2 L U2 B' L2 D'
U R2 L U2 B' L2 D2
U R2 L U2 B2 L2 B
U R2 L D2 R2 U2 B'
U R2 L F U2 B' L2
U R2 L F' U2 B' L2
U R2 L F2 U2 B' L2
U R2 L' F L2 U2 L2
F2 R2 U L R' U2 B'
F2 R2 U R' L U2 B'
B2 R2 U' L R B' L2
B2 R2 U' L B' L2 R
B2 R2 U' L B' R L2
B2 R2 U' R L B' L2
U' R2 U2 L U2 B' L2
F2 R2 U' B2 L R' B'
F2 R2 U' B2 R' L B'
L U2 B' L D L F2
L U2 B' L D F2 L
L U2 B' L2 U L U'
L U2 B' U L' U' L'
L2 D L F2 D2 R2 B
U' R2 D2 B2 L' R' B
U' R2 D2 B2 R' L' B
U' R2 D2 B2 R' B L'
L2 D L' U2 F2 B' L2
L2 D L' U2 B' L2 F2
L2 D L' U2 B' F2 L2
U R2 F2 L R U2 B'
U R2 F2 R L U2 B'
U' R2 B' L B' L2 R'
U' R2 B' L B' R' L2
U' R2 B2 L R' B' L2
U' R2 B2 R' L B' L2
D' R2 B2 U' L' R' B'
D' R2 B2 U' R' L' B'
U' R2 B2 D2 L' R' B
U' R2 B2 D2 R' L' B
U' R2 B2 D2 R' B L'
F2 R2 B2 U' L R' B'
F2 R2 B2 U' R' L B'
D2 U L R F' U2 L2
D2 U L R' U2 L2 B
D2 U L R' U2 B L2
L D U F2 R U B'
F2 U L R U2 D B'
F2 U L R U2 D' B'
F2 U L R U2 D2 B'
F2 U L R U2 B' D
F2 U L R U2 B' D'
F2 U L R U2 B' D2
F2 U L R D U2 B'
F2 U L R D' U2 B'
F' U L U2 D2 B' L
F2 U L R D2 U2 B'
F2 U L R F U2 B'
F2 U L R F' U2 B'
F2 U L R F2 U2 B'
F' U L D2 U2 B' L
B2 U L U2 R' B' L2
F' U L F U2 B' L'
F' U L F' R U2 B'
F2 U L D R U2 B'
F2 U L D' R U2 B'
F2 U L D2 R U2 B'
F2 U L F2 U2 B' L'
L2 D U2 F2 L R B
L2 D U2 F2 R L B
F U L U F U B'
F2 U L' R F L2 U2
F' U L' F L2 U2 L
D2 U R L F' U2 L2
F2 U R L U2 D B'
F2 U R L U2 D' B'
F2 U R L U2 D2 B'
F2 U R L U2 B' D
F2 U R L U2 B' D'
F2 U R L U2 B' D2
F2 U R L D U2 B'
F2 U R L D' U2 B'
F2 U R L D2 U2 B'
F2 U R L F U2 B'
F2 U R L F' U2 B'
F2 U R L F2 U2 B'
F2 U R L' F L2 U2
L2 D F2 L' R B' L2
L2 D F2 L' B' L2 R
L2 D F2 L' B' R L2
L2 D F2 R L' B' L2
F2 U R F L U2 B'
D2 U R' L U2 L2 B
D2 U R' L U2 B L2
F2 U R F' L U2 B'
F2 U R F2 L U2 B'
D2 U F2 L R F' U2
F2 U D2 L R F' U2
D2 U F2 R L F' U2
L2 D' L D2 F2 R2 B
F2 U D2 R L F' U2
D2 U F2 R F' L U2
F2 U D2 R F' L U2
F' U F L U2 B' L2
L2 D' L' U2 B' L2 F
F' U F' L R U2 B'
L2 D' L' B2 U2 L2 B
L2 D' L' B2 U2 B L2
F' U F' R L U2 B'
F2 U F2 L U2 B' L2
U' D B2 L' D R' B
U' D B2 D L' R' B
U' D B2 D R' L' B
U' D B2 D R' B L'
D2 U' L' R D2 R2 B
D2 U' L' R' D2 B R2
D2 U' L' R' B D2 R2
B2 U' L R B' L2 R2
B2 U' L R B' R2 L2
B2 U' L R' B L2 B2
B2 U' L R' B' L2 D
B2 U' L R' B' L2 D'
B2 U' L R' B' L2 D2
B2 U' L R' B2 L2 B
B2 U' L R2 B' L2 R
B2 U' L R2 B' R L2
D2 U' R L' D2 R2 B
B2 U' L' R' U2 F U2
L D' U' B2 L' U' B
D2 U' R' L' D2 B R2
D2 U' R' L' B D2 R2
B2 U' L' U2 F U2 R'
B U' L B L2 R' B2
B U' L B R' L2 B2
B U' L B R' B2 L2
D2 U' R' B2 R' B' L'
B2 U' R L B' L2 R2
B2 U' R L B' R2 L2
B2 U' R' L B L2 B2
B2 U' R' L B' L2 D
B2 U' R' L B' L2 D'
B2 U' R' L B' L2 D2
B2 U' R' L B2 L2 B
B2 U' R' L' U2 F U2
B2 U' R' B L B' L2
B2 U' R' B' L B' L2
B2 U' R' B2 L B' L2
B2 U' R2 L B' L2 R
B2 U' R2 L B' R L2
R' D' B2 U' L' R' B'
R' D' B2 U' R' L' B'
F2 U' R2 B2 L R' B'
F2 U' R2 B2 R' L B'
B2 U' D L' D R' B
D2 U' B L' R' B R'
D2 U' B L' B R' B
L2 D' B2 L' R' U2 B'
D2 U' B R' L' B R'
D2 U' B R' B L' R'
D2 U' B R' B R' L'
L2 D' B2 R' L' U2 B'
B2 U' D' L' D' R' B
R2 D' B2 U' L' R' B'
R2 D' B2 U' R' L' B'
D2 U' B' L' B' R' B
B2 U' D2 L R' B L2
B2 U' D2 L' R' D B
B2 U' D2 L' R' D' B
B2 U' D2 L' R' D2 B
B2 U' D2 L' R' B D
B2 U' D2 L' R' B D'
B2 U' D2 L' R' B D2
R D' B2 U' L' R' B'
B2 U' D2 R' L B L2
B2 U' D2 R' L' D B
B2 U' D2 R' L' D' B
B2 U' D2 R' L' D2 B
B2 U' D2 R' L' B D
B2 U' D2 R' L' B D'
B2 U' D2 R' L' B D2
R D' B2 U' R' L' B'
B2 U' D2 R' D L' B
B2 U' D2 R' D B L'
B2 U' D2 R' D' L' B
B2 U' D2 R' D' B L'
B2 U' D2 R' D2 L' B
B2 U' D2 R' D2 B L'
B2 U' D2 R' B L' D
B2 U' D2 R' B L' D'
B2 U' D2 R' B L' D2
B2 U' D2 R' B D L'
B2 U' D2 R' B D' L'
B2 U' D2 R' B D2 L'
B2 U' D2 R' B' L' B2
D2 U' B2 L R' B L2
D2 U' B2 L' R' D B
D2 U' B2 L' R' D' B
D2 U' B2 L' R' D2 B
D2 U' B2 L' R' B D
D2 U' B2 L' R' B D'
D2 U' B2 L' R' B D2
F' U' D2 B2 R' B L
D2 U' B2 R' L B L2
D2 U' B2 R' L' D B
D2 U' B2 R' L' D' B
D2 U' B2 R' L' D2 B
D2 U' B2 R' L' B D
D2 U' B2 R' L' B D'
D2 U' B2 R' L' B D2
D2 U' B2 R' D L' B
D2 U' B2 R' D B L'
D2 U' B2 R' D' L' B
D2 U' B2 R' D' B L'
D2 U' B2 R' D2 L' B
D2 U' B2 R' D2 B L'
D2 U' B2 R' B L' D
D2 U' B2 R' B L' D'
D2 U' B2 R' B L' D2
D2 U' B2 R' B D L'
D2 U' B2 R' B D' L'
D2 U' B2 R' B D2 L'
D2 U' B2 R' B' L' B2
D U' B2 L' D R' B
D U' B2 D L' R' B
D U' B2 D R' L' B
D U' B2 D R' B L'
U' D2 L' R D2 R2 B
U' D2 L' R' D2 B R2
U' D2 L' R' B D2 R2
U D2 L R F' U2 L2
U D2 L R' U2 L2 B
U D2 L R' U2 B L2
B2 U' B L B' L2 R'
B2 U' B L B' R' L2
U' D2 R L' D2 R2 B
B U' B L R' B' L2
B U' B R' L B' L2
U' D2 R' L' D2 B R2
U' D2 R' L' B D2 R2
B U' B D2 L' R' B
B U' B D2 R' L' B
B U' B D2 R' B L'
U D2 R L F' U2 L2
U' D2 R' B2 R' B' L'
R' D2 U' B2 L' R' B
R' D2 U' B2 R' L' B
R' D2 U' B2 R' B L'
B U' B2 L B' L2 R'
B U' B2 L B' R' L2
B2 U2 L U R' B' L2
U D2 R' L U2 L2 B
U D2 R' L U2 B L2
R2 D2 U' B2 L' R' B
R2 D2 U' B2 R' L' B
R2 D2 U' B2 R' B L'
R D2 U' B2 L' R' B
R D2 U' B2 R' L' B
R D2 U' B2 R' B L'
U' D2 B L' R' B R'
U' D2 B L' B R' B
U' D2 B R' L' B R'
U' D2 B R' B L' R'
U' D2 B R' B R' L'
U D2 F2 L R F' U2
U D2 F2 R L F' U2
U D2 F2 R F' L U2
U' D2 B' L' B' R' B
U' D2 B2 L R' B L2
U' D2 B2 L' R' D B
U' D2 B2 L' R' D' B
U' D2 B2 L' R' D2 B
U' D2 B2 L' R' B D
U' D2 B2 L' R' B D'
U' D2 B2 L' R' B D2
U' D2 B2 R' L B L2
U' D2 B2 R' L' D B
U' D2 B2 R' L' D' B
U' D2 B2 R' L' D2 B
U' D2 B2 R' L' B D
U' D2 B2 R' L' B D'
U' D2 B2 R' L' B D2
U' D2 B2 R' D L' B
U' D2 B2 R' D B L'
U' D2 B2 R' D' L' B
U' D2 B2 R' D' B L'
U' D2 B2 R' D2 L' B
U' D2 B2 R' D2 B L'
U' D2 B2 R' B L' D
U' D2 B2 R' B L' D'
U' D2 B2 R' B L' D2
U' D2 B2 R' B D L'
U' D2 B2 R' B D' L'
U' D2 B2 R' B D2 L'
U' D2 B2 R' B' L' B2
R' D2 B2 U' L' R' B
R' D2 B2 U' R' L' B
R' D2 B2 U' R' B L'
D2 U2 B2 U L' R' B
D2 U2 B2 U R' L' B
D2 U2 B2 U R' B L'
U2 D2 B2 U L' R' B
U2 D2 B2 U R' L' B
U2 D2 B2 U R' B L'
R2 D2 B2 U' L' R' B
R2 D2 B2 U' R' L' B
R2 D2 B2 U' R' B L'
R D2 B2 U' L' R' B
R D2 B2 U' R' L' B
R D2 B2 U' R' B L'
U F L U2 B L B2
U F L F R U2 B'
U F L F' U2 B' L'
L' F L2 U' L' U' L'
U F L' F L2 R U2
U F L' F R L2 U2
B2 D U' L' D R' B
U F' L U2 D2 B' L
U F' L D2 U2 B' L
U F' L F U2 B' L'
U F' L F' R U2 B'
U F' L' F L2 U2 L
U' F2 L R U2 F2 B'
U' F2 L R U2 B' F2
U' F2 L U2 F2 B' L'
U' F2 L U2 B' F2 L'
B2 D' U' L' D' R' B
U F2 L R U2 D B'
U F2 L R U2 D' B'
U F2 L R U2 D2 B'
U F2 L R U2 B' D
U F2 L R U2 B' D'
U F2 L R U2 B' D2
U F2 L R D U2 B'
U F2 L R D' U2 B'
U F2 L R D2 U2 B'
U F2 L R F U2 B'
U F2 L R F' U2 B'
U F2 L R F2 U2 B'
U F2 L D R U2 B'
U F2 L D' R U2 B'
U' F2 L2 F2 L' R B'
U' F2 L2 F2 L' B' R
U' F2 L2 F2 R L' B'
U F2 L D2 R U2 B'
U F2 L F2 U2 B' L'
U' F2 R L U2 F2 B'
U' F2 R L U2 B' F2
U F2 L' R F L2 U2
U F2 R L U2 D B'
U F2 R L U2 D' B'
U F2 R L U2 D2 B'
U F2 R L U2 B' D
U F2 R L U2 B' D'
U F2 R L U2 B' D2
U F2 R L D U2 B'
U F2 R L D' U2 B'
U F2 R L D2 U2 B'
U F2 R L F U2 B'
U F2 R L F' U2 B'
U F2 R L F2 U2 B'
U F2 R L' F L2 U2
U F2 R F L U2 B'
U F2 R F' L U2 B'
U F2 R F2 L U2 B'
R' F2 U L R U2 B'
D2 F2 U L R F' U2
R' F2 U R L U2 B'
D2 F2 U R L F' U2
D2 F2 U R F' L U2
R2 F2 U L R U2 B'
R2 F2 U R L U2 B'
D F2 U L R F U2
D F2 U R L F U2
U2 F2 U' L R U2 B'
U2 F2 U' R L U2 B'
L F2 U R U B' L2
R F2 U L R U2 B'
R F2 U R L U2 B'
B2 D2 R U' L' R2 B
B2 D2 R U' R2 L' B
B2 D2 R U' R2 B L'
U F2 D2 L R F' U2
U F2 D2 R L F' U2
U F2 D2 R F' L U2
F2 D2 U L R F' U2
F2 D2 U R L F' U2
F2 D2 U R F' L U2
B2 D2 U' L R' B L2
B2 D2 U' L' R' D B
B2 D2 U' L' R' D' B
B2 D2 U' L' R' D2 B
B2 D2 U' L' R' B D
B2 D2 U' L' R' B D'
B2 D2 U' L' R' B D2
U' B L B L2 R' B2
U' B L B R' L2 B2
U' B L B R' B2 L2
B2 D2 U' R' L B L2
B2 D2 U' R' L' D B
B2 D2 U' R' L' D' B
B2 D2 U' R' L' D2 B
B2 D2 U' R' L' B D
B2 D2 U' R' L' B D'
B2 D2 U' R' L' B D2
B2 D2 U' R' D L' B
B2 D2 U' R' D B L'
B2 D2 U' R' D' L' B
B2 D2 U' R' D' B L'
B2 D2 U' R' D2 L' B
B2 D2 U' R' D2 B L'
B2 D2 U' R' B L' D
B2 D2 U' R' B L' D'
B2 D2 U' R' B L' D2
B2 D2 U' R' B D L'
B2 D2 U' R' B D' L'
B2 D2 U' R' B D2 L'
B2 D2 U' R' B' L' B2
F' D2 U' B2 R' B L
L B L' U' B2 L' R'
L B L' U' B2 R' L'
D2 B R' U' L' B R'
D2 B R' U' B L' R'
D2 B R' U' B R' L'
D' B R' B U' L' R'
D' B R' B U' R' L'
B' D2 B' U' L' R' B
B' D2 B' U' R' L' B
B' D2 B' U' R' B L'
D2 B U' L' R' B R'
D2 B U' L' B R' B
D2 B U' R' L' B R'
D2 B U' R' B L' R'
D2 B U' R' B R' L'
