D' L2 R' U L' F'
R' U L D2 F' B2
R' U L D2 B2 F'
R' U D2 L F' B2
R' U D2 L B2 F'
R' U D2 F' L B2
D' R' L2 U L' F'
R' U' F2 U2 F L
D2 R' U L F' B2
D2 R' U L B2 F'
D2 R' U F' L B2
R' D' L2 U L' F'
R' D2 U L F' B2
R' D2 U L B2 F'
R' D2 U F' L B2
R' U F' L U2 F' U2
R' U F' R2 L B R2
R' U F' U2 F' U2 L
D2 R U L' B2 L2 F
R' U B2 D2 F' B2 L
R' U B2 D2 B2 L F'
R' U B2 D2 B2 F' L
R' U' R F2 U2 L F
R2 U' R F2 U2 F L
F2 R B U B' U L
R U' R' F2 U2 L F
R2 U' R2 F2 U2 L F
R U' R2 F2 U2 F L
D2 R' L F' B2 D' R2
D2 R' L B2 D' F' R2
D2 R' L B2 F' D' R2
D2 R' L' U L2 F' B2
D2 R' L' U L2 B2 F'
D2 R' L' U F' L2 B2
D2 R' L' U F' B2 L2
D2 R' L' U B2 L2 F'
D2 R' L' U B2 F' L2
D2 R' L2 U L' F' B2
D2 R' L2 U L' B2 F'
D' R' L2 U L F' L2
D' R' L2 U L' D F'
D' R' L2 U L' D' F'
D' R' L2 U L' D2 F'
D' R' L2 U L' F' D
D' R' L2 U L' F' D'
D' R' L2 U L' F' D2
D' R' L2 U L2 F' L
D' R' L2 U D L' F'
D' R' L2 U D' L' F'
D' R' L2 U D2 L' F'
D2 R' L2 U B2 L' F'
D' R' L2 D U L' F'
D' R' L2 D' U L' F'
D' R' L2 D2 U L' F'
D2 R' U L F' B2 D
D2 R' U L F' B2 D'
D2 R' U L F' B2 D2
D2 R' U L B2 D F'
D2 R' U L B2 D' F'
D2 R' U L B2 D2 F'
D2 R' U L B2 F' D
D2 R' U L B2 F' D'
D2 R' U L B2 F' D2
D2 R' U L' F' L2 B2
D2 R' U L' F' B2 L2
D2 R' U L' B2 L2 F'
D2 R' U L' B2 F' L2
F R' L2 U B' L' F'
D2 R' U L2 B2 L' F'
D' R' U D' L F' B2
D' R' U D' L B2 F'
D' R' U D' F' L B2
D2 R' U F L F2 B2
D2 R' U F L B2 F2
R' U' F2 R U2 F L
D2 R' U F' L B2 D
D2 R' U F' L B2 D'
D2 R' U F' L B2 D2
R' U' F2 R' U2 F L
D2 R' U F' L' B2 L2
D2 R' U F' L2 B2 L'
F' R' U D2 L F' B'
F' R' U D2 L B' F'
F' R' U D2 F' L B'
D' R' U F' D' L B2
R' U' F2 R2 U2 F L
F' R' U F' D2 L B'
R' U' F2 U2 D F L
R' U' F2 U2 D' F L
R' U' F2 U2 D2 F L
R' U' F2 U2 F L D
R' U' F2 U2 F L D'
R' U' F2 U2 F L D2
R' U' F2 U2 F D L
R' U' F2 U2 F D' L
R' U' F2 U2 F D2 L
R' U' F2 U2 F' L F2
R' U' F2 U2 F2 L F'
R' U' F2 D U2 F L
R' U' F2 D' U2 F L
F R' U L2 B' L' F'
R' U' F2 D2 U2 F L
R2 U' F2 R U2 L F'
R2 U' F2 R U2 F' L
R' U' F2 B2 R' U2 F
R2 U' F2 R2 U2 L F
F R' U F' L D2 B2
F R' U F' D2 L B2
R U' F2 R' U2 L F
R U' F2 R2 U2 L F'
R U' F2 R2 U2 F' L
R2 U' F2 B2 R' B U2
R U' F2 B2 R' B' U2
F R' U' F U2 L F2
F R' U' F U2 F2 L
B2 R' U2 F' D' R2 B
D2 R' D L2 U L' F'
R' U' B2 F2 R' U2 F
D' R' D' U L F' B2
D' R' D' U L B2 F'
D' R' D' U F' L B2
R2 U' B2 R' F2 B U2
R2 U' B2 R' B F2 U2
R U' B2 R' F2 B' U2
R U' B2 R' B' F2 U2
R2 U' B2 F2 R' B U2
L2 U2 L U' F L2 B'
R U' B2 F2 R' B' U2
F' R' D2 U L F' B'
F' R' D2 U L B' F'
F' R' D2 U F' L B'
D' R' F L2 U L' F2
D2 R' F U L F2 B2
D2 R' F U L B2 F2
D2 R' F U F2 L B2
D2 R' F' L B2 D' R2
D2 R' F2 U F L B2
B2 R' F2 U B2 U F
B2 R' F2 U2 D' R2 F
B2 R' F2 U2 D' F R2
B2 R' F2 U2 F D' R2
B2 R' F2 D L2 B' U2
B2 R' F2 D' U2 R2 F
B2 R' F2 D' U2 F R2
R U2 D R2 U' L F'
R U2 D R2 U' F' L
D' R2 L2 U D2 L' F
D' R2 L2 D2 U L' F
D R2 U' L F2 R F'
R' D U L D F' B2
R' D U L D B2 F'
R' D U L F' D B2
R' D U F' L D B2
R' D U F' D L B2
U2 D L' R2 U' L2 F
R D U2 R2 U' L F'
R D U2 R2 U' F' L
U2 D L2 R2 U' L' F
F2 U R U L R' F
F2 U R U L F R'
F2 U R U R' L F
F2 U R' U L R F
F2 U R' U R L F
F2 U R2 U L R2 F
F2 U R2 U L F R2
U2 D R2 L' U' L2 F
F2 U R2 U R2 L F
U2 D R2 L2 U' L' F
D2 U F' L B2 D F2
D U F' L D F2 B2
D U F' L D B2 F2
U D F' L D F2 B2
U D F' L D B2 F2
R' D' L2 U L F' L2
R' D' L2 U L' D F'
R' D' L2 U L' D' F'
R' D' L2 U L' D2 F'
R' D' L2 U L' F' D
R' D' L2 U L' F' D'
R' D' L2 U L' F' D2
R' D' L2 U L2 F' L
R' D' L2 U D L' F'
R' D' L2 U D' L' F'
R' D' L2 U D2 L' F'
F2 U F R U L R'
F2 U F R U R' L
R' D' L2 D U L' F'
R' D' L2 D' U L' F'
R' D' L2 D2 U L' F'
L2 D' L2 R' U L F'
L2 D' L2 R' U F' L
R2 D' L2 U D' L' F
R2 D' L2 D' U L' F
L D' L2 R' U L2 F'
L D' L2 R' U F' L2
R D' L2 R2 U L' F'
R D' L2 U' B U2 L'
L2 D' R' L2 U L F'
L2 D' R' L2 U F' L
L D' R' L2 U L2 F'
L D' R' L2 U F' L2
R' D' U F' D' L B2
R D' R2 L2 U L' F'
R' D' F L2 U L' F2
R2 D' F' L2 R U L'
R2 D' F' R L2 U L'
R' D2 L F' B2 D' R2
R' D2 L B2 D' F' R2
R' D2 L B2 F' D' R2
R' D2 L' U L2 F' B2
R' D2 L' U L2 B2 F'
R' D2 L' U F' L2 B2
R' D2 L' U F' B2 L2
R' D2 L' U B2 L2 F'
R' D2 L' U B2 F' L2
R2 D2 L B2 D' R2 F'
R' D2 L2 U L' F' B2
R' D2 L2 U L' B2 F'
R' D2 L2 U B2 L' F'
R2 D2 L' U F L2 B2
R2 D2 L' U F B2 L2
R2 D2 L' U B2 F L2
R D2 L' U B2 L2 F
D2 U2 L' U' L2 F B2
D2 U2 L' U' L2 B2 F
L' D2 R' U F' B2 L
L' D2 R' U B2 L F'
L' D2 R' U B2 F' L
U2 D2 L' U' L2 F B2
U2 D2 L' U' L2 B2 F
D2 U2 L2 U' L' F B2
D2 U2 L2 U' L' B2 F
D U2 L' R2 U' L2 F
D2 U2 L2 U' B2 L' F
L2 D2 R' U L' F' B2
L2 D2 R' U L' B2 F'
L2 D2 R' U B2 L' F'
U2 D2 L2 U' L' F B2
U2 D2 L2 U' L' B2 F
U2 D2 L2 U' B2 L' F
D U2 L2 R2 U' L' F
R' D2 U L F' B2 D
R' D2 U L F' B2 D'
R' D2 U L F' B2 D2
R' D2 U L B2 D F'
R' D2 U L B2 D' F'
R' D2 U L B2 D2 F'
R' D2 U L B2 F' D
R' D2 U L B2 F' D'
R' D2 U L B2 F' D2
R' D2 U L' F' L2 B2
R' D2 U L' F' B2 L2
R' D2 U L' B2 L2 F'
R' D2 U L' B2 F' L2
R' D2 U L2 B2 L' F'
R' D2 U F L F2 B2
R' D2 U F L B2 F2
R' D2 U F' L B2 D
R' D2 U F' L B2 D'
R' D2 U F' L B2 D2
R' D2 U F' L' B2 L2
R' D2 U F' L2 B2 L'
L D2 R' F' B2 D' R2
L D2 R' B2 D' F' R2
L D2 R' B2 F' D' R2
R D2 R2 U L F' B2
R D2 R2 U L B2 F'
R D2 R2 U F' L B2
R2 D2 U L' F L2 B2
R2 D2 U L' F B2 L2
R2 D2 U L' B2 F L2
R D2 U L' B2 L2 F
F2 U2 L F U F' U'
D U2 R2 L' U' L2 F
F2 U2 L F2 D F' R2
R' D2 F U L F2 B2
R' D2 F U L B2 F2
D U2 R2 L2 U' L' F
R' D2 F U F2 L B2
R' D2 F' L B2 D' R2
R' D2 F2 U F L B2
U D2 F' L B2 D F2
F U2 L2 U' B' L' F
L D2 B2 R D' R2 F'
L D2 B2 R' D' F' R2
L D2 B2 R' F' D' R2
L D2 B2 D' R' F' R'
D' F L2 R' U L' F'
F2 U2 F L F D R2
R' F L2 U B' L' F2
F2 U2 F2 L D R2 F
F2 U2 F2 L D F R2
D' F R' L2 U L' F'
D2 F R' U L F' B2
D2 F R' U L B2 F'
D2 F R' U F' L B2
L' F R' U L2 F' B'
L' F R' U L2 B' F'
F2 U2 F2 D L R2 F
F2 U2 F2 D L F R2
F2 U2 F2 D R2 L F
R' F U L2 B' L' F2
R' F U' F U2 F L
R' F' L B2 D' R2 B
D' F' L2 R' U L' F'
D' F' R' L2 U L' F'
D2 F' R' U L F' B2
D2 F' R' U L B2 F'
D2 F' R' U F' L B2
R F' R2 U L F' B
R F' R2 U L B F'
R F' R2 U F' L B
U2 F2 L D F R2 B
D' F2 L2 R' U L' F'
D' F2 R' L2 U L' F'
D2 F2 R' U L F' B2
D2 F2 R' U L B2 F'
D2 F2 R' U F' L B2
L2 F2 R B U B' U
U' F2 U R' U L F'
U' F2 U R' U F' L
U' F2 U' L' U' L2 F
U' F2 U' L2 U' L' F
U' F2 U2 F' L D F2
U2 F2 D L F R2 B
U2 F2 D' L2 U2 L' F
U' F2 B' U R' F' U
U' F2 B2 D' R' B U2
R F2 B U B' U L
F2 B U B' U L F
R B F2 U B' U L
U' B' F2 U R' F' U
L B2 R' F' D' R2 B
B2 F2 R' U B2 U F'
B2 F2 R' U2 D' F' R2
B2 F2 R' U2 F' D' R2
F2 B2 R' U B2 U F'
B2 F2 R' D L2 U2 F'
B2 F2 R' D' U2 F' R2
F2 B2 R' U2 D' F' R2
F2 B2 R' U2 F' D' R2
F2 B2 R' D L2 U2 F'
F2 B2 R' D' U2 F' R2
B2 F2 U B2 U L F
F2 B2 U B2 U L F
B F2 U B' U L F
B2 F2 D L2 R' U2 F'
B2 F2 D R' L2 U2 F'
F2 B2 D L2 R' U2 F'
F2 B2 D R' L2 U2 F'
B2 F2 D' R' U2 F' R'
F2 B2 D' R' U2 F' R'
U' B2 F2 D' R' B U2
