F U' B U' F2
U2 L2 F' B' D L2
U' L2 B U' F' B2
U' L2 B U' B2 F'
U2 L2 B' D L2 F'
U2 L2 B' D F' L2
U2 L2 B' F' D L2
F R2 U F' U F'
F U R2 F' U F'
F U D R2 F' U
F U' L B U' F2
F U' L' B U' F2
F U' L2 B U' F2
F U' D' L2 B U'
F U' D' B L2 U'
F U' B L U' F2
F U' B L' U' F2
F U' B L2 U' F2
F U' B U' F2 D
F U' B U' F2 D'
F U' B U' F2 D2
F U' B D' L2 U'
B' U2 D L2 F' B'
B' U2 D L2 B' F'
F U2 F2 U B U'
D2 F U' B U' F2
D' F U' B U' F2
D F U' B U' F2
R2 F D R2 U2 F'
R2 F D B R2 U2
R2 F D' B U2 L2
R2 F B U F2 U
R2 F B U2 D' L2
R2 F B D R2 U2
R2 F B D' U2 L2
B' D U2 L2 F' B'
B' D U2 L2 B' F'
F D U R2 F' U
B' D F U2 L2 F2
B' D F U2 F2 L2
B' D' R2 F B U2
B' D' R2 B F U2
B' D' F R2 U2 F2
F D' U' L2 B U'
F D' U' B L2 U'
U' B L2 U' F' B'
U' B L2 U' B' F'
U' B U F U2 F2
U' B U' F' D2 B2
F D2 B2 U' B' U'
R2 B F U F2 U
R2 B F U2 D' L2
R2 B F D R2 U2
R2 B F D' U2 L2
B' F U' B2 U' F2
B' F U' B2 U' F2
B2 F U' B' U' F2
B' F U2 F2 D L2
B F U2 F2 D' L2
F B U2 F2 D' L2
U2 B' D L2 F' B'
U2 B' D L2 B' F'
F B' U' B2 U' F2
F B' U2 F2 D L2
F B2 U' B' U' F2
D R2 F B U F2 U
D R2 F B U2 D' L2
D R2 F B D R2 U2
D R2 F B D' U2 L2
F' R2 F2 U F U F
U R2 F' U' F2 B U2
U R2 F' U' B F2 U2
R D R F B R' U2
R D R B R' F U2
R D R B F R' U2
D' R2 B F U F2 U
D' R2 B F U2 D' L2
D2 R2 B F U F2 U
D' R2 B F D R2 U2
D' R2 B F D' U2 L2
D2 R2 B F U2 D' L2
D2 R2 B F D R2 U2
D2 R2 B F D' U2 L2
B2 R2 B U2 D L2 B'
B' R2 B F U' B U'
B2 R2 B D U2 L2 B'
B2 R2 B D F U2 L2
B2 R2 B D' R2 F U2
B2 R2 B D' F R2 U2
B2 R2 B F U' B2 U'
B2 R2 B F U2 D L2
B2 R2 B F D U2 L2
B2 R2 B F D' R2 U2
F R2 B U F' U F'
B R2 B F U' B' U'
D R2 B F U F2 U
D R2 B F U2 D' L2
D R2 B F D R2 U2
D R2 B F D' U2 L2
F R2 B' U F' U F'
F R2 B2 U F' U F'
R2 D F D R2 U2 F'
R2 D F D B R2 U2
R2 D F D' B U2 L2
R2 D F B U F2 U
R2 D F B U2 D' L2
R2 D F B D R2 U2
R2 D F B D' U2 L2
R D F R B R' U2
U' D L2 B U' F' B2
U' D L2 B U' B2 F'
B2 U L2 F U F2 B'
B2 U L2 F U B' F2
U2 D L2 F' B' D L2
R D F B R' U2 F'
R D F B' U2 L F
U2 D L2 B' D L2 F'
U2 D L2 B' D F' L2
U2 D L2 B' F' D L2
L2 D F2 B U' F B2
L2 D F2 B U' B2 F
F U R' U F' L' F'
L2 D B F2 U' F B2
L2 D B F2 U' B2 F
R2 D B F U F2 U
R2 D B F U2 D' L2
R2 D B F D R2 U2
R2 D B F D' U2 L2
R D B R' F U2 F2
F U R' F' U F' L'
F2 U R2 F' U F2 B
F2 U R2 F' U B F2
L2 D B' D L2 F' R2
L2 D B' D F' L2 R2
L2 D B' D F' R2 L2
R D B F R' U2 F'
F U R2 D F' R2 U
F U R2 F' U D F'
F U R2 F' U D' F'
F U R2 F' U D2 F'
F U R2 F' U F' D
F U R2 F' U F' D'
F U R2 F' U F' D2
F U R2 F' D U F'
F U R2 F' D' U F'
F U R2 F' D2 U F'
R D B' F U2 L F
F U D R2 D F' U
F U D R2 D' F' U
F U D R2 D2 F' U
F U D R2 F' U D
F U D R2 F' U D'
F U D R2 F' U D2
F U D R2 F' D U
F U D R2 F' D' U
F U D R2 F' D2 U
F U D F R2 F' U
F U D F' R2 F' U
F U D F2 R2 F' U
U' D B L2 U' F' B'
U' D B L2 U' B' F'
U' D B U F U2 F2
U' D B U' F' D2 B2
B U F U2 F2 D R2
F U F R2 F' U F2
F U F U2 B U' F
U2 D B' D L2 F' B'
U2 D B' D L2 B' F'
F U F' U2 B U' F'
F U F2 R2 F' U F
R D' R F B U2 L'
R D' R B F U2 L'
R D' R' F U2 L' F2
U' D' L2 B U' F' B2
U' D' L2 B U' B2 F'
D' U' L2 B U' F' B2
D' U' L2 B U' B2 F'
D2 U' L2 B U' F' B2
D2 U' L2 B U' B2 F'
U2 D' L2 F' B' D L2
U2 D' L2 B' D L2 F'
U2 D' L2 B' D F' L2
U2 D' L2 B' F' D L2
D U' L2 B U' F' B2
D U' L2 B U' B2 F'
F U' L D' L2 B U'
F U' L D' B L2 U'
F U' L B L U' F2
F U' L B L' U' F2
F U' L B L2 U' F2
F U' L B U' F2 D
F U' L B U' F2 D'
F U' L B U' F2 D2
F U' L B D' L2 U'
R2 D' F D R2 U2 F'
R2 D' F D B R2 U2
R2 D' F D' B U2 L2
R2 D' F B U F2 U
R2 D' F B U2 D' L2
R2 D' F B D R2 U2
R2 D' F B D' U2 L2
R D' F R B U2 L'
R D' F R' U2 L' F'
F U' L' D' L2 B U'
F U' L' D' B L2 U'
B' U' L2 B2 U' F' B
B' U' L2 B2 U' B F'
R D' F U2 L F L2
F U' L' B L U' F2
F U' L' B L' U' F2
F U' L' B L2 U' F2
F U' L' B U' F2 D
F U' L' B U' F2 D'
F U' L' B U' F2 D2
F U' L' B D' L2 U'
B U' L2 U' F' B' L2
B U' L2 U' B' L2 F'
B U' L2 U' B' F' L2
R D' F' R F2 B U2
R D' F' R B F2 U2
F U' L2 D' L2 B U'
F U' L2 D' B L2 U'
F U' L2 B L U' F2
F U' L2 B L' U' F2
F U' L2 B L2 U' F2
F U' L2 B U' F2 D
F U' L2 B U' F2 D'
F U' L2 B U' F2 D2
F U' L2 B D' L2 U'
R2 D' B F U F2 U
R2 D' B F U2 D' L2
R2 D' B F D R2 U2
R2 D' B F D' U2 L2
U' D' B L2 U' F' B'
U' D' B L2 U' B' F'
D' U' B L2 U' F' B'
D' U' B L2 U' B' F'
D2 U' B L2 U' F' B'
D2 U' B L2 U' B' F'
D' U' B U F U2 F2
U' D' B U F U2 F2
D' U' B U' F' D2 B2
U' D' B U' F' D2 B2
D2 U' B U F U2 F2
D2 U' B U' F' D2 B2
D U' B L2 U' F' B'
D U' B L2 U' B' F'
D U' B U F U2 F2
D U' B U' F' D2 B2
F U' D B U' D' F2
F U' D B U2 R2 U
F U' D B D' U' F2
F U' D B D2 L2 U'
F U' D' L' B L' U'
F U' D' L2 D B U'
F U' D' L2 D' B U'
F U' D' L2 D2 B U'
F U' D' L2 B U' D
F U' D' L2 B U' D'
F U' D' L2 B U' D2
F U' D' L2 B D U'
F U' D' L2 B D' U'
F U' D' L2 B D2 U'
U2 D' B' D L2 F' B'
U2 D' B' D L2 B' F'
F U' D' B L2 U' D
F U' D' B L2 U' D'
F U' D' B L2 U' D2
F U' D' B L2 D U'
F U' D' B L2 D' U'
F U' D' B L2 D2 U'
F U' D' B U' D F2
F U' D' B D U' F2
F U' D' B' L2 B2 U'
F U' D2 B U B U2
D' U2 L2 F' B' D L2
U' D2 L2 B U' F' B2
U' D2 L2 B U' B2 F'
F' U' B U F2 U2 F2
D' U2 L2 B' D L2 F'
D' U2 L2 B' D F' L2
D' U2 L2 B' F' D L2
D2 U2 L2 F' B' D L2
F2 U' B R2 U' F B
F2 U' B R2 U' B F
B U' F2 D R2 F B
B U' F2 D R2 B F
F2 U' B U F' U2 F2
D2 U2 L2 B' D L2 F'
D2 U2 L2 B' D F' L2
D2 U2 L2 B' F' D L2
F2 U' B U' F D2 B2
U2 D2 L2 F' B' D L2
B2 U' B' L2 U' F' B'
B2 U' B' L2 U' B' F'
U2 D2 L2 B' D L2 F'
U2 D2 L2 B' D F' L2
U2 D2 L2 B' F' D L2
F U' B L U' F2 D
F U' B L U' F2 D'
F U' B L U' F2 D2
F U' B L D' L2 U'
F U' B L' U' F2 D
F U' B L' U' F2 D'
F U' B L' U' F2 D2
F U' B L' D' L2 U'
F U' B L2 U' F2 D
F U' B L2 U' F2 D'
F U' B L2 U' F2 D2
F U' B L2 D' L2 U'
B2 U' B' U F U2 F2
B2 U' B' U' F' D2 B2
D U2 L2 F' B' D L2
F U' B U D2 B2 U2
F U' B U B U2 F2
D U2 L2 B' D L2 F'
F U' B U B' U2 F2
D U2 L2 B' D F' L2
F U' B U B2 U2 F2
F U' B U' L' F2 L
D U2 L2 B' F' D L2
F U' B U' L2 F2 L2
F U' B U' R F2 R'
F U' B U' R2 F2 R2
F U' B U' F D F
F U' B U' F D' F
F U' B U' F D2 F
F U' B U' F' D F'
F U' B U' F' D' F'
F U' B U' F' D2 F'
F U' B U2 R U F2
F U' B U2 R' U F2
F U' B U2 R2 U F2
F U' B U2 D R2 U
B' U' B2 L2 U' F' B'
B' U' B2 L2 U' B' F'
F U' B D U2 R2 U
F U' B D' L2 U' D
F U' B D' L2 U' D'
F U' B D' L2 U' D2
F U' B D' L2 D U'
F U' B D' L2 D' U'
F U' B D' L2 D2 U'
F U' B D2 U B2 U2
B' U' B2 U F U2 F2
B' U' B2 U' F' D2 B2
F U' B' L B2 U' F2
F U' B' L' B2 U' F2
F U' B' L2 B2 U' F2
F U' B' U' F2 D L2
F U' B2 D' B' L2 U'
F U2 L U B U' F2
F U2 L F2 U B U'
B' U2 L2 D F' B' L2
B' U2 L2 D B' L2 F'
B' U2 L2 D B' F' L2
R2 D2 F D R2 U2 F'
R2 D2 F D B R2 U2
R2 D2 F D' B U2 L2
B' U2 L2 F' D B' L2
F U2 L' U B U' F2
R2 D2 F B U F2 U
R2 D2 F B U2 D' L2
R2 D2 F B D R2 U2
R2 D2 F B D' U2 L2
B2 U2 L2 F' D' B' L2
B2 U2 L2 F' B' D' L2
B2 U2 L2 B' F' D' L2
F U2 L' F2 U B U'
L2 D2 F' B' R2 D L2
F U2 L2 U B U' F2
U' D2 B L2 U' F' B'
U' D2 B L2 U' B' F'
U' D2 B U F U2 F2
U' D2 B U' F' D2 B2
F U2 L2 F2 U B U'
L2 D2 B U' F' R2 B2
L2 D2 B U' F' B2 R2
L2 D2 B U' B2 F' R2
D' U2 B' D L2 F' B'
D' U2 B' D L2 B' F'
D2 U2 B' D L2 F' B'
D2 U2 B' D L2 B' F'
R2 D2 B F U F2 U
R2 D2 B F U2 D' L2
R2 D2 B F D R2 U2
R2 D2 B F D' U2 L2
B' U2 D L F' L B'
B' U2 D L2 D F' B'
B' U2 D L2 D B' F'
B' U2 D L2 D' F' B'
B' U2 D L2 D' B' F'
B' U2 D L2 D2 F' B'
B' U2 D L2 D2 B' F'
B' U2 D L2 F' D B'
B' U2 D L2 F' D' B'
B' U2 D L2 F' D2 B'
B' U2 D L2 F' B' D
B' U2 D L2 F' B' D'
B' U2 D L2 F' B' D2
B' U2 D L2 B' D F'
B' U2 D L2 B' D' F'
B' U2 D L2 B' D2 F'
B' U2 D L2 B' F' D
B' U2 D L2 B' F' D'
B' U2 D L2 B' F' D2
U2 D2 B' D L2 F' B'
U2 D2 B' D L2 B' F'
B' U2 D F' L2 D2 B2
L2 D2 B' F' R2 D L2
B' U2 D B L2 F' B'
B' U2 D B L2 B' F'
B' U2 D B' L2 F' B'
B' U2 D B' L2 B' F'
B' U2 D B2 L2 F' B'
B' U2 D B2 L2 B' F'
D U2 B' D L2 F' B'
D U2 B' D L2 B' F'
B' U2 D' F' D2 L2 B2
B' U2 D' F' D2 B2 L2
B' U2 F' D L2 D B2
R' F R U' B U' F'
B' U2 F' D2 B2 D' L2
F U2 F U B U' F
F U2 F' U B U' F'
R' F R' B U F' U
F U2 F2 L U B U'
D' F R2 U F' U F'
D2 F R2 U F' U F'
F U2 F2 L' U B U'
F U2 F2 L2 U B U'
B2 U2 B D L2 F' B'
B2 U2 B D L2 B' F'
F U2 F2 U D B U'
F U2 F2 U D' B U'
F U2 F2 U D2 B U'
F U2 F2 U B U' D
F U2 F2 U B U' D'
F U2 F2 U B U' D2
F U2 F2 U B D U'
F U2 F2 U B D' U'
F U2 F2 U B D2 U'
F U2 F2 D U B U'
R F R B U F' U
F U2 F2 D' U B U'
F U2 F2 D2 U B U'
F U2 F2 B' D L2 B
F U2 F2 B' D B L2
R2 F R2 U F2 U F
R F R' U' B U' F'
D' F U R2 F' U F'
D' F U D R2 F' U
R2 F R2 U2 D' L2 F'
R2 F R2 U2 D' F' L2
D2 F U R2 F' U F'
D2 F U D R2 F' U
R2 F R2 D R2 B U2
D F R2 U F' U F'
R2 F R2 D' U2 L2 F'
R2 F R2 D' U2 F' L2
D' F U' L B U' F2
D2 F U' L B U' F2
D' F U' L' B U' F2
D2 F U' L' B U' F2
D' F U' L2 B U' F2
D2 F U' L2 B U' F2
D' F U' D' L2 B U'
R2 F U R2 F2 U F
D' F U' D' B L2 U'
D2 F U' D' L2 B U'
D2 F U' D' B L2 U'
U' F U' F' B U' F'
U' F U' B F' U' F'
D F U R2 F' U F'
D' F U' B L U' F2
D F U D R2 F' U
D' F U' B L' U' F2
D' F U' B L2 U' F2
D' F U' B U' F2 D
D' F U' B U' F2 D'
D' F U' B U' F2 D2
D' F U' B D' L2 U'
D2 F U' B L U' F2
D2 F U' B L' U' F2
R2 F U F2 R2 U F'
D2 F U' B L2 U' F2
R2 F U F2 U' B U2
D2 F U' B U' F2 D
D2 F U' B U' F2 D'
D2 F U' B U' F2 D2
D2 F U' B D' L2 U'
F U2 B' F2 D L2 B
F U2 B' F2 D B L2
D F U' L B U' F2
D F U' L' B U' F2
D F U' L2 B U' F2
R F U F R F' U
D' F U2 F2 U B U'
D2 F U2 F2 U B U'
D F U' D' L2 B U'
D F U' D' B L2 U'
D F U' B L U' F2
D F U' B L' U' F2
D F U' B L2 U' F2
D F U' B U' F2 D
D F U' B U' F2 D'
D F U' B U' F2 D2
D F U' B D' L2 U'
D' F D U R2 F' U
D2 F D U R2 F' U
B' D L2 D2 F' R2 B'
B' D L2 D2 F' B' R2
B' D L2 D2 B' F' R2
R F U2 L D' F L'
D F U2 F2 U B U'
B' D L2 F' D2 R2 B'
B' D L2 F' D2 B' R2
B' D L2 F' B' D2 R2
B' D L2 B' D2 F' R2
B' D L2 B' F' D2 R2
D' F D' U' L2 B U'
R2 F D R2 U2 D F'
R2 F D R2 U2 D' F'
R2 F D R2 U2 D2 F'
R2 F D R2 U2 F' D
R2 F D R2 U2 F' D'
R2 F D R2 U2 F' D2
R2 F D R2 D U2 F'
R2 F D R2 D' U2 F'
R2 F D R2 D2 U2 F'
D' F D' U' B L2 U'
D2 F D' U' L2 B U'
R2 F D R2 B U2 F'
R2 F D R2 B' U2 F'
R2 F D R2 B2 U2 F'
D2 F D' U' B L2 U'
R F U2 D' L F L'
U F U2 B U' F2 B'
U F U2 B U' B' F2
D F D U R2 F' U
R2 F D B R2 U2 D
R2 F D B R2 U2 D'
R2 F D B R2 U2 D2
R2 F D B R2 D U2
R2 F D B R2 D' U2
R2 F D B R2 D2 U2
R2 F D B U2 D2 L2
R2 F D B D2 U2 L2
R2 F D B' R2 B2 U2
R2 F D B2 R2 B' U2
R F D R B R' U2
R2 F D' R2 U2 L2 F'
R2 F D' R2 U2 F' L2
D F D' U' L2 B U'
D F D' U' B L2 U'
R F D B R' U2 F'
R2 F D' B R U2 L2
R2 F D' B R' U2 L2
R2 F D' B R2 U2 L2
R2 F D' B U2 L2 D
R2 F D' B U2 L2 D'
R2 F D' B U2 L2 D2
R2 F D' B D2 R2 U2
D' F D2 B2 U' B' U'
R F D B' U2 L F
D2 F D2 B2 U' B' U'
R2 F D' B2 U2 L2 F
F D R U R F' U
D' F B U2 F2 D' L2
R F D' U2 L F L'
D2 F B U2 F2 D' L2
R2 F D2 B U' B U'
B' D R2 F B U2 L2
B' D R2 B U2 L2 B'
B' D R2 B F U2 L2
R2 F B R U F2 U
D F D2 B2 U' B' U'
R2 F B R U2 D' L2
R2 F B R D R2 U2
R2 F B R D' U2 L2
D' F B' U' B2 U' F2
R2 F B R' U F2 U
D2 F B' U' B2 U' F2
R2 F B R' U2 D' L2
R2 F B R' D R2 U2
R2 F B R' D' U2 L2
D' F B' U2 F2 D L2
D2 F B' U2 F2 D L2
R2 F B R2 U F2 U
R2 F B R2 U2 D' L2
R2 F B R2 D R2 U2
R2 F B R2 D' U2 L2
R2 F B U F2 U D
R2 F B U F2 U D'
R2 F B U F2 U D2
R2 F B U F2 D U
R2 F B U F2 D' U
R2 F B U F2 D2 U
R2 F B U' D2 B2 U'
R2 F B U2 L D' L2
R2 F B U2 L' D' L2
R2 F B U2 L2 D' L2
R2 F B U2 D' L2 D
R2 F B U2 D' L2 D'
R2 F B U2 D' L2 D2
R2 F B D R2 U2 D
R2 F B D R2 U2 D'
R2 F B D R2 U2 D2
R2 F B D R2 D U2
R2 F B D R2 D' U2
R2 F B D R2 D2 U2
R2 F B D' R U2 L2
R2 F B D' R' U2 L2
R2 F B D' R2 U2 L2
R2 F B D' U2 L2 D
R2 F B D' U2 L2 D'
R2 F B D' U2 L2 D2
R2 F B D2 U' B2 U'
D F B U2 F2 D' L2
D' F B2 U' B' U' F2
D2 F B2 U' B' U' F2
F D R2 U F' U F
D F B' U' B2 U' F2
D F B' U2 F2 D L2
B' D U2 L F' L B'
B' D U2 L2 D F' B'
B' D U2 L2 D B' F'
B' D U2 L2 D' F' B'
B' D U2 L2 D' B' F'
B' D U2 L2 D2 F' B'
B' D U2 L2 D2 B' F'
B' D U2 L2 F' D B'
B' D U2 L2 F' D' B'
B' D U2 L2 F' D2 B'
B' D U2 L2 F' B' D
B' D U2 L2 F' B' D'
B' D U2 L2 F' B' D2
B' D U2 L2 B' D F'
B' D U2 L2 B' D' F'
B' D U2 L2 B' D2 F'
B' D U2 L2 B' F' D
B' D U2 L2 B' F' D'
B' D U2 L2 B' F' D2
R2 F B2 U2 D' L2 F
R2 F B2 D R2 B' U2
R2 F B2 D B' R2 U2
R2 F B2 D' U2 L2 F
R2 F B2 D' B' U2 L2
D F B2 U' B' U' F2
F D U R2 D F' U
F D U R2 D' F' U
F D U R2 D2 F' U
B' D U2 F' L2 D2 B2
F D U R2 F' U D
F D U R2 F' U D'
F D U R2 F' U D2
F D U R2 F' D U
F D U R2 F' D' U
F D U R2 F' D2 U
F D U F R2 F' U
F D U F' R2 F' U
B' D U2 B L2 F' B'
B' D U2 B L2 B' F'
F D U F2 R2 F' U
B' D U2 B' L2 F' B'
B' D U2 B' L2 B' F'
B' D U2 B2 L2 F' B'
B' D U2 B2 L2 B' F'
B' D F R U2 L2 F2
B' D F R U2 F2 L2
B' D F R' U2 L2 F2
B' D F R' U2 F2 L2
B' D F R2 U2 L2 F2
B' D F R2 U2 F2 L2
B' D F U2 L F2 L
B' D F U2 L2 F2 D
B' D F U2 L2 F2 D'
B' D F U2 L2 F2 D2
B' D F U2 F' L2 F'
B' D F U2 F2 L2 D
B' D F U2 F2 L2 D'
B' D F U2 F2 L2 D2
F D U' B U' D' F2
F D U' B U2 R2 U
F D U' B D' U' F2
F D U' B D2 L2 U'
B' D F D2 R2 B2 U2
B' D F D2 B2 R2 U2
B' D F B U2 L2 F2
B' D F B U2 F2 L2
B' D F B' U2 L2 F2
B' D F B' U2 F2 L2
B' D F B2 U2 L2 F2
B' D F B2 U2 F2 L2
B2 D F U' B' U' F2
B' D F' L2 D2 R2 B2
B' D F' L2 D2 B2 R2
B D F U2 F2 D' L2
F2 D F' U' B U' F2
B' D B U2 L2 F' B'
B' D B U2 L2 B' F'
B' D B F U2 L2 F2
B' D B F U2 F2 L2
B' D B' U2 L2 F' B'
B' D B' U2 L2 B' F'
B' D B' F U2 L2 F2
B' D B' F U2 F2 L2
B' D B2 U2 L2 F' B'
B' D B2 U2 L2 B' F'
U2 F' U D B R2 U'
B' D B2 F U2 L2 F2
B' D B2 F U2 F2 L2
U2 F' U D2 B U' B
U2 F' U B U F2 U2
U2 F' U B U' D2 B2
U2 F' U B D R2 U'
U2 F' U B D2 U' B2
F D B' D B2 U2 L2
F D B' D' R2 U2 F2
U2 F' U2 F2 U' B U'
U2 F' D U B R2 U'
U2 F' D B' D L2 B2
L2 F' D B' D L2 R2
U2 F' D B' D B2 L2
L2 F' D B' D R2 L2
B' D' R' F R' B U2
U2 F' D2 U B U' B
L2 F' D2 B' R2 D L2
U2 F' D2 B' D B' L2
U2 F' D2 B2 U B' U'
B' D' R2 D F B U2
B' D' R2 D B F U2
B' D' R2 D' F B U2
B' D' R2 D' B F U2
B' D' R2 D2 F B U2
B' D' R2 D2 B F U2
B' D' R2 F D B U2
B' D' R2 F D' B U2
B' D' R2 F D2 B U2
B' D' R2 F B U2 D
B' D' R2 F B U2 D'
