F2 L B U' B2 U'
F2 L B U2 D L2
F2 L B D U2 L2
F2 L B D' R2 U2
F2 D' L B R' U2
L F2 B U' B2 U'
L F2 B U2 D L2
L F2 B D U2 L2
L F2 B D' R2 U2
L B F2 U' B2 U'
L B F2 U2 D L2
L B F2 D U2 L2
L B F2 D' R2 U2
L B D' R2 U2 D' B2
L B D' R2 D F2 U2
L B D' R2 D' U2 B2
L B D2 U F2 U B2
L B D2 U2 B2 D' L2
L' B F2 L2 U F' U
L B F U2 D L2 B'
L B F D U2 L2 B'
L B F D F U2 L2
L B F D' R2 F U2
L B F D' F R2 U2
L B F' D F' U2 L2
L B F' D' R2 U2 B
L B F' D' F' R2 U2
L B F2 R U' B2 U'
L B F2 R U2 D L2
L B F2 R D U2 L2
L B F2 R D' R2 U2
L B F2 R' U' B2 U'
L B F2 R' U2 D L2
L B F2 R' D U2 L2
L B F2 R' D' R2 U2
L B F2 R2 U' B2 U'
L B F2 R2 U2 D L2
L B F2 R2 D U2 L2
L B F2 R2 D' R2 U2
L B F2 U D2 F2 U
L B F2 U' B2 U' D
L B F2 U' B2 U' D'
L B F2 U' B2 U' D2
L B F2 U' B2 D U'
L B F2 U' B2 D' U'
L B F2 U' B2 D2 U'
L B F2 U2 L D L2
L B F2 U2 L' D L2
L B F2 U2 L2 D L2
L B F2 U2 D L2 D
L B F2 U2 D L2 D'
L B F2 U2 D L2 D2
L B F2 D R U2 L2
L B F2 D R' U2 L2
L B F2 D R2 U2 L2
L B F2 D U2 L2 D
L B F2 D U2 L2 D'
L B F2 D U2 L2 D2
L B F2 D' R2 U2 D
L B F2 D' R2 U2 D'
L B F2 D' R2 U2 D2
L B F2 D' R2 D U2
L B F2 D' R2 D' U2
L B F2 D' R2 D2 U2
L B F2 D2 U F2 U
D2 B2 L2 D' R' F L'
D2 B2 L2 D' F L' R'
D2 B2 L2 D' F R' L'
D2 B2 D' L2 R' F L'
D2 B2 D' L2 F L' R'
D2 B2 D' L2 F R' L'
D2 B2 D' R' L2 F L'
