R' U' L' F' R'
R' L U' L2 F' R'
R' L U' F' L2 R'
R' L U' F' R' L2
R2 L' U R U' F'
L2 R' U' L F' R'
L R' U' L2 F' R'
L R' U' F' L2 R'
L R' U' F' R' L2
L2 R' U' F' L R'
L2 R' U' F' R' L
L' R2 U R U' F'
R' L2 U' L F' R'
R' L2 U' F' L R'
R' L2 U' F' R' L
L' U R' U' R' F'
R2 U R U' L' F'
R' U' L F' L2 R'
R' U' L F' R' L2
R' U' L' D F' R'
R' U' L' D' F' R'
R' U' L' D2 F' R'
R' U' L' F R' F2
R' U' L' F' R' D
R' U' L' F' R' D'
R' U' L' F' R' D2
R' U' L' F' D R'
R' U' L' F' D' R'
R' U' L' F' D2 R'
R' U' L' F2 R' F
R' U' L2 F' L R'
R' U' L2 F' R' L
R' U' R' D2 L' F
R' U' D L' F' R'
R' U' D' L' F' R'
R' U' D2 L' F' R'
U R' U' L' R' F'
U R' U' R' L' F'
R' D U' L' F' R'
R' D' U' L' F' R'
R' D2 U' L' F' R'
L' U R' U' D' R' F'
L' U R' U' D2 R' F'
L' U R' U' F R' F'
L' U R' U' F' R' F'
L' U R' U' F2 R' F'
R2 U R B U' L' F'
L' U R' D U' R' F'
R2 U R B' U' L' F'
L' U R' D' U' R' F'
R2 U R B2 U' L' F'
L' U R' D2 U' R' F'
L2 U R' U' L R' F'
L2 U R' U' R' L F'
L2 U R' U' R' F' L
L' U R' F' L' U' R'
L U R' U' L2 R' F'
L U R' U' R' L2 F'
L U R' U' R' F' L2
R' U R2 B U2 L' R
R' U R2 B U2 R L'
R U R2 U' L' F' R'
R2 U D2 R U' L' F
D' R L' D R2 F' B2
D' R L' D R2 B2 F'
L' U F' L' R' U' R'
L' U F' R' L' U' R'
F2 R U' R2 U' F' R'
R2 U B R U' L' F'
D' R D L' R2 F' B2
D' R D L' R2 B2 F'
R2 U B' R U' L' F'
D' R D R2 L' F' B2
D' R D R2 L' B2 F'
D' R D R2 B2 L' F'
R' U B2 L U2 L2 F'
R' U B2 L U2 F' L2
F2 R D B U2 B R
R2 U B2 R U' L' F'
R' U' L F L2 R' F2
R' U' L F L2 F2 R'
R' U' L F R' L2 F2
R' U' L F R' F2 L2
F2 R D' F2 L' B U2
R' U' L F' L2 R' D
R' U' L F' L2 R' D'
R' U' L F' L2 R' D2
R' U' L F' L2 D R'
R' U' L F' L2 D' R'
R' U' L F' L2 D2 R'
F2 R D' F2 B L' U2
R' U' L F' R' L2 D
R' U' L F' R' L2 D'
R' U' L F' R' L2 D2
R' U' L F2 R' F L2
F2 R D' B F2 L' U2
R' U' L' D F R' F2
R' U' L' D F' R' D
R' U' L' D F' R' D'
R' U' L' D F' R' D2
R' U' L' D F' D R'
R' U' L' D F' D' R'
R' U' L' D F' D2 R'
R' U' L' D F2 R' F
R' U' L' D' F R' F2
R' U' L' D' F' R' D
R' U' L' D' F' R' D'
R' U' L' D' F' R' D2
R' U' L' D' F' D R'
R' U' L' D' F' D' R'
R' U' L' D' F' D2 R'
R' U' L' D' F2 R' F
R' U' L' D2 F R' F2
R' U' L' D2 F' R' D
R' U' L' D2 F' R' D'
R' U' L' D2 F' R' D2
R' U' L' D2 F' D R'
R' U' L' D2 F' D' R'
R' U' L' D2 F' D2 R'
R' U' L' D2 F2 R' F
R' U' L' F R F2 R2
R' U' L' F R' F2 D
R' U' L' F R' F2 D'
R' U' L' F R' F2 D2
R' U' L' F' R2 D R
R' U' L' F' R2 D' R
R' U' L' F' R2 D2 R
R' U' L' F' D R' D
R' U' L' F' D R' D'
R' U' L' F' D R' D2
R' U' L' F' D' R' D
R' U' L' F' D' R' D'
R' U' L' F' D' R' D2
R' U' L' F' D2 R' D
R' U' L' F' D2 R' D'
R' U' L' F' D2 R' D2
R' U' L' F2 R F R2
R' U' L' F2 R' D F
R' U' L' F2 R' D' F
R' U' L' F2 R' D2 F
R' U' L' F2 R' F D
R' U' L' F2 R' F D'
R' U' L' F2 R' F D2
R' U' L' F2 D R' F
R' U' L' F2 D F R'
R' U' L' F2 D' R' F
R' U' L' F2 D' F R'
R' U' L' F2 D2 R' F
R' U' L' F2 D2 F R'
R' U' L2 D L F' R'
R' U' L2 D F' L R'
R' U' L2 D F' R' L
R' U' L2 D' L F' R'
R' U' L2 D' F' L R'
R' U' L2 D' F' R' L
R' U' L2 D2 L F' R'
R' U' L2 D2 F' L R'
R' U' L2 D2 F' R' L
R' U' L2 F L R' F2
R' U' L2 F L F2 R'
R' U' L2 F R' L F2
R' U' L2 F R' F2 L
R' U' L2 F' L R' D
R' U' L2 F' L R' D'
R' U' L2 F' L R' D2
R' U' L2 F' L D R'
R' U' L2 F' L D' R'
R' U' L2 F' L D2 R'
R' U' L2 F' R' L D
R' U' L2 F' R' L D'
R' U' L2 F' R' L D2
R' U' L2 F' R' D L
R' U' L2 F' R' D' L
R' U' L2 F' R' D2 L
R' U' L2 F' D L R'
R' U' L2 F' D R' L
R' U' L2 F' D' L R'
R' U' L2 F' D' R' L
R' U' L2 F' D2 L R'
R' U' L2 F' D2 R' L
R' U' L2 F2 R' F L
R' U' R' D2 L' D F
R' U' R' D2 L' D' F
R' U' R' D2 L' D2 F
R' U' R' D2 L' F D
R' U' R' D2 L' F D'
R' U' R' D2 L' F D2
L2 U' R' U' L R' F
L2 U' R' U' L F R'
L2 U' R' U' R' L F
F2 R B U' R2 U' R'
F2 R B U2 D R B2
F2 R B U2 D B2 R
F2 R B D U2 R B2
F2 R B D U2 B2 R
F2 R B D' F2 L' U2
R' U' D L F' L2 R'
R' U' D L F' R' L2
R' U' D L' D F' R'
R' U' D L' D' F' R'
R' U' D L' D2 F' R'
R' U' D L' F R' F2
R' U' D L' F' R' D
R' U' D L' F' R' D'
R' U' D L' F' R' D2
R' U' D L' F' D R'
R' U' D L' F' D' R'
R' U' D L' F' D2 R'
R' U' D L' F2 R' F
R' U' D L2 F' L R'
R' U' D L2 F' R' L
R U' R2 U' L' F' R'
R' U' D R' D2 L' F
R' U' D' L F' L2 R'
R' U' D' L F' R' L2
R' U' D' L' D F' R'
R' U' D' L' D' F' R'
R' U' D' L' D2 F' R'
R' U' D' L' F R' F2
R' U' D' L' F' R' D
R' U' D' L' F' R' D'
R' U' D' L' F' R' D2
R' U' D' L' F' D R'
R' U' D' L' F' D' R'
R' U' D' L' F' D2 R'
R' U' D' L' F2 R' F
R' U' D' L2 F' L R'
R' U' D' L2 F' R' L
R' U' D' R' D2 L' F
R' U' D2 L F' L2 R'
R' U' D2 L F' R' L2
R' U' D2 L' D F' R'
R' U' D2 L' D' F' R'
R' U' D2 L' D2 F' R'
R' U' D2 L' F R' F2
R' U' D2 L' F' R' D
R' U' D2 L' F' R' D'
R' U' D2 L' F' R' D2
R' U' D2 L' F' D R'
R' U' D2 L' F' D' R'
R' U' D2 L' F' D2 R'
R' U' D2 L' F2 R' F
R' U' D2 L2 F' L R'
R' U' D2 L2 F' R' L
B2 R' L U L2 F' R'
B2 R' L U F' L2 R'
B2 R' L U F' R' L2
R' U' D2 R' D2 L' F
U2 R' L U' R' F L2
U2 R' L U' F L2 R'
U2 R' L U' F R' L2
D' R' L F2 U' F L2
U R' L U' L2 R' F'
U R' L U' R' L2 F'
U R' L U' R' F' L2
R' U' F R' F' L' F'
B' R' L' D' F' R' B
B2 R' L' D' F' R' B2
B' R' L' F' D' R' B
B2 R' L' F' R' D' B2
B2 R' L' F' D' R' B2
U' R' L2 U' L R' F
U' R' L2 U' L F R'
U' R' L2 U' R' L F
R' U' F' R' F L' F'
D' R' L2 F2 U' F L
D2 R' U L2 U2 L F'
D2 R' U L2 U2 F' L
U R' L2 U' L R' F'
U R' L2 U' R' L F'
U R' L2 U' R' F' L
R' U' F2 R' D2 F L2
R' U' F2 R' F D2 L2
F2 R' U R2 B U2 R
D' R' U' L' D F' R2
D2 R' U' L' F2 R F
U' R' U' L R' F L2
U' R' U' L F L2 R'
U' R' U' L F R' L2
U' R' U' R' L F L2
D' R' U' D L' F' R2
D2 R' U' D2 L' F' R2
D R' U' L' D' F' R2
F' R' U' F L' R' F2
F' R' U' F L' F2 R'
F' R' U' F R' L' F2
D R' U' L' F' D' R2
B R' U' L' F' R' B'
F' R' U' F' R' D2 L2
F2 R' U' D2 L2 F' R'
F2 R' U' D2 F' L2 R'
F2 R' U' D2 F' R' L2
U R' U' L R' F' L2
U R' U' L' R' D F'
U R' U' L' R' D' F'
U R' U' L' R' D2 F'
U R' U' L' R' F' D
U R' U' L' R' F' D'
U R' U' L' R' F' D2
D R' U' D' L' F' R2
F2 R' U' F' D2 L2 R'
F2 R' U' F' D2 R' L2
U R' U' L' D R' F'
U R' U' L' D' R' F'
U R' U' L' D2 R' F'
U R' U' L' F R' F'
U R' U' L' F' R' F'
U R' U' L' F2 R' F'
U R' U' L2 R' F' L
U R' U' R' L F' L2
U R' U' R' L' D F'
U R' U' R' L' D' F'
U R' U' R' L' D2 F'
U R' U' R' L' F' D
U R' U' R' L' F' D'
U R' U' R' L' F' D2
U R' U' R' L2 F' L
U R' U' R' D L' F'
U R' U' R' D' L' F'
U R' U' R' D2 L' F'
U R' U' D L' R' F'
U R' U' D R' L' F'
R' U' B' L' F' B R'
U R' U' D' L' R' F'
R' U' B' L' B F' R'
U R' U' D' R' L' F'
U R' U' D2 L' R' F'
U R' U' D2 R' L' F'
U R' U' F R' F' L'
D' R' D U' L' F' R2
D R' U2 B2 U L' F'
B' R' D' L' F' R' B
U R' D U' L' R' F'
U R' D U' R' L' F'
D R' D' U' L' F' R2
D2 R' D2 U' L' F' R2
U R' D' U' L' R' F'
U R' D' U' R' L' F'
F2 R' D2 U' L2 F' R'
F2 R' D2 U' F' L2 R'
F2 R' D2 U' F' R' L2
U R' D2 U' L' R' F'
U R' D2 U' R' L' F'
F' R' F U' L' R' F2
F' R' F U' L' F2 R'
F' R' F U' R' L' F2
F R' F U' F2 L' R'
F R' F U' F2 R' L'
D' R' F2 U R U2 F
D' R' F2 U' F2 L' F'
F R' F2 U' R' F L'
F R' F2 U' F L' R'
F R' F2 U' F R' L'
R U2 R2 U' L' F' R'
F R2 U R U' F' L'
R' D L U' L2 F' R'
R' D L U' F' L2 R'
R' D L U' F' R' L2
B2 R2 D2 L' D' F B2
B2 R2 D2 L' D' B2 F
B2 R2 D2 L' F D' B2
R' D L2 U' L F' R'
R' D L2 U' F' L R'
R' D L2 U' F' R' L
R D L B2 L2 R F
R D L B2 R L2 F
R D L' R2 F' R' B2
R D R B2 D2 L' F
R D R2 L' F' R' B2
R' D U' L F' L2 R'
R' D U' L F' R' L2
R' D U' L' D F' R'
R' D U' L' D' F' R'
R' D U' L' D2 F' R'
R' D U' L' F R' F2
R' D U' L' F' R' D
R' D U' L' F' R' D'
R' D U' L' F' R' D2
R' D U' L' F' D R'
R' D U' L' F' D' R'
R' D U' L' F' D2 R'
R' D U' L' F2 R' F
R' D U' L2 F' L R'
R' D U' L2 F' R' L
R' D U' R' D2 L' F
F U R' U' R' F' L'
R D B U2 L' B R
R D B U2 B L' R
R D B U2 B R L'
R' D' L U' L2 F' R'
R' D' L U' F' L2 R'
R' D' L U' F' R' L2
R D B2 L' D2 R F'
R D B2 L2 R F L
R D B2 R L2 F L
R' D' L2 U' L F' R'
R' D' L2 U' F' L R'
R' D' L2 U' F' R' L
L' D' R D R2 F' B2
L' D' R D R2 B2 F'
U2 D B2 L U F L2
R D' R D2 L' F B2
R D' R D2 L' B2 F
R D' R D2 B2 L' F
L2 D' R' F2 U' F L
L D' R' F2 B2 U' F
L D' R' B2 F2 U' F
R' D' U' L F' L2 R'
R' D' U' L F' R' L2
R' D' U' L' D F' R'
R' D' U' L' D' F' R'
R' D' U' L' D2 F' R'
R' D' U' L' F R' F2
R' D' U' L' F' R' D
R' D' U' L' F' R' D'
R' D' U' L' F' R' D2
R' D' U' L' F' D R'
R' D' U' L' F' D' R'
R' D' U' L' F' D2 R'
R' D' U' L' F2 R' F
R' D' U' L2 F' L R'
R' D' U' L2 F' R' L
R' D' U' R' D2 L' F
L2 D' F2 R' U' L F'
L2 D' F2 R' U' F' L
R D' F2 L' B R U2
L D' F2 R' B2 U' F'
R D' F2 B L' R U2
R D' F2 B R L' U2
R D' B F2 L' R U2
R D' B F2 R L' U2
R' D2 L U' L2 F' R'
R' D2 L U' F' L2 R'
R' D2 L U' F' R' L2
R2 D2 L' U R U' F
R' D2 L2 U' L F' R'
R' D2 L2 U' F' L R'
R' D2 L2 U' F' R' L
R2 D2 R U' L' R' F
R2 D2 R U' L' F R'
R2 D2 R U' R' L' F
R' D2 U' L F' L2 R'
R' D2 U' L F' R' L2
R' D2 U' L' D F' R'
R' D2 U' L' D' F' R'
R' D2 U' L' D2 F' R'
R' D2 U' L' F R' F2
R' D2 U' L' F' R' D
R' D2 U' L' F' R' D'
R' D2 U' L' F' R' D2
R' D2 U' L' F' D R'
R' D2 U' L' F' D' R'
R' D2 U' L' F' D2 R'
R' D2 U' L' F2 R' F
R' D2 U' L2 F' L R'
R' D2 U' L2 F' R' L
R' D2 U' R' D2 L' F
R2 D2 U R U' L' F
B2 U2 L U R2 F L2
B2 U2 L U F L2 R2
B2 U2 L U F R2 L2
D U2 B2 L U F L2
D' F R' F U' F2 L'
L2 F R' U' L F' R'
L2 F R' U' F' L R'
L2 F R' U' F' R' L
L' F R2 U R U' F'
L F R' U' L2 F' R'
L F R' U' F' L2 R'
L F R' U' F' R' L2
L' F U R' U' R' F'
L2 F' R' U' L F' R'
L2 F' R' U' F' L R'
L2 F' R' U' F' R' L
L' F' R2 U R U' F'
L F' R' U' L2 F' R'
L F' R' U' F' L2 R'
L F' R' U' F' R' L2
L' F' U R' U' R' F'
F D' R' F2 U' F L'
D' F2 R' U R2 B U2
D' F2 R' U' D2 L2 F'
D' F2 R' U' D2 F' L2
D' F2 R' U' F' D2 L2
F2 D' F2 R' U' L' F'
D' F2 R' D B2 U' F'
D' F2 R' D2 U' L2 F'
D' F2 R' D2 U' F' L2
L2 F2 R' U' L F' R'
L2 F2 R' U' F' L R'
L2 F2 R' U' F' R' L
L' F2 R2 U R U' F'
R' F2 U R U2 R2 F
R' F2 U R U2 F R2
L F2 R' U' L2 F' R'
L F2 R' U' F' L2 R'
L F2 R' U' F' R' L2
L' F2 U R' U' R' F'
R' F2 U' R' D2 F L2
R' F2 U' R' F D2 L2
R' F2 U' F2 L' F' R'
R2 B L' U R U' F'
R2 B R U' L' F' R'
R2 B U R U' L' F'
R B U' R2 U' L' R'
R B U' R2 U' R' L'
R B U2 L' D R B2
R B U2 L' D B2 R
R B U2 D L' R B2
R B U2 D L' B2 R
R B U2 D R L' B2
R B U2 D R B2 L'
R B U2 D B2 L' R
R B U2 D B2 R L'
R B D U2 L' R B2
R B D U2 L' B2 R
R B D U2 R L' B2
R B D U2 R B2 L'
R B D U2 B2 L' R
R B D U2 B2 R L'
R B D' F2 L' R U2
R B D' F2 R L' U2
R2 B' L' U R U' F'
R2 B' R U' L' F' R'
L' B' R' D' F' R' B
L' B' R' F' D' R' B
R' B' U' L' D2 F' R
R' B' U' D2 L' F' R
R2 B' U R U' L' F'
R' B' D2 U' L' F' R
U2 B2 L U R2 F L2
U2 B2 L U F L2 R2
U2 B2 L U F R2 L2
D B2 L R' U L2 F'
D B2 L R' U F' L2
R2 B2 L' U R U' F'
R2 B2 R U' L' F' R'
D B2 R' L U L2 F'
D B2 R' L U F' L2
R' B2 U L U2 L2 F'
R' B2 U L U2 F' L2
R' B2 U' L' D2 F' R2
R' B2 U' L' F' D2 R2
R2 B2 U R U' L' F'
