U2 L2 F B U L'
U2 L2 B F U L'
D2 R2 F' B' U' L
D2 R2 B' F' U' L
F2 U2 L2 B U L
F2 U2 B L2 U L'
F U2 B L2 U L
U2 F B L2 U L
F2 D2 R2 F' U' L'
U2 B L2 F U L'
U B L2 U F L'
U2 B F L2 U L
F U2 B L2 U D L
F U2 B L2 U D' L
F U2 B L2 U D2 L
F U2 B L2 D U L
F U2 B L2 D' U L
F U2 B L2 D2 U L
F U2 B L2 F U L
F U2 B L2 F' U L
F U2 B L2 F2 U L
F U2 B U D' L' B2
F U2 B U D' B2 L'
B' U2 B2 L2 F U L'
B2 U2 B' F L2 U L
F U2 B D' U L' B2
F U2 B D' U B2 L'
B' U2 B2 F L2 U L
U F U B L2 U L
L2 F D B U L' F2
U2 F D' B U L' B
U2 F D' B U B L'
U' F B L2 U L F'
U' F B L2 U F' L
L2 F D2 B R2 U L'
U2 F B L2 U L D
U2 F B L2 U L D'
U2 F B L2 U L D2
U2 F B L2 U D L
U2 F B L2 U D' L
U2 F B L2 U D2 L
U2 F B L2 D U L
U2 F B L2 D' U L
U2 F B L2 D2 U L
U2 F B L2 F U L
U2 F B L2 F' U L
U2 F B L2 F2 U L
U2 F B U D' L' B2
U2 F B U D' B2 L'
L2 F B U D L' F2
L2 F B U2 L2 U' L
L2 F B D U L' F2
U2 F B D' U L' B2
U2 F B D' U B2 L'
L2 F B D2 R2 U L'
U F B L2 U F L
U2 F' L2 F2 B U L'
U2 F' L2 B U' R U2
U2 F' L2 B F2 U L'
R2 F' R U2 L2 U L2
R2 F' R' D2 R2 U' L2
D2 F' R2 F' B' U' L
D2 F' R2 B' F' U' L
R2 F' R2 U' D' B2 L
R2 F' R2 D' U' B2 L
D F' R2 F' U' B L
R2 F' U R U L2 U
R2 F' U R U2 D' B2
R2 F' U R D F2 U2
R2 F' U R D' U2 B2
R2 F' U D R F2 U2
R2 F' U D F2 U2 L'
R2 F' U D' R U2 B2
R2 F' U2 L2 U' R U2
R2 F' U2 L2 F2 U L'
R2 F' U2 F2 L2 U L
R2 F' D U R F2 U2
L2 F' D B U F2 L'
R2 F' D U F2 U2 L'
R2 F' D' R2 U' B2 L
R2 F' D' U R U2 B2
R2 F' D2 R2 U R' U2
R2 F' D2 R2 B2 U' L
U2 F' B L2 U' R U2
U2 F' B L2 F2 U L'
L2 F' B U D F2 L'
F' D' R2 F' U' B2 L
L2 F' B D U F2 L'
F2 D' R2 F' U' L' B2
F2 D' R2 F' U' B2 L'
F2 D' U2 B U L B
F D' U2 B U L' B
F D' U2 B U B L'
U2 F2 L2 F' B U L'
U2 F2 L2 B F' U L'
D2 F2 R2 F' B' U' L
D2 F2 R2 B' F' U' L
U2 F2 B L2 F' U L'
B' D2 R2 F2 B' U' L
B2 D2 R2 U2 B' U L
B' D2 R2 B' F2 U' L
F' D2 R2 F' U R' U2
F' D2 R2 F' B2 U' L
F2 D2 R2 D F' U' L'
F2 D2 R2 D' F' U' L'
F2 D2 R2 D2 F' U' L'
F' D2 R2 B2 F' U' L
F2 D2 R2 F' U' L' D
F2 D2 R2 F' U' L' D'
F2 D2 R2 F' U' L' D2
F2 D2 R2 F' U' D L'
F2 D2 R2 F' U' D' L'
F2 D2 R2 F' U' D2 L'
F2 D2 R2 F' D U' L'
F2 D2 R2 F' D' U' L'
F2 D2 R2 F' D2 U' L'
F2 D2 R2 F' B U' L'
F2 D2 R2 F' B' U' L'
F2 D2 R2 F' B2 U' L'
F2 D2 R2 B F' U' L'
F2 D2 R2 B' F' U' L'
F2 D2 R2 B2 F' U' L'
U2 B L F L U L2
U2 B L' D' L' F U
U' B L2 F U L' F'
U2 B L' F U L' B'
U2 B L2 U F L' F'
F' D2 F' R2 F' U' L'
U2 B L2 F U L' D
U2 B L2 F U L' D'
U2 B L2 F U L' D2
U2 B L2 F U D L'
U2 B L2 F U D' L'
U2 B L2 F U D2 L'
U2 B L2 F D U L'
U2 B L2 F D' U L'
U2 B L2 F D2 U L'
U2 B L2 F' U' R U2
B' D2 F2 R2 B' U' L
F D2 F R2 F' U' L'
U B L2 R U F L'
U B L2 R' U F L'
U B L2 R2 U F L'
B' D2 F2 B' R2 U' L
U B L2 U F L' D
U B L2 U F L' D'
U B L2 U F L' D2
U B L2 U F D L'
U B L2 U F D' L'
U B L2 U F D2 L'
B' D2 B R2 F2 U' L'
U B L2 F' U F2 L'
D2 B R2 U R U2 R'
U B R L2 U F L'
B' D2 B' R2 F2 U' L
U B R' L2 U F L'
B' D2 B' F2 R2 U' L
U B R2 L2 U F L'
B D2 B' R2 F' U' L
L2 B U F D L' F2
L2 B U F' D F2 L'
F' B L2 U D F2 L'
L2 B D R F' U F'
F' B L2 D U F2 L'
U2 B D' L' F U B2
B F L2 U D L F2
B F L2 U D F2 L
B F L2 U2 L2 U' L'
B F L2 D U L F2
B F L2 D U F2 L
B F L2 D2 R2 U L
F B L2 U D L F2
F B L2 U D F2 L
F B L2 U2 L2 U' L'
F B L2 D U L F2
F B L2 D U F2 L
U' B F L2 U L F'
U' B F L2 U F' L
F B L2 D2 R2 U L
U2 B F L2 U L D
U2 B F L2 U L D'
U2 B F L2 U L D2
U2 B F L2 U D L
U2 B F L2 U D' L
U2 B F L2 U D2 L
U2 B F L2 D U L
U2 B F L2 D' U L
U2 B F L2 D2 U L
U2 B F L2 F U L
U2 B F L2 F' U L
U2 B F L2 F2 U L
U2 B F U D' L' B2
L2 B F U D L' F2
U2 B F U D' B2 L'
L2 B F U2 L2 U' L
L2 B F D U L' F2
U2 B F D' U L' B2
U2 B F D' U B2 L'
L2 B F D2 R2 U L'
U2 B F' L2 U' R U2
U2 B F' L2 F2 U L'
L2 B F' U D F2 L'
U B F L2 U F L
L2 B F' D U F2 L'
U2 B F2 L2 F' U L'
B' F U' D' L' R2 B2
B' F U' D' L' B2 R2
B' F U' D' R2 L' B2
B' F U' D' R2 B2 L'
B' F U' D' B2 L' R2
B' F U' D' B2 R2 L'
B' F U2 B2 L2 U L
B F U' D' L' B2 R'
B2 F U2 B' L2 U L
F B U' D' L' B2 R'
B' F D' U' L' R2 B2
B' F D' U' L' B2 R2
B' F D' U' R2 L' B2
B' F D' U' R2 B2 L'
B' F D' U' B2 L' R2
B' F D' U' B2 R2 L'
U2 B' L2 F B2 U L'
U2 B' L2 B2 F U L'
B F D' U' L' B2 R'
D2 B' R2 U' L D' R2
D2 B' R2 U' D' L R2
D2 B' R2 U' D' R2 L
D2 B' R2 D' U' L R2
D2 B' R2 D' U' R2 L
F B D' U' L' B2 R'
D2 B' R2 D2 F2 U' L
D2 B' U' D L B2 R'
D' B' U' D' R2 B' L
D' B' U' D' B' L R2
D' B' U' D' B' R2 L
B F' L2 U D F2 L'
B F' L2 D U F2 L'
D2 B' D U' L B2 R'
D' B' D' U' R2 B' L
D' B' D' U' B' L R2
D' B' D' U' B' R2 L
B' F' U' D' R2 B2 L
F' B' U' D' R2 B2 L
F B' U' D' L' R2 B2
F B' U' D' L' B2 R2
F B' U' D' R2 L' B2
F B' U' D' R2 B2 L'
F B' U' D' B2 L' R2
F B' U' D' B2 R2 L'
B' F' D' U' R2 B2 L
F' B' D' U' R2 B2 L
F B' U2 B2 L2 U L
B' F' D2 F2 R2 U' L'
F' B' D2 F2 R2 U' L'
F B' D' U' L' R2 B2
F B' D' U' L' B2 R2
F B' D' U' R2 L' B2
F B' D' U' R2 B2 L'
F B' D' U' B2 L' R2
F B' D' U' B2 R2 L'
U2 B2 L2 U2 F U' L'
L2 B2 U2 L2 F U' L'
L2 B2 D2 R2 B' U L
L2 B2 D2 B' R2 U L
F B2 U2 B' L2 U L
