B L F L2 R U'
B L F R L2 U'
U L' B U' B2 R'
L F L2 B R U'
L F B L2 R U'
L F B R L2 U'
L B F L2 R U'
L B F R L2 U'
L' F B D2 R F2 U'
L F B L2 R U' D
L F B L2 R U' D'
L F B L2 R U' D2
L F B L2 R D U'
L F B L2 R D' U'
L F B L2 R D2 U'
L F B L2 D R U'
L F B L2 D' R U'
L F B L2 D2 R U'
L F B R L2 U' D
L F B R L2 U' D'
L F B R L2 U' D2
L F B R L2 D U'
L F B R L2 D' U'
L F B R L2 D2 U'
L F B R U' D F2
L F B R D U' F2
L F B D R U' F2
L F B' L2 R B2 U'
L F B' L2 B2 R U'
L F B' R L2 B2 U'
L F B' R B2 L2 U'
L F B2 R B' L2 U'
B D' L F L2 R U'
B D' L F R L2 U'
R2 F' D' L' B' U F
L' F' B U2 L' B2 U
L' F' B U2 B2 L' U
L' F' B D2 F2 R U'
L F2 L2 F' B R U'
R2 F2 R F L' B' U
L F2 L2 B F' R U'
B D2 L F L2 R U'
B D2 L F R L2 U'
L F2 B L2 F' R U'
D2 B L F L2 R U'
D2 B L F R L2 U'
D' B L F L2 R U'
D' B L F R L2 U'
D B L F L2 R U'
D B L F R L2 U'
U B L' U L2 F U2
U B L' U' D2 R2 B'
U B L' U' D2 B' R2
U B L' U' B' D2 R2
U B L' D F2 U' B'
U B L' D2 U' R2 B'
U B L' D2 U' B' R2
L B R F L2 R U'
L B R F R L2 U'
L B R' F L2 R U'
L B R' F R L2 U'
L' B U' R D' B R2
L' B U' R' D' R2 B
L' B U' D' R B R
L B R2 F L2 R U'
L B R2 F R L2 U'
L' B U2 B L B U
L' B D' R U' R B
L' B D' U' R B R
L' B D' F R U' R
L B D F R U' F
L' B D2 F R F U'
L' B F R U' D' R2
L' B F R U2 B2 U
L' B F R D' U' R2
L' B F R D2 F2 U'
L' B F D' R U' R
L' B F D2 R F2 U'
L' B F' U2 L' B2 U
L' B F' U2 B2 L' U
L' B F' D2 F2 R U'
L B F L2 R U' D
L B F L2 R U' D'
L B F L2 R U' D2
L B F L2 R D U'
L B F L2 R D' U'
L B F L2 R D2 U'
L B F L2 D R U'
L B F L2 D' R U'
L B F L2 D2 R U'
L B F R L2 U' D
L B F R L2 U' D'
L B F R L2 U' D2
L B F R L2 D U'
L B F R L2 D' U'
L B F R L2 D2 U'
L B F R U' D F2
L B F R D U' F2
L B F D R U' F2
L B F2 L2 F' R U'
U2 B' L' R' F' B2 U'
U2 B' L' R' B2 F' U'
U2 B' R' L' F' B2 U'
U2 B' R' L' B2 F' U'
U2 B' R' B2 L' F' U'
L B' F L2 R B2 U'
L B' F L2 B2 R U'
L B' F R L2 B2 U'
L B' F R B2 L2 U'
L B2 F R B' L2 U'
