L2 R B' L2 U' R
R L2 B' L2 U' R
D R U2 F B2 U
D R U2 B2 F U
D' R F2 U2 F' U
R U' R U' F U
D' R' F2 R2 B U'
F2 U2 L' F' U R2
U2 F2 L' F' U R2
R' F2 R2 B U' R
D' F2 U2 L' F' U
L2 B' L2 R U' R
L2 B' R L2 U' R
F2 U2 B2 L' F' U R2
U2 F U2 F' R U' R
F2 D L' F' B2 R' U
F2 D L' B2 F' R' U
B' D R U2 F B2 U
B' D R U2 B2 F U
F D L' B2 R' U B
B2 D R U2 F B2 U
B2 D R U2 B2 F U
B D R U2 F B2 U
B D R U2 B2 F U
F2 D U2 L' F' B2 U
F2 D U2 L' B2 F' U
F2 D U2 B2 L' F' U
R' F' R2 U' R D' L2
R' F' R2 U' D' L2 R
R' F' R2 U' D' R L2
R' F' R2 D' U' L2 R
R' F' R2 D' U' R L2
R2 F' R' U' R D' L2
R2 F' R' U' D' L2 R
R2 F' R' U' D' R L2
R' F' R2 D2 B2 U' R
R2 F' R' D' U' L2 R
R2 F' R' D' U' R L2
R2 F' R' D2 B2 U' R
R' F' U' D R' B2 L
R' F' D U' R' B2 L
R F' U2 F2 B' U R'
R F' U2 B' F2 U R'
B' D' R F2 U2 F' U
R2 F' D' R' U' L2 R
R2 F' D' R' U' R L2
B2 D' R F2 U2 F' U
F2 D' R F2 R B U'
B' D' R' F2 R2 B U'
R2 F' D2 R' B2 U' R
B D' R F2 U2 F' U
B2 D' R' F2 R2 B U'
R F' D' F U' L2 R
R F' D' F U' R L2
B D' R' F2 R2 B U'
F2 D' R2 F2 B R U'
R F' D2 F B2 U' R
F2 D' R2 B F2 R U'
R F' D2 B2 F U' R
U' F2 L' F' U F' R2
U2 F2 L F' L2 U R2
F' D' F R F U' L2
U2 F2 L' D F' B2 U
U2 F2 L' D B2 F' U
U2 F2 L' F' U R2 D
U2 F2 L' F' U R2 D'
U2 F2 L' F' U R2 D2
U2 F2 L' F' D B2 U
U2 F2 L' F' B U R2
U2 F2 L' F' B' U R2
U2 F2 L' F' B2 U R2
U2 F2 L' B F' U R2
U2 F2 L' B' F' U R2
U2 F2 L' B2 F' U R2
D F2 L' F' B2 R' U
D F2 L' B2 F' R' U
U2 F2 L2 F' L U R2
B' D' F2 U2 L' F' U
F2 D' F2 R U2 F U
B2 D' F2 U2 L' F' U
R' F2 R2 D B U' R
R' F2 R2 D' B U' R
B D' F2 U2 L' F' U
R' F2 R2 D2 B U' R
R' F2 R2 B U' R D
R' F2 R2 B U' R D'
R' F2 R2 B U' R D2
R' F2 R2 B U' D R
R' F2 R2 B U' D' R
R' F2 R2 B U' D2 R
R' F2 R2 B D U' R
R' F2 R2 B D' U' R
R' F2 R2 B D2 U' R
D' F2 R2 B U2 L' U
R2 F2 R2 B R U' R
D' F2 U2 L F' L2 U
D' F2 U2 L' D F' U
D' F2 U2 L' D' F' U
D' F2 U2 L' D2 F' U
D' F2 U2 L' F' U D
D' F2 U2 L' F' U D'
D' F2 U2 L' F' U D2
D' F2 U2 L' F' D U
D' F2 U2 L' F' D' U
D' F2 U2 L' F' D2 U
U F2 U L' F' U R2
D' F2 U2 L2 F' L U
D' F2 U2 D L' F' U
R F2 U L' U F' U
D' F2 U2 D' L' F' U
D' F2 U2 D2 L' F' U
D' F2 D U2 L' F' U
D F2 U2 L' F' B2 U
D F2 U2 L' B2 F' U
U2 F2 D L' F' B2 U
U2 F2 D L' B2 F' U
D F2 U2 B2 L' F' U
D' F2 D' U2 L' F' U
U2 F2 D B2 L' F' U
D' F2 D2 U2 L' F' U
D' F2 B U2 L' F' U
U2 F2 B L' F' U R2
R' F2 B' R2 B U' R'
D' F2 B' U2 L' F' U
U2 F2 B' L' F' U R2
D' F2 B2 U2 L' F' U
U2 F2 B2 L' F' U R2
L2 B L2 R B2 U' R
L2 B L2 B2 R U' R
D' B R F2 U2 F' U
L2 B R L2 B2 U' R
L2 B R B2 L2 U' R
D' B R' F2 R2 B U'
R' B R2 U2 F U R
R B L2 B' L2 U' R
R B U' R U' F U
D' B F2 U2 L' F' U
U2 B F2 L' F' U R2
F2 B U2 L' F' U R2
L2 B' L2 R U' R D
L2 B' L2 R U' R D'
L2 B' L2 R U' R D2
L2 B' L2 R U' D R
L2 B' L2 R U' D' R
L2 B' L2 R U' D2 R
L2 B' L2 R D U' R
L2 B' L2 R D' U' R
L2 B' L2 R D2 U' R
L2 B' L2 D' R F2 U'
D' B' R F2 U2 F' U
L2 B' R L2 U' R D
L2 B' R L2 U' R D'
L2 B' R L2 U' R D2
L2 B' R L2 U' D R
L2 B' R L2 U' D' R
L2 B' R L2 U' D2 R
L2 B' R L2 D U' R
L2 B' R L2 D' U' R
L2 B' R L2 D2 U' R
L2 B' R U' R D F2
L2 B' R U' D R F2
L2 B' R D U' R F2
D' B' R' F2 R2 B U'
D B' R U2 F B' U
D B' R U2 B' F U
R B' L2 B' L2 U' R
R B' U' R U' F U
F2 B' U2 L' F' U R2
R' B' F2 R2 B U' R'
D' B' F2 U2 L' F' U
U2 B' F2 L' F' U R2
L2 B2 L2 B R U' R
D' B2 R F2 U2 F' U
D' B2 R' F2 R2 B U'
R B2 L2 B' L2 U' R
R2 B2 U' F L U F'
R B2 U' R U' F U
B' F2 U2 L' F' U R2
B2 F2 U2 L' F' U R2
F2 B2 U2 L' F' U R2
B F2 U2 L' F' U R2
D' B2 F2 U2 L' F' U
U2 B2 F2 L' F' U R2
