U2 F L2 U F'
F L2 U2 F' U' F
D2 L2 B' R2 U' F'
U2 R F L2 U F'
U2 R' F L2 U F'
R' U2 F L2 U F'
R2 U2 F L2 U F'
R U2 F L2 U F'
D2 R2 U2 F U F'
D2 R2 U2 F U F'
U2 R2 F L2 U F'
F R2 B L2 U F
F' U L2 F2 B' U
F' U L2 B' F2 U
U2 D' F U F' B2
U2 D' F U B2 F'
D' U2 F U F' B2
D' U2 F U B2 F'
U2 F L2 U D F'
U2 F L2 U D' F'
U2 F L2 U D2 F'
U2 F L2 U F' D
U2 F L2 U F' D'
U2 F L2 U F' D2
U2 F L2 D U F'
U2 F L2 D' U F'
U2 F L2 D2 U F'
B U2 F L2 U F
U F L2 U D2 R2
U F L2 U' L2 U2
U F L2 D' B2 U
U F L2 D2 U R2
U2 F U D' F' B2
U2 F U D' B2 F'
U2 F U F' D' B2
U2 F D' U F' B2
U2 F D' U B2 F'
U2 F2 L2 F' U F'
L2 B' U B U2 B'
U2 F U D' B2 F' D
U2 F U D' B2 F' D'
U2 F U D' B2 F' D2
U2 F U D2 F' D B2
U2 F U F' U' L2 U
U2 F U F' D' B2 D
U2 F U F' D' B2 D'
U2 F U F' D' B2 D2
U2 F U F' B D' B2
U2 F U F' B' D' B2
U2 F U F' B2 D' B2
U2 F U F2 D' F B2
U2 F U F2 D' B2 F
U2 F U B D' F' B2
U2 F U B D' B2 F'
U2 F U B F' D' B2
U2 F U B' D' F' B2
U2 F U B' D' B2 F'
U2 F U B' F' D' B2
U2 F U B2 D' F' B2
U2 F U B2 D' B2 F'
U2 F U B2 F' D' B2
R F R2 B L2 U F
U2 F U' D F2 U2 F
U F U D' B2 D' R2
D' F U2 F' U' F B2
D' F U2 F' U' B2 F
D2 F U2 F' R2 U' F
U F U B2 D' R2 B2
U F U B2 D' B2 R2
L2 F U2 F' B' U' F
L2 F U2 B' F' U' F
U2 F D U' F2 U2 F
B2 D L2 D R2 B' U'
B2 D L2 D B' R2 U'
U F U2 D2 R2 U' R2
B2 D L2 D2 B' U' B'
U2 F D' L U F' B2
U2 F D' L U B2 F'
B2 D L2 B' U F2 U2
B2 D L2 B' U' D2 B2
B2 D L2 B' D R2 U'
B2 D L2 B' D2 U' B2
U2 F D' L' U F' B2
U2 F D' L' U B2 F'
U2 F D' L2 U F' B2
U2 F D' L2 U B2 F'
U2 F D' U F' B2 D
U2 F D' U F' B2 D'
U2 F D' U F' B2 D2
U2 F D' U B2 D F'
U2 F D' U B2 D' F'
U2 F D' U B2 D2 F'
U2 F D' U B2 F' D
U2 F D' U B2 F' D'
U2 F D' U B2 F' D2
U F D' L' U B2 R'
U2 F D2 U F' D B2
U F D' U B2 D' R2
U F D2 U2 R2 U' R2
F' D R2 F2 U' F' U'
U2 F B' L2 B U F'
U F B L2 U D2 R2
U F B L2 U' L2 U2
U F B L2 D' B2 U
U F B L2 D2 U R2
F2 D U F' U R2 B
U2 F B2 L2 B2 U F'
U F B' L2 U D2 R2
U F B' L2 U' L2 U2
U F B' L2 D' B2 U
U F B' L2 D2 U R2
U F B2 L2 U D2 R2
U F B2 L2 U' L2 U2
U F B2 L2 D' B2 U
U F B2 L2 D2 U R2
U F' L F2 L U R
U2 F' L2 U D' L2 F
U2 F' L2 D' U L2 F
U2 F' L2 F2 U' B' U2
F' D F2 R2 U B U
U F' L2 D' B2 U L2
F2 D F2 U F U R2
U2 F' R F2 L2 U F'
U F' L2 F2 U D2 R2
U F' L2 F2 U' L2 U2
U F' L2 F2 D' B2 U
U F' L2 F2 D2 U R2
U2 F' R' F2 L2 U F'
R' F' U L2 F2 B' U
R' F' U L2 B' F2 U
U2 F' R2 F2 L2 U F'
U' F' U' L2 F2 U F2
U2 F' U D' F L2 B2
U2 F' U D' F B2 L2
U2 F' U D' B2 F L2
R2 F' U L2 F2 B' U
R2 F' U L2 B' F2 U
U' F' U' F2 L2 U F2
U F' U L2 F2 U F2
R F' U L2 F2 B' U
R F' U L2 B' F2 U
U F' U F2 L2 U F2
L2 F' U2 F B' U' F'
L2 F' U2 B' F U' F'
U' F' D' L2 B2 D F2
F2 D' L2 U F' U B2
U' F' D' B2 L2 D F2
U' F' D2 R2 B2 U' R2
U2 F' D' U F L2 B2
U2 F' D' U F B2 L2
U2 F' D' U B2 F L2
U' F' D2 B2 R2 U' R2
B D' L2 B' U' F B'
B D' L2 B' U' B' F
F' D' U' F U' L2 B2
F' D' U' F U' B2 L2
U2 F2 L F' L U F'
B2 D' U2 R2 F U B2
B2 D' U2 F R2 U B2
B2 D' F R2 B U B
F D' U2 F' U' F B2
F D' U2 F' U' B2 F
U2 F2 L2 D F' R2 U
U2 F2 L2 F' U D F'
U2 F2 L2 F' U D' F'
U2 F2 L2 F' U D2 F'
U2 F2 L2 F' U F' D
U2 F2 L2 F' U F' D'
U2 F2 L2 F' U F' D2
U2 F2 L2 F' D U F'
U2 F2 L2 F' D' U F'
U2 F2 L2 F' D2 U F'
U F2 L2 D' F' B2 U
U F2 L2 D' B2 F' U
U F2 L2 D2 F' U R2
U F2 L2 F' U D2 R2
U F2 L2 F' U' L2 U2
U F2 L2 F' D' B2 U
U F2 L2 F' D2 U R2
D F2 R2 U' F2 B U'
D F2 R2 U' B F2 U'
U' F2 U' L2 F' U F
D2 F2 U' R2 F2 B U'
D2 F2 U' R2 B F2 U'
D F2 U D F' U R2
D F2 U D2 F' B2 U
D F2 U D2 B2 F' U
D F2 U F' U2 F' U'
U F2 U L2 F' U F
B' D2 L' R2 U' F' L'
D F2 U' F2 U2 F U
B' D2 L2 R2 B' U' F'
L2 F2 U2 F2 B' U' F2
L2 F2 U2 B' F2 U' F2
B2 D2 L2 R2 B' U' F2
U2 F2 D F' R2 U B
B2 D2 L2 B' R2 U' F2
D F2 D U F' U R2
B D2 L2 R2 B' U' F
U' F2 D2 R2 B U' R2
D F2 D' L2 U F' U
B D2 L2 B' R2 U' F
B' D2 R2 L' U' F' L'
B' D2 R2 L2 B' U' F'
B' D2 R2 U' F' D' L2
B' D2 R2 U2 F U F2
D F2 D2 U F' B2 U
D F2 D2 U B2 F' U
B2 D2 R2 L2 B' U' F2
B2 D2 R2 U2 F U F
B2 D2 R2 D' L2 B' U'
B D2 R2 L2 B' U' F
F' D2 U' R2 F B2 U'
F' D2 U' R2 B2 F U'
F' D2 U' F R2 B2 U'
F' D2 U' F B2 R2 U'
F' D2 U' B2 R2 F U'
F' D2 U' B2 F R2 U'
D2 B L2 R2 B' U' F
D2 B L2 B' R2 U' F
D' B L2 B' U' F B2
D' B L2 B' U' B2 F
F D2 U2 F' R2 U' F
D2 B R2 L2 B' U' F
U' B U' F L2 U F'
U2 B U' F B' L2 U
R' B U2 F L2 U F
U B U F L2 U F'
U2 B U' B' F L2 U
B' F L2 R2 B U F'
R2 B U2 F L2 U F
B2 F L2 D' R2 B U
F' B L2 F2 B' U F'
F' B L2 B' F2 U F'
B F L2 R U F R
B F L2 R2 B U F
B F L2 U F D R2
R B U2 F L2 U F
B F L2 U2 F' U' F2
F B L2 R U F R
F B L2 R2 B U F
F B L2 U F D R2
F B L2 U2 F' U' F2
B F R L2 U F R
F B R L2 U F R
B' F R2 L2 B U F'
B' F R2 B L2 U F'
B F R2 L2 B U F
U B F L2 U D2 R2
U B F L2 U' L2 U2
U B F L2 D' B2 U
U B F L2 D2 U R2
F B R2 L2 B U F
D2 B' L' R2 U' F' L'
D2 B' L2 R2 B' U' F'
L2 B' L2 D2 R2 U' F'
B2 F D' R2 B U B
D2 B' R2 L' U' F' L'
D2 B' R2 L2 B' U' F'
D2 B' R2 U' F' D' L2
D2 B' R2 U2 F U F2
U' B' U' F L2 U F'
L2 B' U D B U2 B'
L2 B' U D' B U2 B'
L2 B' U D2 B U2 B'
L2 B' U F B U2 B'
L2 B' U F' B U2 B'
L2 B' U F2 B U2 B'
L2 B' U B U2 D B'
L2 B' U B U2 D' B'
L2 B' U B U2 D2 B'
L2 B' U B U2 B' D
L2 B' U B U2 B' D'
L2 B' U B U2 B' D2
L2 B' U B D U2 B'
L2 B' U B D' U2 B'
L2 B' U B D2 U2 B'
L2 B' U B F U2 B'
L2 B' U B F' U2 B'
L2 B' U B F2 U2 B'
U2 B' U' F L2 B U
U2 B' U' F B L2 U
U2 B' U' B F L2 U
U B' U F L2 U F'
F B' L2 R2 B U F'
B F' L2 F2 B' U F'
B F' L2 B' F2 U F'
L2 B' D U B U2 B'
L2 B' D' U B U2 B'
F B' R2 L2 B U F'
L2 B' D2 U B U2 B'
F B' R2 B L2 U F'
U2 B' F L2 B U F'
U B' F L2 U D2 R2
U B' F L2 U' L2 U2
U B' F L2 D' B2 U
U B' F L2 D2 U R2
D2 B2 R2 D L2 B' U'
F B2 L2 D' R2 B U
U' B2 U' F L2 U F'
U2 B2 U' F L2 B2 U
U2 B2 U' F B2 L2 U
U2 B2 U' B2 F L2 U
U B2 U F L2 U F'
D2 B2 D L2 B' U' B'
D' B2 D L2 B' U' B
D B2 D L2 R2 B' U'
D B2 D L2 B' R2 U'
D B2 D R2 L2 B' U'
U2 B2 F L2 B2 U F'
L B2 D2 R' B U' F2
U B2 F L2 U D2 R2
U B2 F L2 U' L2 U2
U B2 F L2 D' B2 U
U B2 F L2 D2 U R2
F B2 D' R2 B U B
