R2 U F L2 R
R2 U F R L2
R' B U F L2
F2 L2 D' F' R B2
F2 L2 D' F' B2 R
F2 L2 D' B2 F' R
R2 U R F L2 R
R2 U R F R L2
R2 U R' F L2 R
R2 U R' F R L2
R2 U R2 F L2 R
R2 U R2 F R L2
R2 U F L2 R D
R2 U F L2 R D'
R2 U F L2 R D2
R2 U F L2 D R
R2 U F L2 D' R
R2 U F L2 D2 R
R2 U F R L2 D
R2 U F R L2 D'
R2 U F R L2 D2
R U F L2 D R2
R2 U F2 L2 F' R
U R F L2 D R2
F' R' B U L2 F2
F' R' B U F2 L2
B' R' B U F L2
B2 R' B U F L2
B R' B U F L2
B' R2 U F L2 R
B' R2 U F R L2
B2 R2 U F L2 R
B2 R2 U F R L2
R U2 F' U' L2 F2
R U2 F' U' F2 L2
B R2 U F L2 R
B R2 U F R L2
R' D F2 B U F'
F2 U L2 D' F' R
R' D B F2 U F'
L2 D' B2 R2 F' R
R' F' B U L2 F2
R' F' B U F2 L2
U F2 L2 D' F' R
D F2 U D2 F' R
R' F2 B U L2 F'
R' F2 B U F' L2
D F2 D2 U F' R
D F2 B U F' R'
R' B R U F L2
R' B R' U F L2
R' B R2 U F L2
R' B U F L2 D
R' B U F L2 D'
R' B U F L2 D2
R' B U F' L2 F2
R' B U F2 L2 F'
R2 B U F L2 R
R2 B U F R L2
R' B D F2 U F'
R' B F' U L2 F2
R' B F' U F2 L2
R' B F2 U L2 F'
R' B F2 U F' L2
D B F2 U F' R'
R2 B' U F L2 R
R2 B' U F R L2
R2 B2 U F L2 R
R2 B2 U F R L2
U R D' F D L2 R2
U R D' F D R2 L2
U' R F L2 D R2 B
U R F L D L R2
U R F L D R2 L
U R F L' D L' R2
U R F L' D R2 L'
L2 U' L2 R' B U F
L2 U' L2 R2 U F R
U R F L2 R D R2
U R F L2 R' D R2
U R F L2 R2 D R2
U R F L2 U F2 U'
U R F L2 D R2 D
U R F L2 D R2 D'
U R F L2 D R2 D2
U R F R L2 D R2
U R F R' L2 D R2
U R F R2 L2 D R2
U R F U F2 U' L2
U R F D R2 D' L2
U' R F' U' L2 F2 B'
U' R F' U' L2 B' F2
F' R F' U' F' L2 B'
U2 R F' R' U' L2 F2
U2 R F' R' U' F2 L2
U R F' L2 F2 D R2
R2 U' R U2 F L2 R
R2 U' R U2 F R L2
D R F2 U D2 F' R
L2 U' R' L2 B U F
D R F2 D2 U F' R
D R F2 B U F' R'
R2 U' R' U2 F L2 R
R2 U' R' U2 F R L2
L2 U' R2 L2 U F R
R2 U' R2 U2 F L2 R
R2 U' R2 U2 F R L2
D R B F2 U F' R'
R2 U' D2 R2 U2 F R
R U' F L2 D R2 B
F R' L2 U' L2 B U
F R' L2 U' B L2 U
R2 U' F' L2 F2 B' R'
R2 U' F' L2 B' R' F2
R2 U' F' L2 B' F2 R'
F R' L2 B' D' R2 B2
F R' L2 B' D' B2 R2
U' R' U B U F L2
R U' F' U' L2 F2 B'
R U' F' U' L2 B' F2
U R' U' B U F L2
R2 U' B' U2 R' F L2
R2 U' B' U2 F L2 R'
R2 U' B' U2 F R' L2
B' R' D F2 B U F'
F' R' D F2 B R2 U
F' R' D B R2 F2 U
B' R' D B F2 U F'
F' R' D B F2 R2 U
B2 R' D F2 B U F'
F2 R' D F2 B R' U
B2 R' D B F2 U F'
F2 R' D B R' F2 U
F2 R' D B F2 R' U
B R' D F2 B U F'
B R' D B F2 U F'
F R' D F2 B U F2
F R' D B F2 U F2
F' R' F B U F L2
U R' F L2 U' B U
U R' F U' B U L2
F R' F B U L2 F'
F R' F B U F' L2
B' R' F' B U L2 F2
B' R' F' B U F2 L2
F' R' F' B U L2 F'
F' R' F' B U F' L2
B2 R' F' B U L2 F2
B2 R' F' B U F2 L2
B R' F' B U L2 F2
B R' F' B U F2 L2
F R' F' B U F L2
B' R' F2 B U L2 F'
B' R' F2 B U F' L2
D R' F2 U D2 F' R
B2 R' F2 B U L2 F'
B2 R' F2 B U F' L2
F' R' B R U L2 F2
F' R' B R U F2 L2
B' R' B R U F L2
F' R' B R' U L2 F2
F' R' B R' U F2 L2
B' R' B R' U F L2
F' R' B R2 U L2 F2
F' R' B R2 U F2 L2
B' R' B R2 U F L2
D R' F2 D2 U F' R
F' R' B U L F2 L
F' R' B U L2 F2 D
F' R' B U L2 F2 D'
F' R' B U L2 F2 D2
D R' F2 B U F' R'
B2 R' B R U F L2
F' R' B U F' L2 F'
B' R' B U F L2 D
B' R' B U F L2 D'
B' R' B U F L2 D2
F' R' B U F2 L2 D
F' R' B U F2 L2 D'
F' R' B U F2 L2 D2
B' R' B U F' L2 F2
B' R' B U F2 L2 F'
B R' F2 B U L2 F'
B R' F2 B U F' L2
B2 R' B R' U F L2
F2 R' B R U L2 F'
F2 R' B R U F' L2
B2 R' B R2 U F L2
F' R' B D R2 F2 U
F' R' B D F2 R2 U
B' R' B D F2 U F'
B2 R' B U F L2 D
B2 R' B U F L2 D'
B2 R' B U F L2 D2
B2 R' B U F' L2 F2
B2 R' B U F2 L2 F'
F R' F2 B U L2 F2
F R' F2 B U F2 L2
B R' B R U F L2
F' R' B F U F L2
B R' B R' U F L2
B2 R' B D F2 U F'
F' R' B F' U L2 F'
F' R' B F' U F' L2
F' R' B F' U F' L2
B' R' B F' U L2 F2
B' R' B F' U F2 L2
B R' B R2 U F L2
B' R' B F2 U L2 F'
B' R' B F2 U F' L2
B R' B U F L2 D
B R' B U F L2 D'
B R' B U F L2 D2
B R' B U F' L2 F2
B R' B U F2 L2 F'
B2 R' B F' U L2 F2
B2 R' B F' U F2 L2
B2 R' B F2 U L2 F'
B2 R' B F2 U F' L2
B R' B D F2 U F'
F R' B U L2 D F2
U R' B U F B' L2
U R' B U B' F L2
B R' B F' U L2 F2
B R' B F' U F2 L2
F R' B D F2 U F2
D R' B F2 U F' R'
B R' B F2 U L2 F'
B R' B F2 U F' L2
F R' B F U L2 F'
F R' B F U F' L2
F R' B F' U F L2
F R' B F2 U L2 F2
F R' B F2 U F2 L2
F R' B' L2 D' R2 B2
F R' B' L2 D' B2 R2
L2 U2 D F2 B' L U2
L2 U2 D B' L F2 U2
L2 U2 D B' F2 L U2
R2 U2 D' B2 U' F R
R U2 D' F' B2 U' F2
R U2 D' B2 F' U' F2
F' R2 U L2 F R F
B' R2 U R F L2 R
B' R2 U R F R L2
B' R2 U R' F L2 R
B' R2 U R' F R L2
B' R2 U R2 F L2 R
B' R2 U R2 F R L2
B2 R2 U R F L2 R
B2 R2 U R F R L2
B2 R2 U R' F L2 R
B2 R2 U R' F R L2
R U2 F' L U' L F2
R U2 F' L U' F2 L
B' R2 U F L2 R D
B' R2 U F L2 R D'
B' R2 U F L2 R D2
B' R2 U F L2 D R
B' R2 U F L2 D' R
B' R2 U F L2 D2 R
B' R2 U F R L2 D
B' R2 U F R L2 D'
B' R2 U F R L2 D2
B2 R2 U R2 F L2 R
B2 R2 U R2 F R L2
F' R2 U F R F L2
R U2 F' L' U' L' F2
B' R2 U F2 L2 F' R
B2 R2 U F L2 R D
B2 R2 U F L2 R D'
B2 R2 U F L2 R D2
B2 R2 U F L2 D R
B2 R2 U F L2 D' R
B2 R2 U F L2 D2 R
B2 R2 U F R L2 D
B2 R2 U F R L2 D'
B2 R2 U F R L2 D2
B R2 U R F L2 R
B R2 U R F R L2
B2 R2 U F2 L2 F' R
B R2 U R' F L2 R
B R2 U R' F R L2
B R2 U R2 F L2 R
B R2 U R2 F R L2
R U2 F' U' L F2 L
R U2 F' U' L2 F2 D
R U2 F' U' L2 F2 D'
R U2 F' U' L2 F2 D2
R U2 F' U' F' L2 F'
R U2 F' U' F2 L2 D
R U2 F' U' F2 L2 D'
R U2 F' U' F2 L2 D2
B R2 U F L2 R D
B R2 U F L2 R D'
B R2 U F L2 R D2
B R2 U F L2 D R
B R2 U F L2 D' R
B R2 U F L2 D2 R
B R2 U F R L2 D
B R2 U F R L2 D'
B R2 U F R L2 D2
R U2 F' D' L2 B2 U'
R U2 F' D' B2 L2 U'
B R2 U F2 L2 F' R
R U2 F' B U' L2 F2
R U2 F' B U' F2 L2
R U2 F' B' U' L2 F2
R U2 F' B' U' F2 L2
R U2 F' B2 U' L2 F2
R U2 F' B2 U' F2 L2
F2 R2 U' B L U2 L
R2 U2 B U' F L2 R
R2 U2 B U' F R L2
R U2 B F' U' L2 F2
R U2 B F' U' F2 L2
R2 U2 B' U' F L2 R
R2 U2 B' U' F R L2
R U2 B' F' U' L2 F2
R U2 B' F' U' F2 L2
R2 U2 B2 U' F L2 R
R2 U2 B2 U' F R L2
R U2 B2 F' U' L2 F2
R U2 B2 F' U' F2 L2
F' R2 F U F L2 R
F' R2 F U F R L2
F R2 F' U F L2 R
F R2 F' U F R L2
R2 D R F2 B U F'
R2 D R B F2 U F'
D R2 F2 U D2 F' R
B' R2 B U F L2 R
B' R2 B U F R L2
D R2 F2 D2 U F' R
D R2 F2 B U F' R'
B2 R2 B U F L2 R
B2 R2 B U F R L2
B R2 B U F L2 R
B R2 B U F R L2
B' R2 B' U F L2 R
B' R2 B' U F R L2
B2 R2 B' U F L2 R
B2 R2 B' U F R L2
D R2 B F2 U F' R'
B R2 B' U F L2 R
B R2 B' U F R L2
B' R2 B2 U F L2 R
B' R2 B2 U F R L2
R D R2 F2 B U F'
R D R2 B F2 U F'
B2 R2 B2 U F L2 R
B2 R2 B2 U F R L2
F2 R2 B2 U L2 F R
B R2 B2 U F L2 R
B R2 B2 U F R L2
F2 U L D' L F' R
F2 U L D' F' L R
F2 U L D' F' R L
L2 D U2 F2 B' L U2
L2 D U2 B' L F2 U2
L2 D U2 B' F2 L U2
F2 U L' D' L' F' R
F' U L2 F' D' F' R
F2 U L2 D' F' R D
F2 U L2 D' F' R D'
F2 U L2 D' F' R D2
F2 U L2 D' F' D R
F2 U L2 D' F' D' R
F2 U L2 D' F' D2 R
R' D F2 D B U F'
R' D F2 D' B U F'
R' D F2 D2 B U F'
B' U R F L2 D R2
R' D F2 B U D F'
R' D F2 B U D' F'
R' D F2 B U D2 F'
R' D F2 B U F' D
R' D F2 B U F' D'
R' D F2 B U F' D2
R' D F2 B D U F'
R' D F2 B D' U F'
R' D F2 B D2 U F'
B2 U R F L2 D R2
R' D B R F2 U F'
R' D B R' F2 U F'
R' D B R2 F2 U F'
R2 D F2 U F R F2
R' D B U D' F L2
B U R F L2 D R2
L2 D F2 B' L U2 L'
R' D B D' U F L2
R' D B F2 U D F'
R' D B F2 U D' F'
R' D B F2 U D2 F'
R' D B F2 U F' D
R' D B F2 U F' D'
R' D B F2 U F' D2
R' D B F2 D U F'
R' D B F2 D' U F'
R' D B F2 D2 U F'
R D F2 U F' D R2
L2 D B R' D2 F2 B2
L2 D B R' D2 B2 F2
R D F2 U2 F U' F2
L2 D B D2 R' F2 B2
L2 D B D2 R' B2 F2
L2 D B D2 F2 R' B2
L2 D B' L F2 R U2
L2 D B' F2 L U2 L'
D' U F' R F2 D L2
F2 U D' F' R D L2
F2 U D' F' D L2 R
F2 U D' F' D R L2
F' U F' L2 D' F' R
L2 D' L2 F L2 B2 R'
B' U F2 L2 D' F' R
B2 U F2 L2 D' F' R
L2 D' R B2 R2 F' R
B U F2 L2 D' F' R
L2 D' R' B2 R2 F' R
L2 D' R2 B2 R2 F' R
R2 D' U F R D L2
R2 D' U F D L2 R
R2 D' U F D R L2
R D' U F D L2 R2
R D' U F D R2 L2
R2 D' U2 B2 U' F R
R D' U2 F' B2 U' F2
R D' U2 B2 F' U' F2
L2 D' F' R' B2 R2 F'
L2 D' F' B2 R2 F' R'
R' D' B R2 F' U F2
R' D' B U2 B U' F
L2 D' B D2 F2 B R'
L2 D' B D2 B R' F2
L2 D' B D2 B F2 R'
U2 D' F' B2 U' R F2
U D' F' R F2 D L2
L2 D' B2 R F' R F'
L2 D' B2 R2 F' R D
L2 D' B2 R2 F' R D'
L2 D' B2 R2 F' R D2
L2 D' B2 R2 F' D R
L2 D' B2 R2 F' D' R
L2 D' B2 R2 F' D2 R
L2 D' B2 F' R2 F' R'
L' D2 L B' U F L2
U2 D' B2 U' F' R F2
U2 D' B2 F' U' R F2
R2 D2 U F D2 L2 R
R2 D2 U F D2 R L2
R2 D2 U' R2 U2 F R
D' U2 F' B2 U' R F2
R' D2 B U D2 F L2
R' D2 B U F D2 L2
R' D2 B U' R2 U2 F
R' D2 B D' F2 U F'
R' D2 B D2 U F L2
D' U2 B2 U' F' R F2
D' U2 B2 F' U' R F2
F2 U2 D' B2 U' F' R
R' F L2 U' L2 B U
R' F L2 U' B L2 U
U' F L2 D R2 B R'
R' F L2 B' D' R2 B2
R' F L2 B' D' B2 R2
U F L2 R U F' U'
U F L2 R' U' B U
U F L2 D B R' B'
U F L2 D' F' R F
U F L2 F D' F' R
R F L2 D R2 D2 B2
R F L2 D' B2 D2 R2
U F L2 B' D B R'
U F R L2 U F' U'
U F R U F' U' L2
U F R' L2 U' B U
U F R' U' B U L2
R F U L2 D R2 F2
R F U L2 D F2 R2
D' F D L2 D' B2 R'
R' F D F2 B U F2
R' F D B F2 U F2
L2 F D' B2 R2 F' R
D' F D2 F2 U R F2
R F D F2 U R2 F2
R F D F2 U F2 R2
R' F B U L2 D F2
R' F B D F2 U F2
R' F B' L2 D' R2 B2
R' F B' L2 D' B2 R2
F' D R2 F2 B U R'
F' D R2 B F2 U R'
U F B' L2 D B R'
B' D F2 U D2 F' R
F' D F2 R2 B U R'
B' D F2 D2 U F' R
B' D F2 B U F' R'
B2 D F2 U D2 F' R
U F' L2 F' D' F' R
F' D F2 B R2 U R
B2 D F2 D2 U F' R
B2 D F2 B U F' R'
F2 D F2 B U R' F
F2 D F2 B U F R'
R2 F' R B U L2 F2
R2 F' R B U F2 L2
B D F2 U D2 F' R
B' D B F2 U F' R'
B D F2 D2 U F' R
F' D B F2 R2 U R
B D F2 B U F' R'
B2 D B F2 U F' R'
F2 D B F2 U R' F
F2 D B F2 U F R'
F D F2 B U R' F2
F D F2 B U F2 R'
D' F' U R F2 D L2
B D B F2 U F' R'
F D B F2 U R' F2
F D B F2 U F2 R'
R2 F' U L2 F R F
R2 F' U F R F L2
R F' U L F2 L R
R F' U L F2 R L
R F' U L2 F2 D2 R2
R F' U F2 L2 D2 R2
D' F' U2 B2 U' R F2
D' F' D R2 U L2 R'
D' F' D R2 U R' L2
R F' U' L2 F2 D2 B2
R' F' D F2 B R2 U
R' F' D B R2 F2 U
R' F' D B F2 R2 U
R F' U' F' L2 F' B'
R F' U' F' L2 B' F'
R F' U' F2 L2 D2 B2
L2 F' D' B2 R2 F' R
R' F' B R U L2 F2
R' F' B R U F2 L2
R' F' B R' U L2 F2
R' F' B R' U F2 L2
R' F' B R2 U L2 F2
R' F' B R2 U F2 L2
R' F' B U L F2 L
R' F' B U L2 F2 D
R' F' B U L2 F2 D'
R' F' B U L2 F2 D2
R' F' B U F' L2 F'
R' F' B U F2 L2 D
R' F' B U F2 L2 D'
R' F' B U F2 L2 D2
R' F' B D R2 F2 U
R' F' B D F2 R2 U
F2 D' U F' R D L2
F2 D' U F' D L2 R
F2 D' U F' D R L2
F2 D' U2 B2 U' F' R
U F2 L D' L F' R
U F2 L D' F' L R
U F2 L D' F' R L
U F2 L' D' L' F' R
U F2 L2 D' F' R D
U F2 L2 D' F' R D'
U F2 L2 D' F' R D2
U F2 L2 D' F' D R
U F2 L2 D' F' D' R
U F2 L2 D' F' D2 R
D F2 R2 U' B U2 R'
R2 F2 U L2 F R F2
R2 F2 U F L2 R F2
R2 F2 U F R L2 F2
R2 F2 U F R F2 L2
U2 F2 U' L2 D' F' R
D F2 U D2 F' R D
D F2 U D2 F' R D'
D F2 U D2 F' R D2
D F2 U D2 F' D R
D F2 U D2 F' D' R
D F2 U D2 F' D2 R
D F2 U F' B R' B'
D F2 U B F' R' B'
R2 F2 U' F' L2 B' R'
R F2 U F' L2 D R2
D F2 U' B U2 F' R'
D F2 U' B' L U2 F'
R' F2 D F2 B U F
R' F2 D B F2 U F
R2 F2 D F2 U F R
R F2 U2 F U' L2 F2
R F2 U2 F U' F2 L2
U2 F2 D' B2 U' F' R
L2 F2 D' B2 R2 F' R
R' F2 B U L F' L
R' F2 B U L2 D F'
R' F2 B U L2 D' F'
R' F2 B U L2 D2 F'
R' F2 B U L2 F' D
R' F2 B U L2 F' D'
R' F2 B U L2 F' D2
R' F2 B U F L2 F2
R' F2 B U F' L2 D
R' F2 B U F' L2 D'
R' F2 B U F' L2 D2
R' F2 B D F2 U F
U F2 D' F' R D L2
U F2 D' F' D L2 R
U F2 D' F' D R L2
D F2 D2 U F' R D
D F2 D2 U F' R D'
D F2 D2 U F' R D2
D F2 D2 U F' D R
D F2 D2 U F' D' R
D F2 D2 U F' D2 R
D F2 D2 B U F' R
D F2 D2 B' U F' R
D F2 D2 B2 U F' R
D F2 B U D F' R'
D F2 B U D' F' R'
D F2 B U D2 F' R'
D F2 B U F R' F2
D F2 B U F' R' D
D F2 B U F' R' D'
D F2 B U F' R' D2
D F2 B U F' D R'
D F2 B U F' D' R'
D F2 B U F' D2 R'
D F2 B U F2 R' F
D F2 B D U F' R'
D F2 B D' U F' R'
D F2 B D2 U F' R'
D F2 B' U' L U2 F'
R' B R U F L2 D
R' B R U F L2 D'
R' B R U F L2 D2
R' B R U F' L2 F2
R' B R U F2 L2 F'
R' B R D F2 U F'
R' B R F' U L2 F2
R' B R F' U F2 L2
R' B R F2 U L2 F'
R' B R F2 U F' L2
R' B R' U F L2 D
R' B R' U F L2 D'
R' B R' U F L2 D2
R' B R' U F' L2 F2
R' B R' U F2 L2 F'
R' B R' D F2 U F'
R' B R' F' U L2 F2
R' B R' F' U F2 L2
R' B R' F2 U L2 F'
R' B R' F2 U F' L2
R2 B R B U F L2
R' B R2 U F L2 D
R' B R2 U F L2 D'
R' B R2 U F L2 D2
R' B R2 U F' L2 F2
R' B R2 U F2 L2 F'
D B R F2 U F' R2
R' B R2 D F2 U F'
R' B R2 F' U L2 F2
R' B R2 F' U F2 L2
R' B R2 F2 U L2 F'
R' B R2 F2 U F' L2
D' B R2 F' U R F2
R B R U F L2 R
R B R U F R L2
R' B U L2 U2 B' U2
R' B U R F L2 R'
R' B U R F R' L2
R' B U R2 F L2 R2
R' B U R2 F R2 L2
R' B U D' F D L2
R' B U D2 F D2 L2
R' B U F L D L
R' B U F L D' L
R' B U F L D2 L
R' B U F L' D L'
R' B U F L' D' L'
R' B U F L' D2 L'
R' B U F B' L2 B
R' B U F B2 L2 B2
R' B U F' L F2 L
R' B U F' L2 F2 D
R' B U F' L2 F2 D'
R' B U F' L2 F2 D2
R' B U F2 L F' L
R' B U F2 L2 D F'
R' B U F2 L2 D' F'
R' B U F2 L2 D2 F'
R' B U F2 L2 F' D
R' B U F2 L2 F' D'
R' B U F2 L2 F' D2
R' B U B' F L2 B
R' B U B2 F L2 B2
R' B U' R U2 F L2
R' B U' R' U2 F L2
R' B U' R2 U2 F L2
R' B U' D2 R2 U2 F
R2 B U R F L2 R
R2 B U R F R L2
R2 B U R' F L2 R
R2 B U R' F R L2
R2 B U R2 F L2 R
R2 B U R2 F R L2
R' B U' B U2 F L2
D B U R' D' F L2
R' B U' B' U2 F L2
R2 B U F L2 R D
R2 B U F L2 R D'
R2 B U F L2 R D2
R2 B U F L2 D R
R2 B U F L2 D' R
R2 B U F L2 D2 R
R2 B U F R L2 D
R2 B U F R L2 D'
R2 B U F R L2 D2
R' B U' B2 U2 F L2
D B U D' R' F L2
D B U D' F L2 R'
D B U D' F R' L2
R2 B U F2 L2 F' R
R B R2 B U F L2
R' B U2 D' B2 U' F
R' B U2 B U' F L2
R' B U2 B' U' F L2
R' B U2 B2 U' F L2
R B U F L2 D R2
R' B D R F2 U F'
R' B D R' F2 U F'
R' B D R2 F2 U F'
R' B D F2 U D F'
R' B D F2 U D' F'
R' B D F2 U D2 F'
R' B D F2 U F' D
R' B D F2 U F' D'
R' B D F2 U F' D2
R' B D F2 D U F'
R' B D F2 D' U F'
R' B D F2 D2 U F'
R' B D' U F D L2
R' B D' U2 B2 U' F
F2 B L2 D' F' R B2
F2 B L2 D' F' B2 R
F2 B L2 D' B2 F' R
R B U2 F' U' L2 F2
R B U2 F' U' F2 L2
R' B D2 U F D2 L2
R' B D2 U' R2 U2 F
D B D' U R' F L2
D B D' U F L2 R'
D B D' U F R' L2
R' B F U L2 D F2
F' B R' B U L2 F2
