D L2 R F L'
D R L2 F L'
R D L2 F L'
D L' R F L' F
D' L2 R D2 F L'
D2 L2 R F D' L2
D L2 R F L' D
D L2 R F L' D'
D L2 R F L' D2
D L2 R F D L'
D L2 R F D' L'
D L2 R F D2 L'
D L2 R' F L' R2
D L2 R' F R2 L'
D L2 R2 F L' R'
D L2 R2 F R' L'
D2 L2 D' R F L'
D' L2 D2 R F L'
D R L' F L' F
D' R L2 D2 F L'
D2 R L2 F D' L2
D R L2 F L' D
D R L2 F L' D'
D R L2 F L' D2
D R L2 F D L'
D R L2 F D' L'
D R L2 F D2 L'
D' R U2 B' U2 L
D' R D2 L2 F L'
D2 R F D' L2 F
D R F L2 F L
D R' L2 F L' R2
D R' L2 F R2 L'
R U2 D' B' U2 L
D R2 L2 F L' R'
D R2 L2 F R' L'
R2 D L2 R' F L'
R D L' F L' F
R2 D L2 F L' R'
R2 D L2 F R' L'
R D L2 F L' D
R D L2 F L' D'
R D L2 F L' D2
R D L2 F D L'
R D L2 F D' L'
R D L2 F D2 L'
R2 D R' L2 F L'
R D F L2 F L
R D' L2 D2 F L'
R D' U2 B' U2 L
L' D2 R F' D' L2
U2 D' B' U2 L R
U2 D' B' U2 R L
R D2 L2 D' F L'
D' U2 B' U2 L R
D' U2 B' U2 L R
D' U2 B' U2 R L
F' D L2 F L' R
F' D L2 F R L'
R F D L2 F L'
R F' D L2 F L'
R F2 D L2 F L'
D' B' U2 L B R
D R2 L2 F R' D' L'
D R2 L2 F R' D2 L'
D R2 L2 F D L' R'
D R2 L2 F D R' L'
D R2 L2 F D' L' R'
D R2 L2 F D' R' L'
D R2 L2 F D2 L' R'
D R2 L2 F D2 R' L'
F' R2 D L2 F L' R
F' R2 D L2 F R L'
B' R2 D F' R U2 R2
D' R2 D2 L2 R' F L'
D' R2 D2 L2 F L' R'
D' R2 D2 L2 F R' L'
D' R2 D2 R' L2 F L'
R U2 B2 D' B R' U2
R2 D L' R' F L' F
R D L F L F L2
R2 D L' F L' R' F
R2 D L' F L' F R'
R2 D L' F R' L' F
R' D L2 F L' D' R2
D R2 F L2 R' F L
R' D L2 F D' L' R2
R' D L2 F D' R2 L'
D R2 F L2 F L R'
D R2 F L2 F R' L
D R2 F R' L2 F L
R2 D L2 R F L' R2
R2 D L2 R F R2 L'
R2 D L2 R' F L' D
R2 D L2 R' F L' D'
R2 D L2 R' F L' D2
R2 D L2 R' F D L'
R2 D L2 R' F D' L'
R2 D L2 R' F D2 L'
R D L' F L' D F
R D L' F L' D' F
R D L' F L' D2 F
R D L' F L' F D
R D L' F L' F D'
R D L' F L' F D2
R2 D L2 F L' R' D
R2 D L2 F L' R' D'
R2 D L2 F L' R' D2
R2 D L2 F L' D R'
R2 D L2 F L' D' R'
R2 D L2 F L' D2 R'
R2 D L2 F R' L' D
R2 D L2 F R' L' D'
R2 D L2 F R' L' D2
R2 D L2 F R' D L'
R2 D L2 F R' D' L'
R2 D L2 F R' D2 L'
R D L2 R F L' R'
R D L2 R F R' L'
R2 D L2 F D L' R'
R2 D L2 F D R' L'
R2 D L2 F D' L' R'
R2 D L2 F D' R' L'
R2 D L2 F D2 L' R'
R2 D L2 F D2 R' L'
R D L2 R2 F L' R2
R D L2 R2 F R2 L'
D R2 F' R' D2 L2 F
R2 D R L2 F L' R2
R2 D R L2 F R2 L'
R D L2 F L2 D L
R D L2 F L2 D' L
R D L2 F L2 D2 L
R D L2 F D L' D
R D L2 F D L' D'
R D L2 F D L' D2
R D L2 F D' L' D
R D L2 F D' L' D'
R D L2 F D' L' D2
R D L2 F D2 L' D
R D L2 F D2 L' D'
R D L2 F D2 L' D2
R D L2 F B' L' B
R D L2 F B2 L' B2
R D L2 F' L F2 L'
R D L2 F' L' F2 L'
R D L2 F' L2 F2 L'
R D L2 F2 L F' L'
R D L2 F2 L' F' L'
R D L2 F2 L2 F' L'
R D L2 F2 D F' L'
R D L2 F2 D' F' L'
R D L2 F2 D2 F' L'
R D L2 B' F L' B
R D L2 B2 F L' B2
R D R L2 F L' R'
R D R L2 F R' L'
R2 D R' L' F L' F
R2 D R' L2 F L' D
R2 D R' L2 F L' D'
R2 D R' L2 F L' D2
R2 D R' L2 F D L'
R2 D R' L2 F D' L'
R2 D R' L2 F D2 L'
R2 D R' F L2 F L
D' R2 B' U2 L B R'
R D R2 L2 F L' R2
R D R2 L2 F R2 L'
R D U L2 U' F L'
R2 D F L2 R' F L
R2 D F L2 F L R'
R2 D F L2 F R' L
R2 D F R' L2 F L
B' U L2 U B L R
B' U L2 U B R L
R D F L2 D F L
R D F L2 D' F L
R D F L2 D2 F L
R D F L2 F L D
R D F L2 F L D'
R D F L2 F L D2
R D F L2 F D L
R D F L2 F D' L
R D F L2 F D2 L
R D F L2 F' L F2
R D F L2 F2 L F'
U2 D L2 U2 R F L'
R D F U2 B' U2 L'
R D F D L2 F L
R2 D F' R' D2 L2 F
R D F D' L2 F L
D U L2 U' R F L'
R D F D2 L2 F L
R D F' L' F2 L' F
U D L2 U' R F L'
R D F' L2 F2 L' F'
R D F' U2 R B' U2
R D F' U2 B' R U2
R D F2 L' F' L' F
R D F2 L2 F' L' F2
R D F2 U2 B' R' U2
R D B D2 F2 B' L
R D B D2 B' L F2
R D B D2 B' F2 L
R D' L D2 L F L'
R D' L B' L F B
R D' L B' L B F
R2 D' L2 R' D2 F L'
R2 D' L2 D2 R' F L'
R2 D' L2 D2 F L' R'
R2 D' L2 D2 F R' L'
R D' L2 D2 F L' D
R D' L2 D2 F L' D'
R D' L2 D2 F L' D2
R D' L2 D2 F D L'
R D' L2 D2 F D' L'
R D' L2 D2 F D2 L'
R D' L2 F B' L B
R D' L2 B' F L B
R2 D' R' L2 D2 F L'
R2 D' R' U2 B' U2 L
R2 D' R' D2 L2 F L'
R D' U2 R B' U2 L
R D' U2 R' B' U2 L
R D' U2 R2 B' U2 L
R D' U2 B R' B2 U2
R D' U2 B' R U2 L
R D' U2 B' R' U2 L
R D' U2 B' R2 U2 L
R D' U2 B' U2 L D
R D' U2 B' U2 L D'
R D' U2 B' U2 L D2
R D' U2 B' U2 D L
R D' U2 B' U2 D' L
R D' U2 B' U2 D2 L
R D' U2 B' D U2 L
R D' U2 B' D' U2 L
R D' U2 B' D2 U2 L
R D' F L2 D2 F L'
U2 D' R' B' U2 L R2
U2 D' R' B' U2 R2 L
R D' F U2 B' U2 L
R D' F D2 L2 F L'
R D' F' L2 D2 F L'
R D' F' U2 B' U2 L
R D' F' D2 L2 F L'
R D' F2 L2 D2 F L'
R D' F2 U2 B' U2 L
R D' F2 D2 L2 F L'
R2 D' B' U2 L B R'
R D' B' L' B L2 F
U2 D' B R' B2 U2 R2
U2 D' B' L' U2 L2 R
U2 D' B' L' U2 R L2
U2 D' B' L2 U2 L' R
U2 D' B' L2 U2 R L'
U2 D' B' R' U2 L R2
U2 D' B' R' U2 R2 L
U2 D' B' R2 U2 L R'
U2 D' B' R2 U2 R' L
U2 D' B' U2 L R D
U2 D' B' U2 L R D'
U2 D' B' U2 L R D2
U2 D' B' U2 L D R
U2 D' B' U2 L D' R
U2 D' B' U2 L D2 R
U2 D' B' U2 R L D
U2 D' B' U2 R L D'
U2 D' B' U2 R L D2
U2 D' B' U2 R D L
U2 D' B' U2 R D' L
U2 D' B' U2 R D2 L
U2 D' B' U2 D L R
U2 D' B' U2 D R L
U2 D' B' U2 D' L R
U2 D' B' U2 D' R L
U2 D' B' U2 D2 L R
U2 D' B' U2 D2 R L
U2 D' B' D U2 L R
U2 D' B' D U2 R L
U2 D' B' D' U2 L R
U2 D' B' D' U2 R L
U2 D' B' D2 U2 L R
U2 D' B' D2 U2 R L
R D2 L D' L F L'
R2 D2 L2 D' R' F L'
R2 D2 L2 D' F L' R'
R2 D2 L2 D' F R' L'
L' D2 R U' F U F2
L' D2 R D F' D' L2
L' D2 R D' F' D' L2
L' D2 R D2 F' D' L2
L' D2 R F' L D' L2
L' D2 R F' L' D' L2
L' D2 R F' L2 D' L2
L' D2 R F' U' F2 U
L' D2 R F' D' L2 D
L' D2 R F' D' L2 D'
L' D2 R F' D' L2 D2
R D2 L2 D' F L' D
R D2 L2 D' F L' D'
R D2 L2 D' F L' D2
R D2 L2 D' F D L'
R D2 L2 D' F D' L'
R D2 L2 D' F D2 L'
D U2 L2 U2 R F L'
D' U2 R' B' U2 L R2
D' U2 R' B' U2 R2 L
B' U2 L B R D L2
B' U2 L B D L2 R
B' U2 L B D R L2
R D2 F L2 D' F L'
R D2 F D' L2 F L'
R D2 F' L2 D' F L'
D' U2 B R' B2 U2 R2
R D2 F' D' L2 F L'
D' U2 B' L' U2 L2 R
D' U2 B' L' U2 R L2
D' U2 B' L2 U2 L' R
D' U2 B' L2 U2 R L'
R D2 F2 L2 D' F L'
D' U2 B' R' U2 L R2
D' U2 B' R' U2 R2 L
D' U2 B' R2 U2 L R'
D' U2 B' R2 U2 R' L
D' U2 B' U2 L R D
D' U2 B' U2 L R D'
D' U2 B' U2 L R D2
D' U2 B' U2 L D R
D' U2 B' U2 L D' R
D' U2 B' U2 L D2 R
D' U2 B' U2 R L D
D' U2 B' U2 R L D'
D' U2 B' U2 R L D2
D' U2 B' U2 R D L
D' U2 B' U2 R D' L
D' U2 B' U2 R D2 L
D' U2 B' U2 D L R
D' U2 B' U2 D R L
D' U2 B' U2 D' L R
D' U2 B' U2 D' R L
D' U2 B' U2 D2 L R
D' U2 B' U2 D2 R L
D' U2 B' D U2 L R
D' U2 B' D U2 R L
R D2 F2 D' L2 F L'
D' U2 B' D' U2 L R
D' U2 B' D' U2 R L
D' U2 B' D2 U2 L R
D' U2 B' D2 U2 R L
B' U2 D' B R D2 L2
B' U2 D' B' L R B2
B' U2 D' B' L B2 R
B' U2 D' B' R L B2
F' U2 D' B' U2 L R'
F' U2 D' B' U2 R' L
F2 U2 D' B' L' U2 L2
D F L' F' D2 R F'
D F L2 F L D2 R2
D F L2 F' L R F2
D F L2 F' R L F2
D F L2 F' R F2 L
R' F R2 D L2 F L'
R2 F R' D L2 F L'
F2 U2 B' L' U F U
B' U2 B2 R D' B' L
B' U2 B2 D' R B' L
B' U2 B2 D' B' L R
B' U2 B2 D' B' R L
L2 F U' F' U L' R
L2 F U' F' U R L'
F' D L' F L' R F
F' D L' F R L' F
F' D L2 R F L' R
F' D L2 R F R L'
F' D L2 R' F L' R
F' D L2 R' F R L'
F' D L2 R2 F L' R
F' D L2 R2 F R L'
R2 F D L2 R' F L'
R2 F D L2 F L' R'
R2 F D L2 F R' L'
F' D L2 F L' R D
F' D L2 F L' R D'
F' D L2 F L' R D2
F' D L2 F L' D R
F' D L2 F L' D' R
F' D L2 F L' D2 R
F' D L2 F R L' D
F' D L2 F R L' D'
F' D L2 F R L' D2
F' D L2 F R D L'
F' D L2 F R D' L'
F' D L2 F R D2 L'
F' D L2 F D L' R
F' D L2 F D R L'
F' D L2 F D' L' R
F' D L2 F D' R L'
F' D L2 F D2 L' R
F' D L2 F D2 R L'
R2 F D R' L2 F L'
R F U2 D' B' U2 L
F2 D L2 F L' D2 R2
F' D R L2 F L' R
F' D R L2 F R L'
R F D L' F L' F
R F D L2 F L' D
R F D L2 F L' D'
R F D L2 F L' D2
R F D L2 F D L'
R F D L2 F D' L'
R F D L2 F D2 L'
R F D F L2 F L
F' D R' L2 F L' R
F' D R' L2 F R L'
R F D' L2 D2 F L'
R F D' U2 B' U2 L
F' D R2 L2 F L' R
F' D R2 L2 F R L'
B' D R2 F' R U2 R2
R F D2 L2 D' F L'
L' F' L D' L2 F R
L' F' L' D' F L2 R
L' F' L' D' F R L2
F' D F L' D2 R F'
F' D F L2 R F L
F' D F R L2 F L
F2 D F L2 F L R
F2 D F L2 F R L
D2 F' L2 D' F L' R
D2 F' L2 D' F R L'
D' F' L2 D2 F L' R
D' F' L2 D2 F R L'
B' D F2 L' U2 B L
D F' L2 F2 L' F' R
B' D B L2 R F L'
B' D B R L2 F L'
R' F' R2 D L2 F L'
R2 F' R' D L2 F L'
D F' R' D2 L2 F R
D' F' U2 B' U2 L R'
D' F' U2 B' U2 R' L
D F' U2 R B' U2 R'
D2 F' D' L2 F L' R
D2 F' D' L2 F R L'
D F' U2 B' R U2 R2
R2 F' D L2 R' F L'
F' D' L2 D2 F L' R
F' D' L2 D2 F R L'
R2 F' D L2 F L' R'
R2 F' D L2 F R' L'
R2 F' D R' L2 F L'
R F' U2 D' B' U2 L
D' F' D2 L2 F L' R
D' F' D2 L2 F R L'
R F' D L' F L' F
R F' D L2 F L' D
R F' D L2 F L' D'
R F' D L2 F L' D2
R F' D L2 F D L'
R F' D L2 F D' L'
R F' D L2 F D2 L'
R F' D F L2 F L
R F' D' L2 D2 F L'
R F' D' U2 B' U2 L
R F' D2 L2 D' F L'
B D' R2 U R' B' L
B' D' U2 B R D2 L2
B' D' U2 B' L R B2
B' D' U2 B' L B2 R
B' D' U2 B' R L B2
F' D' U2 B' U2 L R'
F' D' U2 B' U2 R' L
F2 D' U2 B' L' U2 L2
B' D' B R D2 L2 F
R' F2 R2 D L2 F L'
R2 F2 R' D L2 F L'
F2 D' B' L' U2 L2 B
F2 D' B' L' U2 B L2
B D' B' L D' R F2
B D' B' D' L R F2
B D' B' D' R L F2
B D' B' D' R F2 L
D' F2 U2 B' L' U2 L2
F' D2 L2 D' F L' R
F' D2 L2 D' F R L'
D F2 U2 B' L' R' U2
D F2 U2 B' R' L' U2
R2 F2 D L2 R' F L'
R2 F2 D L2 F L' R'
R2 F2 D L2 F R' L'
R2 F2 D R' L2 F L'
R F2 U2 D' B' U2 L
R F2 D L' F L' F
R F2 D L2 F L' D
R F2 D L2 F L' D'
R F2 D L2 F L' D2
R F2 D L2 F D L'
R F2 D L2 F D' L'
R F2 D L2 F D2 L'
R F2 D F L2 F L
R F2 D' L2 D2 F L'
D' F2 B' L' U2 L2 B
D' F2 B' L' U2 B L2
R F2 D' U2 B' U2 L
R F2 D2 L2 D' F L'
D F2 B' L' U2 B L
D' B R D2 F2 B' L2
D' B R D2 B' L2 F2
D' B R D2 B' F2 L2
D' B R B' D2 L2 F
D' B R' B2 U2 B R2
D B R D2 F2 B' L
D B R D2 B' L F2
D B R D2 B' F2 L
D B R B' L2 F L'
D B D2 R F2 B' L
D B D2 R B' L F2
D B D2 R B' F2 L
D B D2 B' L R F2
D B D2 B' R L F2
D B D2 B' R F2 L
R B D' B' L D' F2
R B D' B' D' L F2
R B D' B' D' F2 L
R B D2 F2 D B' L
U2 B' L U' B' U' R
D' B' L' U2 L2 B R
D' B' L' U2 B L2 R
D' B' L' U2 B R L2
D' B' L' B L2 R F
D' B' L' B R L2 F
D' B' L2 U2 L' B R
D' B' L2 U2 B L' R
D' B' L2 U2 B R L'
L B' L U' B R F
R B' L B D L2 F
D' B' R2 F' U2 L R'
D' B' R2 F' U2 R' L
F2 B' L' U F U B
D B' R2 F' R U2 R2
L2 B' U B R F L
D' B' U2 L D B R
D' B' U2 L D' B R
D' B' U2 L D2 B R
D' B' U2 L B R D
D' B' U2 L B R D'
D' B' U2 L B R D2
D' B' U2 L B D R
D' B' U2 L B D' R
D' B' U2 L B D2 R
D' B' U2 L B' R B2
D' B' U2 L B2 R B'
D' B' U2 L' B L2 R
D' B' U2 L' B R L2
D' B' U2 L2 B L' R
D' B' U2 L2 B R L'
D' B' U2 R D2 L B'
D' B' U2 D L B R
D' B' U2 D' L B R
D' B' U2 D2 L B R
D' B' D U2 L B R
D' B' D' U2 L B R
D' B' D2 U2 L B R
R B' D B L2 F L'
D' B' F2 L' U2 L2 B
D' B' F2 L' U2 B L2
D B' F2 L' U2 B L
B' F2 L' U F U B
U2 B2 D' B R' U2 R2
