B' L F L U
B' L D F L U
B' L D' F L U
B' L D2 F L U
B' L F L U D
B' L F L U D'
B' L F L U D2
B' L F L D U
B' L F L D' U
B' L F L D2 U
B2 L F L B U
B L F L B2 U
B' L F D L U
B' L F D' L U
B' L F D2 L U
B' L F' L F2 U
B' L F2 L F' U
B' L2 D F U L'
L2 U2 D F U' L'
L2 D U2 F U' L'
B' U D' B L B
B' U B D' L B2
B' U B' D' B2 L
L F L U2 F U'
L F L' B' L2 U
B' D' L F U B2
B' D' U B L B
B2 D' B U B L
B' F L F L U
U B D' L R2 B2
U B D' L B2 R2
U B D' R2 L B2
F' B' L F L U
B' F' L F L U
F2 B' L F L U
D' B' U B L B2
F B' L F L U
B' F2 L F L U
B2 L' B L' U2 B2 U'
B2 L' B L' D U L2
B2 L' B L' D2 F2 U
B2 L' B D L' U L'
B2 L' B D2 L' F2 U
B L' B2 L' U2 B U'
B' L2 R' D2 R F' U
B' L2 U L U B' U'
B' L2 U L' U' F U
B' L2 U D F L' F'
B' L2 U D' B' L B
B' L2 U F' D F L'
B' L2 U B D' B' L
B' L2 U2 L B' L' U'
F' L2 U2 D F U' L'
B' L2 U2 D' B' U' L
F2 L2 U2 D F U' L'
F L2 U2 D F U' L'
B' L2 D U F L' F'
F' L2 D U2 F U' L'
B' L2 D F U L' D
B' L2 D F U L' D'
B' L2 D F U L' D2
B' L2 D F U D L'
B' L2 D F U D' L'
B' L2 D F U D2 L'
B' L2 D F D U L'
B' L2 D F D' U L'
B' L2 D F D2 U L'
B' L2 D F' U' R U2
F2 L2 D U2 F U' L'
B2 L2 D F B U L'
F L2 D U2 F U' L'
B2 L2 D B F U L'
B' L2 D' U B' L B
D L2 D' L2 B' U L
B' L2 D' U2 B' U' L
B2 L2 D' B U' R' U2
B' L2 D2 R F' R' U
B L2 D' B' U L R2
B L2 D' B' U R2 L
L2 U L' U' F U R
B' L2 F L' F L U
B' L2 F D F U L'
B' L2 F' L' F L U
B' L2 F' D F U L'
B' L2 F2 L' F L U
B' L2 F2 D F U L'
B2 L2 B L' F L U
B' L2 B D' B' U L
B2 L2 B D F U L'
B L2 B' D' B' U L
B L2 B2 L' F L U
B2 L2 B2 D' B' U L
B L2 B2 D F U L'
B' R L F L R' U
B' R L F R' L U
L2 U F' D R2 F L'
L2 U F' D F L' R2
L2 U F' D F R2 L'
U2 R B U' D' R2 B2
U2 R B U' D' B2 R2
U2 R B U2 L2 B2 U
U2 R B U2 B2 L2 U
U2 R B D' U' R2 B2
U2 R B D' U' B2 R2
U2 R B D2 R2 F2 U'
U2 R B D2 F2 R2 U'
U R B D' L R2 B2
U R B D' L B2 R2
U R B D' R2 L B2
B' R' L2 D2 R F' U
U2 R' U2 F' B' L2 U
U2 R' U2 B' L2 F' U
U2 R' U2 B' F' L2 U
L2 U2 L B' L' F U'
R U2 R' F' B' L2 U
R U2 R' B' L2 F' U
R U2 R' B' F' L2 U
U R' B D' L R2 B2
U R' B D' L B2 R2
U R' B D' R2 L B2
L2 U2 D F U' L' D
L2 U2 D F U' L' D'
L2 U2 D F U' L' D2
L2 U2 D F U' D L'
L2 U2 D F U' D' L'
L2 U2 D F U' D2 L'
L2 U2 D F D U' L'
L2 U2 D F D' U' L'
L2 U2 D F D2 U' L'
L2 U2 D F B U' L'
L2 U2 D F B' U' L'
L2 U2 D F B2 U' L'
L2 U2 D B F U' L'
L2 U2 D B' F U' L'
L2 U2 D B2 F U' L'
L2 U2 D' F B' U' L
B' R2 L F L R2 U
B' R2 L F R2 L U
L2 U2 D' B' F U' L
L2 U2 F L B' L' U'
L2 U2 F D' B' U' L
L2 U2 B D F U' L'
L2 U2 B' D F U' L'
L2 U2 B2 D F U' L'
U R2 B D' L R2 B2
U R2 B D' L B2 R2
U R2 B D' R2 L B2
B' U L U' L F U
B' U L B D L B'
L2 D U2 F U' L' D
L2 D U2 F U' L' D'
L2 D U2 F U' L' D2
L2 D U2 F U' D L'
L2 D U2 F U' D' L'
L2 D U2 F U' D2 L'
L2 D U2 F D U' L'
L2 D U2 F D' U' L'
L2 D U2 F D2 U' L'
L2 D U2 F B U' L'
L2 D U2 F B' U' L'
L2 D U2 F B2 U' L'
L2 D U2 B F U' L'
L2 D U2 B' F U' L'
L2 D U2 B2 F U' L'
B' U L' B L D' B2
L D F L U2 F U'
L D F L' B' L2 U
L2 D F' U2 F2 U' L'
L2 D B U2 F U' L'
L2 D B' U2 F U' L'
B' U D B L D2 B2
B' U D B D2 L B2
B' U D B' D2 B2 L
B' U D' L B L B
B' U D' L' B L B
B' U D' L2 B L B
L2 D B2 U2 F U' L'
B' U D' B L D B
B' U D' B L D' B
B' U D' B L D2 B
B' U D' B L B D
B' U D' B L B D'
B' U D' B L B D2
B' U D' B L' B L2
B' U D' B L2 B L'
B' U D' B D L B
B' U D' B D' L B
B' U D' B D2 L B
B U D' R2 B L B
B' U D2 B L D B2
B' U D2 B D L B2
B U D' B L B R2
B' U D2 B' D B2 L
D' U B L D' B R2
D' U B D' L B R2
D2 U B D L B2 R'
L2 D' L2 B' L2 U L'
B' U B L U' L U
B' U B U' L2 U L'
B' U B D L D2 B2
B' U B D' L B2 D
B' U B D' L B2 D'
B' U B D' L B2 D2
B' U B D' L' B2 L2
B' U B D' L2 B2 L'
B' U B D2 L D B2
F' U B D' L R2 B2
F' U B D' L B2 R2
F' U B D' R2 L B2
F2 U B D' L R2 B2
F2 U B D' L B2 R2
F2 U B D' R2 L B2
B' U B' D' L B2 L
B' U B' D' L' B2 L
B' U B' D' L2 B2 L
B' U B' D' B2 L D
B' U B' D' B2 L D'
B' U B' D' B2 L D2
B' U B' D' B2 D L
B' U B' D' B2 D' L
B' U B' D' B2 D2 L
B2 U B' D' B2 L R2
B2 U B' D' B2 R2 L
F U B D' L R2 B2
F U B D' L B2 R2
F U B D' R2 L B2
L2 D' U2 F B' U' L
L2 D' U2 B' F U' L
L D' F L U2 F U'
L D' F L' B' L2 U
L2 D' B' U2 F U' L
B' U' D F R F U2
B' U' D' F R U2 B2
B' U' D' F' U2 L' B2
B' U' D' F' U2 B2 L'
U D' B L D' B R2
U D' B D' L B R2
B' U' F R U L2 U
B' U' F R U2 D' B2
B' U' F R D F2 U2
B' U' F R D' U2 B2
B' U' F D R F2 U2
B' U' F D F2 U2 L'
B' U' F D' R U2 B2
B' U' F' U L2 U L
B' U' F' U2 D' L' B2
B' U' F' U2 D' B2 L'
B' U' F' D F2 R U2
B' U' F' D' U2 L' B2
B' U' F' D' U2 B2 L'
L D2 F L U2 F U'
L D2 F L' B' L2 U
B' U2 R D' B U' B
B' U2 R D2 B R2 U'
B' U2 R B U' D' B2
B' U2 R B U2 L2 U
B' U2 R B D' U' B2
B' U2 R B D2 R2 U'
B' U2 R' U2 L2 F' U
B' U2 R' U2 F' L2 U
B' U2 R' D2 R2 B U'
U D2 B D L B2 R'
B' U2 D' R B U' B
B' U2 D' B U' B L
B' U2 D2 R B R U'
L F L U2 D F U'
L F L U2 D' F U'
L F L U2 D2 F U'
L F L U2 F U' D
L F L U2 F U' D'
L F L U2 F U' D2
L F L U2 F D U'
L F L U2 F D' U'
L F L U2 F D2 U'
L F L D U2 F U'
L F L D' U2 F U'
L F L D2 U2 F U'
L F L B U2 F U'
L F L B' U2 F U'
L F L B2 U2 F U'
U' F R U B' L2 U
L F L' D' B' U B'
L F L' B L2 B2 U
L F L' B' L2 U D
L F L' B' L2 U D'
L F L' B' L2 U D2
L F L' B' L2 D U
L F L' B' L2 D' U
L F L' B' L2 D2 U
L F L' B' U D' B2
L F L' B' D' U B2
L F L' B2 L2 B U
B' D L D' F L2 U
B' D L D2 F U B2
B' D L F L2 U B'
B' D L F U' F U2
B' D L' D' L2 F U
L F D L U2 F U'
L F D L' B' L2 U
L F D' L U2 F U'
L F D' L' B' L2 U
L F D2 L U2 F U'
L F D2 L' B' L2 U
D' F B' U B L B2
L F B L' B' L U
B' D U B L D2 B2
B' D U B D2 L B2
B' D U B' D2 B2 L
D F B' U' F R U2
B' D U' F R F U2
L F B2 U2 R' F' U'
B' D F U' F R U2
L F' L F2 U2 F' U'
L' F' L2 F L' B' U
B' D F' U' F' U2 L'
L F' L' F2 B' L2 U
L F' L' B' L2 F2 U
L F' L' B' F2 L2 U
U' F' U B' L2 U L
B' D' L D F L2 U
B' D' L F L U B2
B' D' L F L' U B2
B' D' L F L2 U B2
B' D' L F U B2 D
B' D' L F U B2 D'
B' D' L F U B2 D2
B' D' L F D L2 U
B2 D' L F B U B
B2 D' L B F U B
B' D' L' U2 B' U' B'
B' D' L' D L2 F U
B D' L F U R2 B2
B D' L F U B2 R2
L2 F' D F U L' R2
L2 F' D F U R2 L'
D' F' B' U B L B2
B' D' U L B L B
B' D' U L' B L B
B' D' U L2 B L B
B' D' U B L D B
B' D' U B L D' B
B' D' U B L D2 B
B' D' U B L B D
B' D' U B L B D'
B' D' U B L B D2
B' D' U B L' B L2
B' D' U B L2 B L'
B' D' U B D L B
B' D' U B D' L B
B' D' U B D2 L B
B' D' U' F R U2 B2
D F' B' U' F' U2 L'
B' D' U' F' U2 L' B2
B' D' U' F' U2 B2 L'
B D' U R2 B L B
B' D' U2 R B U' B
B D' U B L B R2
B' D' U2 B U' B L
B' D' F L F U B2
B' D' F U B L B
B' D' F' L F U B2
L F2 L F' U D R2
L F2 L F' U2 F2 U'
L F2 L F' D U R2
L F2 L F' D2 B2 U
B2 D' F B U B L
B' D' F' U B L B
B' D' F2 L F U B2
L F2 L' F' B' L2 U
B2 D' F' B U B L
L F2 L' B' L2 F' U
B' D' F2 U B L B
L F2 L' B' F' L2 U
B2 D' F2 B U B L
B2 D' B L F U B
B2 D' B U L B L
B2 D' B U L' B L
B2 D' B U L2 B L
B2 D' B U D B L
B2 D' B U D' B L
B2 D' B U D2 B L
B2 D' B U B L D
B2 D' B U B L D'
B2 D' B U B L D2
B2 D' B U B D L
B2 D' B U B D' L
B2 D' B U B D2 L
B2 D' B D U B L
B2 D' B D' U B L
B2 D' B D2 U B L
B2 D' B F U B L
B2 D' B F' U B L
B2 D' B F2 U B L
F' D' B' U B L B2
B D' B U B L R2
B D' B U B R2 L
F2 D' B' U B L B2
F D' B' U B L B2
B' D2 L D F U B2
B' D2 L D2 F L2 U
B' D2 L F U D B2
B' D2 L F U2 R2 U'
B' D2 L F D U B2
B' D2 L F D2 L2 U
B' D2 L' U2 R2 B' U'
B' D2 L' U2 B' R2 U'
B' D2 L' D2 L2 F U
D' F2 B' U B L B2
B' D2 U B L D B2
B' D2 U B D L B2
B' D2 U B' D B2 L
D' B L F B2 U B'
B' D2 U2 R B R U'
D' B L B2 F U B'
L' B L B' L2 F U
L' B L' U2 F B2 U'
L' B L' U2 B2 F U'
U B L U' L B2 U
L B L' B' L F U
U B R D' L R2 B2
U B R D' L B2 R2
U B R D' R2 L B2
U B R' D' L R2 B2
U B R' D' L B2 R2
D' B U D' B L R2
D' B U D' B R2 L
U B R' D' R2 L B2
U B R2 D' L R2 B2
U B R2 D' L B2 R2
U B R2 D' R2 L B2
B' F L D F L U
B' F L D' F L U
B' F L D2 F L U
B' F L F L U D
B' F L F L U D'
B' F L F L U D2
B' F L F L D U
B' F L F L D' U
B' F L F L D2 U
B' F L F D L U
B' F L F D' L U
B' F L F D2 L U
B' F L F' L F2 U
B' F L F2 L F' U
F' B L F L B2 U
B2 F L F L B U
F2 B L F L B2 U
L2 B U2 D F U' L'
U B U' L2 B2 U L'
B F L F L B2 U
B' F L2 D F U L'
F B L F L B2 U
L2 B D U2 F U' L'
D' B D' U B L R2
D' B D' U B R2 L
U' B D' B2 R2 F' L'
U B D L D2 B2 R'
U B D' L R B2 R
U B D' L R2 B2 D
U B D' L R2 B2 D'
U B D' L R2 B2 D2
U B D' L B' R2 B'
U B D' L B2 R2 D
U B D' L B2 R2 D'
U B D' L B2 R2 D2
U B D' L' R2 B2 L2
U B D' L' B2 L2 R2
U B D' L' B2 R2 L2
U B D' L2 R2 B2 L'
U B D' L2 B2 L' R2
U B D' L2 B2 R2 L'
U B D' R L B2 R
U B D' R2 L B2 D
U B D' R2 L B2 D'
U B D' R2 L B2 D2
U B D' R2 L' B2 L2
U B D' R2 L2 B2 L'
U B D2 L D R2 B2
U B D2 L D B2 R2
L B D2 F L' B' U
B' F U D' B L B
B' F U B D' L B2
B' F U B' D' B2 L
L B F L' B' L U
R' B' L R F L U
D2 B' L D F U B2
D2 B' L D2 F L2 U
D2 B' L F U D B2
D2 B' L F U2 R2 U'
D2 B' L F D U B2
D2 B' L F D2 L2 U
D' B' L F L' U B'
D2 B' L' U2 R2 B' U'
D2 B' L' U2 B' R2 U'
D2 B' L' D2 L2 F U
R2 B' L R2 F L U
R2 B' L F L R2 U
R2 B' L F R2 L U
D B' L D' F L2 U
D B' L D2 F U B2
D B' L F L2 U B'
D B' L F U' F U2
R' B' L2 D2 R F' U
B' F D' L F U B2
D B' L' D' L2 F U
R' B' R L F L U
B' F D' U B L B
B2 F D' B U B L
B' F' L D F L U
B' F' L D' F L U
B' F' L D2 F L U
B' F' L F L U D
B' F' L F L U D'
B' F' L F L U D2
B' F' L F L D U
B' F' L F L D' U
B' F' L F L D2 U
B' F' L F D L U
B' F' L F D' L U
B' F' L F D2 L U
B' F' L F' L F2 U
B' F' L F2 L F' U
F' B' L D F L U
F' B' L D' F L U
F' B' L D2 F L U
F' B' L F L U D
F' B' L F L U D'
F' B' L F L U D2
F' B' L F L D U
F' B' L F L D' U
F' B' L F L D2 U
F' B' L F D L U
F' B' L F D' L U
F' B' L F D2 L U
F' B' L F' L F2 U
F' B' L F2 L F' U
F2 B' L D F L U
B2 F' L F L B U
F2 B' L D' F L U
F2 B' L D2 F L U
F2 B' L F L U D
F2 B' L F L U D'
F2 B' L F L U D2
F2 B' L F L D U
D' B' U L' B L B'
F2 B' L F L D' U
F2 B' L F L D2 U
F2 B' L F D L U
F2 B' L F D' L U
F2 B' L F D2 L U
F2 B' L F' L F2 U
F2 B' L F2 L F' U
D2 B' U D B L B
R2 B' R2 L F L U
D' B' U D B L B2
D' B' U D' B L B2
D' B' U D2 B L B2
D2 B' U B L D B2
D2 B' U B D L B2
D2 B' U B' D B2 L
D' B' U B L B2 D
D' B' U B L B2 D'
D' B' U B L B2 D2
D' B' U B L' B2 L2
D' B' U B L2 B2 L'
D' B' U B' U2 R' U2
B F' L F L B2 U
B' F' L2 D F U L'
F B' L D F L U
F B' L D' F L U
F B' L D2 F L U
F B' L F L U D
F B' L F L U D'
F B' L F L U D2
F B' L F L D U
F B' L F L D' U
F B' L F L D2 U
F B' L F D L U
F B' L F D' L U
F B' L F D2 L U
F B' L F' L F2 U
D' B' U' F R U2 B'
F' B' L2 D F U L'
F B' L F2 L F' U
D' B' U' F' U2 B' L'
F2 B' L2 D F U L'
D B' U D2 B L B
D2 B' U2 R B R U'
D' B' U2 R B U' B2
D B' U B L D2 B2
D B' U B D2 L B2
D B' U B' D2 B2 L
D2 B' D L F U B2
D' B' U2 B2 U' B L
D B' U' F R F U2
L2 B' U2 D F U' L'
D2 B' D U B L B
F B' L2 D F U L'
D' B' D U B L B2
L2 B' D U2 F U' L'
D' B' D' U B L B2
D2 B' D2 L F L U
B' F' U D' B L B
D' B' D2 U B L B2
D B' D' L F L U
B' F' U B D' L B2
B' F' U B' D' B2 L
F' B' U D' B L B
F2 B' U D' B L B
F' B' U B D' L B2
F' B' U B' D' B2 L
F2 B' U B D' L B2
F2 B' U B' D' B2 L
D' B' F U B L B2
D B' D2 L F U B2
D B' D2 U B L B
U B' D' B2 L D' R2
U B' D' B2 D' L R2
U B' D' B2 D' R2 L
D' B' F' U B L B2
F B' U D' B L B
F B' U B D' L B2
F B' U B' D' B2 L
D B' F U' F R U2
D' B' F2 U B L B2
B' F' D' L F U B2
D B' F' U' F' U2 L'
D' B2 L F B U B'
B' F' D' U B L B
F' B' D' L F U B2
D' B2 L B F U B'
F2 B' D' L F U B2
F' B' D' U B L B
L' B2 L' U2 F B U'
L' B2 L' U2 B F U'
F2 B' D' U B L B
B2 F' D' B U B L
F B' D' L F U B2
B' F2 L D F L U
B' F2 L D' F L U
B' F2 L D2 F L U
B' F2 L F L U D
B' F2 L F L U D'
B' F2 L F L U D2
B' F2 L F L D U
B' F2 L F L D' U
B' F2 L F L D2 U
B' F2 L F D L U
B' F2 L F D' L U
B' F2 L F D2 L U
B' F2 L F' L F2 U
B' F2 L F2 L F' U
F B' D' U B L B
F' B2 L F L B U
B2 F2 L F L B U
F2 B2 L F L B U
B F2 L F L B2 U
B' F2 L2 D F U L'
F B2 L F L B U
B' F2 U D' B L B
B' F2 U B D' L B2
B' F2 U B' D' B2 L
L2 B2 U2 D F U' L'
D2 B2 D B U B L
L2 B2 D U2 F U' L'
B' F2 D' L F U B2
B' F2 D' U B L B
D B2 D2 B U B L
F' B2 D' B U B L
B2 F2 D' B U B L
F2 B2 D' B U B L
L B2 F U2 R' F' U'
F B2 D' B U B L
