U' L' B2 U B L
B U' F L B U
U' F L' B2 U B
U' F B2 L' U B'
B2 D2 F L' U F'
B F L B U F'
F B L B U F'
U' B2 F L' U B'
U' F L B2 U' F U2
U' F L' U D' R2 B'
U' F L' U D' B' R2
U' F L' D' U R2 B'
U' F L' D' U B' R2
U' F L' B2 L U B
U' F L' B2 L' U B
U' F L' B2 L2 U B
U' F L' B2 U D B
U' F L' B2 U D' B
U' F L' B2 U D2 B
U' F L' B2 U B D
U' F L' B2 U B D'
U' F L' B2 U B D2
U' F L' B2 D U B
U' F L' B2 D' U B
U' F L' B2 D2 U B
U' F L2 B2 L U B'
F2 U2 F' L' B2 U F'
F2 U2 F' B2 L' U F'
D' F U F' R B R
F2 U2 B2 F' L' U F'
D2 F U2 F R U' F2
U' F D' L' U R2 B'
U' F D' L' U B' R2
U' F B L' B U B2
R' F B L B U F'
D' F B L U F' R2
R2 F B L B U F'
U' F B2 L U' F U2
U' F B2 L' U D B'
U' F B2 L' U D' B'
U' F B2 L' U D2 B'
U' F B2 L' U B' D
U' F B2 L' U B' D'
U' F B2 L' U B' D2
U' F B2 L' D U B'
U' F B2 L' D' U B'
U' F B2 L' D2 U B'
U' F B2 U2 R U' B
U' F B2 D L' U B'
R F B L B U F'
U' F B2 D' L' U B'
U' F B2 D2 L' U B'
U' F' L' F2 B2 U B
B D U' F L B U
U' F' L' B2 F2 U B
B2 D F L U F' B'
B2 D F L U B' F'
B D F L B U F'
U2 F' U L' F2 B2 U
U2 F' U L' B2 F2 U
U2 F' U B2 L' F2 U
B2 D' R' F U F' B
B2 D' R' F U B F'
U' F' B2 L' F2 U B'
F D' U F' R B R
U' F2 L' F' B2 U B
B D' U' F L B U
U' F2 L' B2 F' U B
B D' F L B U F'
F D' B L U F' R2
D2 F2 U2 F' L' U F'
B2 D2 R F L' U F'
B2 D2 R' F L' U F'
U' F2 B2 L' F' U B'
B2 D2 R2 F L' U F'
L' B L F B U F'
L' B L B F U F'
B D2 U' F L B U
B2 D2 F L' U D F'
B2 D2 F L' U D' F'
B2 D2 F L' U D2 F'
B2 D2 F L' U F' D
B2 D2 F L' U F' D'
B2 D2 F L' U F' D2
B2 D2 F L' D U F'
B2 D2 F L' D' U F'
B2 D2 F L' D2 U F'
B2 D2 F D L' U F'
B2 D2 F D' L' U F'
B2 D2 F D2 L' U F'
B D2 F L B U F'
D' B R2 U' F L U
R' B U' F L B U
D' B U' F L U R2
F2 B L F' B U F'
R2 B U' F L B U
F2 B L B F' U F'
B F L D B U F'
B F L D' B U F'
B F L D2 B U F'
B F L B U D F'
B F L B U D' F'
B F L B U D2 F'
B F L B U F' D
B F L B U F' D'
B F L B U F' D2
B F L B D U F'
B F L B D' U F'
B F L B D2 U F'
F B L D B U F'
F B L D' B U F'
F B L D2 B U F'
R B U' F L B U
F B L B U D F'
F B L B U D' F'
F B L B U D2 F'
F B L B U F' D
F B L B U F' D'
F B L B U F' D2
F B L B D U F'
F B L B D' U F'
F B L B D2 U F'
B F L' B L2 U F'
F B L' B L2 U F'
B F L2 B L' U F'
U' B F L' B U B2
R' B F L B U F'
D' B F L U F' R2
F B L2 B L' U F'
R2 B F L B U F'
R B F L B U F'
B2 F D L U F' B'
B2 F D L U B' F'
L2 B' L2 R' F U' F'
B F D L B U F'
F B D L B U F'
B F D' L B U F'
L2 B' R' L2 F U' F'
F B D' L B U F'
B F D2 L B U F'
F B D2 L B U F'
U' B2 L' U B L B2
B F2 L F' B U F'
B F2 L B F' U F'
L2 B2 U B R' U' R
U' B2 D F L' U B'
U' B2 D' F L' U B'
U' B2 D2 F L' U B'
R' B2 D2 F L' U F'
U' B2 F L U' F U2
U' B2 F L' U D B'
U' B2 F L' U D' B'
U' B2 F L' U D2 B'
U' B2 F L' U B' D
U' B2 F L' U B' D'
U' B2 F L' U B' D2
U' B2 F L' D U B'
U' B2 F L' D' U B'
U' B2 F L' D2 U B'
U' B2 F U2 R U' B
U' B2 F D L' U B'
U' B2 F D' L' U B'
U' B2 F D2 L' U B'
U' B2 F' L' F2 U B'
R2 B2 D2 F L' U F'
U' B2 F2 L' F' U B'
F B2 D L U F' B'
F B2 D L U B' F'
R B2 D2 F L' U F'
