B U F L B2 U2
B U F B2 U2 R'
B U B2 F U2 R'
B' U2 R' D L2 B'
B' U2 D L2 R' B'
B' U2 D R' L2 B'
L2 F B' R' D L2
L2 F B' D L2 R'
L2 F B' D R' L2
B' D U2 L2 R' B'
B' D U2 R' L2 B'
B' D F U2 L2 R'
B' D F U2 R' L2
B' D' F R2 U2 R
L2 B U' F B2 R'
L2 B U' B2 R' F
L2 B U' B2 F R'
B' F U2 R' D L2
B' F U2 D L2 R'
B' F U2 D R' L2
B' F D U2 L2 R'
B' F D U2 R' L2
B' F D' R2 U2 R
L2 B' R' D F L2
L2 B' R' F D L2
L2 B' D R' F L2
L2 B' D F L2 R'
L2 B' D F R' L2
L2 B' F R' D L2
L2 B' F D L2 R'
L2 B' F D R' L2
F B' U2 R' D L2
F B' U2 D L2 R'
F B' U2 D R' L2
F B' D U2 L2 R'
F B' D U2 R' L2
F B' D' R2 U2 R
D' L2 B' F D R' L2
U2 L2 B' D F L2 R
U2 L2 B' D F R L2
D L2 B' D R' F L2
D L2 B' D F L2 R'
D L2 B' D F R' L2
U2 L2 B' F R D L2
U2 L2 B' F D L2 R
U2 L2 B' F D R L2
D L2 B' F R' D L2
D L2 B' F D L2 R'
D L2 B' F D R' L2
B R U F L B2 U2
B R U F B2 U2 R'
B R U B2 F U2 R'
L U B L U' B' R'
B' R U2 R2 D L2 B'
F R D B' U2 L R'
F R D B' U2 R' L
B' R F U' B2 U' R2
B' R F U2 R2 D L2
B R' U F L B2 U2
B R' U F B2 U2 R'
B R' U B2 F U2 R'
L2 U' B U' F R B2
L2 U' B U' F B2 R
L2 U' B U' B2 F R
B' R' D B L2 F B'
B' R' D B L2 B' F
B' R' D' R2 F U2 R2
B' R' D' F R2 U2 R2
B' R' F D' R2 U2 R2
L2 U2 F R D B' L
L2 U2 F B' R D L2
L2 U2 F B' D L2 R
L2 U2 F B' D R L2
B R2 U F L B2 U2
B R2 U F B2 U2 R'
B R2 U B2 F U2 R'
B' R2 U2 R D L2 B'
B' R2 U2 D L2 R B'
B' R2 U2 D L2 B' R
B' R2 U2 D R L2 B'
B' R2 D U2 L2 R B'
B' R2 D U2 L2 B' R
B' R2 D U2 R L2 B'
L2 U2 B' D F L2 R
L2 U2 B' D F R L2
L2 U2 B' F R D L2
L2 U2 B' F D L2 R
L2 U2 B' F D R L2
B' R2 D' R2 F U2 R'
R D L2 F B' L R'
R D L2 F B' R' L
R D L2 B' R' F L
R D L2 B' F L R'
R D L2 B' F R' L
F R2 B' U F' U R'
L2 D F B' R' D L2
L2 D F B' D L2 R'
L2 D F B' D R' L2
R D F B' U2 L R'
R D F B' U2 R' L
B U L2 B2 L' U2 B
L2 D B U' F B2 R'
L2 D B U' B2 R' F
L2 D B U' B2 F R'
L2 D B' R' D F L2
L2 D B' R' F D L2
L2 D B' D R' F L2
L2 D B' D F L2 R'
L2 D B' D F R' L2
L2 D B' F R' D L2
L2 D B' F D L2 R'
L2 D B' F D R' L2
R D B' F U2 L R'
R D B' F U2 R' L
B U F L U2 D2 F2
B U F L D2 U2 F2
B U F L B2 U2 D
B U F L B2 U2 D'
B U F L B2 U2 D2
B U F L B2 D U2
B U F L B2 D' U2
B U F L B2 D2 U2
B U F L' B2 L2 U2
B U F L2 B2 L' U2
B U F D2 L U2 F2
B U F B2 L U2 R'
B U F B2 L' U2 R'
B U F B2 L2 U2 R'
B U F B2 U2 R' D
B U F B2 U2 R' D'
B U F B2 U2 R' D2
B U F B2 U2 D R'
B U F B2 U2 D' R'
B U F B2 U2 D2 R'
B U F B2 D U2 R'
B U F B2 D' U2 R'
B U F B2 D2 U2 R'
B U F' L F2 B2 U2
B U F' L B2 F2 U2
R D' L2 F B' L' R'
R D' L2 F B' R' L'
R D' L2 B' R' F L'
R D' L2 B' F L' R'
R D' L2 B' F R' L'
B U F2 L F' B2 U2
B U F2 L B2 F' U2
B U B2 L2 U2 R' B'
B U B2 D F U2 R'
B U B2 D' F U2 R'
B U B2 D2 F U2 R'
B U B2 F L U2 R'
B U B2 F L' U2 R'
B U B2 F L2 U2 R'
B U B2 F U2 R' D
B U B2 F U2 R' D'
B U B2 F U2 R' D2
B U B2 F U2 D R'
B U B2 F U2 D' R'
B U B2 F U2 D2 R'
B U B2 F D U2 R'
B U B2 F D' U2 R'
B U B2 F D2 U2 R'
L2 D' F B' R' D L2
L2 D' F B' D L2 R'
L2 D' F B' D R' L2
R D' F B' U2 L' R'
R D' F B' U2 R' L'
L2 D' B U' F B2 R'
L2 D' B U' B2 R' F
L2 D' B U' B2 F R'
L2 D' B' R' D F L2
L2 D' B' R' F D L2
L2 D' B' D R' F L2
L2 D' B' D F L2 R'
L2 D' B' D F R' L2
L2 D' B' F R' D L2
L2 D' B' F D L2 R'
L2 D' B' F D R' L2
R D' B' F U2 L' R'
R D' B' F U2 R' L'
B U' F L B2 U2 L'
B U' F' D2 F2 B2 R'
B U' F' D2 B2 R' F2
B U' F' D2 B2 F2 R'
B' U' B2 U F L U2
B' U2 L2 R' D B' L2
B' U2 L2 D R' B' L2
L2 D2 F B' R' D L2
L2 D2 F B' D L2 R'
L2 D2 F B' D R' L2
B' U2 R' L2 D B' L2
B' U2 R' D L2 D B'
B' U2 R' D L2 D' B'
B' U2 R' D L2 D2 B'
B' U2 R' D L2 B' D
B' U2 R' D L2 B' D'
B' U2 R' D L2 B' D2
B' U2 R' D B L2 B'
B' U2 R' D B' L2 B'
B' U2 R' D B2 L2 B'
L2 D2 B U' F B2 R'
L2 D2 B U' B2 R' F
L2 D2 B U' B2 F R'
B' U2 R2 D L2 R B'
B' U2 R2 D L2 B' R
B' U2 R2 D R L2 B'
L2 D2 B' R' D F L2
L2 D2 B' R' F D L2
B' U2 D L2 R B' R2
B' U2 D L2 R' D B'
B' U2 D L2 R' D' B'
B' U2 D L2 R' D2 B'
B' U2 D L2 R' B' D
B' U2 D L2 R' B' D'
B' U2 D L2 R' B' D2
B' U2 D L2 R2 B' R
B' U2 D L2 D R' B'
B' U2 D L2 D' R' B'
B' U2 D L2 D2 R' B'
B' U2 D R L2 B' R2
B' U2 D R' L2 D B'
B' U2 D R' L2 D' B'
B' U2 D R' L2 D2 B'
B' U2 D R' L2 B' D
B' U2 D R' L2 B' D'
B' U2 D R' L2 B' D2
L2 D2 B' D R' F L2
L2 D2 B' D F L2 R'
L2 D2 B' D F R' L2
B' U2 D R' B L2 B'
B' U2 D R' B' L2 B'
B' U2 D R' B2 L2 B'
B' U2 D R2 L2 B' R
L2 D2 B' F R' D L2
L2 D2 B' F D L2 R'
L2 D2 B' F D R' L2
B' U2 D B L2 B' R'
B' U2 D2 R' D' L2 B'
L2 F R D B' L R'
L2 F R D B' R' L
B' D L U2 L R' B'
B' D L U2 R' L B'
B' D L2 R B' R2 F'
R2 F U2 D' L2 F R
R2 F D R2 B' U2 R'
L2 F D B' R' D L2
B' D R L2 B' R2 F'
L2 F D B' D L2 R'
L2 F D B' D R' L2
B' D R U2 L2 R2 B'
B' D R U2 L2 B' R2
B' D R U2 R2 L2 B'
R2 F D B' R2 U2 R
B' D R F U2 L2 R2
B' D R F U2 R2 L2
B D L2 F2 U' R B'
B D L2 F2 U' B' R
L2 F D' B' R' D L2
R2 F D' U2 L2 F R
L2 F D' B' D L2 R'
L2 F D' B' D R' L2
R F D B' U2 L R'
R F D B' U2 R' L
R2 F D' B' U2 L2 R'
R2 F D' B' U2 R' L2
B' D R' B L2 F B'
B' D R' B L2 B' F
L2 F D2 B' R' D L2
L2 F D2 B' D L2 R'
L2 F D2 B' D R' L2
B' D R2 U2 L2 R B'
B' D R2 U2 L2 B' R
B' D R2 U2 R L2 B'
D' F B' U2 R' D L2
D' F B' U2 D L2 R'
D' F B' U2 D R' L2
D2 F B' U2 R' D L2
D2 F B' U2 D L2 R'
D2 F B' U2 D R' L2
D' F B' D U2 L2 R'
D' F B' D U2 R' L2
D2 F B' D U2 L2 R'
D2 F B' D U2 R' L2
D' F B' D' R2 U2 R
D2 F B' D' R2 U2 R
L2 F B' L R' D L2
L2 F B' L D L2 R'
L2 F B' L D R' L2
L2 F B' L' R' D L2
L2 F B' L' D L2 R'
L2 F B' L' D R' L2
L2 F B' L2 R' D L2
L2 F B' L2 D L2 R'
L2 F B' L2 D R' L2
L2 F B' R' L D L2
L2 F B' R' L' D L2
L2 F B' R' L2 D L2
L2 F B' R' U B2 U'
L2 F B' R' D L2 D
L2 F B' R' D L2 D'
L2 F B' R' D L2 D2
L2 F B' R2 D L2 R
L2 F B' R2 D R L2
U2 F B' U' B2 U' R
U2 F B' U2 R D L2
U2 F B' U2 D L2 R
U2 F B' U2 D R L2
L2 F B' D L2 R' D
L2 F B' D L2 R' D'
L2 F B' D L2 R' D2
L2 F B' D L2 D R'
L2 F B' D L2 D' R'
L2 F B' D L2 D2 R'
L2 F B' D R' L2 D
L2 F B' D R' L2 D'
L2 F B' D R' L2 D2
U2 F B' D U2 L2 R
U2 F B' D U2 R L2
U2 F B' D' R2 U2 R'
L2 F B' D2 R' D' L2
R2 F B' U F2 U R'
R2 F B' U2 R' D' L2
R2 F B' U2 D' L2 R'
R2 F B' U2 D' R' L2
R2 F B' D R2 U2 R
R2 F B' D' U2 L2 R'
R2 F B' D' U2 R' L2
D F B' U2 R' D L2
D F B' U2 D L2 R'
D F B' U2 D R' L2
D F B' D U2 L2 R'
D F B' D U2 R' L2
D F B' D' R2 U2 R
B' D U2 L2 R B' R2
B' D U2 L2 R' D B'
B' D U2 L2 R' D' B'
B' D U2 L2 R' D2 B'
B' D U2 L2 R' B' D
B' D U2 L2 R' B' D'
B' D U2 L2 R' B' D2
B' D U2 L2 R2 B' R
B' D U2 L2 D R' B'
B' D U2 L2 D' R' B'
B' D U2 L2 D2 R' B'
B' D U2 R L2 B' R2
B' D U2 R' L2 D B'
B' D U2 R' L2 D' B'
B' D U2 R' L2 D2 B'
B' D U2 R' L2 B' D
B' D U2 R' L2 B' D'
B' D U2 R' L2 B' D2
B' D U2 R' B L2 B'
B' D U2 R' B' L2 B'
B' D U2 R' B2 L2 B'
B' D U2 R2 L2 B' R
B' D U2 B L2 B' R'
B' D F L U2 L R'
B' D F L U2 R' L
B' D F L' U2 L' R'
B' D F L' U2 R' L'
B' D F R U2 L2 R2
B' D F R U2 R2 L2
B' D F R2 U2 L2 R
B' D F R2 U2 R L2
B' D F U2 L2 R' D
B' D F U2 L2 R' D'
B' D F U2 L2 R' D2
B' D F U2 L2 D R'
B' D F U2 L2 D' R'
B' D F U2 L2 D2 R'
B' D F U2 R' L2 D
B' D F U2 R' L2 D'
B' D F U2 R' L2 D2
B' D F D2 R2 U2 R
B' D B L2 F B' R'
B' D B L2 B' R' F
B' D B L2 B' F R'
F D B' U2 R' D L2
F D B' U2 D L2 R'
F D B' U2 D R' L2
F D B' D U2 L2 R'
F D B' D U2 R' L2
F D B' D' R2 U2 R
B' D' L' R2 U2 R B
B' D' L2 R2 U2 R B'
B' D' L2 R2 U2 B' R
B' D' R' F R' U2 R
B' D' R2 L' U2 R B
B' D' R2 L2 U2 R B'
B' D' R2 L2 U2 B' R
B' D' R2 F2 L' F' U2
L2 F' B U' F2 B2 R'
L2 F' B U' B2 R' F2
L2 F' B U' B2 F2 R'
L2 F' B' R' F2 D L2
B' D' F L R2 U2 R
B' D' F L' R2 U2 R
B' D' F L2 R2 U2 R
B' D' F R2 L U2 R
B' D' F R2 L' U2 R
B' D' F R2 L2 U2 R
B' D' F R2 U2 R D
B' D' F R2 U2 R D'
B' D' F R2 U2 R D2
B' D' F R2 U2 D R
B' D' F R2 U2 D' R
B' D' F R2 U2 D2 R
B' D' F R2 D U2 R
B' D' F R2 D' U2 R
B' D' F R2 D2 U2 R
B' D' F U2 D2 L2 R'
B' D' F U2 D2 R' L2
B' D' F D2 U2 L2 R'
B' D' F D2 U2 R' L2
B' D' F' R2 F2 L' U2
B' D' F2 R2 U2 B R
F D' B' U2 R' D L2
F D' B' U2 D L2 R'
F D' B' U2 D R' L2
F D' B' D U2 L2 R'
F D' B' D U2 R' L2
F D' B' D' R2 U2 R
B D2 L2 U' F2 R B'
B D2 L2 U' F2 B' R
B D2 L2 U' B' F2 R
L2 F2 B U' F' B2 R'
L2 F2 B U' B2 F' R'
L2 F2 B' D L2 F' R'
L2 F2 B' D F' L2 R'
L2 F2 B' D F' R' L2
B' D2 U2 R' D' L2 B'
B' D2 F U F U R'
L2 B R U' F B2 R'
L2 B R U' B2 R' F
L2 B R U' B2 F R'
L2 B R' U' F B2 R'
L2 B R' U' B2 R' F
L2 B R' U' B2 F R'
L2 B R2 U' F B2 R'
L2 B R2 U' B2 R' F
L2 B R2 U' B2 F R'
D2 B U F L B2 U2
D2 B U F B2 U2 R'
D' B U F L B2 U2
D' B U F B2 U2 R'
D2 B U B2 F U2 R'
D' B U B2 F U2 R'
B' F L U2 R' D L2
B' F L U2 D L2 R'
B' F L U2 D R' L2
B' F L D U2 L2 R'
B' F L D U2 R' L2
B' F L D' R2 U2 R
F D2 B' U2 R' D L2
F D2 B' U2 D L2 R'
F D2 B' U2 D R' L2
F D2 B' D U2 L2 R'
F D2 B' D U2 R' L2
D B U F L B2 U2
L2 B U' R F B2 R'
F D2 B' D' R2 U2 R
L2 B U' R B2 R' F
L2 B U' R B2 F R'
D B U F B2 U2 R'
L2 B U' R' F B2 R'
L2 B U' R' B2 R' F
L2 B U' R' B2 F R'
L2 B U' R2 F B2 R'
L2 B U' R2 B2 R' F
L2 B U' R2 B2 F R'
L2 B U' F R B2 R'
L2 B U' F R' B2 R'
L2 B U' F R2 B2 R'
D B U B2 F U2 R'
L2 B U' F B2 R' D
L2 B U' F B2 R' D'
L2 B U' F B2 R' D2
L2 B U' F B2 D R'
L2 B U' F B2 D' R'
L2 B U' F B2 D2 R'
L2 B U' F' B2 R' F2
B' F L' U2 R' D L2
B' F L' U2 D L2 R'
B' F L' U2 D R' L2
B' F L' D U2 L2 R'
B' F L' D U2 R' L2
U B U F B2 U2 R
L2 B U' B2 R F R2
L2 B U' B2 R' D F
L2 B U' B2 R' D' F
L2 B U' B2 R' D2 F
L2 B U' B2 R' F D
L2 B U' B2 R' F D'
L2 B U' B2 R' F D2
B' F L' D' R2 U2 R
L2 B U' B2 D R' F
L2 B U' B2 D F R'
L2 B U' B2 D' R' F
L2 B U' B2 D' F R'
L2 B U' B2 D2 R' F
L2 B U' B2 D2 F R'
L2 B U' B2 F R' D
L2 B U' B2 F R' D'
L2 B U' B2 F R' D2
L2 B U' B2 F D R'
L2 B U' B2 F D' R'
L2 B U' B2 F D2 R'
L2 B U' B2 F' R' F2
U B U B2 F U2 R
B' F L2 U2 R' D L2
B' F L2 U2 D L2 R'
B' F L2 U2 D R' L2
B' F L2 D U2 L2 R'
B' F L2 D U2 R' L2
B' F L2 D' R2 U2 R
B F L B2 U' B2 U'
B F L B2 U2 D L2
B F L B2 D U2 L2
B F L B2 D' R2 U2
F B L B2 U' B2 U'
F B L B2 U2 D L2
F B L B2 D U2 L2
F B L B2 D' R2 U2
B' F R U' B2 U' R2
B' F R U2 R2 D L2
U B D L2 U' B' R'
B' F R' D' R2 U2 R2
B' F R2 U' B2 U' R
B' F R2 U2 R D L2
B' F R2 U2 D L2 R
B' F R2 U2 D R L2
B' F R2 D U2 L2 R
B' F R2 D U2 R L2
B' F R2 D' R2 U2 R'
F' B U L F2 B2 U2
F' B U L B2 F2 U2
B' F U D2 F2 U R'
F2 B U L F' B2 U2
F2 B U L B2 F' U2
L2 B F' U' F2 B2 R'
L2 B F' U' B2 R' F2
L2 B F' U' B2 F2 R'
F' B U F2 L B2 U2
F' B U F2 B2 U2 R'
F2 B U F' L B2 U2
F' B U B2 F2 U2 R'
F2 B U F' B2 U2 R'
L2 B F2 U' F' B2 R'
L2 B F2 U' B2 F' R'
F2 B U B2 F' U2 R'
F' B U' D2 F2 B2 R'
B' F U' B2 U L U2
F' B U' D2 B2 R' F2
F' B U' D2 B2 F2 R'
B' F U2 L R' D L2
B' F U2 L D L2 R'
B' F U2 L D R' L2
B' F U2 L' R' D L2
B' F U2 L' D L2 R'
B' F U2 L' D R' L2
B' F U2 L2 R' D L2
B' F U2 L2 D L2 R'
B' F U2 L2 D R' L2
B' F U2 R' L D L2
B' F U2 R' L' D L2
B' F U2 R' L2 D L2
B' F U2 R' U B2 U'
B' F U2 R' D L2 D
B' F U2 R' D L2 D'
B' F U2 R' D L2 D2
B' F U2 R2 D L2 R
B' F U2 R2 D R L2
B' F U2 D L2 R' D
B' F U2 D L2 R' D'
B' F U2 D L2 R' D2
B' F U2 D L2 D R'
B' F U2 D L2 D' R'
B' F U2 D L2 D2 R'
B' F U2 D R' L2 D
B' F U2 D R' L2 D'
B' F U2 D R' L2 D2
B' F U2 D2 R' D' L2
B' F D L U2 L R'
B' F D L U2 R' L
B' F D L' U2 L' R'
B' F D L' U2 R' L'
B' F D R U2 L2 R2
B' F D R U2 R2 L2
B' F D R2 U2 L2 R
B' F D R2 U2 R L2
B' F D U2 L2 R' D
B' F D U2 L2 R' D'
B' F D U2 L2 R' D2
B' F D U2 L2 D R'
B' F D U2 L2 D' R'
B' F D U2 L2 D2 R'
B' F D U2 R' L2 D
B' F D U2 R' L2 D'
B' F D U2 R' L2 D2
B' F D' L R2 U2 R
L2 B' L2 R' D L2 F
B' F D' L' R2 U2 R
B' F D' L2 R2 U2 R
B' F D' R2 L U2 R
B' F D' R2 L' U2 R
L2 B' L2 D L2 R' F
B' F D' R2 L2 U2 R
L2 B' L2 D L2 F R'
L2 B' L2 D R' L2 F
B' F D' R2 U2 R D
B' F D' R2 U2 R D'
B' F D' R2 U2 R D2
B' F D' R2 U2 D R
B' F D' R2 U2 D' R
B' F D' R2 U2 D2 R
B' F D' R2 D U2 R
B' F D' R2 D' U2 R
B' F D' R2 D2 U2 R
B' F D2 U F2 U R'
B' F D2 U2 R' D' L2
L2 B' R F R2 D L2
F' B D2 U' F2 B2 R'
F' B D2 U' B2 R' F2
F' B D2 U' B2 F2 R'
L2 B' R' L2 D L2 F
L2 B' R' U B2 U' F
L2 B' R' D F L2 D
L2 B' R' D F L2 D'
L2 B' R' D F L2 D2
L2 B' R' D F' L2 F2
L2 B' R' D F2 L2 F'
L2 B' R' D' F D2 L2
L2 B' R' F L D L2
L2 B' R' F L' D L2
L2 B' R' F L2 D L2
L2 B' R' F U B2 U'
L2 B' R' F D L2 D
L2 B' R' F D L2 D'
L2 B' R' F D L2 D2
L2 B' R' F2 D L2 F'
L2 B' R' F2 D F' L2
L2 B' R2 D R F L2
F B' L U2 R' D L2
F B' L U2 D L2 R'
F B' L U2 D R' L2
F B' L D U2 L2 R'
F B' L D U2 R' L2
F B' L D' R2 U2 R
D2 B' U2 R' D L2 B'
F B' L' U2 R' D L2
D2 B' U2 D L2 R' B'
F B' L' U2 D L2 R'
F B' L' U2 D R' L2
D2 B' U2 D R' L2 B'
D' B' U2 R' D L2 B'
F B' L' D U2 L2 R'
F B' L' D U2 R' L2
F B' L' D' R2 U2 R
D' B' U2 D L2 R' B'
D' B' U2 D R' L2 B'
U2 B' U2 D L2 B' R'
F B' L2 U2 R' D L2
F B' L2 U2 D L2 R'
F B' L2 U2 D R' L2
F B' L2 D U2 L2 R'
F B' L2 D U2 R' L2
D2 B' D U2 L2 R' B'
D2 B' D U2 R' L2 B'
F B' L2 D' R2 U2 R
D2 B' D F U2 L2 R'
D2 B' D F U2 R' L2
D' B' D U2 L2 R' B'
D' B' D U2 R' L2 B'
D' B' D F U2 L2 R'
D' B' D F U2 R' L2
D B' U2 R' D L2 B'
D B' U2 D L2 R' B'
D B' U2 D R' L2 B'
L2 B' D R F L2 R2
L2 B' D R F R2 L2
L2 B' D R' F L2 D
L2 B' D R' F L2 D'
L2 B' D R' F L2 D2
L2 B' D R' F' L2 F2
L2 B' D R' F2 L2 F'
F B' R U' B2 U' R2
F B' R U2 R2 D L2
U2 B' D U2 L2 B' R'
L2 B' D F L2 R' D
L2 B' D F L2 R' D'
L2 B' D F L2 R' D2
L2 B' D F L2 D R'
L2 B' D F L2 D' R'
L2 B' D F L2 D2 R'
L2 B' D F R' L2 D
L2 B' D F R' L2 D'
L2 B' D F R' L2 D2
U2 B' D F U2 L2 R
U2 B' D F U2 R L2
L2 B' D F' L2 R' F2
L2 B' D F' L2 F2 R'
L2 B' D F' R' L2 F2
L2 B' D F' R' F2 L2
D2 B' D' F R2 U2 R
L2 B' D F2 L2 F' R'
D' B' D' F R2 U2 R
D B' D U2 L2 R' B'
D B' D U2 R' L2 B'
D B' D F U2 L2 R'
D B' D F U2 R' L2
U2 B' D' R2 F U2 R
L2 B' D' F D2 L2 R'
L2 B' D' F D2 R' L2
U2 B' D' F R2 U2 R'
F B' R' D' R2 U2 R2
L2 B' D2 R' D' F L2
D B' D' F R2 U2 R
F B' R2 U' B2 U' R
F B' R2 U2 R D L2
F B' R2 U2 D L2 R
F B' R2 U2 D R L2
F B' R2 D U2 L2 R
F B' R2 D U2 R L2
D2 B' F U2 R' D L2
D2 B' F U2 D L2 R'
D2 B' F U2 D R' L2
F B' R2 D' R2 U2 R'
B F' U L F2 B2 U2
B F' U L B2 F2 U2
D2 B' F D U2 L2 R'
D2 B' F D U2 R' L2
D2 B' F D' R2 U2 R
D' B' F U2 R' D L2
D' B' F U2 D L2 R'
D' B' F U2 D R' L2
D' B' F D U2 L2 R'
D' B' F D U2 R' L2
D' B' F D' R2 U2 R
L2 B' F L R' D L2
L2 B' F L D L2 R'
L2 B' F L D R' L2
L2 B' F L' R' D L2
L2 B' F L' D L2 R'
L2 B' F L' D R' L2
L2 B' F L2 R' D L2
L2 B' F L2 D L2 R'
L2 B' F L2 D R' L2
L2 B' F R' L D L2
L2 B' F R' L' D L2
L2 B' F R' L2 D L2
L2 B' F R' U B2 U'
L2 B' F R' D L2 D
L2 B' F R' D L2 D'
L2 B' F R' D L2 D2
L2 B' F R2 D L2 R
L2 B' F R2 D R L2
B F' U F2 L B2 U2
B F' U F2 B2 U2 R'
R B' D' F U2 L' R'
R B' D' F U2 R' L'
U2 B' F U' B2 U' R
U2 B' F U2 R D L2
U2 B' F U2 D L2 R
U2 B' F U2 D R L2
L2 B' F D L2 R' D
L2 B' F D L2 R' D'
L2 B' F D L2 R' D2
L2 B' F D L2 D R'
L2 B' F D L2 D' R'
L2 B' F D L2 D2 R'
L2 B' F D R' L2 D
L2 B' F D R' L2 D'
L2 B' F D R' L2 D2
B F' U B2 F2 U2 R'
U2 B' F D U2 L2 R
U2 B' F D U2 R L2
U2 B' F D' R2 U2 R'
U2 B' F D' R2 U2 R'
L2 B' F D2 R' D' L2
F B' U D2 F2 U R'
R2 B' F U F2 U R'
R2 B' F U2 R' D' L2
R2 B' F U2 D' L2 R'
R2 B' F U2 D' R' L2
L2 B' F' R' F2 D L2
R2 B' F D R2 U2 R
B F' U' D2 F2 B2 R'
B F' U' D2 B2 R' F2
B F' U' D2 B2 F2 R'
R2 B' F D' U2 L2 R'
R2 B' F D' U2 R' L2
D B' F U2 R' D L2
D B' F U2 D L2 R'
D B' F U2 D R' L2
D B' F D U2 L2 R'
D B' F D U2 R' L2
D B' F D' R2 U2 R
D B' F D' R2 U2 R
F B' U' B2 U L U2
F B' U2 L R' D L2
F B' U2 L D L2 R'
F B' U2 L D R' L2
L2 B' F2 D L2 F' R'
F B' U2 L' R' D L2
L2 B' F2 D F' L2 R'
L2 B' F2 D F' R' L2
F B' U2 L' D L2 R'
F B' U2 L' D R' L2
F B' U2 L2 R' D L2
F B' U2 L2 D L2 R'
F B' U2 L2 D R' L2
F2 B' D F' U2 L2 R'
F2 B' D F' U2 R' L2
F B' U2 R' L D L2
F B' U2 R' L' D L2
F B' U2 R' L2 D L2
F B' U2 R' U B2 U'
F B' U2 R' D L2 D
F B' U2 R' D L2 D'
F B' U2 R' D L2 D2
