F' L' B' U F' B'
F' L' B' U B' F'
F' U F' B' R' B'
F' U B' F' R' B'
F' U B2 D2 F' R
F2 U' F U R B2
F2 U' F U B2 R
L' F' B' U F' B'
L' F' B' U B' F'
L' B' F' U F' B'
L' B' F' U B' F'
F' B' U F' B' R'
F' B' U B' F' R'
B' F' U F' B' R'
B' F' U B' F' R'
F2 B2 U' F U R
B2 F2 U' F U R
R2 B F U' B F R
F' B U F' B' R' B2
F' B U B' F' R' B2
F2 B U' F U B R
B2 F U' F2 U F' R
U B' R' F2 D B' L
B2 F' L' B' U F' B
B2 F' L' B' U B F'
B F' L' B' U F' B2
B F' L' B' U B2 F'
L' B' D F' R2 U B'
B' F' U R B' R' F'
B' F' U D F' B' R'
B' F' U D B' F' R'
B' F' U D' F' B' R'
B' F' U D' B' F' R'
B' F' U D2 F' B' R'
B' F' U D2 B' F' R'
B' F' U F B' R' F2
B' F' U F' R B' R'
B' F' U F' R' B' R'
B' F' U F' R2 B' R'
F' B' U R B' R' F'
B' F' U F' D B' R'
B' F' U F' D' B' R'
B' F' U F' D2 B' R'
B' F' U F' B' R' D
B' F' U F' B' R' D'
B' F' U F' B' R' D2
B' F' U F' B' D R'
B' F' U F' B' D' R'
B' F' U F' B' D2 R'
B' F' U F2 B' R' F
F' B' U D F' B' R'
F' B' U D B' F' R'
B' F' U B' D F' R'
B' F' U B' D' F' R'
B' F' U B' D2 F' R'
B' F' U B' F R' F2
B' F' U B' F' R' D
B' F' U B' F' R' D'
B' F' U B' F' R' D2
B' F' U B' F' D R'
B' F' U B' F' D' R'
B' F' U B' F' D2 R'
B' F' U B' F2 R' F
F' B' U D' F' B' R'
F' B' U D' B' F' R'
F' B' U D2 F' B' R'
F' B' U D2 B' F' R'
F' B' U F B' R' F2
F' B' U F' R B' R'
F' B' U F' R' B' R'
F' B' U F' R2 B' R'
F' B' U F' D B' R'
F' B' U F' D' B' R'
F' B' U F' D2 B' R'
F' B' U F' B' R' D
F' B' U F' B' R' D'
F' B' U F' B' R' D2
F' B' U F' B' D R'
F' B' U F' B' D' R'
F' B' U F' B' D2 R'
F' B' U F2 B' R' F
F' B' U B' D F' R'
F' B' U B' D' F' R'
F' B' U B' D2 F' R'
F' B' U B' F R' F2
F' B' U B' F' R' D
F' B' U B' F' R' D'
F' B' U B' F' R' D2
F' B' U B' F' D R'
F' B' U B' F' D' R'
F' B' U B' F' D2 R'
F' B' U B' F2 R' F
B F' U F' B' R' B2
F2 B' U' F U R B'
F2 B' U' F U B' R
B F' U B' F' R' B2
L' B' F' U D F' B'
L' B' F' U D B' F'
L' B' F' U D' F' B'
L' B' F' U D' B' F'
L' B' F' U D2 F' B'
L' B' F' U D2 B' F'
L' B' F' U F' D B'
L' B' F' U F' D' B'
L' B' F' U F' D2 B'
L' B' F' U F' B' D
L' B' F' U F' B' D'
L' B' F' U F' B' D2
L' B' F' U B' D F'
L' B' F' U B' D' F'
L' B' F' U B' D2 F'
L' B' F' U B' F' D
L' B' F' U B' F' D'
L' B' F' U B' F' D2
L' B' F' D U F' B'
L' B' F' D U B' F'
L' B' F' D' U F' B'
L' B' F' D' U B' F'
L' B' F' D2 U F' B'
L' B' F' D2 U B' F'
B' F' D U F' B' R'
B' F' D U B' F' R'
F' B' D U F' B' R'
F' B' D U B' F' R'
B' F' D' U F' B' R'
B' F' D' U B' F' R'
U B' F' U F' R' B'
F' B' D' U F' B' R'
F' B' D' U B' F' R'
B' F' D2 U F' B' R'
B' F' D2 U B' F' R'
F' B' D2 U F' B' R'
F' B' D2 U B' F' R'
F' B2 L' B' U F' B
F' B2 L' B' U B F'
B2 F2 R U' F U R
F2 B2 R U' F U R
B2 F2 R' U' F U R
F2 B2 R' U' F U R
L' B2 U' F' B U F'
L' B2 U' B F' U F'
B2 F2 R2 U' F U R
R2 B2 U B' U' R' F2
R2 B2 U B' U' F2 R'
F2 B2 R2 U' F U R
B' F2 U' F U R B'
B' F2 U' F U B' R
B2 F2 U' D F U R
B2 F2 U' D' F U R
B2 F2 U' D2 F U R
F2 B2 U' D F U R
B2 F2 U' F U R D
B2 F2 U' F U R D'
B2 F2 U' F U R D2
B2 F2 U' F U D R
B2 F2 U' F U D' R
B2 F2 U' F U D2 R
B2 F2 U' F D U R
B2 F2 U' F D' U R
B2 F2 U' F D2 U R
B2 F2 U' F B U R
B2 F2 U' F B' U R
B2 F2 U' F B2 U R
F2 B2 U' D' F U R
F2 B2 U' D2 F U R
F2 B2 U' F U R D
F2 B2 U' F U R D'
F2 B2 U' F U R D2
F2 B2 U' F U D R
F2 B2 U' F U D' R
F2 B2 U' F U D2 R
F2 B2 U' F D U R
F2 B2 U' F D' U R
F2 B2 U' F D2 U R
F2 B2 U' F B U R
F2 B2 U' F B' U R
F2 B2 U' F B2 U R
B2 F2 U' B F U R
B2 F2 U' B' F U R
B2 F2 U' B2 F U R
F2 B2 U' B F U R
F2 B2 U' B' F U R
F2 B2 U' B2 F U R
B F2 U' F U B R
U' B2 F R D' F L2
U' B2 F D' R F L2
F B2 U' F2 U F' R
B2 F2 D U' F U R
F2 B2 D U' F U R
B2 F2 D' U' F U R
F2 B2 D' U' F U R
L' B2 F2 U' F B U
L' B2 F2 U' B F U
B2 F2 D2 U' F U R
F2 B2 D2 U' F U R
R2 B2 F2 U B' U' R'
