U L B' L F
U' B' U2 L B'
U L F B' L F
U L F' B' L F
U L F2 B' L F
U L B' L D F
U L B' L D' F
U L B' L D2 F
U L B' L F D
U L B' L F D'
U L B' L F D2
B' L B' D' R2 F'
U L B' D L F
U L B' D' L F
U L B' D2 L F
U L B' F L F
U L B' F' L F
U L B' F2 L F
D L' F L' U F
R' U L B' L F
R2 U L B' L F
R U L B' L F
U L2 D2 F L' B'
L' U L2 B' L F
U L2 F L' B' L
U' R B' U2 L B'
R' U' B' U2 L B'
R2 U' B' U2 L B'
R U' B' U2 L B'
U' R' B' U2 L B'
U' R2 B' U2 L B'
F' U L B' L F
F2 U L B' L F
F U L B' L F
F' U' B' U2 L B'
F2 U' B' U2 L B'
F U' B' U2 L B'
B' U2 L B' D' R2
U F L B' L F
U' F B' U2 L B'
U F' L B' L F
U' F' B' U2 L B'
U F2 L B' L F
U' F2 B' U2 L B'
U' B' R U2 L B'
U' B' R' U2 L B'
U' B' R2 U2 L B'
U' B' U2 L D B'
U' B' U2 L D' B'
U' B' U2 L D2 B'
U' B' U2 L B' D
U' B' U2 L B' D'
U' B' U2 L B' D2
U' B' F U2 L B'
U' B' F' U2 L B'
U' B' F2 U2 L B'
F' L' U L2 B' L F
F2 L' U L2 B' L F
F L' U L2 B' L F
B' L' U B U L2 B'
U2 L' U' L2 B' L F
B' L' U2 L2 B' D' R2
U' L' F L B' U2 L
D L' F L' R U F
D L' F L' R' U F
D L' F L' R2 U F
D L' F L' U D F
D L' F L' U D' F
D L' F L' U D2 F
D L' F L' U F D
D L' F L' U F D'
D L' F L' U F D2
D L' F L' D U F
D L' F L' D' U F
D L' F L' D2 U F
D L' F R L' U F
B' L' F U B U L2
D L' F R' L' U F
D L' F R2 L' U F
L' R2 U L2 B' L F
B' L' B U L2 F B'
B' L' B U L2 B' F
D2 L2 R' U F L' B
D2 L2 R' U F B L'
D2 L2 R' U B F L'
B' L2 U B L U L2
R' U L F B' L F
R' U L F' B' L F
R' U L F2 B' L F
R' U L B' L D F
R' U L B' L D' F
R' U L B' L D2 F
R' U L B' L F D
R' U L B' L F D'
R' U L B' L F D2
R' U L B' D L F
R' U L B' D' L F
R' U L B' D2 L F
R' U L B' F L F
R' U L B' F' L F
R' U L B' F2 L F
U' L2 D2 R2 F L' B'
R2 U L F B' L F
R2 U L F' B' L F
U' L2 D2 F L' R2 B'
U' L2 D2 F L' B' R2
U' L2 D2 F R2 L' B'
R2 U L F2 B' L F
R2 U L B' L D F
R2 U L B' L D' F
R2 U L B' L D2 F
R2 U L B' L F D
R2 U L B' L F D'
R2 U L B' L F D2
R U L F B' L F
R2 U L B' D L F
R2 U L B' D' L F
R2 U L B' D2 L F
R2 U L B' F L F
R2 U L B' F' L F
R2 U L B' F2 L F
R U L F' B' L F
R U L F2 B' L F
L' U L' D2 F L' B'
R U L B' L D F
R U L B' L D' F
R U L B' L D2 F
R U L B' L F D
R U L B' L F D'
R U L B' L F D2
L' U L' F L' B' L
R U L B' D L F
R U L B' D' L F
R U L B' D2 L F
R U L B' F L F
R U L B' F' L F
R U L B' F2 L F
U L2 D2 F L' D B'
U L2 D2 F L' D' B'
U L2 D2 F L' D2 B'
U L2 D2 F L' B' D
U L2 D2 F L' B' D'
U L2 D2 F L' B' D2
U L2 D2 F D L' B'
U L2 D2 F D' L' B'
U L2 D2 F D2 L' B'
U L2 D2 F B L' B'
U L2 D2 F B' L' B'
U L2 D2 F B2 L' B'
U L2 D2 B F L' B'
U L2 D2 B' F L' B'
U L2 D2 B2 F L' B'
U L2 F L' B' L D
U L2 F L' B' L D'
U L2 F L' B' L D2
U L2 F L' B' D L
U L2 F L' B' D' L
U L2 F L' B' D2 L
R' U L2 D2 F L' B'
U L2 F L2 B' L B'
R' U L2 F L' B' L
L' U L2 F B' L F
L' U L2 F' B' L F
L' U L2 F2 B' L F
L' U L2 B' L D F
L' U L2 B' L D' F
L' U L2 B' L D2 F
L' U L2 B' L F D
L' U L2 B' L F D'
L' U L2 B' L F D2
L' U L2 B' D L F
L' U L2 B' D' L F
L' U L2 B' D2 L F
L' U L2 B' F L F
L' U L2 B' F' L F
L' U L2 B' F2 L F
R2 U L2 D2 F L' B'
R2 U L2 F L' B' L
U L2 F B' L' B' L2
R U L2 D2 F L' B'
R U L2 F L' B' L
U L2 F' L' F2 B' L
U L2 F' L' B' L F2
U L2 F' L' B' F2 L
U L2 F2 L' F' B' L
U L2 F2 L' B' L F'
U L2 F2 L' B' F' L
U L2 B' F L' B' L2
R' U F L B' L F
R2 U F L B' L F
D R L' F L' U F
R U F L B' L F
R' U F' L B' L F
R2 U F' L B' L F
F' R U L B' L F
F2 R U L B' L F
R U F' L B' L F
R' U F2 L B' L F
F R U L B' L F
R2 U F2 L B' L F
U2 R U B' U2 L B'
R U F2 L B' L F
U2 R U' L B' L F
D2 R U' F' R B' U2
D2 R U' F' B' R U2
D2 R U' B' F' R U2
F' R U' B' U2 L B'
U' R U2 L B' L F
F2 R U' B' U2 L B'
F R U' B' U2 L B'
L U B' L U' R' U
L U B' U' R' U L
U' R F B' U2 L B'
U' R F' B' U2 L B'
R' U' R B' U2 L B'
R2 U' R B' U2 L B'
U' R F2 B' U2 L B'
R U' R B' U2 L B'
R' U' R' B' U2 L B'
R2 U' R' B' U2 L B'
R' U' R2 B' U2 L B'
R U' R' B' U2 L B'
U' R B' R U2 L B'
U' R B' R' U2 L B'
U' R B' R2 U2 L B'
U' R B' U2 L D B'
U' R B' U2 L D' B'
U' R B' U2 L D2 B'
U' R B' U2 L B' D
U' R B' U2 L B' D'
U' R B' U2 L B' D2
R2 U' R2 B' U2 L B'
U' R B' F U2 L B'
U' R B' F' U2 L B'
U' R B' F2 U2 L B'
R U' R2 B' U2 L B'
U R' L B' L R F
U R' L B' R L F
D2 R' L2 U F L' B
D2 R' L2 U F B L'
D2 R' L2 U B F L'
R' U' F B' U2 L B'
D R' L' F L' U F
R2 U' F B' U2 L B'
D2 R' U L2 F L' B
D2 R' U L2 F B L'
D2 R' U L2 B F L'
F' R' U L B' L F
R' U' F' B' U2 L B'
R U' F B' U2 L B'
F2 R' U L B' L F
F R' U L B' L F
R2 U' F' B' U2 L B'
R' U' F2 B' U2 L B'
U2 R' U B' U2 L B'
R U' F' B' U2 L B'
U2 R' U' L B' L F
R2 U' F2 B' U2 L B'
F' R' U' B' U2 L B'
U' R' U2 L B' L F
F2 R' U' B' U2 L B'
R U' F2 B' U2 L B'
R' U' B' R U2 L B'
R' U' B' R' U2 L B'
R' U' B' R2 U2 L B'
F R' U' B' U2 L B'
R' U' B' U2 L D B'
R' U' B' U2 L D' B'
R' U' B' U2 L D2 B'
R' U' B' U2 L B' D
R' U' B' U2 L B' D'
R' U' B' U2 L B' D2
R' U' B' F U2 L B'
R' U' B' F' U2 L B'
R2 U' B' R U2 L B'
R' U' B' F2 U2 L B'
R2 U' B' R' U2 L B'
R2 U' B' R2 U2 L B'
R2 U' B' U2 L D B'
R2 U' B' U2 L D' B'
R2 U' B' U2 L D2 B'
R2 U' B' U2 L B' D
R2 U' B' U2 L B' D'
R2 U' B' U2 L B' D2
R U' B' R U2 L B'
R U' B' R' U2 L B'
R U' B' R2 U2 L B'
R2 U' B' F U2 L B'
R U' B' U2 L D B'
R U' B' U2 L D' B'
R U' B' U2 L D2 B'
R2 U' B' F' U2 L B'
R U' B' U2 L B' D
R U' B' U2 L B' D'
R U' B' U2 L B' D2
R2 U' B' F2 U2 L B'
R U' B' F U2 L B'
R U' B' F' U2 L B'
R U' B' F2 U2 L B'
U' R' F B' U2 L B'
U' R' F' B' U2 L B'
U' R' F2 B' U2 L B'
L U2 R' U' F' B' L
L U2 R' U' B' L F'
L U2 R' U' B' F' L
U' R' B' R U2 L B'
U' R' B' R' U2 L B'
U' R' B' R2 U2 L B'
U' R' B' U2 L D B'
U' R' B' U2 L D' B'
U' R' B' U2 L D2 B'
U' R' B' U2 L B' D
U' R' B' U2 L B' D'
U' R' B' U2 L B' D2
U' R' B' F U2 L B'
U' R' B' F' U2 L B'
U' R' B' F2 U2 L B'
U R' B' U2 L R B'
U R' B' U2 L B' R
U R' B' U2 R L B'
U R2 L B' L R2 F
U R2 L B' L F R2
U R2 L B' R2 L F
D R2 L' F L' U F
F' R2 U L B' L F
F2 R2 U L B' L F
F R2 U L B' L F
U2 R2 U B' U2 L B'
U2 R2 U' L B' L F
B' R2 U' F' U' L B'
F' R2 U' B' U2 L B'
U' R2 U2 L B' L F
F2 R2 U' B' U2 L B'
F R2 U' B' U2 L B'
R' D L' F L' U F
R2 D L' F L' U F
U' R2 F B' U2 L B'
R D L' F L' U F
U' R2 F' B' U2 L B'
U' R2 F2 B' U2 L B'
U' R2 B' R U2 L B'
U' R2 B' R' U2 L B'
U' R2 B' R2 U2 L B'
U' R2 B' U2 L D B'
U' R2 B' U2 L D' B'
U' R2 B' U2 L D2 B'
U' R2 B' U2 L B' D
U' R2 B' U2 L B' D'
U' R2 B' U2 L B' D2
U' R2 B' F U2 L B'
U' R2 B' F' U2 L B'
U' R2 B' F2 U2 L B'
U R2 B' L B' R2 F'
U R2 B' U2 L R2 B'
U R2 B' U2 L B' R2
U R2 B' U2 R2 L B'
F' U L F B' L F
F' U L F' B' L F
F' U L F2 B' L F
F' U L B' L D F
F' U L B' L D' F
F' U L B' L D2 F
F' U L B' L F D
F' U L B' L F D'
F' U L B' L F D2
F' U L B' D L F
F' U L B' D' L F
F' U L B' D2 L F
F' U L B' F L F
F' U L B' F' L F
F' U L B' F2 L F
F2 U L F B' L F
F2 U L F' B' L F
F2 U L F2 B' L F
F2 U L B' L D F
F2 U L B' L D' F
F2 U L B' L D2 F
F2 U L B' L F D
F2 U L B' L F D'
F2 U L B' L F D2
F2 U L B' D L F
F2 U L B' D' L F
F2 U L B' D2 L F
F2 U L B' F L F
F2 U L B' F' L F
F2 U L B' F2 L F
F U L F B' L F
B' U L' B U L2 B'
F U L F' B' L F
F U L F2 B' L F
F U L B' L D F
F U L B' L D' F
F U L B' L D2 F
F U L B' L F D
F U L B' L F D'
F U L B' L F D2
F U L B' D L F
F U L B' D' L F
F U L B' D2 L F
F U L B' F L F
F U L B' F' L F
F U L B' F2 L F
F' U L2 D2 F L' B'
F' U L2 F L' B' L
F2 U L2 D2 F L' B'
F2 U L2 F L' B' L
F U L2 D2 F L' B'
F U L2 F L' B' L
F' U F L B' L F
F2 U F L B' L F
F' U F' L B' L F
F U F L B' L F
F2 U F' L B' L F
F' U F2 L B' L F
F U F' L B' L F
F2 U F2 L B' L F
B' U B L U B' L
F U F2 L B' L F
B' U B U L B' L
B' U B U B' L B'
D2 U' R F' R B' U2
D2 U' R F' B' R U2
D2 U' R B' F' R U2
F' U' R B' U2 L B'
B' U' R' U' L B' R'
F2 U' R B' U2 L B'
D2 U' F' R F' B' U2
D2 U' F' R B' F' U2
F' U' R' B' U2 L B'
F2 U' R' B' U2 L B'
D2 U' F' B' R F' U2
F U' R B' U2 L B'
B' U' R2 F' U' L B'
F' U' R2 B' U2 L B'
F2 U' R2 B' U2 L B'
F U' R' B' U2 L B'
F U' R2 B' U2 L B'
D2 U' B' R F' R U2
D2 U' B' F' R F' U2
F' U' F B' U2 L B'
F2 U' F B' U2 L B'
F' U' F' B' U2 L B'
F2 U' F' B' U2 L B'
F U' F B' U2 L B'
F' U' F2 B' U2 L B'
F2 U' F2 B' U2 L B'
F U' F' B' U2 L B'
F' U' B' R U2 L B'
U' D2 R F' R B' U2
F' U' B' R' U2 L B'
F U' F2 B' U2 L B'
U' D2 R F' B' R U2
F' U' B' R2 U2 L B'
F2 U' B' R U2 L B'
U' D2 R B' F' R U2
F' U' B' U2 L D B'
F' U' B' U2 L D' B'
F' U' B' U2 L D2 B'
F' U' B' U2 L B' D
F' U' B' U2 L B' D'
F' U' B' U2 L B' D2
F2 U' B' R' U2 L B'
F2 U' B' R2 U2 L B'
F2 U' B' U2 L D B'
F2 U' B' U2 L D' B'
F2 U' B' U2 L D2 B'
F2 U' B' U2 L B' D
F2 U' B' U2 L B' D'
F2 U' B' U2 L B' D2
F' U' B' F U2 L B'
F' U' B' F' U2 L B'
F' U' B' F2 U2 L B'
F2 U' B' F U2 L B'
F2 U' B' F' U2 L B'
F2 U' B' F2 U2 L B'
F U' B' R U2 L B'
F U' B' R' U2 L B'
F U' B' R2 U2 L B'
F U' B' U2 L D B'
F U' B' U2 L D' B'
F U' B' U2 L D2 B'
F U' B' U2 L B' D
F U' B' U2 L B' D'
F U' B' U2 L B' D2
B' U2 L U' B U B2
F U' B' F U2 L B'
B' U2 L D B' D' R2
F U' B' F' U2 L B'
F U' B' F2 U2 L B'
B' U2 L D' B' D' R2
B' U2 L D2 B' D' R2
B' U2 L B' R D' R2
B' U2 L B' R' D' R2
B' U2 L B' R2 D' R2
B' U2 L B' U' B2 U
B' U2 L B' D' R2 D
B' U2 L B' D' R2 D'
B' U2 L B' D' R2 D2
U' D2 F' R F' B' U2
U' D2 F' R B' F' U2
U' D2 F' B' R F' U2
U' D2 B' R F' R U2
U' D2 B' F' R F' U2
U F L F B' L F
U F L F' B' L F
U F L F2 B' L F
U F L B' L D F
U F L B' L D' F
U F L B' L D2 F
U F L B' L F D
U F L B' L F D'
U F L B' L F D2
U F L B' D L F
U F L B' D' L F
U F L B' D2 L F
U F L B' F L F
U F L B' F' L F
U F L B' F2 L F
U' F R B' U2 L B'
U F L2 D2 F L' B'
U F L2 F L' B' L
U' F R' B' U2 L B'
U' F R2 B' U2 L B'
R' F U L B' L F
R2 F U L B' L F
R' F U' B' U2 L B'
U' F U2 L B' L F
R F U L B' L F
R2 F U' B' U2 L B'
F' D L' F L' U F
F2 D L' F L' U F
R F U' B' U2 L B'
U F U2 B' U2 L B'
F D L' F L' U F
U' F B' R U2 L B'
U' F B' R' U2 L B'
U' F B' R2 U2 L B'
U' F B' U2 L D B'
U' F B' U2 L D' B'
U' F B' U2 L D2 B'
U' F B' U2 L B' D
U' F B' U2 L B' D'
U' F B' U2 L B' D2
L2 F' L' U F2 B' L
L2 F' L' U B' L F2
L2 F' L' U B' F2 L
U F' L F B' L F
U F' L F' B' L F
U F' L F2 B' L F
U F' L B' L D F
U F' L B' L D' F
U F' L B' L D2 F
U F' L B' L F D
U F' L B' L F D'
U F' L B' L F D2
U F' L B' D L F
U F' L B' D' L F
U F' L B' D2 L F
U F' L B' F L F
U F' L B' F' L F
U F' L B' F2 L F
U' F' R B' U2 L B'
U F' L2 D2 F L' B'
U F' L2 F L' B' L
U' F' R' B' U2 L B'
U' F' R2 B' U2 L B'
R' F' U L B' L F
R2 F' U L B' L F
D2 F' U' R F' B' U2
D2 F' U' R B' F' U2
R' F' U' B' U2 L B'
U' F' U2 L B' L F
D2 F' U' B' R F' U2
R F' U L B' L F
R2 F' U' B' U2 L B'
R F' U' B' U2 L B'
U F' U2 B' U2 L B'
U' F' B' R U2 L B'
U' F' B' R' U2 L B'
U' F' B' R2 U2 L B'
U' F' B' U2 L D B'
U' F' B' U2 L D' B'
U' F' B' U2 L D2 B'
U' F' B' U2 L B' D
U' F' B' U2 L B' D'
U' F' B' U2 L B' D2
L2 F2 L' U F' B' L
L2 F2 L' U B' L F'
L2 F2 L' U B' F' L
U F2 L F B' L F
U F2 L F' B' L F
U F2 L F2 B' L F
U F2 L B' L D F
U F2 L B' L D' F
U F2 L B' L D2 F
U F2 L B' L F D
U F2 L B' L F D'
U F2 L B' L F D2
U F2 L B' D L F
U F2 L B' D' L F
U F2 L B' D2 L F
U F2 L B' F L F
U F2 L B' F' L F
U F2 L B' F2 L F
U' F2 R B' U2 L B'
U F2 L2 D2 F L' B'
U F2 L2 F L' B' L
U' F2 R' B' U2 L B'
U' F2 R2 B' U2 L B'
R' F2 U L B' L F
R2 F2 U L B' L F
U' F2 U2 L B' L F
R' F2 U' B' U2 L B'
R F2 U L B' L F
R2 F2 U' B' U2 L B'
R F2 U' B' U2 L B'
U F2 U2 B' U2 L B'
U' F2 B' R U2 L B'
U' F2 B' R' U2 L B'
U' F2 B' R2 U2 L B'
U' F2 B' U2 L D B'
U' F2 B' U2 L D' B'
U' F2 B' U2 L D2 B'
U' F2 B' U2 L B' D
U' F2 B' U2 L B' D'
U' F2 B' U2 L B' D2
U2 B U B2 U2 L B'
B' F L B' D' R2 F'
U' B D2 R' U2 F2 B
U' B D2 R' U2 B F2
U B U2 B2 U2 L B'
R' B' L B' D' R2 F'
B' F U2 L B' D' R2
U' B' L' F L U2 L
R2 B' L B' D' R2 F'
L B' L R2 F D R2
U B' L R2 B' R2 F'
L B' L U' B U F
L B' L F U' B U
U' B' R U2 L D B'
U' B' R U2 L D' B'
U' B' R U2 L D2 B'
U' B' R U2 L B' D
U' B' R U2 L B' D'
U' B' R U2 L B' D2
U B' L B' R2 F' R2
U B' L B' U2 B U2
U B' L B2 D2 F2 B
U B' L B2 D2 B F2
U' B' R F U2 L B'
U' B' R F' U2 L B'
U' B' R F2 U2 L B'
R B' L B' D' R2 F'
U' B' R' U2 L D B'
U' B' R' U2 L D' B'
U' B' R' U2 L D2 B'
U' B' R' U2 L B' D
U' B' R' U2 L B' D'
U' B' R' U2 L B' D2
U B' L' B L2 F B'
U B' L' B L2 B' F
U' B' R' F U2 L B'
U' B' R' F' U2 L B'
U' B' R' F2 U2 L B'
U' B' R2 U2 L D B'
U' B' R2 U2 L D' B'
U' B' R2 U2 L D2 B'
U' B' R2 U2 L B' D
U' B' R2 U2 L B' D'
U' B' R2 U2 L B' D2
U' B' R2 F U2 L B'
U' B' R2 F' U2 L B'
U' B' R2 F2 U2 L B'
U B' R U2 L R' B'
U B' R U2 R' L B'
U' B' U L' U L2 B'
B' F' L B' D' R2 F'
F' B' L B' D' R2 F'
U' B' U F U L B'
U' B' U F' U L B'
U' B' U F2 U L B'
U B' R' U2 L R B'
U B' R' U2 L B' R
F2 B' L B' D' R2 F'
U B' R' U2 R L B'
U' B' U' R U' L B'
U' B' U' R' U' L B'
U' B' U' R2 U' L B'
L B' R2 L F D R2
U B' R2 L B' R2 F'
U B' R2 U2 L R2 B'
U B' R2 U2 L B' R2
U B' R2 U2 R2 L B'
U' B' U2 L R' B' R
U' B' U2 L R2 B' R2
U' B' U2 L D B' D
U' B' U2 L D B' D'
U' B' U2 L D B' D2
U' B' U2 L D' B' D
U' B' U2 L D' B' D'
U' B' U2 L D' B' D2
U' B' U2 L D2 B' D
U' B' U2 L D2 B' D'
U' B' U2 L D2 B' D2
U' B' U2 L B2 D B
U' B' U2 L B2 D' B
U' B' U2 L B2 D2 B
U' B' U2 L' B L2 B'
U' B' U2 L' B' L2 B'
U' B' U2 L' B2 L2 B'
U' B' U2 L2 D L' B'
U' B' U2 L2 D' L' B'
U' B' U2 L2 D2 L' B'
U' B' U2 L2 B L' B'
U' B' U2 L2 B' L' B'
U' B' U2 L2 B2 L' B'
U' B' U2 R' L B' R
F B' L B' D' R2 F'
R' B' U2 L B' D' R2
U' B' U2 R2 L B' R2
U' B' U2 F L F' B'
U' B' U2 F L B' F'
U' B' U2 F2 L F2 B'
U' B' U2 F2 L B' F2
U' B' U2 B L B' L
R2 B' U2 L B' D' R2
R B' U2 L B' D' R2
U' B' D2 R F' U2 L
U' B' D2 R' U2 L B
U' B' F R U2 L B'
U' B' F R' U2 L B'
U' B' F R2 U2 L B'
U' B' F U2 L D B'
U' B' F U2 L D' B'
U' B' F U2 L D2 B'
U' B' F U2 L B' D
U' B' F U2 L B' D'
U' B' F U2 L B' D2
U' B' F' R U2 L B'
U' B' F' R' U2 L B'
U' B' F' R2 U2 L B'
B' F' U2 L B' D' R2
U' B' F' U2 L D B'
U' B' F' U2 L D' B'
U' B' F' U2 L D2 B'
U' B' F' U2 L B' D
U' B' F' U2 L B' D'
U' B' F' U2 L B' D2
F' B' U2 L B' D' R2
U' B' F2 R U2 L B'
U' B' F2 R' U2 L B'
U' B' F2 R2 U2 L B'
F2 B' U2 L B' D' R2
U' B' F2 U2 L D B'
U' B' F2 U2 L D' B'
U' B' F2 U2 L D2 B'
U' B' F2 U2 L B' D
U' B' F2 U2 L B' D'
U' B' F2 U2 L B' D2
F B' U2 L B' D' R2
B' F2 L B' D' R2 F'
B' F2 U2 L B' D' R2
L B2 D' B L R2 F
L B2 D' B L F R2
L B2 D' B R2 L F
