U2 L R U D2 R2
U2 L R U' L2 U2
U2 L R D' B2 U
U2 L R D2 U R2
L R U' L2 U2 L2
R L U' L2 U2 L2
U2 L D' R B2 U
U2 L D' B2 R U
U2 L D2 R U R
U L' U L2 R U
U L' U R L2 U
F2 L' U' R D' B2
F2 L' U' D' R B2
F2 L' U' D' B2 R
F2 L' U2 L2 U R
F2 L' D' U' R B2
F2 L' D' U' B2 R
F2 L' D2 R2 U' R'
U2 R L U D2 R2
U2 R L U' L2 U2
U2 R L D' B2 U
U2 R L D2 U R2
L' U2 L2 R U R'
L' U2 R L2 U R'
U' R L U D2 R2 L'
U' R L U' L2 U2 L
U2 R L U R D2 R2
U2 R L U R' D2 R2
U2 R L U R2 D2 R2
U2 R L U D2 R2 D
U2 R L U D2 R2 D'
U2 R L U D2 R2 D2
U2 R L U' L2 U2 D
U2 R L U' L2 U2 D'
U2 R L U' L2 U2 D2
U2 R L U' L2 D U2
U2 R L U' L2 D' U2
U2 R L U' L2 D2 U2
U' R L D' B2 U L'
U' R L D2 U L' R2
U' R L D2 U R2 L'
U2 R L U2 D F2 U'
D R L U' L2 U2 L2
U2 R L D U2 F2 U'
U2 R L D' B2 U D
U2 R L D' B2 U D'
U2 R L D' B2 U D2
U2 R L D' B2 D U
U2 R L D' B2 D' U
U2 R L D' B2 D2 U
U2 R L D2 U R2 D
U2 R L D2 U R2 D'
U2 R L D2 U R2 D2
U2 R L D2 B U R2
U2 R L D2 B' U R2
U2 R L D2 B2 U R2
U R L U' L2 R' U2
U R L U' R' L2 U2
U2 R L B U D2 R2
U2 R L B U' L2 U2
U2 R L B D' B2 U
U2 R L B D2 U R2
U2 R L B' U D2 R2
U2 R L B' U' L2 U2
U2 R L B' D' B2 U
U2 R L B' D2 U R2
U2 R L B2 U D2 R2
U2 R L B2 U' L2 U2
U2 R L B2 D' B2 U
U2 R L B2 D2 U R2
U R L D' B2 U L
F2 R L' D2 R2 U' R2
U2 R L2 B2 L' U R'
B2 R U D L2 B2 R'
U2 R U' L' U L2 U
U2 R U' L' U2 D' B2
U2 R U' L' D F2 U2
U2 R U' L' D' U2 B2
U2 R D L U D2 R2
U2 R D L U' L2 U2
U2 R D L D' B2 U
U2 R D L D2 U R2
B2 R D U L2 B2 R'
U2 R D' L U D2 R2
U2 R D' L U' L2 U2
U2 R D' L D' B2 U
U2 R D' L D2 U R2
U2 R D2 L U D2 R2
U2 R D2 L U' L2 U2
U2 R D2 L D' B2 U
U2 R D2 L D2 U R2
B2 R D2 F2 L2 U R
R U' L' U L2 U L'
R U' L' U2 D' L B2
R U' L' D F2 U2 L
R U' L' D' U2 L B2
L U' L2 U R U L2
U' R F2 L U L' R
U' R F2 L U R L'
U2 R B' U' L' U2 B'
U2 R' L D' B2 U F2
F2 R' L' U' R2 D' B2
F2 R' L' U2 L2 U R2
F2 R' L' D' F2 U' B2
R' U2 L R2 U D2 R2
R' U2 L R2 U' L2 U2
R' U2 L R2 D' B2 U
R' U2 L R2 D2 U R2
R' U2 L D' B2 U F2
R2 U2 L R' U D2 R2
R2 U2 L R' U' L2 U2
R2 U2 L R' D' B2 U
R2 U2 L R' D2 U R2
R2 U2 L D' R' B2 U
R2 U2 L D2 R' U R'
L2 U2 L' R U D2 R2
L2 U2 L' R U' L2 U2
L2 U2 L' R D' B2 U
L2 U2 L' R D2 U R2
L2 U2 L' D' R B2 U
L2 U2 L' D' B2 R U
L2 U2 L' D2 R U R
L' U2 L2 R U R' D
L' U2 L2 R U R' D'
L' U2 L2 R U R' D2
L' U2 L2 R U D R'
L' U2 L2 R U D' R'
L' U2 L2 R U D2 R'
L' U2 L2 R D U R'
L' U2 L2 R D' U R'
L' U2 L2 R D2 U R'
L' U2 L2 D R U R'
L' U2 L2 D' R U R'
L' U2 L2 D2 R U R'
L' U2 L2 B R U R'
L' U2 L2 B' R U R'
L' U2 L2 B2 R U R'
L' U2 R L2 U R' D
L' U2 R L2 U R' D'
L' U2 R L2 U R' D2
L' U2 R L2 U D R'
L' U2 R L2 U D' R'
L' U2 R L2 U D2 R'
L' U2 R L2 D U R'
L' U2 R L2 D' U R'
L' U2 R L2 D2 U R'
L' U2 R U R' D' B2
L' U2 R U D' R' B2
L2 U2 R L' U D2 R2
L2 U2 R L' U' L2 U2
L2 U2 R L' D' B2 U
L2 U2 R L' D2 U R2
L' U2 R D' U R' B2
L2 U2 R B2 L' U R'
L U2 R D' B2 L U
R2 U2 R' L U D2 R2
R2 U2 R' L U' L2 U2
R2 U2 R' L D' B2 U
R2 U2 R' L D2 U R2
R' U2 R2 L U D2 R2
R' U2 R2 L U' L2 U2
R' U2 R2 L D' B2 U
R' U2 R2 L D2 U R2
L' U2 D' R U R' B2
B2 R' B2 U' D' F2 R
B2 R' B2 D' U' F2 R
L U2 D' R B2 L U
U2 R2 L D' R' B2 U
U2 R2 L D2 R' U R'
F2 R2 L' U' R' D' B2
F2 R2 L' U' D' R' B2
F2 R2 L' U2 L2 U R'
F2 R2 L' D' U' R' B2
F2 R2 L' D2 R2 U' R
L' U2 B L2 R U R'
L' U2 B R L2 U R'
L' U2 B' L2 R U R'
L' U2 B' R L2 U R'
L' U2 B2 L2 R U R'
L' U2 B2 R L2 U R'
L2 U2 B2 L' R U R2
L2 U2 B2 R L' U R2
R D L U' L2 U2 L2
L D L F2 L' R U'
L D L F2 R L' U'
U2 D L R U D2 R2
U2 D L R U' L2 U2
U2 D L R D' B2 U
U2 D L R D2 U R2
U2 D L D' R B2 U
U2 D L D' B2 R U
U2 D L D2 R U R
D' U L' U L2 R U
D' U L' U R L2 U
D2 U L' U L2 R U
D2 U L' U R L2 U
D U L' U L2 R U
D U L' U R L2 U
U D L' U L2 R U
U D L' U R L2 U
U2 D R L U D2 R2
U2 D R L U' L2 U2
U2 D R L D' B2 U
U2 D R L D2 U R2
L' D F2 U' L' U' L
L D F2 L' U2 L U
R D' L U' L2 U2 L2
L D' R B2 U D L2
L D' R B2 U2 B2 U'
L D' R B2 D U L2
L D' R B2 D2 F2 U
U2 D' L R U D2 R2
U2 D' L R U' L2 U2
U2 D' L R D' B2 U
U2 D' L R D2 U R2
U2 D' L D' R B2 U
U2 D' L D' B2 R U
U2 D' L D2 R U R
L' D' U R U B2 L
U D' L' U L2 R U
U D' L' U R L2 U
L' D' U2 R U R' B2
U2 D' R L U D2 R2
U2 D' R L U' L2 U2
U2 D' R L D' B2 U
U2 D' R L D2 U R2
L D' U2 R B2 L U
L' D' F2 L' U' B2 R'
L D' B2 R U D L2
L D' B2 R U2 B2 U'
L D' B2 R D U L2
L D' B2 R D2 F2 U
L D' B2 D R U L2
L D' B2 D2 R F2 U
R D2 L U' L2 U2 L2
D' U2 L R U D2 R2
D' U2 L R U' L2 U2
D' U2 L R D' B2 U
D' U2 L R D2 U R2
D2 U2 L R U D2 R2
D2 U2 L R U' L2 U2
D2 U2 L R D' B2 U
D2 U2 L R D2 U R2
D' U2 L D' R B2 U
D' U2 L D' B2 R U
D' U2 L D2 R U R
D2 U2 L D' R B2 U
D2 U2 L D' B2 R U
D2 U2 L D2 R U R
U2 D2 L R U D2 R2
U2 D2 L R U' L2 U2
U2 D2 L R D' B2 U
U2 D2 L R D2 U R2
U2 D2 L D' R B2 U
D U2 L R U D2 R2
D U2 L R U' L2 U2
D U2 L R D' B2 U
U2 D2 L D' B2 R U
D U2 L R D2 U R2
U2 D2 L D2 R U R
D U2 L D' R B2 U
D U2 L D' B2 R U
D U2 L D2 R U R
U D2 L' U L2 R U
U D2 L' U R L2 U
D' U2 R L U D2 R2
D' U2 R L U' L2 U2
D' U2 R L D' B2 U
D' U2 R L D2 U R2
L' D2 R2 U2 R' U R
D2 U2 R L U D2 R2
D2 U2 R L U' L2 U2
D2 U2 R L D' B2 U
D2 U2 R L D2 U R2
U2 D2 R L U D2 R2
U2 D2 R L U' L2 U2
U2 D2 R L D' B2 U
U2 D2 R L D2 U R2
D U2 R L U D2 R2
D U2 R L U' L2 U2
D U2 R L D' B2 U
D U2 R L D2 U R2
F' U2 L U R' F' R
F2 U2 L U R D F2
F2 U2 L U D R F2
F2 U2 L U2 L2 U' R
F2 U2 L D U R F2
F2 U2 L D2 R2 U R'
F' U2 D' L B' R' U
F2 D L' U' R D' B2
F2 D L' U' D' R B2
F2 D L' U' D' B2 R
F2 D L' U2 L2 U R
F2 D L' D' U' R B2
F2 D L' D' U' B2 R
F2 D L' D2 R2 U' R'
F2 D' L' U' R D' B2
F2 D' L' U' D' R B2
F2 D' L' U' D' B2 R
F2 D' L' U2 L2 U R
F2 D' L' D' U' R B2
F2 D' L' D' U' B2 R
F2 D' L' D2 R2 U' R'
F' D' U2 L B' R' U
D2 F2 L' U' R D' B2
D2 F2 L' U' D' R B2
D2 F2 L' U' D' B2 R
D' F2 L' U' R D' B2
D' F2 L' U' D' R B2
D' F2 L' U' D' B2 R
D2 F2 L' U2 L2 U R
D' F2 L' U2 L2 U R
D2 F2 L' D' U' R B2
D2 F2 L' D' U' B2 R
D' F2 L' D' U' R B2
D' F2 L' D' U' B2 R
D2 F2 L' D2 R2 U' R'
D' F2 L' D2 R2 U' R'
L2 F2 L' R U L2 U2
L2 F2 L' R U' D2 R2
L2 F2 L' R D F2 U'
L2 F2 L' R D2 U' R2
L2 F2 L' D R F2 U'
L2 F2 L' D2 R U' R
D F2 L' U' R D' B2
D F2 L' U' D' R B2
D F2 L' U' D' B2 R
D F2 L' U2 L2 U R
D F2 L' D' U' R B2
D F2 L' D' U' B2 R
D F2 L' D2 R2 U' R'
L2 F2 R L' U L2 U2
L2 F2 R L' U' D2 R2
L2 F2 R L' D F2 U'
L2 F2 R L' D2 U' R2
R' F2 U2 L R2 U R'
R' F2 U2 R2 L U R'
R2 F2 U2 L R' U R2
F2 D2 L' U' R D' B2
F2 D2 L' U' D' R B2
F2 D2 L' U' D' B2 R
F2 D2 L' U2 L2 U R
R2 F2 U2 R' L U R2
F2 D2 L' D' U' R B2
F2 D2 L' D' U' B2 R
F2 D2 L' D2 R2 U' R'
L' F2 D' L' U' B2 R'
L' B U L2 R F U
L' B U R L2 F U
U B' L' U R U B
U2 B' R U' L' U2 B'
B2 F2 L' R' B2 U' R2
F2 B2 L' R' B2 U' R2
L B2 R D2 F2 U R2
B2 F2 R' L' B2 U' R2
F2 B2 R' L' B2 U' R2
B2 F2 R' B2 L' U' R2
F2 B2 R' B2 L' U' R2
