D' R' F' B' L U2
D R' F' B' U2 R
D' R' B' L F' U2
D' R' B' F' L U2
D R' B' F' U2 R
R' D F' B' U2 R
R' D B' F' U2 R
R' D' F' B' L U2
R' D' B' L F' U2
R' D' B' F' L U2
R' F' D' B' L U2
R' B' D F' U2 R
D2 R' B' D F' L2 U2
D' R' B' D L F' U2
D2 R' B' D' U2 R2 B
D' R' B' D F' L U2
D2 R' B' D' F' U2 R2
D' R' B' D' L F' U2
D R' B' L F' U2 R
F' R' B' D F' U2 R
D' R' B' D' F' L U2
D' R' B' D2 L F' U2
D R' B' L' F' U2 R
D' R' B' D2 F' L U2
D' R' B' F L F2 U2
D2 R' B' F' U B2 U
D2 R' B' F' U2 D' R2
D2 R' B' F' D L2 U2
D R' B' L2 F' U2 R
D2 R' B' F' D' U2 R2
D' R' B' F' L U2 D
D' R' B' F' L U2 D'
D' R' B' F' L U2 D2
D' R' B' F' L D U2
D' R' B' F' L D' U2
D' R' B' F' L D2 U2
D' R' B' F' D L U2
D' R' B' F' D' L U2
D' R' B' F' D2 L U2
F2 R' B' D F' U2 R
D R' B' F L' F2 U2
D R' B' F' L U2 R
D R' B' F' L' U2 R
D R' B' F' L2 U2 R
D R' B' F' U2 R D
D R' B' F' U2 R D'
D R' B' F' U2 R D2
D R' B' F' U2 D R
D R' B' F' U2 D' R
D R' B' F' U2 D2 R
D R' B' F' D U2 R
D R' B' F' D' U2 R
D R' B' F' D2 U2 R
F R' B' D F' U2 R
R' D L2 F' U2 R F2
D' R2 B' L R F' U2
D' R2 B' R L F' U2
D' R2 B' R F' L U2
D R2 B' R F' U2 R
R' D F B' L' F2 U2
R' D F' L2 U2 R F
R' D F' D B' U2 R
R' D F' D' B' U2 R
R' D F' D2 B' U2 R
R' D F' B' L U2 R
R' D F' B' L' U2 R
R' D F' B' L2 U2 R
R' D F' B' U2 R D
R' D F' B' U2 R D'
R' D F' B' U2 R D2
R' D F' B' U2 D R
R' D F' B' U2 D' R
R' D F' B' U2 D2 R
R' D F' B' D U2 R
R' D F' B' D' U2 R
R' D F' B' D2 U2 R
R' D B' L F' U2 R
R' D B' L' F' U2 R
R' D B' L2 F' U2 R
R' D B' F L' F2 U2
R' D B' F' L U2 R
R' D B' F' L' U2 R
R' D B' F' L2 U2 R
R' D B' F' U2 R D
R' D B' F' U2 R D'
R' D B' F' U2 R D2
R' D B' F' U2 D R
R' D B' F' U2 D' R
R' D B' F' U2 D2 R
R' D B' F' D U2 R
R' D B' F' D' U2 R
R' D B' F' D2 U2 R
R' D' F B' L F2 U2
R' D' F' B' L U2 D
R' D' F' B' L U2 D'
R' D' F' B' L U2 D2
R' D' F' B' L D U2
R' D' F' B' L D' U2
R' D' F' B' L D2 U2
R' D' F' B' D L U2
R' D' F' B' D' L U2
R' D' F' B' D2 L U2
U2 D' R' B' L F U2
R' D' B' L D F' U2
R' D' B' L D' F' U2
R' D' B' L D2 F' U2
R' D' B' L F' U2 D
R' D' B' L F' U2 D'
R' D' B' L F' U2 D2
R' D' B' L F' D U2
R' D' B' L F' D' U2
R' D' B' L F' D2 U2
R' D' B' L' F' L2 U2
R' D' B' D L F' U2
R' D' B' D F' L U2
R' D' B' D' L F' U2
R' D' B' D' F' L U2
R' D' B' D2 L F' U2
R' D' B' D2 F' L U2
R' D' B' F L F2 U2
R' D' B' F' L U2 D
R' D' B' F' L U2 D'
R' D' B' F' L U2 D2
R' D' B' F' L D U2
R' D' B' F' L D' U2
R' D' B' F' L D2 U2
R' D' B' F' D L U2
R' D' B' F' D' L U2
R' D' B' F' D2 L U2
R D2 L2 D F B R'
R D2 L2 D B R' F
R D2 L2 D B F R'
R D2 L2 F D B R'
D' U2 R' B' L F U2
R' D2 F' D B' L U2
R' D2 B' D' F' U2 R
D' F R' F' B' L U2
D' F R' B' L F' U2
D' F R' B' F' L U2
D F R' B' L' F' U2
F' D R' F' B' U2 R
F' D R' B' F' U2 R
F2 D R' F' B' U2 R
F2 D R' B' F' U2 R
F D R' F' B' U2 R
F D R' B' F' U2 R
R' F' L U B' R' U
D' F' R' F' B' L U2
D' F' R' B' L F' U2
D F' R D2 L2 F B
D F' R D2 L2 B F
D' F' R' B' F' L U2
D F' R B D2 L2 F2
D F' R B D2 F2 L2
D F' R' F' B' U2 R2
D F' R' B' U2 R2 B
D F' R' B' F' U2 R2
R' F' U' L2 U' F R
R' F' D' B' L U2 D
R' F' D' B' L U2 D'
R' F' D' B' L U2 D2
R' F' D' B' L D U2
R' F' D' B' L D' U2
R' F' D' B' L D2 U2
R' F' D' B' D L U2
R' F' D' B' D' L U2
R' F' D' B' D2 L U2
F' D' R' F' B' L U2
F' D' R' B' L F' U2
F' D' R' B' F' L U2
R' F' B' L U B' U
F2 D' R' F' B' L U2
R' F' B' L' U' F U'
F2 D' R' B' L F' U2
F2 D' R' B' F' L U2
F D' R' F' B' L U2
F D' R' B' L F' U2
F D' R' B' F' L U2
R' F' B2 D' B U2 R'
D' F2 R' F' B' L U2
D' F2 R' B' L F' U2
D' F2 R' B' F' L U2
D F2 R' F' B' L' U2
D F2 R' B' F' L' U2
R' F2 D F B' L' U2
R' F2 D B' F L' U2
R' F2 D' F B' L U2
R' F2 D' B' F L U2
R' F2 B' D F L' U2
D' B R B L R2 F'
D' B R B R2 L F'
D' B R B R2 F' L
D' B' L U2 L' B' L
R' B' L F' U B' U
R' B' L' F' U' F2 U'
R' B' L' F' U2 D R2
R' B' L' F' D U2 R2
R' B' L' F' D' L2 U2
R2 B' R D F' U2 R
R' B' U2 R2 D' B R'
R' B' U2 D' R2 B R'
R' B' D L F' U2 R
R' B' D L' F' U2 R
R' B' D L2 F' U2 R
R' B' D F L' F2 U2
R' B' D F' L U2 R
R' B' D F' L' U2 R
R' B' D F' L2 U2 R
R' B' D F' U2 R D
R' B' D F' U2 R D'
R' B' D F' U2 R D2
R' B' D F' U2 D R
R' B' D F' U2 D' R
R' B' D F' U2 D2 R
R' B' D F' D U2 R
R' B' D F' D' U2 R
R' B' D F' D2 U2 R
R' B' D' U2 R2 B R'
R' B' F' L U B' U
R' B' F' L' U' F U'
R' B' F2 D F L' U2
R' B2 D F' B U2 R
R' B2 D B F' U2 R
R' B2 D' F' B U2 R'
R' B2 D' B F' U2 R'
R' B2 F' D' B U2 R'
