B L U' B' U' B' R'
D' U2 R' B' R' F' L
D' U2 R2 F' B' L R'
D' U2 R2 F' B' R' L
D' U2 R2 B' L F' R'
D' U2 R2 B' F' L R'
D' U2 R2 B' F' R' L
D' U2 B L R' U2 B2
D' U2 B L U2 B2 L
D' U2 B R' L U2 B2
D' U2 B R' U2 B2 R'
D' U2 B U2 B2 L R'
D' U2 B U2 B2 R' L
D' U2 B' L R' D2 F2
D' U2 B' L D2 R' F2
D' U2 B' L D2 F2 R'
D' U2 B' R' L D2 F2
D' U2 B' R' D2 L F2
D' U2 B' R' D2 F2 L
D' U2 B' D2 L R' F2
D' U2 B' D2 L F2 R'
D' U2 B' D2 R' L F2
D' U2 B' D2 R' F2 L
D' U2 B' D2 F2 L R'
D' U2 B' D2 F2 R' L
R2 F R F2 D' B' L
D F R D2 B' L' F
D F R B' D2 L' F
R F R D' F' B' L
R F R D' B' L F'
R F R D' B' F' L
D' F R2 F' R' B' L
R F R F' D' B' L
B U2 B' R' D' B' L
B U2 B' D' R' B' L
B2 D L2 F L' B R
B2 D L2 F B L' R
B2 D L2 F B R L'
B2 D L2 B F L' R
B2 D L2 B F R L'
D' F B R' U2 R2 B2
D' F B R' U2 B2 R2
D' F B U2 B2 L R
D' F B U2 B2 R L
D' F B' L R D2 F2
D' F B' L D2 R F2
D' F B' R L D2 F2
D' F B' R D2 L F2
D' F B' R D2 F2 L
D' F B' D2 L R F2
D' F B' D2 R L F2
D' F B' D2 R F2 L
D F B U2 L' R B2
D F B U2 L' B2 R
D F B U2 R L' B2
D F B U2 R B2 L'
D F B U2 B2 L' R
D F B U2 B2 R L'
D F B' L' R D2 F2
D F B' L' D2 R F2
D F B' R L' D2 F2
D F B' R D2 L' F2
D F B' D2 L' R F2
D F B' D2 R L' F2
B' D F R D L' F2
B' D F D L' R F2
B' D F D R L' F2
B' D F' D F2 L' R
B' D F' D F2 R L'
R2 F' D' B' L D2 R2
D' F' B L' R' U2 B2
D' F' B L' U2 B2 L
D' F' B R' L' U2 B2
D' F' B' L D2 R2 F2
D' F' B' L D2 F2 R2
D F' B L' R U2 B2
D F' B R L' U2 B2
D' F' B' D2 F2 L R
D' F' B' D2 F2 R L
F D' R2 F' R' B' L
D F' B' D2 F2 L' R
D F' B' D2 F2 R L'
F' D' B L' R' U2 B2
F' D' B L' U2 B2 L
F' D' B R' L' U2 B2
D' F2 R2 F' R B' L
D' F2 R2 F' B' L R
D' F2 R2 F' B' R L
F' D' B' L D2 R2 F2
F' D' B' L D2 F2 R2
D' F2 R2 B' L F' R
D' F2 R2 B' F' L R
D' F2 R2 B' F' R L
F' D' B' D2 F2 L R
F' D' B' D2 F2 R L
F D' B R' U2 R2 B2
F D' B R' U2 B2 R2
F D' B U2 B2 L R
F D' B U2 B2 R L
D F2 R2 F' R B' L'
D F2 R2 F' B' L' R
D F2 R2 F' B' R L'
F D' B' L R D2 F2
D F2 R2 B' F' L' R
D F2 R2 B' F' R L'
F D' B' L D2 R F2
F D' B' R L D2 F2
F D' B' R D2 L F2
F D' B' R D2 F2 L
F D' B' D2 L R F2
F D' B' D2 R L F2
F D' B' D2 R F2 L
U2 B L U' B' U' B'
B' D2 F R F D' L2
B' D2 F D' R F L'
D' B R' U2 B' R' B'
D' B R' F U2 R B2
D' B R' F U2 B2 R
D' B R' F' L' U2 B2
D' B U2 B' R' B' L
F' B L' U F U B2
D' B F R' U2 R2 B2
D' B F R' U2 B2 R2
D' B F U2 B2 L R
D' B F U2 B2 R L
D' B F' L' R' U2 B2
D' B F' L' U2 B2 L
D' B F' R' L' U2 B2
D B F U2 L' R B2
D B F U2 L' B2 R
D B F U2 R L' B2
D B F U2 R B2 L'
D B F U2 B2 L' R
D B F U2 B2 R L'
D B F' L' R U2 B2
D B F' R L' U2 B2
D' B' L D2 F R F
D' B' L F R D2 F2
D' B' L F D2 R F2
D' B' L F' D2 F2 R
B F' L' U F U B2
R2 B' D F L' R F2
R2 B' D F R L' F2
D' B' D2 L F R F
D' B' D2 F R F L
D' B' F L R D2 F2
D' B' F L D2 R F2
D' B' F R L D2 F2
D' B' F R D2 L F2
D' B' F R D2 F2 L
D' B' F D2 L R F2
D' B' F D2 R L F2
D' B' F D2 R F2 L
D' B' F' L D2 R2 F2
D' B' F' L D2 F2 R2
D B' F L' R D2 F2
D B' F L' D2 R F2
D' B' F' D2 F2 L R
D' B' F' D2 F2 R L
D B' F R L' D2 F2
D B' F R D2 L' F2
D B' F D2 L' R F2
D B' F D2 R L' F2
D B' F' D2 F2 L' R
D B' F' D2 F2 R L'
D' B2 L B L F R
D' B2 L2 F B L R
D' B2 L2 F B R L
D' B2 L2 B F L R
D' B2 L2 B F R L
D B2 L2 F L' B R
D B2 L2 F B L' R
D B2 L2 F B R L'
D B2 L2 B F L' R
D B2 L2 B F R L'
