F' L R B2 U' R
F' L B2 R U' R
F' R L B2 U' R
L F' R B2 U' R
L F' B2 R U' R
D B2 R' U L2 B
D B2 R' U B L2
L B2 F' R U' R
L U' R' D L2 R' B
L U' R' D R' L2 B
L U' R' D R' B L2
F' R B2 U' R D' F2
F' R B2 U2 R' U R2
D R' B2 R' U B' L2
F' R2 U L R' B2 U'
F' R2 U R' L B2 U'
D' R2 U' L F2 U' B'
D' R2 U' F2 L U' B'
R' D L U' L R' B
R' D L U' R' L B
B2 R2 F' R U' R' F'
F' U L R B2 U' R
F' U L B2 R U' R
F' U R L B2 U' R
U' D B2 R' U L2 B
U' D B2 R' U B L2
U2 D B2 R' U L2 B
U2 D B2 R' U B L2
D U B2 R' U L2 B
D U B2 R' U B L2
U D B2 R' U L2 B
U D B2 R' U B L2
F' U' L R B2 U' R
F' U' L B2 R U' R
F' U' R L B2 U' R
D U' B2 R' U L2 B
D U' B2 R' U B L2
F' U2 L R B2 U' R
F' U2 L B2 R U' R
F' U2 R L B2 U' R
B2 U2 R' U D R' B
B2 U2 R' D U R' B
B2 U2 D R' B2 U B'
D U2 B2 R' U L2 B
D U2 B2 R' U B L2
L' F L2 B2 R' U' R'
U' F' L R B2 U' R
R' F' L R B2 U' R2
U' F' L B2 R U' R
U2 F' L R B2 U' R
D F B2 R' U L2 B
D F B2 R' U B L2
B2 D U2 R' B2 U B'
L F B2 U2 L' U R2
U2 F' L B2 R U' R
L F B2 D' F2 R U'
U F' L R B2 U' R
R2 F' L B2 R U' R'
L' F' L2 R B2 U' R
U F' L B2 R U' R
U' F' R L B2 U' R
R' F' R L B2 U' R2
L' F' L2 B2 R U' R
L' F' R L2 B2 U' R
U2 F' R L B2 U' R
L' F' R B2 L2 U' R
U F' R L B2 U' R
L F' R U' R D L2
L F' R U' D L2 R
L F' R U' D R L2
L F' R D U' L2 R
L F' R D U' R L2
L F' R B2 U' R D
L F' R B2 U' R D'
L F' R B2 U' R D2
L F' R B2 U' D R
L F' R B2 U' D' R
L F' R B2 U' D2 R
L F' R B2 D U' R
L F' R B2 D' U' R
L F' R B2 D2 U' R
R2 F' U L R B2 U'
R2 F' U L B2 R U'
R2 F' U R L B2 U'
F' D' L R F2 U' L'
F D B2 L' R' U L'
F D B2 R' L' U L'
F' D' R L F2 U' L'
F' D' R F2 L U' L2
L F' D' R F2 U' L'
L' F' B2 L2 R U' R
L' F' B2 R L2 U' R
D' F2 L U R2 U2 B'
D' F2 L U' D2 B' L2
D' F2 L U' B' D2 L2
D' F2 L D B2 U' B
D' F2 L D2 U' B' L2
L F' B' R B' U' R
D F' B2 R' U L2 B
D F' B2 R' U B L2
L F' B2 R U' R D
L F' B2 R U' R D'
L F' B2 R U' R D2
L F' B2 R U' D R
L F' B2 R U' D' R
L F' B2 R U' D2 R
L F' B2 R D U' R
L F' B2 R D' U' R
L F' B2 R D2 U' R
L F' B2 D' R F2 U'
L F2 R B2 U' R B
D2 F2 D' B2 R' U B
D F2 B2 R' U L2 B
D F2 B2 R' U B L2
L F2 B2 R U' R B
L F2 B2 U' R B R
B2 F U2 L' R' U R'
B2 F U2 R' L' U R'
B2 F' R U' D' R F2
B2 F' R U2 R2 U R'
B2 F' R D' U' R F2
B2 F' R D2 L2 U' R
L B' F' R B' U' R
D B2 L R' U L B
L2 B2 L' F' R U' R
D B2 L' R' U L' B
D B2 L' R' U B L'
L' B2 L2 F' R U' R
D B2 R' L U L B
D B2 R' L' U L' B
D B2 R' L' U B L'
D B2 R' U L' B L'
D B2 R' U L2 D B
D B2 R' U L2 D' B
D B2 R' U L2 D2 B
D B2 R' U L2 B D
D B2 R' U L2 B D'
D B2 R' U L2 B D2
D B2 R' U B L2 D
D B2 R' U B L2 D'
D B2 R' U B L2 D2
D B2 R' U B' L2 B2
D B2 R' D F2 U B
F' B2 R U' D' R F2
F' B2 R U2 R2 U R'
D B2 R' F U L2 B
D B2 R' F U B L2
F' B2 R D' U' R F2
D B2 R' F' U L2 B
D B2 R' F' U B L2
F' B2 R D2 L2 U' R
D B2 R' F2 U L2 B
D B2 R' F2 U B L2
L B2 R' U' D R' B
L B2 R' D U' R' B
L B2 R' F' R U' R2
L B2 R2 F' R U' R'
L B2 U' R' D R' B
F B2 U2 L' R' U R'
F B2 U2 R' L' U R'
L' B2 F' L2 R U' R
L' B2 F' R L2 U' R
D B2 F R' U L2 B
D B2 F R' U B L2
D B2 F' R' U L2 B
D B2 F' R' U B L2
L B2 F U2 L' U R2
L B2 F D' F2 R U'
L B2 F' R U' R D
L B2 F' R U' R D'
L B2 F' R U' R D2
L B2 F' R U' D R
L B2 F' R U' D' R
L B2 F' R U' D2 R
L B2 F' R D U' R
L B2 F' R D' U' R
L B2 F' R D2 U' R
D B2 F2 R' U L2 B
D B2 F2 R' U B L2
L B2 F' D' R F2 U'
L B2 F2 R U' R B
L B2 F2 U' R B R
