B' L2 U F' B' L'
B' L2 U B' F' L'
B' U L' F' L' B'
B' U L2 F' B' L'
B' U L2 B' F' L'
B' U F' L' D2 B2
B' U F' D2 L' B2
B' U F' D2 B2 L'
B' D' L2 U F' B' L'
B' D' L2 U B' F' L'
L2 F' D R2 D B' L
B' D' U L' F' L' B'
B' D' U L2 F' B' L'
B' D' U L2 B' F' L'
B' D' U F' L' D2 B2
B' D' U F' D2 L' B2
B' D' U F' D2 B2 L'
B' D2 L2 U F' B' L'
B' D2 L2 U B' F' L'
B' D2 U L' F' L' B'
B' D2 U L2 F' B' L'
B' D2 U L2 B' F' L'
B' D2 U F' L' D2 B2
B' D2 U F' D2 L' B2
B' D2 U F' D2 B2 L'
F' D2 B2 U' B U L
R2 B D L2 U2 B' L
R2 B D' F U2 L' R2
R2 B D' F U2 R2 L'
D2 B' L2 U F' B' L'
D2 B' L2 U B' F' L'
D' B' L2 U F' B' L'
D' B' L2 U B' F' L'
D B' L2 U F' B' L'
D B' L2 U B' F' L'
D2 B' U L' F' L' B'
D2 B' U L2 F' B' L'
D2 B' U L2 B' F' L'
D' B' U L' F' L' B'
D' B' U L2 F' B' L'
D' B' U L2 B' F' L'
U' B' U F' D2 B2 L
D2 B' U F' L' D2 B2
D2 B' U F' D2 L' B2
D2 B' U F' D2 B2 L'
D' B' U F' L' D2 B2
D' B' U F' D2 L' B2
D' B' U F' D2 B2 L'
U' B' U' F R' U2 F2
L2 B' U F U' F2 L'
D B' U L' F' L' B'
D B' U L2 F' B' L'
D B' U L2 B' F' L'
D B' U F' L' D2 B2
D B' U F' D2 L' B2
D B' U F' D2 B2 L'
U2 B' U' F R U2 F2
U2 B' U' F U2 F2 L'
L2 B2 F U' F2 B L
L2 B2 F U' B L F2
L2 B2 F U' B F2 L
