R' B U' L R2
R' B U' R2 L
D2 R' B U' L R2
D2 R' B U' R2 L
D' R' B U' L R2
D' R' B U' R2 L
D R' B U' L R2
D R' B U' R2 L
R' U2 F' U L' R2
R' U2 F' U R2 L'
B U' L' R B' L2
R' D' F2 B U' L
B U' L' B' L2 R
B U' L' B' R L2
R' D' B F2 U' L
B U' R L' B' L2
R' F B U' L R2
R' F B U' R2 L
R' F' B U' L R2
R' F' B U' R2 L
R' F2 B U' L R2
R' F2 B U' R2 L
R' B U' L R2 D
R' B U' L R2 D'
R' B U' L R2 D2
R' B U' R2 L D
R' B U' R2 L D'
R' B U' R2 L D2
R' B U' R2 D L
R' B U' R2 D' L
R' B U' R2 D2 L
R B R2 U' L R2
R B R2 U' R2 L
R' B D' F2 U' L
R' B F U' L R2
R' B F U' R2 L
R' B F' U' L R2
R' B F' U' R2 L
R' B F2 U' L R2
R' B F2 U' R2 L
R' B' U R' U2 R'
B R2 U' L' R' B' L2
B R2 U' R' L' B' L2
R' U2 B F' U L' R2
R' U2 B F' U R2 L'
R' U2 B' F' U L' R2
R' U2 B' F' U R2 L'
R' U2 B2 F' U L' R2
R' U2 B2 F' U R2 L'
R2 D R B U' L R2
R2 D R B U' R2 L
R' D U2 F' B2 U L'
R' D U2 B2 F' U L'
B U L' R B L2 F
B U L2 U2 L' R B'
B U L2 U2 L' B' R
B U L2 U2 R L' B'
B U R L' B L2 F
B U R' U2 L R2 B
B U R' U2 R2 L B
B U R' F' U2 L R2
B U R' F' U2 R2 L
B U R2 U2 L R' B
B U R2 U2 R' L B
B' U D' R' U2 B R2
R2 D' R B U' L R2
R2 D' R B U' R2 L
B U' L R U2 F U2
B U' L' R B L2 B2
B U' L' R B' L2 D
B U' L' R B' L2 D'
B U' L' R B' L2 D2
B U' L' R B2 L2 B
B U' L' R' B' L2 R2
B U' L' R' B' R2 L2
B U' L' B L2 R B2
B U' L' B L2 B2 R
B U' L' B R L2 B2
B U' L' B R B2 L2
B U' L' B' L2 R D
B U' L' B' L2 R D'
B U' L' B' L2 R D2
B U' L' B' L2 D R
B U' L' B' L2 D' R
B U' L' B' L2 D2 R
B U' L' B' R L2 D
B U' L' B' R L2 D'
B U' L' B' R L2 D2
B U' L' B2 L2 B R
R' D' F2 U2 F' U L'
R' D' F2 D B U' L
R' D' F2 D' B U' L
R' D' F2 D2 B U' L
R' D' F2 B U' L D
R' D' F2 B U' L D'
R' D' F2 B U' L D2
R' D' F2 B U' D L
R' D' F2 B U' D' L
R' D' F2 B U' D2 L
R' D' F2 B D U' L
R' D' F2 B D' U' L
R' D' F2 B D2 U' L
R' D' F2 B' U R' U2
B U' R L U2 F U2
B U' R L' B L2 B2
B U' R L' B' L2 D
B U' R L' B' L2 D'
B U' R L' B' L2 D2
B U' R L' B2 L2 B
R' D' B U' L D R2
R' D' B U' D L R2
R' D' B U' D R2 L
R' D' B D U' L R2
R' D' B D U' R2 L
B U' R D L' B' L2
B U' R D' L' B' L2
B U' R D2 L' B' L2
R' D' B F2 U' L D
R' D' B F2 U' L D'
R' D' B F2 U' L D2
R' D' B F2 U' D L
R' D' B F2 U' D' L
R' D' B F2 U' D2 L
R' D' B F2 D U' L
R' D' B F2 D' U' L
R' D' B F2 D2 U' L
B U' R B L' B' L
B U' R' L' B' L2 R2
B U' R' L' B' R2 L2
R' D' B' F2 U R' U2
B' U' D B2 L R B'
B' U' D B2 L B' R
B' U' D B2 R L B'
B U' D L' R B' L2
B U' D L' B' L2 R
B U' D L' B' R L2
B U' D R L' B' L2
B U' D' L' R B' L2
B U' D' L' B' L2 R
B U' D' L' B' R L2
B U' D' R L' B' L2
B U' D2 L' R B' L2
B U' D2 L' B' L2 R
B U' D2 L' B' R L2
B U' D2 R L' B' L2
R2 D2 R B U' L R2
R2 D2 R B U' R2 L
B U' B L' R B' L
B U' B L' B' L R
B U' B L' B' R L
B U' B R L' B' L
B2 U2 L B' U L R
B2 U2 L B' U R L
B U2 L2 U L' R B'
B U2 L2 U L' B' R
B U2 L2 U R L' B'
R' D2 B U L2 U2 L'
R' D2 B U' D2 L R2
R' D2 B U' D2 R2 L
R' D2 B D F2 U' L
R' D2 B D2 U' L R2
R' D2 B D2 U' R2 L
R' D2 B' U L2 R' U2
R' D2 B' U R' L2 U2
B2 U2 B' U L R B
B2 U2 B' U R L B
B' U2 B2 U L R B
B' U2 B2 U R L B
R F R2 B U' L R2
R F R2 B U' R2 L
R' F U2 F' U L' R2
R' F U2 F' U R2 L'
R' F D' F2 B U' L
R' F D' B F2 U' L
R' F B U' L R2 D
R' F B U' L R2 D'
R' F B U' L R2 D2
R' F B U' R2 L D
R' F B U' R2 L D'
R' F B U' R2 L D2
R' F B U' R2 D L
R' F B U' R2 D' L
R' F B U' R2 D2 L
R' F B D' F2 U' L
R' F B' U R' U2 R'
R F B R2 U' L R2
R F B R2 U' R2 L
B' D U' B2 L R B'
B' D U' B2 L B' R
B' D U' B2 R L B'
B D U' L' R B' L2
B D U' L' B' L2 R
B D U' L' B' R L2
B D U' R L' B' L2
B' D B2 U' L R B'
B' D B2 U' L B' R
B' D B2 U' R L B'
R F' R2 B U' L R2
R F' R2 B U' R2 L
R' F' U2 F' U L' R2
R' F' U2 F' U R2 L'
R' F' D' F2 B U' L
R' F' D' B F2 U' L
R' F' B U' L R2 D
R' F' B U' L R2 D'
R' F' B U' L R2 D2
R' F' B U' R2 L D
R' F' B U' R2 L D'
R' F' B U' R2 L D2
R' F' B U' R2 D L
R' F' B U' R2 D' L
R' F' B U' R2 D2 L
R' F' B D' F2 U' L
R' F' B' U R' U2 R'
B' D' U R' U2 B R2
R F' B R2 U' L R2
R F' B R2 U' R2 L
B D' U' L' R B' L2
B D' U' L' B' L2 R
B D' U' L' B' R L2
B D' U' R L' B' L2
B2 D' B2 R' B U' R2
R F2 R2 B U' L R2
R F2 R2 B U' R2 L
R' F2 U2 F' U L' R2
R' F2 U2 F' U R2 L'
R' F2 D' F2 B U' L
R' F2 D' B F2 U' L
R' F2 B U' L R2 D
R' F2 B U' L R2 D'
R' F2 B U' L R2 D2
R' F2 B U' R2 L D
R' F2 B U' R2 L D'
R' F2 B U' R2 L D2
R' F2 B U' R2 D L
R' F2 B U' R2 D' L
R' F2 B U' R2 D2 L
R' F2 B D' F2 U' L
R' F2 B' U R' U2 R'
F D2 R' B U' L R'
F D2 R' B U' R' L
R F2 B R2 U' L R2
R F2 B R2 U' R2 L
B D2 U' L' R B' L2
B D2 U' L' B' L2 R
B D2 U' L' B' R L2
B D2 U' R L' B' L2
R B L U L' R2 U'
R B L U R2 L' U'
L2 B L2 U' L' R B'
L2 B L2 U' L' B' R
L2 B L2 U' R L' B'
R B L2 D L' F2 B2
R B L2 D L' B2 F2
R B L2 D B2 L' F2
R' B U L' U2 L2 R2
R' B U L' U2 R2 L2
R' B U L2 U2 L' R2
R' B U L2 U2 R2 L'
R' B U R U2 L R
R' B U R U2 R L
R' B U R' U2 L R'
R' B U R' U2 R' L
R' B U D2 L2 U2 L'
R' B U' L R D R
R' B U' L R D' R
R' B U' L R D2 R
R' B U' L R' D R'
R' B U' L R' D' R'
R' B U' L R' D2 R'
R' B U' L F' R2 F
R' B U' L F2 R2 F2
R' B U' L B R2 B'
R' B U' L B2 R2 B2
D2 B U' L' R B' L2
R' B U' L2 R2 D L'
R' B U' L2 R2 D' L'
R' B U' L2 R2 D2 L'
D2 B U' L' B' L2 R
D2 B U' L' B' R L2
D' B U' L' R B' L2
R' B U' R L D R
R' B U' R L D' R
R' B U' R L D2 R
R' B U' R D L R
R' B U' R D R L
R' B U' R D' L R
R' B U' R D' R L
R' B U' R D2 L R
R' B U' R D2 R L
D' B U' L' B' L2 R
D' B U' L' B' R L2
D2 B U' R L' B' L2
R' B U' R' L D R'
R' B U' R' L D' R'
R' B U' R' L D2 R'
R' B U' R' D L R'
R' B U' R' D R' L
R' B U' R' D' L R'
R' B U' R' D' R' L
R' B U' R' D2 L R'
R' B U' R' D2 R' L
D' B U' R L' B' L2
R' B U' R2 L2 D L'
R' B U' R2 L2 D' L'
R' B U' R2 L2 D2 L'
R' B U' R2 D L D
R' B U' R2 D L D'
R' B U' R2 D L D2
R' B U' R2 D' L D
R' B U' R2 D' L D'
R' B U' R2 D' L D2
R' B U' R2 D2 L D
R' B U' R2 D2 L D'
R' B U' R2 D2 L D2
R' B U' R2 F L F'
R' B U' R2 F2 L F2
R' B U' D L D' R2
R' B U' D' L D R2
R' B U' F L F' R2
R' B U' F' R2 F L
R' B U' F2 L R2 F2
R' B U' F2 L F2 R2
R' B U' F2 R2 L F2
R' B U' F2 R2 F2 L
R' B U' B R2 B' L
R B R2 U' L R2 D
R B R2 U' L R2 D'
R B R2 U' L R2 D2
R B R2 U' R2 L D
R B R2 U' R2 L D'
R B R2 U' R2 L D2
R B R2 U' R2 D L
R B R2 U' R2 D' L
R B R2 U' R2 D2 L
R B R2 D' F2 U' L
R B R2 F U' L R2
R B R2 F U' R2 L
R B R2 F' U' L R2
R B R2 F' U' R2 L
R B R2 F2 U' L R2
R B R2 F2 U' R2 L
R' B U2 F U L R2
R' B U2 F U R2 L
D B U' L' R B' L2
R' B U2 F' U L R2
R' B U2 F' U R2 L
D B U' L' B' L2 R
D B U' L' B' R L2
R' B U2 F2 U L R2
R' B U2 F2 U R2 L
D B U' R L' B' L2
R' B D U' L D' R2
R' B D' U' L D R2
R' B D' F2 U' L D
R' B D' F2 U' L D'
R' B D' F2 U' L D2
R' B D' F2 U' D L
R' B D' F2 U' D' L
R' B D' F2 U' D2 L
R' B D' F2 D U' L
R' B D' F2 D' U' L
R' B D' F2 D2 U' L
R' B D2 U L2 U2 L'
R' B F U' L R2 D
R' B F U' L R2 D'
R' B F U' L R2 D2
R' B F U' R2 L D
R' B F U' R2 L D'
R' B F U' R2 L D2
R' B F U' R2 D L
R' B F U' R2 D' L
R' B F U' R2 D2 L
R' B F D' F2 U' L
R' B F' U' L R2 D
R' B F' U' L R2 D'
R' B F' U' L R2 D2
R' B F' U' R2 L D
R' B F' U' R2 L D'
R' B F' U' R2 L D2
R' B F' U' R2 D L
R' B F' U' R2 D' L
R' B F' U' R2 D2 L
R' B F' D' F2 U' L
R' B F2 U' L R2 D
R' B F2 U' L R2 D'
R' B F2 U' L R2 D2
R' B F2 U' R2 L D
R' B F2 U' R2 L D'
R' B F2 U' R2 L D2
R' B F2 U' R2 D L
R' B F2 U' R2 D' L
R' B F2 U' R2 D2 L
R' B F2 D' F2 U' L
R B F R2 U' L R2
R B F R2 U' R2 L
R B F' R2 U' L R2
R B F' R2 U' R2 L
R B F2 R2 U' L R2
R B F2 R2 U' R2 L
R B' L2 D F2 B2 L
R B' L2 D B2 L F2
R B' L2 D B2 F2 L
R' B' U L R' U2 R'
R' B' U L' R' U2 R'
R' B' U L2 R' U2 R'
R' B' U R' L U2 R'
R' B' U R' L' U2 R'
R' B' U R' L2 U2 R'
R' B' U R' U2 R' D
R' B' U R' U2 R' D'
R' B' U R' U2 R' D2
R' B' U R' U2 D R'
R' B' U R' U2 D' R'
R' B' U R' U2 D2 R'
R' B' U R' D U2 R'
R' B' U R' D' U2 R'
R' B' U R' D2 U2 R'
R' B' U D2 L2 R' U2
R' B' U D2 R' L2 U2
R' B' U' R D2 L2 R
R' B' U' R D2 R L2
R' B' U' R2 U2 R U2
R' B' U' R2 F2 L' F2
R' B' U' F2 R2 F2 L'
R' B' U' B2 L R2 B2
R' B' U' B2 L B2 R2
R' B' U' B2 R2 L B2
R B' R2 U R U2 R
R B' R2 D' F2 U' L'
R' B' U2 D B2 U L
R B' R2 F2 U' L' R2
R B' R2 F2 U' R2 L'
R' B' U2 B2 U L R2
R' B' U2 B2 U R2 L
R' B' D U2 B2 U L
R' B' D' F2 U R' U2
R' B' D' F2 B2 U' L
R' B' D' B2 F2 U' L
R' B' D2 U L2 R' U2
R' B' D2 U R' L2 U2
R' B' F U R' U2 R'
R' B' F' U R' U2 R'
R' B' F2 U R' U2 R'
U' B2 L F U F' R
R' B2 U' R2 B' L B
R' B2 U' B' L B R2
R B2 R2 B' U' L R2
R B2 R2 B' U' R2 L
R' B2 U2 B' U L R2
R' B2 U2 B' U R2 L
