B U' F' R' U'
B L U' F' R' U'
B L' U' F' R' U'
B L2 U' F' R' U'
B U' D F' R' U'
B U' D' F' R' U'
B U' D2 F' R' U'
B U' F R' F2 U'
B U' F' R' U' D
B U' F' R' U' D'
B U' F' R' U' D2
B U' F' R' D U'
B U' F' R' D' U'
B U' F' R' D2 U'
B U' F' D R' U'
B U' F' D' R' U'
B U' F' D2 R' U'
B U' F2 R' F U'
B D U' F' R' U'
B D' U' F' R' U'
B D2 U' F' R' U'
L' B U' F' R' U'
D2 B U' F' R U'
L2 B U' F' R' U'
L B U' F' R' U'
F' B U' R' U' R
F2 B U' R' F U'
F2 B U' F R' U'
B F U' R' F2 U'
F B U' R' F2 U'
B F U' F2 R' U'
B F U' F2 R' U'
F B U' F2 R' U'
F B U' F2 R' U'
B F' U' R' U' R
B F2 U' R' F U'
B F2 U' F R' U'
R' D' R B F' U2 R
B U B2 L U2 F' U'
U2 D' R' D B R' F'
B U' L' F' L R' U'
B U' L' F' R' L U'
B U' L2 F' L2 R' U'
B U' L2 F' R' L2 U'
B U' R' D' F' U' R
B U' D F R' F2 U'
B U' D F' R' U' D
B U' D F' R' U' D'
B U' D F' R' U' D2
B U' D F' R' D U'
B U' D F' R' D' U'
B U' D F' R' D2 U'
B U' D F' D R' U'
B U' D F' D' R' U'
B U' D F' D2 R' U'
B U' D F2 R' F U'
B U' D' F R' F2 U'
B U' D' F' R' U' D
B U' D' F' R' U' D'
B U' D' F' R' U' D2
B U' D' F' R' D U'
B U' D' F' R' D' U'
B U' D' F' R' D2 U'
B U' D' F' D R' U'
B U' D' F' D' R' U'
B U' D' F' D2 R' U'
B U' D' F2 R' F U'
B U' D2 F R' F2 U'
B U' D2 F' R' U' D
B U' D2 F' R' U' D'
B U' D2 F' R' U' D2
B U' D2 F' R' D U'
B U' D2 F' R' D' U'
B U' D2 F' R' D2 U'
B U' D2 F' D R' U'
B U' D2 F' D' R' U'
B U' D2 F' D2 R' U'
B U' D2 F2 R' F U'
B U' F R F2 R2 U'
B U' F R' U' D R2
B U' F R' D U' R2
B U' F R' F2 U' D
B U' F R' F2 U' D'
B U' F R' F2 U' D2
B U' F R' F2 D U'
B U' F R' F2 D' U'
B U' F R' F2 D2 U'
B U' F D R' U' R'
B U' F' R U' D B2
B U' F' R D U' B2
B U' F' R2 D R U'
B U' F' R2 D' R U'
B U' F' R2 D2 R U'
B U' F' D R' U' D
B U' F' D R' U' D'
B U' F' D R' U' D2
B U' F' D R' D U'
B U' F' D R' D' U'
B U' F' D R' D2 U'
B U' F' D' R' U' D
B U' F' D' R' U' D'
B U' F' D' R' U' D2
B U' F' D' R' D U'
B U' F' D' R' D' U'
B U' F' D' R' D2 U'
B U' F' D2 R' U' D
B U' F' D2 R' U' D'
B U' F' D2 R' U' D2
B U' F' D2 R' D U'
B U' F' D2 R' D' U'
B U' F' D2 R' D2 U'
B U' F2 R F R2 U'
B U' F2 R' D F U'
B U' F2 R' D' F U'
B U' F2 R' D2 F U'
B U' F2 R' F U' D
B U' F2 R' F U' D'
B U' F2 R' F U' D2
B U' F2 R' F D U'
B U' F2 R' F D' U'
B U' F2 R' F D2 U'
B U' F2 D R' F U'
B U' F2 D F R' U'
B U' F2 D' R' F U'
B U' F2 D' F R' U'
B U' F2 D2 R' F U'
B U' F2 D2 F R' U'
D' U2 R' D B R' F'
L' D2 B U' F' R U'
L2 D2 B U' F' R U'
L D2 B U' F' R U'
B D L U' F' R' U'
F D L U2 R2 F' B'
F D L U2 R2 B' F'
F D L B U2 R2 B2
F D L B U2 B2 R2
B D L' U' F' R' U'
F D L' F U2 R2 F'
F D L' F B U2 R2
F D L' B F U2 R2
B D L2 U' F' R' U'
D2 F B U' F2 R U'
L' F B U' R' F2 U'
L' F B U' F2 R' U'
L2 F B U' R' F2 U'
L2 F B U' F2 R' U'
L F B U' R' F2 U'
L F B U' F2 R' U'
B D U' F R' F2 U'
B D U' F' R' U' D
B D U' F' R' U' D'
B D U' F' R' U' D2
B D U' F' R' D U'
B D U' F' R' D' U'
B D U' F' R' D2 U'
B D U' F' D R' U'
B D U' F' D' R' U'
B D U' F' D2 R' U'
B D U' F2 R' F U'
D2 F' R U R' B U2
B D F U' R' F2 U'
B D F U' F2 R' U'
B D F' U' R' U' R
B D F2 U' R' F U'
B D F2 U' F R' U'
F D B L U2 R2 B'
F D B L U2 B' R2
F D B L' F U2 R2
B2 D B' U' F' R' U'
U' F' U B U' R' U'
B D' L U' F' R' U'
B D' L' U' F' R' U'
B D' L2 U' F' R' U'
D2 F' B U' R U' R'
L' F' B U' R' U' R
L2 F' B U' R' U' R
B' D' U L R2 B U
B' D' U R2 L B U
L F' B U' R' U' R
B D' U' F R' F2 U'
B D' U' F' R' U' D
B D' U' F' R' U' D'
B D' U' F' R' U' D2
B D' U' F' R' D U'
B D' U' F' R' D' U'
B D' U' F' R' D2 U'
B D' U' F' D R' U'
B D' U' F' D' R' U'
B D' U' F' D2 R' U'
B D' U' F2 R' F U'
B D' F U' R' F2 U'
B D' F U' F2 R' U'
B D' F' U' R' U' R
B D' F2 U' R' F U'
B D' F2 U' F R' U'
B2 D' B' U' F' R' U'
B D2 L U' F' R' U'
B D2 L' U' F' R' U'
B D2 L2 U' F' R' U'
L' F2 B U' R' F U'
L' F2 B U' F R' U'
L2 F2 B U' R' F U'
L2 F2 B U' F R' U'
L F2 B U' R' F U'
L F2 B U' F R' U'
D2 B L U' F' R U'
L' B L U' F' R' U'
L2 B L U' F' R' U'
D2 B L' U' F' R U'
L' B L' U' F' R' U'
B D2 U' F R' F2 U'
B D2 U' F' R' U' D
B D2 U' F' R' U' D'
B D2 U' F' R' U' D2
B D2 U' F' R' D U'
B D2 U' F' R' D' U'
B D2 U' F' R' D2 U'
D B L U' F' U' B'
B D2 U' F' D R' U'
B D2 U' F' D' R' U'
B D2 U' F' D2 R' U'
B D2 U' F2 R' F U'
L2 B L' U' F' R' U'
D2 B L2 U' F' R U'
L B L U' F' R' U'
L' B L2 U' F' R' U'
D B L' F U' F2 U'
D B L' F U2 D R2
D B L' F D U2 R2
D B L' F D' L2 U2
L2 B L2 U' F' R' U'
L B L' U' F' R' U'
B D2 F U' R' F2 U'
B D2 F U' F2 R' U'
L B L2 U' F' R' U'
B D2 F' U' R' U' R
B D2 F2 U' R' F U'
B D2 F2 U' F R' U'
B2 D2 B' U' F' R' U'
U' B U' F' R' B' U'
D' B U' D' F' R U'
L' B U' D F' R' U'
D2 B U' F' R U' D
D2 B U' F' R U' D'
D2 B U' F' R U' D2
D2 B U' F' R D U'
D2 B U' F' R D' U'
D2 B U' F' R D2 U'
L' B U' D' F' R' U'
D2 B U' F' D R U'
D2 B U' F' D' R U'
D2 B U' F' D2 R U'
D' B U' F' R' U' B
L' B U' D2 F' R' U'
L' B U' F R' F2 U'
L' B U' F' R' U' D
L' B U' F' R' U' D'
L' B U' F' R' U' D2
L' B U' F' R' D U'
L' B U' F' R' D' U'
L' B U' F' R' D2 U'
L' B U' F' D R' U'
L' B U' F' D' R' U'
L' B U' F' D2 R' U'
L' B U' F2 R' F U'
F' B L U' R' U' R
L2 B U' D F' R' U'
D' B U2 R' D B R'
L2 B U' D' F' R' U'
L2 B U' D2 F' R' U'
L2 B U' F R' F2 U'
L2 B U' F' R' U' D
L2 B U' F' R' U' D'
L2 B U' F' R' U' D2
L2 B U' F' R' D U'
L2 B U' F' R' D' U'
L2 B U' F' R' D2 U'
L2 B U' F' D R' U'
L2 B U' F' D' R' U'
L2 B U' F' D2 R' U'
L2 B U' F2 R' F U'
D B U' D F' R U'
F' B L' U' R' U' R
B F L U' R' F2 U'
B F L U' F2 R' U'
L B U' D F' R' U'
L B U' D' F' R' U'
F B L U' R' F2 U'
L B U' D2 F' R' U'
L' B D U' F' R' U'
F B L U' F2 R' U'
L B U' F R' F2 U'
L B U' F' R' U' D
L B U' F' R' U' D'
L B U' F' R' U' D2
L B U' F' R' D U'
L B U' F' R' D' U'
L B U' F' R' D2 U'
L B U' F' D R' U'
L B U' F' D' R' U'
L B U' F' D2 R' U'
L B U' F2 R' F U'
F' B L2 U' R' U' R
B F L' U' R' F2 U'
B F L' U' F2 R' U'
L2 B D U' F' R' U'
D' B D' U' F' R U'
F B L' U' R' F2 U'
L' B D' U' F' R' U'
F B L' U' F2 R' U'
U B U2 F' R' U' F
D B D U' F' R U'
B F L2 U' R' F2 U'
B F L2 U' F2 R' U'
L2 B D' U' F' R' U'
L B D U' F' R' U'
F B L2 U' R' F2 U'
L' B D2 U' F' R' U'
F B L2 U' F2 R' U'
L2 B D2 U' F' R' U'
D2 B F U' F2 R U'
L B D' U' F' R' U'
L' B F U' R' F2 U'
L' B F U' F2 R' U'
D2 B F' U' R U' R'
L2 B F U' R' F2 U'
L2 B F U' F2 R' U'
L' B F' U' R' U' R
L B D2 U' F' R' U'
L2 B F' U' R' U' R
L' B F2 U' R' F U'
L' B F2 U' F R' U'
L B F U' R' F2 U'
L B F U' F2 R' U'
L2 B F2 U' R' F U'
L2 B F2 U' F R' U'
F' B U' R' U' R D
F' B U' R' U' R D'
F' B U' R' U' R D2
F' B U' R' U' D R
F' B U' R' U' D' R
F' B U' R' U' D2 R
F' B U' R' D U' R
F' B U' R' D' U' R
F' B U' R' D2 U' R
F' B U' D R' U' R
F' B U' D' R' U' R
F' B U' D2 R' U' R
F2 B U' R F R2 U'
F' B U' F R' U' R
F2 B U' R' D F U'
F2 B U' R' D' F U'
F2 B U' R' D2 F U'
F2 B U' R' F U' D
F2 B U' R' F U' D'
F2 B U' R' F U' D2
F2 B U' R' F D U'
F2 B U' R' F D' U'
F2 B U' R' F D2 U'
F' B U' F' R' U' R
B F U D2 B2 L U
F' B U' F2 R' U' R
L B F' U' R' U' R
F2 B U' D R' F U'
F2 B U' D F R' U'
F2 B U' D' R' F U'
F2 B U' D' F R' U'
F2 B U' D2 R' F U'
F2 B U' D2 F R' U'
F2 B U' F R' U' D
F2 B U' F R' U' D'
F2 B U' F R' U' D2
F2 B U' F R' D U'
F2 B U' F R' D' U'
F2 B U' F R' D2 U'
F2 B U' F D R' U'
F2 B U' F D' R' U'
F2 B U' F D2 R' U'
F2 B U' F' R' F2 U'
F B U D2 B2 L U
B F U' R F2 R2 U'
B F U' R' U' D R2
B F U' R' D U' R2
B F U' R' F2 U' D
B F U' R' F2 U' D'
B F U' R' F2 U' D2
B F U' R' F2 D U'
B F U' R' F2 D' U'
B F U' R' F2 D2 U'
L B F2 U' R' F U'
B F U' D R' U' R'
L B F2 U' F R' U'
B F U' F R' F U'
B F U' F2 R' U' D
B F U' F2 R' U' D'
B F U' F2 R' U' D2
B F U' F2 R' D U'
B F U' F2 R' D' U'
B F U' F2 R' D2 U'
F B U' R F2 R2 U'
B F U' F2 D R' U'
B F U' F2 D' R' U'
B F U' F2 D2 R' U'
F B U' R' U' D R2
F B U' R' D U' R2
F B U' R' F2 U' D
F B U' R' F2 U' D'
F B U' R' F2 U' D2
F B U' R' F2 D U'
F B U' R' F2 D' U'
F B U' R' F2 D2 U'
F B U' D R' U' R'
F B U' F R' F U'
U B' L D' R2 B U
B F U2 R D R2 B2
B F U2 R D B2 R2
F B U' F2 R' U' D
F B U' F2 R' U' D'
F B U' F2 R' U' D2
F B U' F2 R' D U'
F B U' F2 R' D' U'
F B U' F2 R' D2 U'
F B U' F2 D R' U'
F B U' F2 D' R' U'
F B U' F2 D2 R' U'
F' B D U' R' U' R
F2 B D U' R' F U'
F2 B D U' F R' U'
F B U2 R D R2 B2
F B U2 R D B2 R2
F' B D' U' R' U' R
B F D U' R' U' R'
F2 B D' U' R' F U'
F2 B D' U' F R' U'
F B D U' R' U' R'
B F D' L2 U' R' U'
F' B D2 U' R' U' R
F2 B D2 U' R' F U'
F2 B D2 U' F R' U'
F B D' L2 U' R' U'
B F D2 U B2 L U
F B D2 U B2 L U
B F' L U' R' U' R
B F' L' U' R' U' R
B F' L2 U' R' U' R
U B' D' L R2 B U
U B' D' R2 L B U
B F' U' R' U' R D
B F' U' R' U' R D'
B F' U' R' U' R D2
B F' U' R' U' D R
B F' U' R' U' D' R
B F' U' R' U' D2 R
B F' U' R' D U' R
B F' U' R' D' U' R
B F' U' R' D2 U' R
B F' U' D R' U' R
B F' U' D' R' U' R
B F' U' D2 R' U' R
B F' U' F R' U' R
B F' U' F' R' U' R
B F' U' F2 R' U' R
B F' D U' R' U' R
B F' D' U' R' U' R
B F' D2 U' R' U' R
B F2 U' R F R2 U'
B F2 U' R' D F U'
B F2 U' R' D' F U'
B F2 U' R' D2 F U'
B F2 U' R' F U' D
B F2 U' R' F U' D'
B F2 U' R' F U' D2
B F2 U' R' F D U'
B F2 U' R' F D' U'
B F2 U' R' F D2 U'
B F2 U' D R' F U'
B F2 U' D F R' U'
B F2 U' D' R' F U'
B F2 U' D' F R' U'
B F2 U' D2 R' F U'
B F2 U' D2 F R' U'
B F2 U' F R' U' D
B F2 U' F R' U' D'
B F2 U' F R' U' D2
B F2 U' F R' D U'
B F2 U' F R' D' U'
B F2 U' F R' D2 U'
B F2 U' F D R' U'
B F2 U' F D' R' U'
B F2 U' F D2 R' U'
B F2 U' F' R' F2 U'
B F2 D U' R' F U'
B F2 D U' F R' U'
B F2 D' U' R' F U'
B F2 D' U' F R' U'
B F2 D2 U' R' F U'
B F2 D2 U' F R' U'
