B' L D B' U L2
B' L D2 F2 B' U
B' L D2 B' F2 U
B' L B' U2 B' U'
B R' F2 L' F U'
L' U2 F B R' U'
L' U2 B R' F U'
L' U2 B F R' U'
L2 U2 B R' F' U'
U2 D' B U' R' B
D' U2 B U' R' B
L B' L U D L2
L B' L U2 B2 U'
L B' L D U L2
L B' L D2 F2 U
L B' U2 B2 R' U'
L B' D L U L
L B' D2 L F2 U
L B' D2 F2 L U
L2 U2 B R' F' D2 U'
L' U2 B D2 R' F U'
L' U2 B D2 F R' U'
L' U2 B F R' U' D
L' U2 B F R' U' D'
L' U2 B F R' U' D2
L' U2 B F R' D U'
L' U2 B F R' D' U'
L' U2 B F R' D2 U'
L' U2 B F D R' U'
L' U2 B F D' R' U'
L' U2 B F D2 R' U'
L' U2 B F' R' F2 U'
L2 U2 B D R' F' U'
L2 U2 B D' R' F' U'
L2 U2 B D2 R' F' U'
L2 U2 B F R' F' U'
L U2 B R' U' D' R2
L U2 B R' U2 B2 U
L U2 B R' D' U' R2
L2 U2 B F' R' F' U'
L U2 B R' D2 F2 U'
L2 U2 B F2 R' F' U'
L U2 B U2 B2 L U
L U2 B D' R' U' R'
L U2 B D2 R' F2 U'
L U2 B D2 F2 R' U'
B R2 D2 L2 R F' U'
B R2 D2 R L2 F' U'
B R2 D2 R F' L2 U'
U2 D' R' U' B L R'
U2 D' R' U' B R' L
U2 D' F B U' R' B
U2 D' F' B U' R' B
U2 D' F2 B U' R' B
U2 D' B R U' R2 B
U2 D' B U' R' D B
U2 D' B U' R' D' B
U2 D' B U' R' D2 B
U2 D' B U' R' B D
U2 D' B U' R' B D'
U2 D' B U' R' B D2
U2 D' B F U' R' B
U2 D' B F' U' R' B
U2 D' B F2 U' R' B
D' U2 R' U' B L R'
D' U2 R' U' B R' L
D' U2 F B U' R' B
D' U2 F' B U' R' B
D2 U2 F' B R F' U'
U2 D2 F' B R F' U'
D' U2 F2 B U' R' B
D' U2 B R U' R2 B
D2 U2 B R F' R U'
D' U2 B U' R' D B
D' U2 B U' R' D' B
D' U2 B U' R' D2 B
D' U2 B U' R' B D
D' U2 B U' R' B D'
D' U2 B U' R' B D2
D' U2 B F U' R' B
D' U2 B F' U' R' B
D' U2 B F2 U' R' B
U2 D2 B R F' R U'
D2 U2 B F' R F' U'
U2 D2 B F' R F' U'
F' U2 D' B U' R' B
F2 U2 D' B U' R' B
F U2 D' B U' R' B
B' D L F' U L R
B' D L F' U R L
D' F U2 B U' R' B
L2 F U2 B R' F' U'
U2 F D' B U' R' B
L' F B R' U2 R U
L F B' L U D L2
L F B' L U2 B2 U'
L F B' L D U L2
L F B' L D2 F2 U
L F B' U2 B2 R' U'
L F B' D L U L
L F B' D2 L F2 U
L F B' D2 F2 L U
R2 F' L R2 B' L U
R2 F' L B' L R2 U
R2 F' L B' R2 L U
B' D F' L U L R
B' D F' L U R L
R2 F' R2 L B' L U
R2 F' R2 B' L B' U
D2 F' U2 B R F' U'
D' F' U2 B U' R' B
L' F' U2 F2 B R' U'
L' F' U2 B R' F2 U'
L' F' U2 B F2 R' U'
L2 F' U2 B R' F' U'
U2 F' D' B U' R' B
L' F' B R' F2 L' U'
R2 F' B' L R2 B' U
R2 F' B' L B' R2 U
R2 F' B' R2 L B' U
L F' B' L U D L2
L F' B' L U2 B2 U'
L F' B' L D U L2
L F' B' L D2 F2 U
L F' B' U2 B2 R' U'
L F' B' D L U L
L F' B' D2 L F2 U
L F' B' D2 F2 L U
F' D' U2 B U' R' B
F2 D' U2 B U' R' B
F D' U2 B U' R' B
D' F2 U2 B U' R' B
L' F2 U2 F' B R' U'
L' F2 U2 B F' R' U'
L2 F2 U2 B R' F' U'
U2 F2 D' B U' R' B
B D2 R' U2 B R U
L F2 B' L U D L2
L F2 B' L U2 B2 U'
L F2 B' L D U L2
L F2 B' L D2 F2 U
L F2 B' U2 B2 R' U'
L F2 B' D L U L
L F2 B' D2 L F2 U
L F2 B' D2 F2 L U
U' B L2 R' U' F R
U2 B L' R' F L U'
U2 B L' F L R' U'
U2 B L' F R' L U'
U B L' R' F U' F'
U' B R' L2 U' F R
B' D2 F2 D2 L B' U
U2 B R' L' F L U'
L' B R' F2 L' F' U'
L2 B R' U2 R B U
U2 B R' D F' U' R
U B R' L' F U' F'
U2 B R2 D2 R F' U'
L B R' U2 R B2 U
L B R' U2 B2 R U
L B R' D2 F2 L' U'
B' F L D B' U L2
B' F L D2 F2 B' U
B' F L D2 B' F2 U
B' F L B' U2 B' U'
U2 B U2 B2 L B' U
U2 B D R' F' U' R
U2 B D F' R' U' R2
U2 B D2 R F' R2 U'
U2 B D2 R' U2 B U
F' B R' F2 L' F U'
L' B F R' U2 R U
F2 B R' F2 L' F U'
L' B F' R' F2 L' U'
L B D2 R' F2 L' U'
B F R' F2 L' F U'
F B R' F2 L' F U'
L2 B' L U2 F B2 U'
L2 B' L U2 B2 F U'
R2 B' L F' R2 B' U
R2 B' L F' B' R2 U
R2 B' L B' F' R2 U
L B' L U L D L2
L B' L U L' D L2
L B' L U L2 D L2
L B' L U D L2 D
L B' L U D L2 D'
L B' L U D L2 D2
L B' L U' D' R2 U2
L B' L U2 B2 U' D
L B' L U2 B2 U' D'
L B' L U2 B2 U' D2
L B' L U2 B2 D U'
L B' L U2 B2 D' U'
L B' L U2 B2 D2 U'
L B' L D U L2 D
L B' L D U L2 D'
L B' L D U L2 D2
L B' L D F U L2
L B' L D F' U L2
L B' L D F2 U L2
L B' L D' U' R2 U2
L2 B' L' B' L2 F U
L B' L D2 F2 U D
L B' L D2 F2 U D'
L B' L D2 F2 U D2
L B' L D2 F2 D U
L B' L D2 F2 D' U
L B' L D2 F2 D2 U
L B' L F U D L2
L B' L F U2 B2 U'
L B' L F D U L2
L B' L F D2 F2 U
L B' L F' U D L2
L B' L F' U2 B2 U'
L B' L F' D U L2
L B' L F' D2 F2 U
L B' L F2 U D L2
L B' L F2 U2 B2 U'
L B' L F2 D U L2
L B' L F2 D2 F2 U
L B' L2 D L' U L'
L B' L2 D2 L' F2 U
B' F' L D B' U L2
B' F' L D2 F2 B' U
B' F' L D2 B' F2 U
F' B' L D B' U L2
B' F' L B' U2 B' U'
F' B' L D2 F2 B' U
F' B' L D2 B' F2 U
F2 B' L D B' U L2
F2 B' L D2 F2 B' U
F' B' L B' U2 B' U'
F2 B' L D2 B' F2 U
F2 B' L B' U2 B' U'
F B' L D B' U L2
F B' L D2 F2 B' U
F B' L D2 B' F2 U
F B' L B' U2 B' U'
L' B' U2 F B2 R' U'
D' B' U2 B2 U' R' B
L' B' U2 B2 R' F U'
L' B' U2 B2 F R' U'
L2 B' U2 B2 R' F' U'
L B' U2 R B2 R' U'
L B' U2 R' B2 R' U'
L B' U2 R2 B2 R' U'
L B' U2 B2 R' U' D
L B' U2 B2 R' U' D'
L B' U2 B2 R' U' D2
L B' U2 B2 R' D U'
L B' U2 B2 R' D' U'
L B' U2 B2 R' D2 U'
B F' R' F2 L' F U'
L B' U2 B2 D R' U'
L B' U2 B2 D' R' U'
L B' U2 B2 D2 R' U'
L B' D L U L D
L B' D L U L D'
L B' D L U L D2
L B' D L U D L
L B' D L U D' L
L B' D L U D2 L
L B' D L D U L
L B' D L D' U L
L B' D L D2 U L
L B' D L F U L
L B' D L F' U L
L B' D L F2 U L
L B' D F L U L
L B' D F' L U L
L B' D F2 L U L
L B' D' L U D2 L2
L B' D' L U' R2 U2
L B' D' L D' F2 U
L B' D' L D2 U L2
L B' D2 L U D' L2
L B' D2 L D' U L2
L B' D2 L F2 U D
L B' D2 L F2 U D'
L B' D2 L F2 U D2
L B' D2 L F2 D U
L B' D2 L F2 D' U
L B' D2 L F2 D2 U
L B' D2 L' F2 L2 U
L B' D2 F' L F' U
L B' D2 F2 L U D
L B' D2 F2 L U D'
L B' D2 F2 L U D2
L B' D2 F2 L D U
L B' D2 F2 L D' U
L B' D2 F2 L D2 U
L B' D2 F2 D L U
L B' D2 F2 D' L U
L B' D2 F2 D2 L U
R2 B' F' L R2 B' U
L B' F L U D L2
L B' F L U2 B2 U'
L B' F L D U L2
L B' F L D2 F2 U
R2 B' F' L B' R2 U
R2 B' F' R2 L B' U
L B' F U2 B2 R' U'
L B' F D L U L
L B' F D2 L F2 U
L B' F D2 F2 L U
L B' F' L U D L2
L B' F' L U2 B2 U'
L B' F' L D U L2
L B' F' L D2 F2 U
L B' F' U2 B2 R' U'
L B' F' D L U L
L B' F' D2 L F2 U
L B' F' D2 F2 L U
L B' F2 L U D L2
L B' F2 L U2 B2 U'
L B' F2 L D U L2
L B' F2 L D2 F2 U
L B' F2 U2 B2 R' U'
L B' F2 D L U L
L B' F2 D2 L F2 U
L B' F2 D2 F2 L U
B' F2 L D B' U L2
B' F2 L D2 F2 B' U
B' F2 L D2 B' F2 U
L B2 L B L F U
B' F2 L B' U2 B' U'
L B2 L2 F B L U
L B2 L2 B F L U
B F2 R' F2 L' F U'
L' B2 U2 F R B' U'
L' B2 U2 F B' R U'
L' B2 U2 B' F R U'
