D' L' U2 F' B' L
D' L' U2 B' L F'
D' L' U2 B' F' L
L' U F U F2 B'
L' U F U B' F2
F2 R D F L' B'
L' U2 F' D' B' L2
L' U2 F' B' D' L2
L' U2 B' F' D' L2
F2 D R F L' B'
L' U2 D' B' F' D' L2
L' U2 D2 F' D' B' L2
L' U2 D2 F' B' D' L2
L' U2 D2 B' F' D' L2
D' R2 L' B R' U2 B2
D' R2 L' B U2 B2 L
L' U2 F' L2 D' L2 B'
L' U2 F' U' F2 U B'
L' U2 F' D B' D2 L2
L' U2 F' D' B L2 B2
L' U2 F' D' B' L2 D
L' U2 F' D' B' L2 D'
L' U2 F' D' B' L2 D2
L' U2 F' D' B2 L2 B
L' U2 F' B' L D' L2
L' U2 F' B' L' D' L2
L' U2 F' B' L2 D' L2
L' U2 F' B' U' F2 U
L' U2 F' B' D' L2 D
L' U2 F' B' D' L2 D'
L' U2 F' B' D' L2 D2
L' U2 F' B2 D' L2 B
L' U2 F' B2 D' B L2
L' U2 B' U' F U F2
L' U2 B' D F' D' L2
L' U2 B' D' F' D' L2
L' U2 B' D2 F' D' L2
L' U2 B' F' L D' L2
L' U2 B' F' L' D' L2
L' U2 B' F' L2 D' L2
L' U2 B' F' U' F2 U
L' U2 B' F' D' L2 D
L' U2 B' F' D' L2 D'
L' U2 B' F' D' L2 D2
F2 R2 D R' F L' B'
F2 R2 D F L' R' B'
F2 R2 D F R' L' B'
L' U2 B2 F' D' L2 B
L' U2 B2 F' D' B L2
D' R2 B L' R' U2 B'
D' R2 B R' L' U2 B'
L' D U F U F2 B'
L' D U F U B' F2
L' D U2 F' D' B' L2
L' D U2 F' B' D' L2
L' D U2 B' F' D' L2
R2 D' L' B R' U2 B2
R2 D' L' B U2 B2 L
R D' L' U2 B' L F
L' D' U F U F2 B'
L' D' U F U B' F2
L' D' U2 F' D' B' L2
L' D' U2 F' B' D' L2
L' D' U2 B' F' D' L2
R2 D' B L' R' U2 B'
R2 D' B R' L' U2 B'
L' D2 U F U F2 B'
L' D2 U F U B' F2
L' D2 U2 F' D' B' L2
L' D2 U2 F' B' D' L2
L' D2 U2 B' F' D' L2
F2 U2 R D F L' B
F2 U2 R D F B L'
F2 U2 R D B F L'
F2 U2 R B D F L'
F2 U2 D R F L' B
F2 U2 D R F B L'
F2 U2 D R B F L'
D F L' F R F B'
D F L' F R B' F
D F L' F B' R F
D F L' B' F R F
L F L2 U F U F
F2 D R F L' D B'
F2 D R F L' D' B'
F2 D R F L' D2 B'
F2 D R F L' B' D
F2 D R F L' B' D'
F2 D R F L' B' D2
F2 D R F D L' B'
F2 D R F D' L' B'
F2 D R F D2 L' B'
F2 D R F B L' B'
F2 D R F B' L' B'
F2 D R F B2 L' B'
F2 D R B F L' B'
F2 D R B' F L' B'
F2 D R B2 F L' B'
F2 D R' F L' R2 B'
F2 D R' F L' B' R2
F2 D R' F R2 L' B'
F2 D R2 F L' R' B'
F2 D R2 F R' L' B'
F2 D U2 R F L' B
F2 D U2 R F B L'
F2 D U2 R B F L'
F2 D B R F L' B'
F2 D B' R F L' B'
F2 D B2 R F L' B'
B' D' L' U2 F' B' L
B' D' L' U2 B' L F'
B' D' L' U2 B' F' L
F2 D' L' R B' L F
B2 D' L' U2 F' B' L
B2 D' L' U2 B' L F'
B2 D' L' U2 B' F' L
F2 D' L' B' L R F
F2 D' L' B' R L F
B D' L' U2 F' B' L
B D' L' U2 B' L F'
B D' L' U2 B' F' L
L' F' D' B' L2 D2 R2
F2 D' R L' B' L F
F2 D' R D2 F L' B'
F2 D' R F L' B' L
L' F' B' D' L2 D2 R2
D' F2 L' R B' L F
D' F2 L' B' L R F
D' F2 L' B' R L F
D' F2 R L' B' L F
D' F2 R D2 F L' B'
D' F2 R F L' B' L
U2 F2 R D F L' B
U2 F2 R D F B L'
U2 F2 R D B F L'
U2 F2 R B D F L'
D F2 R F' L' F2 B'
D F2 R F' L' B' F2
L' F2 U F' U F2 B'
L' F2 U F' U B' F2
L' F2 U2 F D' B' L2
L' F2 U2 F B' D' L2
L' F2 U2 B' F D' L2
D F2 U2 R F B L
D F2 U2 R B F L
U2 F2 D R F L' B
U2 F2 D R F B L'
U2 F2 D R B F L'
D2 F2 D' R F L' B'
D' F2 D2 R F L' B'
R2 B L' U F U B'
L' B U F U F2 B2
L' B U F U B2 F2
L' B U2 F' B2 D' L2
L' B U2 B2 F' D' L2
R2 B D' L' U2 B' L
F2 B R D F L' B'
D' B' L F' D2 R2 B2
D' B' L F' D2 B2 R2
D' B' L' U2 F' B' L2
D' B' L' U2 B' L2 F'
D' B' L' U2 B' F' L2
F2 B D R F L' B'
L B' U L2 U2 F' B'
L B' U L2 U2 B' F'
L B' U F L2 U2 F2
L' B' U2 F' D' L2 B'
F2 B' R D F L' B'
L B' U' F' D2 R2 B2
L B' U' F' D2 B2 R2
L' B' F' D' L2 D2 R2
F2 B' D R F L' B'
D' B2 L' U2 F' B' L'
D' B2 L' U2 B' F' L'
B' F2 R D F L' B'
B2 F2 R D F L' B'
F2 B2 R D F L' B'
L' B2 U F U F2 B
L' B2 U F U B F2
B F2 R D F L' B'
L' B2 U2 F' D' L2 B
L' B2 U2 F' D' B L2
L' B2 U2 F' B D' L2
L' B2 U2 B F' D' L2
B' F2 D R F L' B'
B2 F2 D R F L' B'
F2 B2 D R F L' B'
B F2 D R F L' B'
