L2 R2 U' R F L
R2 L2 U' R F L
D L2 R' F L B2
D2 L2 U R' F L
D2 L2 U F L R'
D2 L2 U F R' L
D L2 F L R' B2
D L2 F R' L B2
R2 U B' U2 L' R
R2 U B' U2 R L'
R2 U' L' D2 R F'
R2 U' L2 R F L
R2 U' R L2 F L
D R B2 L' R2 F'
D R B2 R2 L' F'
D R' L2 F L B2
L2 D R' F L B2
L2 D F L R' B2
L2 D F R' L B2
L2 F L D R' B2
L2 F D L R' B2
L2 F D R' L B2
D' F2 R B' U2 R2
D B2 L' D2 R2 F'
L2 F L R' U R' U'
L2 F L U R2 U' R
L2 F L D R B2 R2
L2 F L D R' B2 D
L2 F L D R' B2 D'
L2 F L D R' B2 D2
L2 F L D R2 B2 R
L2 F L D' R' D2 B2
L2 F L D2 R' D' B2
L2 F L B2 D B2 R'
L2 F L2 D L' R' B2
L2 F L2 D R' L' B2
L2 F L2 D R' B2 L'
B' U2 B L' D R' B2
L2 F R' L U R' U'
L2 F R' U R' U' L
B' U2 B D L' R' B2
B' U2 B D R' L' B2
B' U2 B D R' B2 L'
D F R B2 R2 F' L'
B' U2 B' D B2 L' R'
B' U2 B' D B2 R' L'
L2 F U R2 U' L R
L2 F U R2 U' R L
B2 D L U2 B2 L2 F
B2 D L B U2 L2 B
B2 D L B U2 B L2
L2 F D L R B2 R2
L2 F D L R' B2 D
L2 F D L R' B2 D'
L2 F D L R' B2 D2
L2 F D L R2 B2 R
L2 F D L' R' B2 L2
L2 F D L2 R' B2 L'
L2 F D R L B2 R2
L2 F D R' L B2 D
L2 F D R' L B2 D'
L2 F D R' L B2 D2
L2 F D R' L' B2 L2
L2 F D R' L2 B2 L'
L2 F D R2 L B2 R
L2 F D' L R' D2 B2
L2 F D' L D2 R' B2
L2 F D' R' L D2 B2
L2 F D' R' D2 L B2
F2 D R U2 B2 R2 F'
F2 D R B' U2 R2 B'
F2 D R B' U2 B' R2
L2 F D2 R' D' L B2
B2 D R' B2 L' R' F'
B2 D R' B2 R' L' F'
F D R B2 R2 F' L'
B2 D R2 B2 L' F' R'
L2 F B2 D B2 L R'
L2 F B2 D B2 R' L
L2 F' L F2 D R' B2
D2 F' L2 U R' F L'
D2 F' L2 U F L' R'
D2 F' L2 U F R' L'
D F' L2 R' F L' B2
D F' L2 R' F B2 L'
D F' L2 R' B2 F L'
D F' L2 F L' R' B2
D F' L2 F R' L' B2
D F' L2 F R' B2 L'
B2 D B U2 L' B R'
D F' R' L2 F L' B2
D F' R' L2 F B2 L'
B2 D B U2 B L' R'
B2 D B U2 B R' L'
D F' R' L2 B2 F L'
L2 F' R2 U' L R F2
L2 F' R2 U' R L F2
L2 F' R2 U' R F2 L
B2 D B2 L2 R' F L
B2 D B2 L2 F L R'
B2 D B2 L2 F R' L
B2 D B2 R' L2 F L
B2 D' L F2 B U2 L2
B2 D' L B F2 U2 L2
B2 D' L' D2 R2 F' B2
B2 D' L' D2 R2 B2 F'
F2 D' R F2 B' U2 R2
F2 D' R B' F2 U2 R2
F2 D' R' D2 L2 F B2
F2 D' R' D2 L2 B2 F
L2 F2 L D F' R' B2
L2 F2 L F' D R' B2
D' F2 L2 R U2 R2 F
D' F2 L2 R U2 F R2
D' F2 R L2 U2 R2 F
D' F2 R L2 U2 F R2
D' F2 R D2 L2 U2 F
D' F2 R D2 B' L2 U2
B' D' F2 R U' F' U'
D' F2 R B' L U2 R2
D' F2 R B' L' U2 R2
D' F2 R B' L2 U2 R2
D' F2 R B' U2 R2 D
D' F2 R B' U2 R2 D'
D' F2 R B' U2 R2 D2
D' F2 R B' D2 L2 U2
D' F2 R B2 U2 R2 F'
B2 D' F2 L B R U2
D F2 R U2 B2 R2 F'
D' F2 R' B' R2 U2 R2
D F2 R B' U2 R2 B'
D F2 R B' U2 B' R2
R2 F2 U R B' L' U2
R2 F2 U B' L' R U2
R2 F2 U B' R L' U2
D' F2 U2 R' D2 L2 F
D' F2 D R B' U2 R2
L2 F2 D L F' R' B2
D' F2 D' R B' U2 R2
L2 F2 D F' L R' B2
L2 F2 D F' R' L B2
D' F2 D2 R B' U2 R2
D' F2 B2 L B R U2
R2 B U B2 U2 L' R
R2 B U B2 U2 R L'
R2 B U' L' R D2 F2
R2 B U' L' D2 R F2
R2 B U' R L' D2 F2
R2 B U' R D2 L' F2
R2 B U' D2 L' R F2
R2 B U' D2 R L' F2
R2 B D L2 U' L R
R2 B D L2 U' R L
R2 B D2 U' L' R F2
R2 B D2 U' R L' F2
R B' U' R U' L' R
R B' U' R U' R L'
D B' U2 B L' R' B2
D B' U2 B R' L' B2
D B' U2 B R' B2 L'
D B' U2 B' L' D2 R2
D' B2 L F2 B U2 L2
D' B2 L B F2 U2 L2
D' B2 L' D2 R2 F' B2
D' B2 L' D2 R2 B2 F'
D B2 L B U2 B' L2
D B2 L' R2 D2 F' R2
D B2 L' R2 F' D2 R2
D B2 L' U2 L2 B U2
D B2 L' U2 B L2 U2
D B2 L' D2 R2 D F'
D B2 L' D2 R2 D' F'
D B2 L' D2 R2 D2 F'
D B2 L' D2 R2 F' D
D B2 L' D2 R2 F' D'
D B2 L' D2 R2 F' D2
D B2 L' D2 F R2 F'
D B2 L' D2 F' R2 F'
D B2 L' D2 F2 R2 F'
D B2 L' F D2 R2 F'
D B2 L' F' D2 R2 F'
D B2 L' F2 D2 R2 F'
R B2 R U' L' R F'
R B2 R U' R L' F'
D B2 R2 L' D2 F' R2
D B2 R2 L' F' D2 R2
R2 B2 U B U2 L' R
R2 B2 U B U2 R L'
R2 B2 U' L' R2 F' R'
R2 B2 U' R D2 L' F
R2 B2 U' R2 L' F' R'
D B2 U2 L B U2 L2
L2 B2 D F B2 L R'
L2 B2 D F B2 R' L
D B2 D L' D2 R2 F'
L2 B2 D B2 R' F L
L2 B2 D B2 F L R'
L2 B2 D B2 F R' L
D B2 D' L' D2 R2 F'
D B2 D2 L' D2 R2 F'
L2 B2 F D B2 L R'
L2 B2 F D B2 R' L
D' B2 F2 L B R U2
