U2 R B' U' F
U2 B' R U' F
F2 L2 F L U F2
F L2 F L' U F'
U2 R D B' U' F
U2 R D' B' U' F
U2 R D2 B' U' F
U2 R B' U' D F
U2 R B' U' D' F
U2 R B' U' D2 F
U2 R B' U' F D
U2 R B' U' F D'
U2 R B' U' F D2
U2 R B' D U' F
U2 R B' D' U' F
U2 R B' D2 U' F
R' U2 R2 B' U' F
R2 U2 R' B' U' F
U2 R' B' R2 U' F
U2 R' B' R2 U' F
R' U2 B' R2 U' F
B' R2 F' R' U' F2
U2 D R B' U' F
U2 D B' R U' F
U2 D' R B' U' F
U2 D' B' R U' F
D2 U2 R B' U' F
U2 D2 R B' U' F
D' U2 R B' U' F
D U2 R B' U' F
D' U2 B' R U' F
U2 D2 B' R U' F
D2 U2 B' R U' F
D U2 B' R U' F
F' U2 B' R' U' F2
U2 B R B2 U' F
U2 B' R U' D F
U2 B' R U' D' F
U2 B' R U' D2 F
U2 B' R U' F D
U2 B' R U' F D'
U2 B' R U' F D2
U2 B' R D U' F
U2 B' R D' U' F
U2 B' R D2 U' F
U2 B' R D2 U' F
R' B' R2 F' U' F2
U B' R U' R' F
U B' R U' F R'
U2 B' D R U' F
U2 B' D' R U' F
U2 B' D2 R U' F
R B' U2 B U F
U2 B' R U' D F D'
U2 B' R U' D F D2
U2 B' R U' D' F D
U2 B' R U' D' F D'
U2 B' R U' D' F D2
U2 B' R U' D2 F D
U2 B' R U' D2 F D'
U2 B' R U' D2 F D2
U2 B' R U' F2 D F'
U2 B' R U' F2 D' F'
U2 B' R U' F2 D2 F'
U2 B' R U2 R U F
U2 B' R U2 R' U F
U2 B' R U2 R2 U F
U2 B' R D U' F D
U2 B' R D U' F D'
U2 B' R D U' F D2
U2 B' R D' U' F D
U2 B' R D' U' F D'
U2 B' R D' U' F D2
U2 B' R D2 U' F D
U2 B' R D2 U' F D'
U2 B' R D2 U' F D2
U2 B' R' U' D F B2
U2 B' R' U' D B2 F
U2 B' R' U' F D B2
R' B' R2 U' F D R2
U2 B' R' D U' F B2
U2 B' R' D U' B2 F
R' B' R2 D F' U' F2
R' B' R2 D' F' U' F2
U B' R U' R F R2
U B' R U' R' D F
U B' R U' R' D' F
U B' R U' R' D2 F
U B' R U' R' F D
U B' R U' R' F D'
U B' R U' R' F D2
U B' R U' D R' F
U B' R U' D F R'
U B' R U' D' R' F
U B' R U' D' F R'
U B' R U' D2 R' F
U B' R U' D2 F R'
R' B' R2 D2 F' U' F2
U B' R U' F R' D
U B' R U' F R' D'
U B' R U' F R' D2
U B' R U' F D R'
U B' R U' F D' R'
U B' R U' F D2 R'
U B' R U' F' R' F2
R' B' R2 F' L U' F2
R' B' R2 F' L' U' F2
R' B' R2 F' L2 U' F2
R' B' R2 F' U' F2 D
R' B' R2 F' U' F2 D'
R' B' R2 F' U' F2 D2
D2 B' R2 F' R' U' F2
U B' R D U' R' F
U B' R D U' F R'
R' B' R2 F' D' L2 U'
U B' R D' U' R' F
U B' R D' U' F R'
U B' R D2 U' R' F
D' B' R2 F' R' U' F2
U B' R D2 U' F R'
U B' R F' U' R' F2
U B' R F' U' F2 R'
U B' R F2 U' F' R'
U2 B' R2 D R' U' F
U2 B' R2 D' R' U' F
U2 B' R2 D2 R' U' F
D B' R2 F' R' U' F2
R B' R2 F' R2 U' F2
U2 B' D R U' D F
U2 B' D R U' D' F
U2 B' D R U' D2 F
U2 B' D R U' F D
U2 B' D R U' F D'
U2 B' D R U' F D2
U2 B' D R D U' F
U2 B' D R D' U' F
U2 B' D R D2 U' F
R B' U' R2 F D R2
R B' U' F U' B U
R B' U2 R' U F R
U2 B' D' R U' D F
U2 B' D' R U' D' F
U2 B' D' R U' D2 F
U2 B' D' R U' F D
U2 B' D' R U' F D'
U2 B' D' R U' F D2
U2 B' D' R D U' F
U2 B' D' R D' U' F
U2 B' D' R D2 U' F
R B' U2 D B U F
R B' U2 D' B U F
R B' U2 D2 B U F
U B' D R U' R' F
U B' D R U' F R'
R B' U2 B R U F
R B' U2 B R' U F
R B' U2 B R2 U F
R B' U2 B U D F
R B' U2 B U D' F
R B' U2 B U D2 F
R B' U2 B U F D
R B' U2 B U F D'
R B' U2 B U F D2
R B' U2 B D U F
R B' U2 B D' U F
R B' U2 B D2 U F
U2 B' D2 R U' D F
U2 B' D2 R U' D' F
U2 B' D2 R U' D2 F
U2 B' D2 R U' F D
U2 B' D2 R U' F D'
U2 B' D2 R U' F D2
U2 B' D2 R D U' F
U2 B' D2 R D' U' F
U2 B' D2 R D2 U' F
R' B' F R2 F' U' F
R B' D U2 B U F
U B' D' R U' R' F
U B' D' R U' F R'
F B' R2 F' R U' F
R' B' F' R2 F' U' F'
R B' D' U2 B U F
U B' D2 R U' R' F
U B' D2 R U' F R'
B' F' U2 B L U F2
F2 B' U2 L' B U F'
F' B' U2 B L U F2
R B' D2 U2 B U F
F2 B' U2 B L' U F'
R B' F' U2 B U F2
R B' F2 U2 B U F'
U2 B2 R U' D' F L'
U2 B2 R D' U' F L'
U' B2 U' B R U' F
U B2 U B R U' F
B' F2 U2 L' B U F'
U2 B2 D B R U' F
B' F2 U2 B L' U F'
U2 B2 D' B R U' F
U2 B2 D2 B R U' F
R B2 D' B U' R2 F
R B2 D' B U' F R2
R B2 D2 F2 B U' F'
R B2 D2 B F2 U' F'
