F2 B U' R F2
B F2 U' R F2
B F2 U' R F2
B L D F2 U' F2
F2 L B U' R F2
U L' U' L B U'
F2 L' B U' R F2
F2 L2 B U' R F2
B' R2 D L2 B2 R'
B U L' U' L U'
L D F2 B U' F2
L D B F2 U' F2
B U' R2 D' F2 R
B D F2 U' R F2
F2 D' L2 B U' R
F2 D' B L2 U' R
B D' F2 U' R F2
D' F2 B U' R F2
D2 F2 B U' R F2
D F2 B U' R F2
F' D2 B U' R' F
F' D2 B U' F R'
B D2 F2 U' R F2
F2 B L U' R F2
F2 B L' U' R F2
F2 B L2 U' R F2
L B D F2 U' F2
F' B U' F' R F2
D2 B F2 U' R F2
D' B F2 U' R F2
F2 B U' R F2 D
F2 B U' R F2 D'
F2 B U' R F2 D2
F2 B U' R' F2 R2
D B F2 U' R F2
F2 B U' R2 F2 R'
F2 B D' L2 U' R
B F' U' F' R F2
B F2 L U' R F2
B F2 L' U' R F2
B F2 L2 U' R F2
B F2 U' R F2 D
B F2 U' R F2 D'
B F2 U' R F2 D2
B F2 U' R' F2 R2
B F2 U' R2 F2 R'
B F2 D' L2 U' R
F2 L B U' R F2 D
F2 L B U' R F2 D'
F2 L B U' R F2 D2
F2 L B U' R' F2 R2
F2 L B U' R2 F2 R'
D2 L B D F2 U' F2
D' L B D F2 U' F2
F2 L B D' L2 U' R
D L B D F2 U' F2
F L B F U' R F2
B' L B2 D F2 U' F2
U2 L' R2 U L F' U
U2 L' R2 U F' L U
U2 L' U L U2 B U'
U L' U' L D B U'
U L' U' L D' B U'
U L' U' L D2 B U'
U L' U' L B U' D
U L' U' L B U' D'
U L' U' L B U' D2
U L' U' L B D U'
U L' U' L B D' U'
U L' U' L B D2 U'
U L' U' L' B L2 U'
U L' U' L2 B L' U'
U L' U' D L B U'
U L' U' D' L B U'
U L' U' D2 L B U'
U2 L' U' B2 R' B' U'
U L' D U' L B U'
F2 L' D' L2 B U' R
F2 L' D' B L2 U' R
U L' D' U' L B U'
U L' D2 U' L B U'
F L' F B U' R F2
B L' F2 L U' F2 R
B L' F2 U' F2 D R2
F2 L' B L U' R F2
F2 L' B L' U' R F2
F2 L' B L2 U' R F2
F2 L' B U' R F2 D
F2 L' B U' R F2 D'
F2 L' B U' R F2 D2
F2 L' B U' R' F2 R2
F2 L' B U' R2 F2 R'
F2 L' B D' L2 U' R
F L' B F U' R F2
B' L2 R2 D B2 L2 R'
B' L2 R2 D B2 R' L2
B L2 U L U' L' U'
F2 L2 D' L2 B U' R
F2 L2 D' B L2 U' R
L2 U L U' L' B U'
L2 U L U' B L' U'
B L2 F U L U2 F'
B' L2 F B2 U' F' R'
L U L2 U' L2 B U'
L U L2 U' B L2 U'
F L2 F B U' R F2
B' L2 F' B2 U' R' F
B' L2 F' B2 U' F R'
B L2 F2 L2 U' F2 R
B L2 F2 U L U2 F2
B' L2 F2 B2 U' R' F2
B' L2 F2 B2 U' F2 R'
F2 L2 B L U' R F2
F2 L2 B L' U' R F2
F2 L2 B L2 U' R F2
F2 L2 B U' R F2 D
F2 L2 B U' R F2 D'
F2 L2 B U' R F2 D2
F2 L2 B U' R' F2 R2
F2 L2 B U' R2 F2 R'
F2 L2 B D' L2 U' R
R U R' F2 B U' R
R U R' B U L' U2
R U R' B F2 U' R
F L2 B F U' R F2
R2 U R2 F2 B U' R
R2 U R2 B U L' U2
R2 U R2 B F2 U' R
B' L2 B2 F U' F' R'
B' L2 B2 F' U' R' F
B' L2 B2 F' U' F R'
B' L2 B2 F2 U' R' F2
B' L2 B2 F2 U' F2 R'
F2 R U R' B U' F2
R U F2 R' B U' R2
L' U B U2 B' U B
F2 R F2 U R' B U'
B R F2 R' U' R2 F2
B R F2 R' U' F2 R2
R' U2 L' U' R B' U'
R' U2 L' U' B' R U'
R2 U2 L' U' R2 B U'
R U2 L' U' R' B U'
U2 R2 L' U L F' U
U2 R2 L' U F' L U
B' R2 L2 D B2 L2 R'
B' R2 L2 D B2 R' L2
B' R2 D L2 R B2 R'
B' R2 D L2 R' B2 R'
B' R2 D L2 R2 B2 R'
B' R2 D L2 B2 R' D
B' R2 D L2 B2 R' D'
B' R2 D L2 B2 R' D2
B' R2 D L2 B2 D R'
B' R2 D L2 B2 D' R'
B' R2 D L2 B2 D2 R'
B' R2 D R L2 B2 R'
B' R2 D R' L2 B2 R'
B' R2 D R2 L2 B2 R'
L D L F2 B U' F2
L D L B F2 U' F2
L D L' F2 B U' F2
L D L' B F2 U' F2
L D L2 F2 B U' F2
L D L2 B F2 U' F2
B R2 F2 R2 U' R' F2
B R2 F2 R2 U' F2 R'
B2 R2 B D L2 B2 R'
B R2 B2 D L2 B2 R'
D' U L' U' L B U'
D2 U L' U' L B U'
B' U L' U' L B2 U'
B2 U L' U' L B' U'
B U L' U' L U' D
B U L' U' L U' D'
B U L' U' L U' D2
B U L' U' L D U'
B U L' U' L D' U'
B U L' U' L D2 U'
D U L' U' L B U'
B U L' U' D L U'
B U L' U' D' L U'
B U L' U' D2 L U'
B U L' D U' L U'
B U L' D' U' L U'
B U L' D2 U' L U'
U D L' U' L B U'
B U L' B2 U R' U
B U L2 D L U2 F2
B U L2 D' L B2 U2
B U L2 D' B2 U2 R'
L D F2 L B U' F2
L D F2 L' B U' F2
L D F2 L2 B U' F2
L D F2 D' L2 B U'
L D F2 D' B L2 U'
L D F2 B L U' F2
L D F2 B L' U' F2
L D F2 B L2 U' F2
L D F2 B U' F2 D
L D F2 B U' F2 D'
L D F2 B U' F2 D2
L D F2 B D' L2 U'
L D B L F2 U' F2
L D B L' F2 U' F2
L D B L2 F2 U' F2
L D B F2 L U' F2
L D B F2 L' U' F2
L D B F2 L2 U' F2
L D B F2 U' F2 D
L D B F2 U' F2 D'
L D B F2 U' F2 D2
L D B F2 D' L2 U'
B U D L' U' L U'
B U D' L' U' L U'
B U D2 L' U' L U'
B U B L' U' L U'
B U B' L' U' L U'
B U B2 L' U' L U'
U D' L' U' L B U'
F2 U' R F D' F L'
B U' R F2 R D' F2
B U' R2 D' R F2 R
B U' R2 D' R' F2 R
B U' R2 D' R2 F2 R
B U' R2 D' F2 R D
B U' R2 D' F2 R D'
B U' R2 D' F2 R D2
B U' R2 D' F2 D R
B U' R2 D' F2 D' R
B U' R2 D' F2 D2 R
B U' R2 F2 D' R F2
B U' D R2 D' F2 R
B U' D' R2 D' F2 R
B U' D2 R2 D' F2 R
B U' F2 R U' R' U
B U' F2 R2 D' R' F2
B U' F2 R2 D' F2 R'
U D2 L' U' L B U'
F2 U' B U' R F2 B'
F2 U' B U' R B' F2
F2 U' B U' B' R F2
F U' B U' F' B' R'
F U' B U' B' F' R'
L D2 R2 U R2 B U'
B' U2 L' U' B2 R' U'
B U2 L' U L U L'
L D2 F B U' F' R2
L D2 F' B U' R2 F
L D2 F' B U' F R2
L D2 F2 B U' R2 F2
L D2 F2 B U' F2 R2
F' U2 R2 F' U R F2
F2 U2 R2 F' U F' R'
L D2 B U' R2 D' F2
L D2 B D' F2 U' F2
L D2 B F U' F' R2
L D2 B F' U' R2 F
L D2 B F' U' F R2
L D2 B F2 U' R2 F2
L D2 B F2 U' F2 R2
F2 U2 D R2 F' U R'
L D2 B' R2 D L2 B2
L D2 B' R2 D B2 L2
B U2 B U' B' L' U2
B U2 B' U' L' B U2
B U2 B' U' B L' U2
L' F U' B U' F' B'
L' F U' B U' B' F'
B U2 B2 U D2 F2 R
B U2 B2 U' L' B2 U2
B U2 B2 U' B2 L' U2
B U2 B2 D2 U F2 R
B D L D F2 U' F2
B' D L2 R2 D B2 R'
L F D F2 B U' F
L F D B F2 U' F
B' D R2 L2 D B2 R'
L2 F B U' D2 F' R
L2 F B D2 U' F' R
L F D2 B U' F' R2
L F B U L2 U2 F'
L F B U' D2 F' R2
L F B U' F' D2 R2
L F B D F2 U' F
L F B D2 U' F' R2
B D U L' U' L U'
B D U' R2 D' F2 R
F2 D U2 R2 F' U R'
B' D F2 U' L2 R F2
B' D F2 U' R L2 F2
B' D F2 U' R F2 L2
F D F B U' R F2
B D F' U' F' R F2
B2 D F2 B' U' R F2
B D F2 L U' R F2
B D F2 L' U' R F2
B D F2 L2 U' R F2
B D F2 U' R F2 D
B D F2 U' R F2 D'
B D F2 U' R F2 D2
B D F2 U' R' F2 R2
B D F2 U' R2 F2 R'
B D F2 D' L2 U' R
F2 D B U' D' R F2
F2 D B U2 R2 U R'
F2 D B D' U' R F2
F2 D B D2 L2 U' R
B2 D B' F2 U' R F2
F D B F U' R F2
L' F' U' B U' F B'
L' F' U' B U' B' F
B D' L D F2 U' F2
F2 D' L' B L' U' R
F2 D' L2 D B U' R
F2 D' L2 D' B U' R
F2 D' L2 D2 B U' R
F2 D' L2 B U' R D
F2 D' L2 B U' R D'
F2 D' L2 B U' R D2
F2 D' L2 B U' D R
F2 D' L2 B U' D' R
F2 D' L2 B U' D2 R
F2 D' L2 B D U' R
F2 D' L2 B D' U' R
F2 D' L2 B D2 U' R
L F' D F2 B U' F'
D2 F' D2 B U' R' F
D2 F' D2 B U' F R'
D' F' D2 B U' R' F
D' F' D2 B U' F R'
L F' D B F2 U' F'
D2 F' B U' F' R F2
D' F' B U' F' R F2
D F' D2 B U' R' F
D F' D2 B U' F R'
L F' D2 B U' R2 F
L F' D2 B U' F R2
D F' B U' F' R F2
U F' B U F L' U2
L F' B U L2 B' U2
L F' B U' D2 R2 F
L F' B U' D2 F R2
L F' B U' F D2 R2
L F' B D F2 U' F'
L F' B D2 U' R2 F
L F' B D2 U' F R2
B D' U L' U' L U'
D2 F2 L B U' R F2
D' F2 L B U' R F2
L' F2 L B U' F2 R
B D' U' R2 D' F2 R
D2 F2 L' B U' R F2
D' F2 L' B U' R F2
D F2 L B U' R F2
D2 F2 L2 B U' R F2
D' F2 L2 B U' R F2
D F2 L' B U' R F2
L2 F2 L2 B U' F2 R
L F2 L' B U' F2 R
B' D' F2 U' R F2 L'
F D' F B U' R F2
D F2 L2 B U' R F2
B D' F' U' F' R F2
B2 D' F2 B' U' R F2
B D' F2 L U' R F2
B D' F2 L' U' R F2
B D' F2 L2 U' R F2
F2 D' B L2 U' R D
F2 D' B L2 U' R D'
F2 D' B L2 U' R D2
F2 D' B L2 U' D R
F2 D' B L2 U' D' R
F2 D' B L2 U' D2 R
F2 D' B L2 D U' R
F2 D' B L2 D' U' R
F2 D' B L2 D2 U' R
B D' F2 U' R F2 D
B D' F2 U' R F2 D'
B D' F2 U' R F2 D2
B D' F2 U' R' F2 R2
B D' F2 U' R2 F2 R'
F2 D' B U' R D F2
F2 D' B U' D R F2
B D' F2 D' L2 U' R
F2 D' B D U' R F2
F2 D' B' L2 B2 U' R
B2 D' B' F2 U' R F2
R F2 R' B U' R2 F2
R F2 R' B U' F2 R2
F D' B F U' R F2
L' F2 U' B U' F2 B'
L' F2 U' B U' B' F2
B D2 L D F2 U' F2
D2 F2 D' L2 B U' R
D' F2 D' L2 B U' R
D2 F2 D' B L2 U' R
D' F2 D' B L2 U' R
D F2 D' L2 B U' R
U F2 D B R2 U' R'
D2 F2 B L U' R F2
D' F2 B L U' R F2
D2 F2 B L' U' R F2
D' F2 B L' U' R F2
D2 F2 B L2 U' R F2
D' F2 B L2 U' R F2
L' F2 B L U' F2 R
D F2 D' B L2 U' R
D2 F2 B U' R F2 D
D2 F2 B U' R F2 D'
D2 F2 B U' R F2 D2
D2 F2 B U' R' F2 R2
D2 F2 B U' R2 F2 R'
D' F2 B U' R F2 D
D' F2 B U' R F2 D'
D' F2 B U' R F2 D2
D' F2 B U' R' F2 R2
D' F2 B U' R2 F2 R'
D2 F2 B D' L2 U' R
L' F2 B U' F2 D R2
D' F2 B D' L2 U' R
D F2 B L U' R F2
D F2 B L' U' R F2
D F2 B L2 U' R F2
U F2 D2 B U' B R
L F2 D2 B U' R2 F'
D F2 B U' R F2 D
D F2 B U' R F2 D'
D F2 B U' R F2 D2
D F2 B U' R' F2 R2
D F2 B U' R2 F2 R'
L F2 B L' U' F2 R
D F2 B D' L2 U' R
L F2 B U L2 U2 F2
U F2 B U F2 L' U2
U F2 B U' R D2 B2
U F2 B U' D2 R B2
U F2 B U' D2 B2 R
L F2 B U' F2 D2 R2
U F2 B D R2 U' R'
U F2 B D2 U' R B2
U F2 B D2 U' B2 R
D2 B L D F2 U' F2
D' B L D F2 U' F2
B D2 U L' U' L U'
L' B L F2 U' R F2
B D2 U' R2 D' F2 R
D B L D F2 U' F2
L' B L2 D F2 U' F2
U B L' U' L U' L'
F' D2 F' B U' R' F2
F' D2 F' B U' F2 R'
L B L' F2 U' R F2
F D2 F B U' R F2
B D2 F' U' F' R F2
F' D2 F2 B U' F' R'
B2 D2 F2 B' U' R F2
B D2 F2 L U' R F2
B D2 F2 L' U' R F2
B D2 F2 L2 U' R F2
F' D2 B U' R F R2
F' D2 B U' R' D F
F' D2 B U' R' D' F
F' D2 B U' R' D2 F
F' D2 B U' R' F D
F' D2 B U' R' F D'
F' D2 B U' R' F D2
F' D2 B U' D R' F
F' D2 B U' D F R'
F' D2 B U' D' R' F
F' D2 B U' D' F R'
F' D2 B U' D2 R' F
F' D2 B U' D2 F R'
F' D2 B U' F R' D
F' D2 B U' F R' D'
F' D2 B U' F R' D2
F' D2 B U' F D R'
F' D2 B U' F D' R'
F' D2 B U' F D2 R'
F' D2 B U' F' R' F2
F' D2 B D U' R' F
F' D2 B D U' F R'
B D2 F2 U' R F2 D
B D2 F2 U' R F2 D'
B D2 F2 U' R F2 D2
B D2 F2 U' R' F2 R2
B D2 F2 U' R2 F2 R'
F' D2 B D' U' R' F
F' D2 B D' U' F R'
F' D2 B D2 U' R' F
F' D2 B D2 U' F R'
F2 D2 B U B U2 R
F2 D2 B U' R2 F' R'
B D2 F2 D' L2 U' R
F' D2 B F' U' R' F2
F' D2 B F' U' F2 R'
F' D2 B F2 U' F' R'
D2 B U L' U' L U'
D' B U L' U' L U'
U' B U' L' U2 L B'
B2 D2 B' F2 U' R F2
F D2 B F U' R F2
D2 B U' R2 D' F2 R
D' B U' R2 D' F2 R
D B U L' U' L U'
U2 B U B' L' U2 B
U B U L' U L U
L B U L2 U' L2 U'
L B U L2 U2 D F2
L B U L2 D U2 F2
L B U L2 D' B2 U2
F2 B L U' R F2 D
F2 B L U' R F2 D'
F2 B L U' R F2 D2
F2 B L U' R' F2 R2
F2 B L U' R2 F2 R'
F2 B L D' L2 U' R
U2 B U' B' L' U2 L
D B U' R2 D' F2 R
F2 B L' U' R F2 D
F2 B L' U' R F2 D'
F2 B L' U' R F2 D2
F2 B L' U' R' F2 R2
F2 B L' U' R2 F2 R'
B F L F U' R F2
F2 B L' D' L2 U' R
L B U' D2 R2 D' F2
D2 B D F2 U' R F2
D' B D F2 U' R F2
L2 B D L' F U' F'
F B L F U' R F2
F2 B L2 U' R F2 D
F2 B L2 U' R F2 D'
F2 B L2 U' R F2 D2
F2 B L2 U' R' F2 R2
F2 B L2 U' R2 F2 R'
B F L' F U' R F2
F2 B L2 D' L2 U' R
D2 B D' F2 U' R F2
D' B D' F2 U' R F2
F B L' F U' R F2
L B D L F2 U' F2
D B D F2 U' R F2
L B D L' F2 U' F2
L B D L2 F2 U' F2
B F L2 F U' R F2
D2 B D2 F2 U' R F2
D' B D2 F2 U' R F2
L B D F2 L U' F2
L B D F2 L' U' F2
L B D F2 L2 U' F2
L B D F2 U' F2 D
L B D F2 U' F2 D'
L B D F2 U' F2 D2
L B D F2 D' L2 U'
F B L2 F U' R F2
D B D' F2 U' R F2
L2 B D2 F' U' R F
D B D2 F2 U' R F2
D2 B F' U' F' R F2
L2 B F U' D2 F' R
D' B F' U' F' R F2
D2 B F2 L U' R F2
L B D2 U' R2 D' F2
L2 B F D2 U' F' R
D2 B F2 L' U' R F2
D' B F2 L U' R F2
L B D2 F U' F' R2
D2 B F2 L2 U' R F2
D' B F2 L' U' R F2
L B D2 F' U' R2 F
L B D2 F' U' F R2
L' B F2 L U' F2 R
D' B F2 L2 U' R F2
L B D2 F2 U' R2 F2
L B D2 F2 U' F2 R2
F2 B U L U2 R F2
D2 B F2 U' R F2 D
D2 B F2 U' R F2 D'
D2 B F2 U' R F2 D2
D2 B F2 U' R' F2 R2
D2 B F2 U' R2 F2 R'
F2 B U L' U2 R F2
D' B F2 U' R F2 D
D' B F2 U' R F2 D'
D' B F2 U' R F2 D2
D' B F2 U' R' F2 R2
D' B F2 U' R2 F2 R'
F2 B U L2 U2 R F2
D2 B F2 D' L2 U' R
L' B F2 U' F2 D R2
D' B F2 D' L2 U' R
L B F U L2 U2 F'
F2 B U D2 B2 U2 R
L B F U' D2 F' R2
L B F U' F' D2 R2
L B F D F2 U' F
D B F' U' F' R F2
F2 B U B U2 R F2
L B F D2 U' F' R2
F2 B U B' U2 R F2
F' B U' R F' R F2
F2 B U B2 U2 R F2
F' B U' R' F' R F2
F' B U' R2 F' R F2
F2 B U' L' R F2 L
D B F2 L U' R F2
F2 B U' L2 R F2 L2
D B F2 L' U' R F2
F2 B U' R L' F2 L
F2 B U' R L2 F2 L2
D B F2 L2 U' R F2
F2 B U' R F D F
F2 B U' R F D' F
F2 B U' R F D2 F
F2 B U' R F' D F'
F2 B U' R F' D' F'
F2 B U' R F' D2 F'
F' B U' F U2 L' U2
F2 B U' R' F R2 F
F2 B U' R' F2 R2 D
F2 B U' R' F2 R2 D'
F2 B U' R' F2 R2 D2
F' B U' F' R F2 D
F' B U' F' R F2 D'
F' B U' F' R F2 D2
L B F' U L2 B' U2
F' B U' F' R' F2 R2
F' B U' F' R2 F2 R'
U B F' U F L' U2
F2 B U' R2 F R' F
F2 B U' R2 F2 R' D
F2 B U' R2 F2 R' D'
F2 B U' R2 F2 R' D2
F2 B U' R2 F2 D R'
F2 B U' R2 F2 D' R'
F2 B U' R2 F2 D2 R'
L B F' U' D2 R2 F
L B F' U' D2 F R2
L B F' U' F D2 R2
F2 B U' D' R D F2
F2 B U' D2 R D2 F2
D B F2 U' R F2 D
D B F2 U' R F2 D'
D B F2 U' R F2 D2
L B F' D F2 U' F'
D B F2 U' R' F2 R2
D B F2 U' R2 F2 R'
L B F' D2 U' R2 F
L B F' D2 U' F R2
F2 B U' F2 U2 L' U2
D B F2 D' L2 U' R
F2 B U' B R F2 B'
F2 B U' B R B' F2
L B F2 L' U' F2 R
F2 B U' B2 R F2 B2
F2 B U' B2 R B2 F2
L B F2 U L2 U2 F2
U B F2 U F2 L' U2
U B F2 U' R D2 B2
U B F2 U' D2 R B2
U B F2 U' D2 B2 R
F2 B U2 R' U R2 F2
F2 B U2 R' U F2 R2
L B F2 U' F2 D2 R2
F2 B U2 R2 U R' F2
F2 B U2 R2 U F2 R'
U B F2 D R2 U' R'
F2 B U2 D R2 U R'
U B F2 D2 U' R B2
U B F2 D2 U' B2 R
F2 B U2 B U R F2
F2 B U2 B' U R F2
F2 B U2 B2 U R F2
F2 B D U2 R2 U R'
B F U2 B' U F' R'
U B' L' U' L B2 U'
F2 B D' L2 U' R D
F2 B D' L2 U' R D'
F2 B D' L2 U' R D2
F2 B D' L2 U' D R
F2 B D' L2 U' D' R
F2 B D' L2 U' D2 R
F2 B D' L2 D U' R
F2 B D' L2 D' U' R
F2 B D' L2 D2 U' R
F B U2 B' U F' R'
F B U2 B' U F' R'
B F D F U' R F2
F2 B D' U' R D F2
F B D F U' R F2
B F D' F U' R F2
F2 B D2 U B2 U2 R
F2 B D2 U' R D2 F2
D2 B' R2 D L2 B2 R'
D' B' R2 D L2 B2 R'
F B D' F U' R F2
B F D2 F U' R F2
F2 B' L B2 U' R F2
F B D2 F U' R F2
D B' R2 D L2 B2 R'
F2 B' L' B2 U' R F2
F2 B' L2 B2 U' R F2
U' B' D2 F2 U B R
L B' D F2 U' L2 F2
L B' D F2 U' F2 L2
F2 B' U' R F2 D L2
B F' U' R F' R F2
B F' U' R' F' R F2
B F' U' R2 F' R F2
B F' U' F U2 L' U2
B F' U' F' R F2 D
B F' U' F' R F2 D'
B F' U' F' R F2 D2
B F' U' F' R' F2 R2
B F' U' F' R2 F2 R'
U' B2 L2 F U B2 R'
B' F2 L B2 U' R F2
U B2 L' U' L B' U'
B F2 L U' R F2 D
B F2 L U' R F2 D'
B F2 L U' R F2 D2
B F2 L U' R' F2 R2
B F2 L U' R2 F2 R'
B' F2 L' B2 U' R F2
B F2 L D' L2 U' R
L2 B2 R' U R B' U'
L2 B2 R' U B' R U'
B F2 L' U' R F2 D
B F2 L' U' R F2 D'
B F2 L' U' R F2 D2
B F2 L' U' R' F2 R2
B' F2 L2 B2 U' R F2
B F2 L' U' R2 F2 R'
B F2 L' D' L2 U' R
B F2 L2 U' R F2 D
B F2 L2 U' R F2 D'
B F2 L2 U' R F2 D2
B F2 L2 U' R' F2 R2
B F2 L2 U' R2 F2 R'
B F2 L2 D' L2 U' R
B' F2 U' R F2 D L2
B F2 U L U2 R F2
B F2 U L' U2 R F2
B F2 U L2 U2 R F2
B F2 U D2 B2 U2 R
B F2 U B U2 R F2
B F2 U B' U2 R F2
B F2 U B2 U2 R F2
B F2 U' L' R F2 L
B F2 U' L2 R F2 L2
B F2 U' R L' F2 L
B F2 U' R L2 F2 L2
B F2 U' R F D F
B F2 U' R F D' F
B F2 U' R F D2 F
B F2 U' R F' D F'
B F2 U' R F' D' F'
B F2 U' R F' D2 F'
B F2 U' R' F R2 F
B F2 U' R' F2 R2 D
B F2 U' R' F2 R2 D'
B F2 U' R' F2 R2 D2
B F2 U' R2 F R' F
B F2 U' R2 F2 R' D
B F2 U' R2 F2 R' D'
B F2 U' R2 F2 R' D2
B F2 U' R2 F2 D R'
B F2 U' R2 F2 D' R'
B F2 U' R2 F2 D2 R'
B F2 U' D' R D F2
B F2 U' D2 R D2 F2
B F2 U' F2 U2 L' U2
B F2 U' B R F2 B'
B F2 U' B R B' F2
B F2 U' B2 R F2 B2
B F2 U' B2 R B2 F2
L B2 D F2 B' U' F2
L B2 D B' F2 U' F2
B F2 U2 R' U R2 F2
B F2 U2 R' U F2 R2
B F2 U2 R2 U R' F2
B F2 U2 R2 U F2 R'
B F2 U2 D R2 U R'
B F2 U2 B U R F2
B F2 U2 B' U R F2
B F2 U2 B2 U R F2
B F2 D U2 R2 U R'
B2 F2 D' B' L2 U' R
F2 B2 D' B' L2 U' R
B F2 D' L2 U' R D
B F2 D' L2 U' R D'
B F2 D' L2 U' R D2
B F2 D' L2 U' D R
B F2 D' L2 U' D' R
B F2 D' L2 U' D2 R
B F2 D' L2 D U' R
B F2 D' L2 D' U' R
B F2 D' L2 D2 U' R
B F2 D' U' R D F2
B F2 D2 U B2 U2 R
B F2 D2 U' R D2 F2
