U2 F2 B' R' U B2
B' F R F U B2
U2 B' R' F2 U B2
F B' R F U B2
U2 B' F2 R' U B2
U2 B U' B2 F2 R' U
U' B D' L2 R' F' R'
U' B D' R' L2 F' R'
U' B D' R' F' L2 R'
U' B D' R' F' R' L2
B' F R D F L2 U
B' F R F L U B2
B' F R F L' U B2
B' F R F L2 U B2
B' F R F U B2 D
B' F R F U B2 D'
B' F R F U B2 D2
B' F R F D L2 U
B' F R' F R2 U B2
U B D' L R2 F L
U B D' L F L R2
U B D' L F R2 L
U B D' R2 L F L
B F R F B2 U B2
B F R B2 F U B2
B' F R2 F R' U B2
F B R F B2 U B2
F B R B2 F U B2
D' B' L U L F B2
D' B' L U L B2 F
U2 B' L R' F2 U B2
U2 B' L F2 R' U B2
B F U' R F B2 U
B F U' R B2 F U
U2 B' L' R' F2 U B2
B' F D R F L2 U
F B U' R F B2 U
F B U' R B2 F U
B F U' B2 R F U
D2 B' L2 F R U B2
U2 B' L' F2 R' U B2
F B U' B2 R F U
U B' L F2 U F' B2
U B' L F2 U B2 F'
U2 B' L2 R' F2 U B2
U2 B' L2 F2 R' U B2
U' B' R' F2 U F B2
U' B' R' F2 U B2 F
U2 B' R F2 R2 U B2
U2 B' R' L F2 U B2
U2 B' R' L' F2 U B2
U2 B' R' L2 F2 U B2
U2 B' R' U B2 D' L2
U2 B' R' F2 L U B2
U2 B' R' F2 L' U B2
U2 B' R' F2 L2 U B2
U2 B' R' F2 U B2 D
U2 B' R' F2 U B2 D'
U2 B' R' F2 U B2 D2
U2 B' R' F2 D L2 U
D B' R' U B2 L F
D' B' U L F L B2
D' B' U B2 L F L
D2 B' D L2 F R U
F B' R D F L2 U
F B' R F L U B2
F B' R F L' U B2
F B' R F L2 U B2
F B' R F U B2 D
F B' R F U B2 D'
F B' R F U B2 D2
F B' R F D L2 U
F B' R' F R2 U B2
R' B' F R F U B
D' B' F R U L2 B2
D' B' F R U B2 L2
F B' R2 F R' U B2
U2 B' F R' F U B2
U' B' F2 R' U F' B2
U' B' F2 R' U B2 F'
U2 B' F2 L R' U B2
U2 B' F2 L' R' U B2
U2 B' F2 L2 R' U B2
F2 B' D L2 R U F'
U2 B' F2 R' L U B2
U2 B' F2 R' L' U B2
U2 B' F2 R' L2 U B2
U2 B' F2 R' U B2 D
U2 B' F2 R' U B2 D'
U2 B' F2 R' U B2 D2
U2 B' F2 R' D L2 U
F2 B' D R L2 U F'
U2 B' F2 D L2 R' U
U2 B' F2 D R' L2 U
U B' F2 L U F B2
U B' F2 L U B2 F
F B' D R F L2 U
D2 B2 R' U' B' R' F'
B' F2 D L2 R U F'
B' F2 D R L2 U F'
B2 F2 D2 B R' U B2
F2 B2 D2 B R' U B2
