L R U F L2 R
L R U F R L2
R L U F L2 R
R L U F R L2
R2 L B U F L2
L R2 B U F L2
L U F L2 D R2
L U2 F' U' L2 F2
L U2 F' U' F2 L2
L R2 B D F2 U F'
L R2 B F' U L2 F2
L R2 B F' U F2 L2
L R2 B F2 U L2 F'
L R2 B F2 U F' L2
D2 R L U F L2 R
D2 R L U F R L2
D' R L U F L2 R
D' R L U F R L2
L U D' F D L2 R2
L U D' F D R2 L2
D R L U F L2 R
D R L U F R L2
L U F L D L R2
L U F L D R2 L
L U F L' D L' R2
L U F L' D R2 L'
L U F L2 R D R2
L U F L2 R' D R2
L U F L2 R2 D R2
L U F L2 U F2 U'
L U F L2 D R2 D
L U F L2 D R2 D'
L U F L2 D R2 D2
L U F R L2 D R2
L U F R' L2 D R2
L U F R2 L2 D R2
L U F U F2 U' L2
L U F D R2 D' L2
L' U F' U2 L2 U F
L U F' L2 F2 D R2
L' U' L2 R U F R
L' U' L2 R2 B U F
L' U' L2 U F D R2
L' U' L2 U2 F' U' F2
L' U' R L2 U F R
L' U' R2 L2 B U F
U2 R' L' D' F' R B2
U2 R' L' D' F' B2 R
U2 R' L' D' B2 F' R
L U' F L2 D R2 B
L U' F' U' L2 F2 B'
L U' F' U' L2 B' F2
D2 R2 L B U F L2
D' R2 L B U F L2
L U2 D' F' B2 U' F2
L U2 D' B2 F' U' F2
D R2 L B U F L2
L U2 F' L U' L F2
L U2 F' L U' F2 L
L U2 F' L' U' L' F2
L U2 F' U' L F2 L
L U2 F' U' L2 F2 D
L U2 F' U' L2 F2 D'
L U2 F' U' L2 F2 D2
L U2 F' U' F' L2 F'
L U2 F' U' F2 L2 D
L U2 F' U' F2 L2 D'
L U2 F' U' F2 L2 D2
L U2 F' D' L2 B2 U'
L U2 F' D' B2 L2 U'
L U2 F' B U' L2 F2
L U2 F' B U' F2 L2
L U2 F' B' U' L2 F2
L U2 F' B' U' F2 L2
L U2 F' B2 U' L2 F2
L U2 F' B2 U' F2 L2
L U2 B F' U' L2 F2
L U2 B F' U' F2 L2
L U2 B' F' U' L2 F2
L U2 B' F' U' F2 L2
L U2 B2 F' U' L2 F2
L U2 B2 F' U' F2 L2
R D L U F L2 R
R D L U F R L2
R2 D L B U F L2
B' R2 B L U F L2
L D R2 F2 B U F'
L D R2 B F2 U F'
L D F2 U F' D R2
L D F2 U2 F U' F2
R2 D' L B U F L2
R D' L U F L2 R
R D' L U F R L2
L D' U F D L2 R2
L D' U F D R2 L2
L' D' F B2 D R2 F'
L D' U2 F' B2 U' F2
L D' U2 B2 F' U' F2
L' D' B2 F D R2 F'
R' D2 L B' U F L2
R2 D2 L B U F L2
R D2 L U F L2 R
R D2 L U F R L2
L' D2 F D B2 R2 F'
L F L2 D R2 D2 B2
L F L2 D' B2 D2 R2
L F U L2 D R2 F2
L F U L2 D F2 R2
L' F D' B2 D2 R2 F'
L F D F2 U R2 F2
L F D F2 U F2 R2
R2 F' L B U F L'
R F' L U F L' R
R F' L U F R L'
L F' U L F2 L R
L F' U L F2 R L
L F' U L2 F2 D2 R2
L F' U F2 L2 D2 R2
U2 F' U2 L U F L'
L F' U' L2 F2 D2 B2
L F' U' F' L2 F' B'
L F' U' F' L2 B' F'
L F' U' F2 L2 D2 B2
L' F2 L2 B' U F L2
L' F2 U' L2 B' U F
L F2 U F' L2 D R2
L F2 U2 F U' L2 F2
L F2 U2 F U' F2 L2
L B R U F L2 R
L B R U F R L2
L B R2 B U F L2
L B U F L2 D R2
L B U2 F' U' L2 F2
L B U2 F' U' F2 L2
B' F' L U' F L' B'
L B' R U F L2 R
L B' R U F R L2
B2 F' L R' U' F L'
F' B' L U' F L' B'
L B' R2 B U F L2
L B' U F L2 D R2
B2 F' R' L U' F L'
L B' U2 F' U' L2 F2
L B' U2 F' U' F2 L2
F' B2 L R' U' F L'
L B2 R U F L2 R
L B2 R U F R L2
F' B2 R' L U' F L'
L B2 R2 B U F L2
L B2 U F L2 D R2
L B2 U2 F' U' L2 F2
L B2 U2 F' U' F2 L2
