D' L F2 L' U F'
F2 L' U D2 L2 F
F2 L' U' R2 B' U2
F2 L' U' B' R2 U2
F2 L' D2 U L2 F
D' L2 F2 L' U F
U2 R U B R U2
U' R2 U' R' U' F'
L D' F2 L' U F'
D' F2 L' U' B' U2
F2 L' D2 F U L2 F
F2 L' D2 F' U L2 F
F2 L' D2 F2 U L2 F
F2 L' F U D2 L2 F
F2 L' F U' R2 B' U2
F2 L' F U' B' R2 U2
F2 L' F D2 U L2 F
F2 L' F' U D2 L2 F
F2 L' F' U' R2 B' U2
F2 L' F' U' B' R2 U2
F2 L' F' D2 U L2 F
F2 L' F2 U D2 L2 F
F2 L' F2 U' R2 B' U2
F2 L' F2 U' B' R2 U2
F2 L' F2 D2 U L2 F
U2 L2 R U B R U2
D2 L2 F2 L' U F L
D' L2 F2 L' R U F
D' L2 F2 L' R' U F
D' L2 F2 L' R2 U F
D' L2 F2 L' U D F
D' L2 F2 L' U D' F
D' L2 F2 L' U D2 F
D' L2 F2 L' U F D
D' L2 F2 L' U F D'
D' L2 F2 L' U F D2
D' L2 F2 L' D U F
D' L2 F2 L' D' U F
D' L2 F2 L' D2 U F
D' L2 F2 R L' U F
D' L2 F2 R' L' U F
D' L2 F2 R2 L' U F
U2 R L U B R U2
U2 R L' U B R U2
F2 R L' U' R B' U2
F2 R L' U' B' R U2
U2 R L2 U B R U2
U2 R U D B R U2
U2 R U D' B R U2
U2 R U D2 B R U2
U R U R U2 R2 F'
U R U R B U2 R2
U2 R U B R U2 D
U2 R U B R U2 D'
U2 R U B R U2 D2
U2 R U B R D U2
U2 R U B R D' U2
U2 R U B R D2 U2
U2 R U B D R U2
U2 R U B D' R U2
U2 R U B D2 R U2
U2 R U B' R B2 U2
U2 R U B2 R B' U2
U2 R D U B R U2
U2 R D' U B R U2
U2 R D2 U B R U2
R' U' R' U' R' U' F'
L U' R2 U' R' U' F
U2 R B' U R B2 U2
U2 R B' U B2 R U2
U2 R B' U' D2 F2 L'
U2 R B' D2 U' F2 L'
U2 R B2 U R B' U2
U2 R B2 U B' R U2
F2 R' L' U' R' B' U2
U2 R' U' D F' B2 L
U2 R' U' D B2 L F'
U2 R' U' D B2 F' L
U2 R' U' F' D B2 L
L' U' B' R2 U' R' U'
U2 R' D U' F' B2 L
U2 R' D U' B2 L F'
U2 R' D U' B2 F' L
R2 U2 L R' U' L' F'
R2 U2 L' R' U' L F'
R2 U2 L' R' U' F' L
R2 U2 L2 R' U' L2 F'
R2 U2 L2 R' U' F' L2
L' U2 R U R B' U2
L' U2 R U B' R U2
L2 U2 R U' F2 L' F
L U2 R U R U2 F
L U2 R U' F2 L' F'
R2 U2 R' L U' L' F'
R2 U2 R' L' U' L F'
R2 U2 R' L' U' F' L
R2 U2 R' L2 U' L2 F'
R2 U2 R' L2 U' F' L2
R' U2 R2 U R U2 F'
L U2 D R B2 U' F
L U2 D B2 R U' F
L' U2 D2 R U' L2 F
L2 U2 D2 R U' L2 F'
L2 U2 D2 R U' F' L2
L U2 D2 R U' F L2
U' R2 U' L R' U' F'
U' R2 U' L' R' U' F'
U' R2 U' L2 R' U' F'
U' R2 U' R' L U' F'
U' R2 U' R' L' U' F'
U' R2 U' R' L2 U' F'
U' R2 U' R' U' D F'
U' R2 U' R' U' D' F'
U' R2 U' R' U' D2 F'
U' R2 U' R' U' F' D
U' R2 U' R' U' F' D'
U' R2 U' R' U' F' D2
U' R2 U' R' D U' F'
U' R2 U' R' D' U' F'
U' R2 U' R' D2 U' F'
U' R2 U' D R' U' F'
U' R2 U' D' R' U' F'
U' R2 U' D2 R' U' F'
B' R2 U' F' L' R' U'
B' R2 U' F' R' L' U'
D2 R2 U2 R' U' L2 F'
D2 R2 U2 R' U' F' L2
D R2 U2 R' B2 U' F'
U' R2 D U' R' U' F'
R' D L U F B2 L
R' D L U B2 F L
U' R2 D' U' R' U' F'
U' R2 D2 U' R' U' F'
U' R2 F' U' L' R' U'
U' R2 F' U' R' L' U'
D' R2 F2 U2 R' U' F'
U' R2 B2 U L U F
L D U2 R B2 U' F
L D U2 B2 R U' F
U2 D R B2 L2 U' F
U2 D R B2 U B' U2
R' D B2 L D' R2 F
R' D B2 L D' F R2
R' D B2 L F D' R2
R' D B2 D' L R2 F
R' D B2 D' L F R2
R' D B2 D' R2 L F
L' D' L' F2 L' U F
L D' L F2 L' U F
L' D' L2 F2 L' U F'
U2 D B2 R U B U2
L2 D' F2 D L' U F
L D' F2 L' U D F'
L D' F2 L' U D' F'
L D' F2 L' U D2 F'
L D' F2 L' U F' D
L D' F2 L' U F' D'
L D' F2 L' U F' D2
L D' F2 L' D U F'
L D' F2 L' D' U F'
L D' F2 L' D2 U F'
L D' F2 D L' U F'
L D' F2 D' L' U F'
L D' F2 D2 L' U F'
L2 D2 R U F' L2 B'
D2 U2 R U B U2 L2
U2 D2 R U B U2 L2
D2 U2 R B2 U' L2 F
U2 D2 R B2 U' L2 F
D U2 R B2 L2 U' F
D U2 R B2 U B' U2
L' D2 U2 R U' L2 F
L2 D2 U2 R U' L2 F'
L2 D2 U2 R U' F' L2
L D2 U2 R U' F L2
L' D2 F2 L' U L' F
L D2 F2 L' U L' F'
D U2 B2 R U B U2
F2 D L' U D L2 F
F2 D L' D U L2 F
D' F' L F' L' U F2
D' F' L2 F' L' U F
L F' R U F2 L' B'
F2 D' L F2 L2 U F'
F2 D' L' U D' L2 F
F2 D' L' D' U L2 F
F2 D' L' F2 U' B' U2
F D' L F2 U F' B'
F D' L F2 U B' F'
D' F2 L U D' F B2
D' F2 L U D' B2 F
D' F2 L U F D' B2
D' F2 L D' U F B2
D' F2 L D' U B2 F
D' F2 L' R U' B' U2
D' F2 L' R' U' B' U2
D' F2 L' R2 U' B' U2
D2 F2 L' U L2 F L
D' F2 L' U L2 F L2
D' F2 L' U' D B' U2
D' F2 L' U' D' B' U2
D2 F2 L' U' B' U2 L'
D' F2 L' U' D2 B' U2
D' F2 L' U' B' U2 D
D' F2 L' U' B' U2 D'
D' F2 L' U' B' U2 D2
D' F2 L' U' B' D U2
D' F2 L' U' B' D' U2
D' F2 L' U' B' D2 U2
D' F2 L' U2 L2 U' F
D' F2 L' D U' B' U2
D' F2 L' D' U' B' U2
D' F2 L' D2 U' B' U2
L2 F2 L' U D2 F L2
L2 F2 L' U F D2 L2
L2 F2 L' U' R2 U2 F
L2 F2 L' D' F2 U F'
L2 F2 L' D2 U F L2
D F2 L' U D L2 F
D F2 L' D U L2 F
D' F2 R L' U' B' U2
L F2 L' U D2 L2 F'
L F2 L' U D2 F' L2
L F2 L' U F' D2 L2
L F2 L' U' R2 B U2
L F2 L' D' F2 U F
L F2 L' D2 U L2 F'
L F2 L' D2 U F' L2
D' F2 R' L' U' B' U2
D' F2 R2 L' U' B' U2
F D' F2 L U F B'
F D' F2 L U B' F
D' F2 D L' U' B' U2
F2 D2 L' U L2 F L
F2 D2 L' U' B' U2 L'
D' F2 D' L' U' B' U2
D' F2 D2 L' U' B' U2
L' F2 D2 L' U L' F
L F2 D' L' F2 U F
L F2 D2 L' U L' F'
U2 B R U B R U2
U' B R2 U' R' U' F'
U2 B' R U B R U2
U' B' R2 U' R' U' F'
L' B' R2 U' F' R' U'
U2 B2 R U B R U2
U' B2 R2 U' R' U' F'
R' B2 D L F B2 R'
R' B2 D L B2 R' F
R' B2 D L B2 F R'
