L U R2 F
L U F R2
R' L U R' F
R' L U F R'
L R U R F
R L U R F
L R' U R' F
L R' U F R'
D L B2 U F
L U R' F R'
L U R2 D F
L U R2 D' F
L U R2 D2 F
L U R2 F D
L U R2 F D'
L U R2 F D2
L U F R2 D
L U F R2 D'
L U F R2 D2
L U F' R2 F2
L D B2 U F
L B U R2 F
L B U F R2
L B' U R2 F
L B' U F R2
L B2 U R2 F
L B2 U F R2
R' L U D2 F D R'
R' L U D2 F D' R'
R' L U D2 F D2 R'
L R U D R D F
L R U D R D' F
L R U D R D2 F
L R U D R F D
L R U D R F D'
L R U D R F D2
R L U R D F D
R L U R D F D'
R L U R D F D2
R' L U D2 F' R' F2
R L U R D' F D
R L U R D' F D'
R L U R D' F D2
L R U D R' F R2
R L U R D2 F D
R L U R D2 F D'
R L U R D2 F D2
L R U D R2 F R'
R L U R F2 D F'
R L U R F2 D' F'
R L U R F2 D2 F'
R' L U F R2 D R
R' L U F R2 D' R
R' L U F R2 D2 R
L R U D' R D F
L R U D' R D' F
L R U D' R D2 F
L R U D' R F D
L R U D' R F D'
L R U D' R F D2
L R U D' R' F R2
L R U D' R2 F R'
R' L U F D R' D
R' L U F D R' D'
R' L U F D R' D2
R L U R' F R2 D
R L U R' F R2 D'
R L U R' F R2 D2
R' L U F D' R' D
R' L U F D' R' D'
R' L U F D' R' D2
R' L U F D2 R' D
R' L U F D2 R' D'
R' L U F D2 R' D2
R L U R' F' R2 F2
R' L U F' R F2 R2
L R U D2 R D F
L R U D2 R D' F
L R U D2 R D2 F
L R U D2 R F D
L R U D2 R F D'
L R U D2 R F D2
R' L U F' R' F2 D
R' L U F' R' F2 D'
R' L U F' R' F2 D2
L R U D2 R' F R2
L R U D2 R2 F R'
R L U R2 D R' F
R L U R2 D F R'
R L U R2 D' R' F
R L U R2 D' F R'
R L U R2 D2 R' F
R L U R2 D2 F R'
R L U R2 F R' D
R L U R2 F R' D'
R L U R2 F R' D2
R L U R2 F D R'
R L U R2 F D' R'
R L U R2 F D2 R'
R L U R2 F' R' F2
R2 L U F U F' U'
R L U D R D F
R L U D R D' F
R L U D R D2 F
R L U D R F D
R L U D R F D'
R L U D R F D2
R L U D R' F R2
R L U D R2 F R'
R' L U F2 D F' R'
R' L U F2 D' F' R'
R' L U F2 D2 F' R'
R L U D' R D F
R L U D' R D' F
R L U D' R D2 F
R L U D' R F D
R L U D' R F D'
R L U D' R F D2
R L U D' R' F R2
R L U D' R2 F R'
R L U D2 R D F
R L U D2 R D' F
R L U D2 R D2 F
R L U D2 R F D
R L U D2 R F D'
R L U D2 R F D2
R L U D2 R' F R2
D2 L R B2 U R' F
R L U D2 R2 F R'
D2 L R B2 U F R'
R2 L U F2 D F' R2
D' L R' U D R2 F
D' L R' U D F R2
L R U B R F B'
L R U B R B' F
D L R B2 R U F
D L R B2 R' U F
D L R B2 R2 U F
D L R B2 U D F
D L R B2 U D' F
D L R B2 U D2 F
D L R B2 U F D
D L R B2 U F D'
D L R B2 U F D2
D L R B2 D U F
D L R B2 D' U F
D L R B2 D2 U F
D L R' U D' R2 F
D L R' U D' F R2
D L R' U F D' R2
L R U B2 R F B2
L R U B2 R B2 F
R' L U' L' U2 R' F'
D' L R' U2 F2 U' F'
U L R' U L' R' F'
U L R' U R' L' F'
R L U B R F B'
R L U B R B' F
D' L R' D U R2 F
D' L R' D U F R2
R L U B2 R F B2
R L U B2 R B2 F
D' L R' D2 B2 U F
D L R' D' U R2 F
D L R' D' U F R2
L R U' L2 B' U2 R
R L U' L2 B' U2 R
F2 L R' F2 U F' R'
D2 L R' B2 U R' F
D2 L R' B2 U F R'
D' L R2 U D R2 F
D' L R2 U D F R2
D L R' B2 R U F
D L R' B2 R' U F
D L R' B2 R2 U F
D L R' B2 U D F
D L R' B2 U D' F
D L R' B2 U D2 F
D L R' B2 U F D
D L R' B2 U F D'
D L R' B2 U F D2
D L R' B2 D U F
D L R' B2 D' U F
R' L U' B U2 F R
D L R' B2 D2 U F
D L R2 U D' R2 F
D L R2 U D' F R2
D L R2 U F D' R2
D' L R2 U2 F2 U' F'
L R U' B U2 R F
D' L R2 D U R2 F
D' L R2 D U F R2
L R U' B' U2 R F
L R U' B2 U2 R F
D' L R2 D2 B2 U F
D L R2 D' U R2 F
D L R2 D' U F R2
R L U' B U2 R F
R L U' B' U2 R F
R L U' B2 U2 R F
D2 L R2 B2 U R' F
D2 L R2 B2 U F R'
D L R2 B2 R U F
D L R2 B2 R' U F
D L R2 B2 R2 U F
D L R2 B2 U D F
D L R2 B2 U D' F
D L R2 B2 U D2 F
D L R2 B2 U F D
D L R2 B2 U F D'
D L R2 B2 U F D2
D L R2 B2 D U F
D L R2 B2 D' U F
D L R2 B2 D2 U F
R' L U2 F' U' R' F2
R' L U2 F' U' F2 R'
R' L U2 F2 U' F' R'
B' L U R B R F
D' L U R D R2 F
D' L U R D F R2
U L U L' R' F' R'
D' L U R' D R2 F
D' L U R' D F R2
F' L U R2 D F L'
D' L U R2 D R2 F
D L U R D' R2 F
D' L U R2 D F R2
D L U R D' F R2
D L U R F D' R2
D' L U D R' F R'
D' L U D R2 D F
D' L U D R2 D' F
D' L U D R2 D2 F
D' L U D R2 F D
D' L U D R2 F D'
D' L U D R2 F D2
D L U R' D' R2 F
D' L U D F R2 D
D' L U D F R2 D'
D' L U D F R2 D2
D L U R' D' F R2
F2 L U R2 D' F L2
D' L U D F' R2 F2
D L U R' F D' R2
U L U R' L' F' R'
D' L U D' F D2 R2
D L U R2 D' R2 F
D L U R2 D' F R2
D L U R2 F D' R2
B' L U F R B R
D' L U D2 F D' R2
D L U D F D2 R2
U L U R2 D2 L' F
D' L U F U F U'
D L U D' R' F R'
D L U D' R2 D F
D L U D' R2 D' F
D L U D' R2 D2 F
D L U D' R2 F D
D L U D' R2 F D'
D L U D' R2 F D2
D L U D' F R2 D
D L U D' F R2 D'
D L U D' F R2 D2
D2 L U F U2 L U2
D L U D' F' R2 F2
R' L D R U R2 F
R' L D R U F R2
D2 L U F B2 R' B2
D L U F R D' R2
D L U F R' D' R2
D L U F R2 D' R2
D L U F U' B2 U
D L U F D' R2 D
D L U F D' R2 D'
D L U F D' R2 D2
F L U F R2 D' L2
R' L D R2 U R F
R2 L D R U R' F
R2 L D R U F R'
R' L D U R F R2
R2 L D R' U R F
R' L D U R' D F
R' L D U R' D' F
R' L D U R' D2 F
R' L D U R' F D
R' L D U R' F D'
R' L D U R' F D2
R' L D U F R' D
R' L D U F R' D'
R' L D U F R' D2
R' L D U F D R'
R' L D U F D' R'
R' L D U F D2 R'
R' L D U F' R' F2
L R D R' U R2 F
L R D R' U F R2
D L U F2 D' F' R2
R2 L D R2 U R2 F
R2 L D R2 U F R2
L R D R2 U R' F
L R D R2 U F R'
D2 L U B2 R' F B2
D2 L U B2 R' B2 F
D2 L U B2 F R' B2
L R D U R D F
L R D U R D' F
L R D U R D2 F
L R D U R F D
L R D U R F D'
L R D U R F D2
L R D U R' F R2
L R D U R2 F R'
R L D R' U R2 F
R L D R' U F R2
R L D R2 U R' F
R L D R2 U F R'
R L D U R D F
D2 L U' L2 B' L' U2
R L D U R D' F
R L D U R D2 F
R L D U R F D
R L D U R F D'
R L D U R F D2
R L D U R' F R2
R L D U R2 F R'
L R D B U R F
L R D B' U R F
D' L U' D' L2 B' U2
L R D B2 U R F
D L U' D L2 B' U2
R L D B U R F
R' L D' R U R2 F
R' L D' R U F R2
R L D B' U R F
R L D B2 U R F
R' L D' R2 U R F
R2 L D' R U R' F
R2 L D' R U F R'
R' L D' U R F R2
R' L D' U R' D F
R' L D' U R' D' F
R' L D' U R' D2 F
R' L D' U R' F D
R' L D' U R' F D'
R' L D' U R' F D2
R2 L D' R' U R F
R' L D' U F R' D
R' L D' U F R' D'
R' L D' U F R' D2
R' L D' U F D R'
R' L D' U F D' R'
R' L D' U F D2 R'
R' L D' U F' R' F2
L R D' R' U R2 F
L R D' R' U F R2
D2 L U' B' U2 F R
R2 L D' R2 U R2 F
R2 L D' R2 U F R2
L R D' R2 U R' F
L R D' R2 U F R'
D2 L U' B2 U2 R' F
D2 L U' B2 U2 F R'
L R D' U R D F
L R D' U R D' F
L R D' U R D2 F
L R D' U R F D
L R D' U R F D'
L R D' U R F D2
L R D' U R' F R2
L R D' U R2 F R'
R L D' R' U R2 F
R L D' R' U F R2
R L D' R2 U R' F
R L D' R2 U F R'
R L D' U R D F
R L D' U R D' F
R L D' U R D2 F
R L D' U R F D
R L D' U R F D'
R L D' U R F D2
R L D' U R' F R2
R L D' U R2 F R'
B2 L U2 R' U' R' F
B2 L U2 R' U' F R'
L R D' B U R F
L R D' B' U R F
L R D' B2 U R F
R L D' B U R F
R' L D2 R U R2 F
R' L D2 R U F R2
R L D' B' U R F
L2 R D2 L' U R F'
D L U2 D2 F2 U' F'
R L D' B2 U R F
D' L U2 F2 L U' F'
D' L U2 F2 L' U' F'
D' L U2 F2 L2 U' F'
R' L D2 R2 U R F
D' L U2 F2 U' D F'
D' L U2 F2 U' D' F'
D' L U2 F2 U' D2 F'
D' L U2 F2 U' F' D
D' L U2 F2 U' F' D'
D' L U2 F2 U' F' D2
D' L U2 F2 D U' F'
D' L U2 F2 D' U' F'
D' L U2 F2 D2 U' F'
R2 L D2 R U R' F
R2 L D2 R U F R'
R' L D2 U R F R2
R' L D2 U R' D F
R' L D2 U R' D' F
R' L D2 U R' D2 F
R' L D2 U R' F D
R' L D2 U R' F D'
R' L D2 U R' F D2
R' L D2 U F R' D
R' L D2 U F R' D'
R' L D2 U F R' D2
R' L D2 U F D R'
R' L D2 U F D' R'
R' L D2 U F D2 R'
R' L D2 U F' R' F2
R2 L D2 R' U R F
L R D2 R' U R2 F
L R D2 R' U F R2
R2 L D2 R2 U R2 F
R2 L D2 R2 U F R2
L R D2 R2 U R' F
L R D2 R2 U F R'
L R D2 U R D F
L R D2 U R D' F
L R D2 U R D2 F
L R D2 U R F D
L R D2 U R F D'
L R D2 U R F D2
L R D2 U R' F R2
L R D2 U R2 F R'
R L D2 R' U R2 F
R L D2 R' U F R2
R L D2 R2 U R' F
R L D2 R2 U F R'
R L D2 U R D F
R L D2 U R D' F
R L D2 U R D2 F
R L D2 U R F D
R L D2 U R F D'
R L D2 U R F D2
R L D2 U R' F R2
R L D2 U R2 F R'
D' L D R U R F
D' L D R' U R' F
D' L D R' U F R'
L R D2 B U R F
D' L D U R' F R'
D' L D U R2 D F
D' L D U R2 D' F
D' L D U R2 D2 F
D' L D U R2 F D
D' L D U R2 F D'
D' L D U R2 F D2
D' L D U F R2 D
D' L D U F R2 D'
D' L D U F R2 D2
D' L D U F' R2 F2
L R D2 B' U R F
L R D2 B2 U R F
R L D2 B U R F
D L D U F D2 R2
D L D U' L2 B' U2
R L D2 B' U R F
R L D2 B2 U R F
D' L D B U R2 F
D' L D B U F R2
D' L D B' U R2 F
D' L D B' U F R2
F L D F' B2 U F2
D2 L D B2 U R' F
D2 L D B2 U F R'
D' L D B2 U R2 F
D' L D B2 U F R2
F' L D B2 U F L'
F L D B2 F' U F2
D L D' R U R F
D L D' R' U R' F
D L D' R' U F R'
D' L D' U F D2 R2
D' L D' U' L2 B' U2
D L D' U R' F R'
D L D' U R2 D F
D L D' U R2 D' F
D L D' U R2 D2 F
D L D' U R2 F D
D L D' U R2 F D'
D L D' U R2 F D2
D L D' U F R2 D
D L D' U F R2 D'
D L D' U F R2 D2
D L D' U F' R2 F2
D L D' B U R2 F
D L D' B U F R2
D2 L D' B2 U R' F
D2 L D' B2 U F R'
D L D' B' U R2 F
D L D' B' U F R2
D L D' B2 U R2 F
D L D' B2 U F R2
D' L D2 R B2 U F
D' L D2 R' B2 U F
D' L D2 R2 B2 U F
D' L D2 U F D' R2
D L D2 U2 F2 U' F'
D' L D2 B2 R U F
D' L D2 B2 R' U F
D' L D2 B2 R2 U F
D' L D2 B2 U D F
D' L D2 B2 U D' F
D' L D2 B2 U D2 F
D' L D2 B2 U F D
D' L D2 B2 U F D'
D' L D2 B2 U F D2
D' L D2 B2 D U F
D2 L D2 B2 U R' F
D2 L D2 B2 U F R'
D' L D2 B2 D' U F
D' L D2 B2 D2 U F
L2 R B L' U R F
R2 L B R U R' F
R2 L B R U F R'
R2 L B R' U R F
L R B R' U R2 F
L R B R' U F R2
R2 L B R2 U R2 F
R2 L B R2 U F R2
L R B R2 U R' F
L R B R2 U F R'
R L B R' U R2 F
R L B R' U F R2
L R B U R D F
L R B U R D' F
L R B U R D2 F
L R B U R F D
L R B U R F D'
L R B U R F D2
L R B U R' F R2
R L B R2 U R' F
L R B U R2 F R'
R L B R2 U F R'
L R B U D R F
L R B U D' R F
L R B U D2 R F
R L B U R D F
R L B U R D' F
R L B U R D2 F
R L B U R F D
R L B U R F D'
R L B U R F D2
R L B U R' F R2
R L B U R2 F R'
R L B U D R F
R L B U D' R F
R L B U D2 R F
L R B D U R F
L R B D' U R F
R L B D U R F
L R B D2 U R F
R L B D' U R F
F L F' R U R F2
R L B D2 U R F
F L F' R' U R' F2
F L F' R' U F2 R'
F L F' U R' F2 R'
F L F' U R2 F2 D
F L F' U R2 F2 D'
F L F' U R2 F2 D2
F L F' U F R2 F
F L F' U F2 R2 D
F L F' U F2 R2 D'
F L F' U F2 R2 D2
L2 R B' L' U R F
R2 L B' R U R' F
R2 L B' R U F R'
F L F' D R2 B2 U
R2 L B' R' U R F
L R B' R' U R2 F
L R B' R' U F R2
F L F' D B2 R2 U
R2 L B' R2 U R2 F
R2 L B' R2 U F R2
L R B' R2 U R' F
L R B' R2 U F R'
R L B' R' U R2 F
R L B' R' U F R2
L R B' U R D F
L R B' U R D' F
L R B' U R D2 F
L R B' U R F D
L R B' U R F D'
L R B' U R F D2
R L B' R2 U R' F
R L B' R2 U F R'
L R B' U R' F R2
L R B' U R2 F R'
L R B' U D R F
L R B' U D' R F
L R B' U D2 R F
F L F' B U R2 F2
F L F' B U F2 R2
R L B' U R D F
R L B' U R D' F
R L B' U R D2 F
R L B' U R F D
R L B' U R F D'
R L B' U R F D2
F L F' B' U R2 F2
F L F' B' U F2 R2
R L B' U R' F R2
R L B' U R2 F R'
R L B' U D R F
R L B' U D' R F
R L B' U D2 R F
F L F' B2 U R2 F2
F L F' B2 U F2 R2
L R B' D U R F
L R B' D' U R F
R L B' D U R F
L R B' D2 U R F
R L B' D' U R F
R L B' D2 U R F
F2 L F2 U F R2 F2
F2 L F2 U F' R2 D
F2 L F2 U F' R2 D'
F2 L F2 U F' R2 D2
F2 L F2 U F2 R2 F
L2 R B2 L' U R F
F2 L F2 D B2 U F'
R2 L B2 R U R' F
R2 L B2 R U F R'
R2 L B2 R' U R F
L R B2 R' U R2 F
L R B2 R' U F R2
R2 L B2 R2 U R2 F
R2 L B2 R2 U F R2
R L B2 R' U R2 F
L R B2 R2 U R' F
F2 L F2 B U F' R2
R L B2 R' U F R2
L R B2 R2 U F R'
F2 L F2 B' U F' R2
L R B2 U R D F
L R B2 U R D' F
L R B2 U R D2 F
L R B2 U R F D
R L B2 R2 U R' F
L R B2 U R F D'
L R B2 U R F D2
R L B2 R2 U F R'
L R B2 U R' F R2
L R B2 U R2 F R'
L R B2 U D R F
L R B2 U D' R F
L R B2 U D2 R F
F2 L F2 B2 U F' R2
R L B2 U R D F
R L B2 U R D' F
R L B2 U R D2 F
R L B2 U R F D
R L B2 U R F D'
R L B2 U R F D2
R L B2 U R' F R2
R L B2 U R2 F R'
R L B2 U D R F
R L B2 U D' R F
R L B2 U D2 R F
L R B2 D U R F
L R B2 D' U R F
R L B2 D U R F
L R B2 D2 U R F
R L B2 D' U R F
D L B R' U F R
D' L B U D R2 F
D' L B U D F R2
R L B2 D2 U R F
D' L B U2 F2 U' F'
D' L B D U R2 F
D' L B D U F R2
D' L B D2 B2 U F
D L B D B U F
L R' U R F R2 D
L R' U R F R2 D'
L R' U R F R2 D2
L R' U R F' R2 F2
D L B D' B U F
L R' U R' D F D
L R' U R' D F D'
L R' U R' D F D2
L R' U R' D' F D
L R' U R' D' F D'
L R' U R' D' F D2
L R' U R' D2 F D
L R' U R' D2 F D'
L R' U R' D2 F D2
L R' U R' F2 D F'
L R' U R' F2 D' F'
L R' U R' F2 D2 F'
D L B D2 B U F
L R' U R2 D R F
L R' U R2 D' R F
L R' U R2 D2 R F
L R' U D R F R2
L R' U D R' D F
L R' U D R' D' F
L R' U D R' D2 F
L R' U D R' F D
L R' U D R' F D'
L R' U D R' F D2
L R' U D F R' D
L R' U D F R' D'
L R' U D F R' D2
L R' U D F D R'
L R' U D F D' R'
L R' U D F D2 R'
L R' U D F' R' F2
F2 L B F2 U F' R2
L R' U D' R F R2
L R' U D' R' D F
L R' U D' R' D' F
L R' U D' R' D2 F
L R' U D' R' F D
L R' U D' R' F D'
L R' U D' R' F D2
L R' U D' F R' D
L R' U D' F R' D'
L R' U D' F R' D2
L R' U D' F D R'
L R' U D' F D' R'
L R' U D' F D2 R'
L R' U D' F' R' F2
F L B F' U R2 F2
F L B F' U F2 R2
L R' U D2 R F R2
L R' U D2 R' D F
L R' U D2 R' D' F
L R' U D2 R' D2 F
L R' U D2 R' F D
L R' U D2 R' F D'
L R' U D2 R' F D2
L R' U D2 F R' D
L R' U D2 F R' D'
L R' U D2 F R' D2
L R' U D2 F D R'
L R' U D2 F D' R'
L R' U D2 F D2 R'
L R' U D2 F' R' F2
L R' U F R2 D R
L R' U F R2 D' R
L R' U F R2 D2 R
L R' U F D R' D
L R' U F D R' D'
L R' U F D R' D2
L R' U F D' R' D
L R' U F D' R' D'
L R' U F D' R' D2
L R' U F D2 R' D
L R' U F D2 R' D'
L R' U F D2 R' D2
L R' U F' R F2 R2
L R' U F' R' F2 D
L R' U F' R' F2 D'
L R' U F' R' F2 D2
L R' U F2 D F' R'
L R' U F2 D' F' R'
L R' U F2 D2 F' R'
D L B' R B' U F
D' L B' U D R2 F
D' L B' U D F R2
D L B' R' B' U F
D L B' R2 B' U F
D' L B' U2 F2 U' F'
D' L B' D U R2 F
D' L B' D U F R2
U L B' R' U L' R'
U L B' R' U R' L'
L R' U' L' U2 R' F'
D' L B' D2 B2 U F
D L B' D B' U F
D L B' D' B' U F
D L B' D2 B' U F
F2 L B' F2 U F' R2
F L B' F' U R2 F2
F L B' F' U F2 R2
D2 L B2 R U R2 F
D2 L B2 R U F R2
D2 L B2 R2 U R F
D2 L B2 U R F R2
D2 L B2 U R' D F
D2 L B2 U R' D' F
D2 L B2 U R' D2 F
D2 L B2 U R' F D
D2 L B2 U R' F D'
D2 L B2 U R' F D2
D L B2 R U D F
D L B2 R U D' F
D L B2 R U D2 F
D L B2 R U F D
D L B2 R U F D'
D L B2 R U F D2
D2 L B2 U D R' F
D2 L B2 U D F R'
D2 L B2 U D' R' F
D2 L B2 U D' F R'
D2 L B2 U D2 R' F
D2 L B2 U D2 F R'
D L B2 R D U F
D2 L B2 U F R' D
D2 L B2 U F R' D'
D2 L B2 U F R' D2
D2 L B2 U F D R'
D2 L B2 U F D' R'
D2 L B2 U F D2 R'
D L B2 R D' U F
D2 L B2 U F' R' F2
D L B2 R D2 U F
L R' U' B U2 F R
D' L B2 U D R2 F
D' L B2 U D F R2
D L B2 R' U D F
D L B2 R' U D' F
D L B2 R' U D2 F
D L B2 R' U F D
D L B2 R' U F D'
D L B2 R' U F D2
D L B2 R' D U F
D L B2 R' D' U F
D L B2 R' D2 U F
D L B2 R2 U D F
D L B2 R2 U D' F
D L B2 R2 U D2 F
D L B2 R2 U F D
D L B2 R2 U F D'
D L B2 R2 U F D2
D L B2 R2 D U F
D L B2 R2 D' U F
D L B2 R2 D2 U F
D L B2 U R F R'
D' L B2 U2 F2 U' F'
