D L B2 L F B
D L B2 L B F
D' R' B' U2 R B2
D' R' B' U2 B2 R
U2 R' B' U L U
L2 D F B2 L B'
L D B2 L F B'
L D B2 L B' F
L2 D B2 F L B'
U2 D' R' B' U2 B2
D' U2 R' B' U2 B2
L2 F D B2 L B'
R' B' U L U R
D B2 L B' D2 F2
F' U2 R' B' U L U
F2 U2 R' B' U L U
F U2 R' B' U L U
D U2 B' U2 L B' L
D U2 B' U2 B' L B'
F' U2 D' R' B' U2 B2
L2 D2 B2 D' F L B'
D2 F L D' B2 L F
L2 D2 B2 F L D' B2
F2 U2 D' R' B' U2 B2
L2 F L D B2 L B'
L D2 B2 D' L F B'
L D2 B2 D' L B' F
F U2 D' R' B' U2 B2
L2 F L' D B2 L B'
D F L B2 L F B
D F L B2 L B F
L2 F L2 D B2 L B'
D' F R' B' U2 R B2
D' F R' B' U2 B2 R
U2 F R' B' U L U
B U2 B2 U L F U
D' F U2 R' B' U2 B2
F' D L B2 L F B
F' D L B2 L B F
F2 D L B2 L F B
F2 D L B2 L B F
L2 F U2 D' R' U2 B
L2 F D L B2 L B
F D L B2 L F B
F D L B2 L B F
L2 F D B' L B' L
L2 F D B2 L D B'
L2 F D B2 L D' B'
L2 F D B2 L D2 B'
L2 F D B2 L B' D
L2 F D B2 L B' D'
L2 F D B2 L B' D2
U2 F D' R' B' U2 B2
L2 F D' U2 R' U2 B
L2 F D' B2 D2 L B'
L F D B2 L F B'
L F D B2 L B' F
L2 F D2 B2 D' L B'
D F B2 L B' D2 F2
D F' L B2 L F B
D F' L B2 L B F
D' F' R' B' U2 R B2
D' F' R' B' U2 B2 R
U2 F' R' B' U L U
F' D B2 L B' D2 F2
F2 D B2 L B' D2 F2
D' F' U2 R' B' U2 B2
F D B2 L B' D2 F2
U2 F' D' R' B' U2 B2
L F' D B2 L F B'
L F' D B2 L B' F
F' D' R' B' U2 R B2
F' D' R' B' U2 B2 R
F2 D' R' B' U2 R B2
F2 D' R' B' U2 B2 R
F D' R' B' U2 R B2
F D' R' B' U2 B2 R
D F' B2 L B' D2 F2
F' D' U2 R' B' U2 B2
F2 D' U2 R' B' U2 B2
D F2 L B2 L F B
D F2 L B2 L B F
F D' U2 R' B' U2 B2
D' F2 R' B' U2 R B2
D' F2 R' B' U2 B2 R
U2 F2 R' B' U L U
D' F2 U2 R' B' U2 B2
R' F2 D B' L' F U2
L2 F2 D F' B2 L B'
L2 F2 D B2 L F' B'
L2 F2 D B2 L B' F'
L2 F2 D B2 F' L B'
U2 F2 D' R' B' U2 B2
L F2 D B2 L F B'
L F2 D B2 L B' F
R' F2 B' L' U L2 U
R' F2 B' L' U2 D' B2
R' F2 B' L' D F2 U2
R' F2 B' L' D' U2 B2
D F2 B2 L B' D2 F2
D' B D2 F2 B L B'
D' B D2 B L F2 B'
D' B D2 B L B' F2
D' B D2 B F2 L B'
R' B' L' U L2 U R
R' B' L' U2 R D' B2
R' B' L' U2 D' R B2
R' B' L' U2 D' B2 R
R' B' L' D F2 L' U2
R' B' L' D' U2 R B2
R' B' L' D' U2 B2 R
R' B' L2 U L' U R
R2 B' R U L U R
R' B' U L U R D
R' B' U L U R D'
R' B' U L U R D2
R' B' U L U D R
R' B' U L U D' R
R' B' U L U D2 R
R' B' U L D U R
R' B' U L D' U R
R' B' U L D2 U R
R' B' U L B U R
R' B' U L B' U R
R' B' U L B2 U R
R' B' U D L U R
R' B' U D' L U R
R' B' U D2 L U R
R' B' U B' U R B
R' B' U2 R U' L U
R' B' U2 B2 R D B2
R' B' D U L U R
R' B' D' U L U R
R' B' D2 U L U R
L2 B' D2 F L' D' B2
R' B' F2 L' U L2 U
R' B' F2 L' U2 D' B2
R' B' F2 L' D F2 U2
R' B' F2 L' D' U2 B2
D B2 L R2 F' R2 B'
D B2 L R2 F' B' R2
D B2 L R2 B' F' R2
D B2 L U2 B U2 B2
D B2 L D B' D2 F2
D B2 L D' B' D2 F2
D B2 L D2 B' D2 F2
D B2 L F B' D2 F2
D B2 L F' B' D2 F2
D B2 L F2 B' D2 F2
D B2 L B' U2 B2 U2
D B2 L B' D2 F2 D
D B2 L B' D2 F2 D'
D B2 L B' D2 F2 D2
D B2 L B' F D2 F2
D B2 L B' F' D2 F2
D B2 L B' F2 D2 F2
D B2 L' B2 L2 F B'
D B2 L' B2 L2 B' F
D B2 R2 L F' R2 B'
D B2 R2 L F' B' R2
D B2 R2 L B' F' R2
D B2 R2 F' L R2 B'
D B2 R2 F' L B' R2
D B2 R2 F' R2 L B'
D2 B2 D' L B' D2 F2
D' B2 D2 L B' D2 F2
D B2 F L B' D2 F2
D B2 F' L B' D2 F2
D B2 F2 L B' D2 F2
