B' U F2 U2 R' F
B' U F2 U2 F R'
B' U' D2 F' R' B2
B' U' F' R2 B R
F2 U' B' U' F R
B' D2 U' F' R' B2
D2 B' U' F' R' B'
B' U' D2 F' R B2 R2
B' U' D2 F' R' B2 D
B' U' D2 F' R' B2 D'
B' U' D2 F' R' B2 D2
B' U' D2 F' R2 B2 R
B' U' D2 F2 R' F B2
B' U' D2 F2 R' B2 F
B' U' F R F2 R2 B
F2 U' D2 B' U' F R
B' U' F' R2 D B R
B' U' F' R2 D' B R
B' U' F' R2 D2 B R
B' U' F' R2 B R D
B' U' F' R2 B R D'
B' U' F' R2 B R D2
B' U' F' R2 B D R
B' U' F' R2 B D' R
B' U' F' R2 B D2 R
B' U' F' R2 B' R B2
B' U' F' R2 B2 R B'
B' U' F' U2 F' U2 R'
B' U' F' D R2 B R
B' U' F' D' R2 B R
B' U' F' D2 R2 B R
B' U' F' B' R2 B R'
B' U' F2 R F R2 B
D' U2 L2 F U R F2
B' U' B' D2 F' R B2
B' U' B' D2 F' B2 R
B' U' B' D2 B2 F' R
F2 U' B' U' R F R
F2 U' B' U' R' F R
F2 U' B' U' R2 F R
B' U' B' F' R2 B R'
F2 U' B' U' D F R
F2 U' B' U' D' F R
F2 U' B' U' D2 F R
F2 U' B' U' F R D
F2 U' B' U' F R D'
F2 U' B' U' F R D2
F2 U' B' U' F D R
F2 U' B' U' F D' R
F2 U' B' U' F D2 R
F2 U' B' D U' F R
F2 U' B' D' U' F R
F2 U' B' D2 U' F R
B' U' B2 D2 F' B2 R'
B' U' B2 D2 B2 F' R'
B' U2 D' L2 U F' R'
U D2 B' U' F' B' R'
U D2 B' U' B' F' R'
F2 U2 F R U B' U'
F2 U2 F U B' U' R
D F R2 B' U' R' F2
D F R2 B' U' F2 R'
B' D R2 U B U2 R
B' D R2 U' R2 F' R'
D2 F B' U' R' F2 B'
D2 F B' U' R' B' F2
D2 F B' U' F2 R' B'
D F B' R2 U' R F2
B' D U' F' D R' B2
F2 D U' B' U' F R
B' D F R2 U' R F2
B' D F2 R2 U' R F
D2 F' U B' U' B' R'
D F' B D B2 L2 R'
D2 F' B2 U B U' R'
D F' B D B2 R' L2
B' D' U' F' R' D' B2
B' D' U' F' D' R' B2
B' D' U2 L2 U F' R'
F2 D' U' B' U' F R
D F2 R2 B' U' R' F
D F2 R2 B' U' F R'
F D' B' L2 U' R' B'
B' D2 L U' F' R' B2
L' F2 U2 D F L' R
L' F2 U2 D F R L'
B' D2 L' U' F' R' B2
L2 F2 U2 F R D' L2
L2 F2 U2 F D' L2 R
L2 F2 U2 F D' R L2
B' D2 L2 U' F' R' B2
L' F2 D U2 F L' R
L' F2 D U2 F R L'
U F2 U' B' U' R' F
U F2 U' B' U' F R'
R2 F2 B L U' B2 U'
R2 F2 B L U2 D L2
R2 F2 B L D U2 L2
R2 F2 B L D' R2 U2
D2 F2 B' U' R' F B'
D2 F2 B' U' R' B' F
D2 F2 B' U' F R' B'
R2 F2 B U' B2 U' R'
R2 F2 B D L U2 L
R2 F2 B D' L R2 U2
R2 F2 B D' R2 L U2
D F2 B' R2 U' R F
B' D2 U' F R' F2 B2
B' D2 U' F R' B2 F2
B' D2 U' F' R B2 R2
B' D2 U' F' R' B2 D
B' D2 U' F' R' B2 D'
B' D2 U' F' R' B2 D2
B' D2 U' F' R2 B2 R
B' D2 U' F2 R' F B2
B' D2 U' F2 R' B2 F
F2 D2 U' B' U' F R
B' D2 F U' R' F2 B2
B' D2 F U' R' B2 F2
B' D2 F U' F2 R' B2
R2 B L F2 U' B2 U'
R2 B L F2 U2 D L2
R2 B L F2 D U2 L2
R2 B L F2 D' R2 U2
B' D2 F' R' B2 D L2
B' D2 F2 U' R' F B2
B' D2 F2 U' R' B2 F
B' D2 F2 U' F R' B2
B D2 F2 U F B2 R'
B D2 F2 U B2 R' F
B D2 F2 U B2 F R'
B2 D2 B U' F' B R
B2 D2 B U' B F' R
B D2 B2 D' L2 F' R'
B D2 B2 D' F' L2 R'
B D2 B2 D' F' R' L2
B' F L2 U' R' F2 B'
B' F L2 U' R' B' F2
B' F L2 U' F2 R' B'
B' F R U' F2 R2 B
D B D F' B2 L2 R'
D B D F' B2 R' L2
D B D B2 L2 F' R'
D B D B2 F' L2 R'
D B D B2 F' R' L2
B' F U F U2 R' F
B' F U F U2 F R'
B' F U' R F2 R2 B
D B F' D B2 L2 R'
D B F' D B2 R' L2
R2 B F2 L U' B2 U'
R2 B F2 L U2 D L2
R2 B F2 L D U2 L2
R2 B F2 L D' R2 U2
B' F U' F2 R2 B R
R2 B F2 U' B2 U' R'
R2 B F2 D L U2 L
R2 B F2 D' L R2 U2
R2 B F2 D' R2 L U2
F2 B U' B2 U' R' F
F2 B U' B2 U' F R'
B' F D' L2 U' R' B'
R' B' R U' F' R2 B
U' B' U F2 U2 F R
D B' R2 U B U2 R
D B' R2 U' R2 F' R'
R' B' U' R F' R2 B
D2 B' U' D F' R' B'
D2 B' U' D' F' R' B'
D2 B' U' D2 F' R' B'
D2 B' U' F R' F2 B'
D2 B' U' F R' B' F2
D' B' U' D' F' R' B2
D2 B' U' F' R B' R2
D2 B' U' F' R' D B'
D2 B' U' F' R' D' B'
D2 B' U' F' R' D2 B'
D2 B' U' F' R' B' D
D2 B' U' F' R' B' D'
D2 B' U' F' R' B' D2
D2 B' U' F' R2 B' R
D2 B' U' F' D R' B'
D2 B' U' F' D' R' B'
D2 B' U' F' D2 R' B'
D2 B' U' F2 R' F B'
D2 B' U' F2 R' B' F
D' B' U' F' R' D' B2
D' B' U' F' D' R' B2
D2 B' U' B' D2 F' R
R2 B' U F2 B2 L U2
D' B' U2 L2 U F' R'
R2 B' U B2 L F2 U2
R2 B' U B2 F2 L U2
R2 B' U' R' D2 F2 B2
R2 B' U' R' D2 B2 F2
R2 B' U' D2 R' F2 B2
R2 B' U' D2 R' B2 F2
R2 B' U' D2 F2 R' B2
D B' U' D F' R' B2
D B' U' F' D R' B2
F B' L2 U' R' F2 B'
F B' L2 U' R' B' F2
F B' L2 U' F2 R' B'
D2 B' D U' F' R' B'
F B' R U' F2 R2 B
D2 B' D' U' F' R' B'
R2 B' D L2 R2 U' R
D' B' D' U' F' R' B2
R2 B' D R2 L2 U' R
D B' D U' F' R' B2
D2 B' D2 U' F' R' B'
R B' D R2 U' R F'
D2 B' F U' R' F2 B'
D2 B' F U' R' B' F2
D2 B' F U' F2 R' B'
R2 B' D2 U' R' F2 B2
R2 B' D2 U' R' B2 F2
R2 B' D2 U' F2 R' B2
F B' U F U2 R' F
F B' U F U2 F R'
D B' F R2 U' R F2
D2 B' F2 U' R' F B'
D2 B' F2 U' R' B' F
D2 B' F2 U' F R' B'
F B' U' R F2 R2 B
F B' U' F2 R2 B R
D B' F2 R2 U' R F
F B' D' L2 U' R' B'
D2 B2 U B U' F' R'
B2 F2 U' B U' R' F
B2 F2 U' B U' F R'
F2 B2 U' B U' R' F
F2 B2 U' B U' F R'
B F2 U' B2 U' R' F
B F2 U' B2 U' F R'
D2 B2 F' U B U' R'
