L2 U' B R2 U'
F' L2 U' B R2 U'
F2 L2 U' B R2 U'
F L2 U' B R2 U'
L2 U' R2 U2 F' U
L2 U' D B U' B
L2 U' B R2 U' D
L2 U' B R2 U' D'
L2 U' B R2 U' D2
L2 U' B R2 D U'
L2 U' B R2 D' U'
L2 U' B R2 D2 U'
L2 U' B U' D B2
L2 U' B D U' B2
L2 U' B' R2 B2 U'
L2 U' B2 R2 B' U'
B R2 U L2 U2 F
B R2 U B' L2 U2
L2 U2 B' D L2 B2
L2 U2 B' D B2 L2
L2 D U' B U' B
U' D F2 B U' B
U' D B F2 U' B
L2 D' F2 U' B U'
D U' F2 B U' B
D U' B F2 U' B
L2 F U' B R2 U'
L2 F' U' B R2 U'
L2 F2 U' B R2 U'
U' B R2 U L2 U2
U' B R2 U' D2 R2
U' B R2 D F2 U'
U' B R2 D2 U' R2
U' B D F2 U' B2
U' D F2 B U' D2 B
U' D F2 B U' B D
U' D F2 B U' B D'
U' D F2 B U' B D2
U' D F2 B D U' B
U' D F2 B D' U' B
U' D F2 B D2 U' B
L D' L F2 U' B U'
U2 D F2 B U' F2 B
U2 D F2 B U' B F2
U' D B U' D B R2
U' D B U' B D R2
U' D B D U' B R2
U' D B F2 U' D B
U' D B F2 U' D' B
U' D B F2 U' D2 B
U' D B F2 U' B D
U' D B F2 U' B D'
U' D B F2 U' B D2
U' D B F2 D U' B
U' D B F2 D' U' B
U' D B F2 D2 U' B
U2 D B F2 U' F2 B
U2 D B F2 U' B F2
D2 U B2 L2 F U R2
U2 D B' D R2 B' L2
U2 D B' D B' L2 R2
U2 D B' D B' R2 L2
D' U B2 D' L2 F U
U2 D B2 U F2 B' U'
U2 D B2 U B' F2 U'
L2 D' R2 F2 U F U
B U B' L2 U' R2 U'
B U B' L2 U2 D B2
B U B' L2 D U2 B2
B U B' L2 D' F2 U2
L2 D' U' B U F2 U2
L2 D' U' B U' D2 B2
L2 D' U' B D R2 U'
L2 D' U' B D2 U' B2
R2 D' U2 F' B2 U F
R2 D' U2 B2 F' U F
L' D' F2 U' B U' R
L2 D' F2 R2 U F' U
L2 D' F2 U' D B U'
L2 D' F2 U' D' B U'
L2 D' F2 U' D2 B U'
L2 D' F2 U' B U' D
L2 D' F2 U' B U' D'
L2 D' F2 U' B U' D2
L2 D' F2 U' B D U'
L2 D' F2 U' B D' U'
L2 D' F2 U' B D2 U'
L2 D' F2 D U' B U'
L2 D' F2 D' U' B U'
L2 D' F2 D2 U' B U'
L D' F2 L U' B U'
F' U' D F2 B U' B
F' U' D B F2 U' B
U' D' B D R2 F' U'
D' U' B D R2 F' U'
D2 U' B U' R2 D' B2
D2 U' B U2 L2 U R2
F2 U' D F2 B U' B
F2 U' D B F2 U' B
D2 U' B D' F2 U' B2
D U' F2 D' B R2 U'
D U' F2 B U' D B
D U' F2 B U' D' B
D U' F2 B U' D2 B
D U' F2 B U' B D
D U' F2 B U' B D'
D U' F2 B U' B D2
D U' F2 B D U' B
D U' F2 B D' U' B
D U' F2 B D2 U' B
B U' D B2 D R2 F'
D U' B U' D B R2
D U' B U' B D R2
F U' D F2 B U' B
F U' D B F2 U' B
D U' B D U' B R2
D U' B F2 U' D B
D U' B F2 U' D' B
D U' B F2 U' D2 B
D U' B F2 U' B D
D U' B F2 U' B D'
D U' B F2 U' B D2
D U' B F2 D U' B
D U' B F2 D' U' B
D U' B F2 D2 U' B
U D' B2 D' L2 F U
F' U' B R2 U L2 U2
F' U' B R2 U' D2 R2
F' U' B R2 D F2 U'
F' U' B R2 D2 U' R2
F2 U' B R2 U L2 U2
F2 U' B R2 U' D2 R2
F2 U' B R2 D F2 U'
F2 U' B R2 D2 U' R2
F' U' B D F2 U' B2
F2 U' B D F2 U' B2
L2 D2 R2 U L2 F' U
L2 D2 R2 U F' L2 U
U D2 L2 U2 B U' R2
F U' B R2 U L2 U2
F U' B R2 U' D2 R2
F U' B R2 D F2 U'
F U' B R2 D2 U' R2
F U' B D F2 U' B2
L2 D2 U L2 U2 B U'
D2 U2 R2 U' L2 F' U
D2 U2 R2 U' F' L2 U
L2 D2 U' B U' D' B2
L2 D2 U' B U2 L2 U
L2 D2 U' B D' U' B2
L2 D2 U' B D2 R2 U'
U2 D2 R2 U' L2 F' U
U2 D2 R2 U' F' L2 U
R2 D2 U2 F' U R2 F
R2 D2 U2 F' U F R2
U' D2 B U' R2 D' B2
U' D2 B U2 L2 U R2
U' D2 B D' F2 U' B2
D U2 F2 B U' F2 B
D U2 F2 B U' B F2
D U2 B F2 U' F2 B
D U2 B F2 U' B F2
D U2 B' D R2 B' L2
D U2 B' D B' L2 R2
D U2 B' D B' R2 L2
D U2 B2 U F2 B' U'
D U2 B2 U B' F2 U'
U D2 B2 L2 F U R2
L F L U' B R2 U'
B U2 D2 L2 U R2 F
B U2 D2 L2 U F R2
L2 F U' R2 U2 F' U
L2 F U' D B U' B
L2 F U' B R2 U' D
L2 F U' B R2 U' D'
L2 F U' B R2 U' D2
L2 F U' B R2 D U'
L2 F U' B R2 D' U'
L2 F U' B R2 D2 U'
L2 F U' B U' D B2
L2 F U' B D U' B2
L2 F U' B' R2 B2 U'
L2 F U' B2 R2 B' U'
D F U' F B U' B
D F U' B F U' B
U' F D F2 B U' B
L2 F U2 B' D L2 B2
L2 F U2 B' D B2 L2
U' F D B F2 U' B
L2 F D U' B U' B
L2 F D' F2 U' B U'
B D L2 F2 U' F' B2
B D L2 F2 U' B2 F'
U' F B R2 U L2 U2
U' F B R2 U' D2 R2
U' F B R2 D F2 U'
U' F B R2 D2 U' R2
U' F B D F2 U' B2
F' D U' F2 B U' B
F' D U' B F2 U' B
F2 D U' F2 B U' B
F2 D U' B F2 U' B
B D U' B2 D R2 F'
F D U' F2 B U' B
L F' L U' B R2 U'
F D U' B F2 U' B
B' D F2 U' B2 L2 F
B D F2 L2 U' F B2
B D F2 L2 U' B2 F
B D F2 U B' U2 B'
B' D B2 L2 D R2 F
B' D B2 L2 D F R2
L2 F' U' R2 U2 F' U
L2 F' U' D B U' B
B D B2 D L2 R2 F'
B D B2 D R2 L2 F'
B D B2 D R2 F' L2
L2 F' U' B R2 U' D
L2 F' U' B R2 U' D'
L2 F' U' B R2 U' D2
L2 F' U' B R2 D U'
L2 F' U' B R2 D' U'
L2 F' U' B R2 D2 U'
L2 F' U' B U' D B2
L2 F' U' B D U' B2
L2 F' U' B' R2 B2 U'
L2 F' U' B2 R2 B' U'
D F' U' F' B U' B
D F' U' B F' U' B
U' F' D F2 B U' B
U' F' D B F2 U' B
L2 F' U2 B' D L2 B2
L2 F' U2 B' D B2 L2
L2 F' D U' B U' B
L2 F' D' F2 U' B U'
U' F' B R2 U L2 U2
U' F' B R2 U' D2 R2
U' F' B R2 D F2 U'
U' F' B R2 D2 U' R2
U' F' B D F2 U' B2
L F2 L U' B R2 U'
R2 F2 L2 U' B' U' B
D' F2 R2 U F' B2 U
D' F2 R2 U B2 F' U
D' F2 U B2 U2 B' U'
D' F2 U' D' B U' R2
D' F2 U' D2 F2 B U'
D' F2 U' D2 B F2 U'
D' F2 U' B U2 B U
L' F2 U' B R2 U' R'
L2 F2 U' R2 U2 F' U
L2 F2 U' D B U' B
L2 F2 U' B R2 U' D
L2 F2 U' B R2 U' D'
L2 F2 U' B R2 U' D2
L2 F2 U' B R2 D U'
L2 F2 U' B R2 D' U'
L2 F2 U' B R2 D2 U'
L2 F2 U' B U' D B2
L2 F2 U' B D U' B2
L2 F2 U' B' R2 B2 U'
L2 F2 U' B2 R2 B' U'
D' F2 D L2 U' B U'
U' F2 D F2 B U' B
U' F2 D B F2 U' B
L2 F2 U2 B' D L2 B2
L2 F2 U2 B' D B2 L2
B' D2 L2 F2 U R2 F'
L2 F2 D U' B U' B
D' F2 D' U' B U' R2
B2 D2 L2 F U R2 F
B2 D2 L2 F U F R2
B D2 L2 U' F R2 B
D' F2 D2 U' F2 B U'
D' F2 D2 U' B F2 U'
L2 F2 D' F2 U' B U'
U' F2 B R2 U L2 U2
U' F2 B R2 U' D2 R2
U' F2 B R2 D F2 U'
U' F2 B R2 D2 U' R2
U' F2 B D F2 U' B2
B' D2 R2 D' L2 F' B2
B' D2 R2 D' L2 B2 F'
B' D2 R2 D' F' L2 B2
B' D2 R2 D' F' B2 L2
B' D2 R2 D' B2 L2 F'
B' D2 R2 D' B2 F' L2
D F2 B L2 U' F B
D F2 B L2 U' B F
D F2 B U B' U2 B2
D F2 B U' B D2 F2
B D2 U2 L2 U R2 F
B D2 U2 L2 U F R2
D2 B L2 U' F R2 B
U' B R D R F2 U'
U' B R D2 R U' R
B' D2 F2 L2 U R2 F'
U' B R' D R' F2 U'
U' B R' D F2 R' U'
U' B R' D2 R' U' R'
D B L2 F2 U' F' B
D B L2 F2 U' B F'
U' B R2 U L2 U2 D
U' B R2 U L2 U2 D'
U' B R2 U L2 U2 D2
U' B R2 U L2 D U2
U' B R2 U L2 D' U2
U' B R2 U L2 D2 U2
U' B R2 U' R D2 R2
U' B R2 U' R' D2 R2
U' B R2 U' R2 D2 R2
U' B R2 U' D2 R2 D
U' B R2 U' D2 R2 D'
U' B R2 U' D2 R2 D2
U' B R2 U2 D' B2 U
U' B R2 D F2 U' D
U' B R2 D F2 U' D'
U' B R2 D F2 U' D2
U' B R2 D F2 D U'
U' B R2 D F2 D' U'
U' B R2 D F2 D2 U'
U' B R2 D' U2 B2 U
U' B R2 D2 U' R2 D
U' B R2 D2 U' R2 D'
U' B R2 D2 U' R2 D2
U' B R2 D2 F U' R2
U' B R2 D2 F' U' R2
U' B R2 D2 F2 U' R2
U' B R2 F U L2 U2
U' B R2 F U' D2 R2
U' B R2 F D F2 U'
U' B R2 F D2 U' R2
U' B R2 F' U L2 U2
U' B R2 F' U' D2 R2
L' B R2 U B' L' U2
U' B R2 F' D F2 U'
U' B R2 F' D2 U' R2
U' B R2 F2 U L2 U2
U' B R2 F2 U' D2 R2
U' B R2 F2 D F2 U'
U' B R2 F2 D2 U' R2
U' B U L2 U' R2 U'
U' B U L2 U2 D B2
U' B U L2 D U2 B2
U' B U L2 D' F2 U2
U2 B R2 D F2 U' F2
U' B U' D B2 D R2
U' B U' D2 R2 D' B2
L B R2 U B' L U2
U B R2 D2 L2 U' R2
D2 B U2 L2 U R2 F
D2 B U2 L2 U F R2
U' B U2 D2 L2 U R2
U' B D R F2 U' B2
U' B D R' F2 U' B2
U' B D R2 F2 U' B2
U' B D U' B2 D R2
U' B D F2 R U' B2
U' B D F2 R' U' B2
U' B D F2 R2 U' B2
U' B D F2 U' B2 D
U' B D F2 U' B2 D'
U' B D F2 U' B2 D2
U' B D F2 D' R2 U'
U2 B D F2 U' F2 B2
U2 B D F2 U' B2 F2
U2 B D B2 D L2 R2
U2 B D B2 D R2 L2
U' B D2 U' R2 D' B2
U' B D2 U2 L2 U R2
U' B F R2 U L2 U2
U' B F R2 U' D2 R2
U' B F R2 D F2 U'
U' B F R2 D2 U' R2
U' B F D F2 U' B2
U' B F' R2 U L2 U2
U' B F' R2 U' D2 R2
U' B F' R2 D F2 U'
U' B F' R2 D2 U' R2
F' B R2 U L2 U2 F
F' B R2 U B' L2 U2
U' B F' D F2 U' B2
F2 B R2 U L2 U2 F
F2 B R2 U B' L2 U2
U' B F2 R2 U L2 U2
U' B F2 R2 U' D2 R2
U' B F2 R2 D F2 U'
U' B F2 R2 D2 U' R2
U' B F2 D F2 U' B2
B F R2 U L2 U2 F
B F R2 U B' L2 U2
F B R2 U L2 U2 F
F B R2 U B' L2 U2
D B F2 L2 U' F B
D B F2 L2 U' B F
D B F2 U B' U2 B2
D B F2 U' B D2 F2
U2 B' L D B2 L2 R'
U2 B' L D B2 R' L2
U2 B' L' D L2 B2 R'
U' B' R2 D F2 U' L2
U' B' R2 B2 U L2 U2
U' B' R2 B2 U' D2 R2
U' B' R2 B2 D F2 U'
U' B' R2 B2 D2 U' R2
L2 B' U' R2 B2 U' F'
L2 B' U2 D B2 L2 F
U' B' D F2 U' L2 B2
U' B' D F2 U' B2 L2
U2 B' D L2 B2 D R2
L2 B' D U2 B2 L2 F
L2 B' D B U2 L2 B
L2 B' D B U2 B L2
U2 B' D B2 L2 D R2
D B' D R2 F' B' L2
D B' D R2 B' L2 F'
D B' D R2 B' F' L2
L2 B' D' R2 F2 U2 F
L2 B' D' F2 R2 U2 F'
L2 B' D' F2 B R2 U2
B F' R2 U L2 U2 F
L2 B' D' B R2 F2 U2
L2 B' D' B F2 R2 U2
B F' R2 U B' L2 U2
U2 B' D2 R2 D' L2 B2
U2 B' D2 R2 D' B2 L2
U B' D2 L2 F2 U R2
U B' D2 F2 L2 U R2
U' B2 R2 D F2 B' U'
U' B2 R2 D B' F2 U'
U' B2 R2 D2 B' U' R2
U' B2 R2 B' U L2 U2
U' B2 R2 B' U' D2 R2
U' B2 R2 B' D F2 U'
U' B2 R2 B' D2 U' R2
B F2 R2 U L2 U2 F
B F2 R2 U B' L2 U2
U' B2 D F2 B' U' B'
U' B2 D B' F2 U' B'
D' B2 D' L2 R2 F U
D' B2 D' L2 F R2 U
D' B2 D' R2 L2 F U
R2 B2 D F2 L2 B' U'
U B2 D2 L2 F U R2
