R' U R2 U B' U
F2 R' U2 B' U L'
R' U2 D' F2 B' U
R' U2 D' B' F2 U
R' U2 D2 B' U L2
R' U2 B' U D2 L2
R' U2 B' U' R2 U2
R' U2 B' D' F2 U
R' U2 B' D2 U L2
R' D B2 U2 B U
R' D' U2 F2 B' U
R' D' U2 B' F2 U
R' D2 U2 B' U L2
B D2 F2 U' L' B'
R' B D2 F2 U' L2
R' B D2 F2 U' L2
R' B' U R2 U2 R2
R' U2 F2 D' F2 B' U
R' U2 F2 D' B' F2 U
R' U2 F2 D2 B' U L2
R' U2 F2 B' U D2 L2
R' U2 F2 B' U' R2 U2
R' U2 F2 B' D' F2 U
R' U2 F2 B' D2 U L2
R' U2 B D' F2 U R2
R' U2 B' U L D2 L2
R' U2 B' U L' D2 L2
R' U2 B' U L2 D2 L2
R' U2 B' U D2 L2 D
R' U2 B' U D2 L2 D'
R' U2 B' U D2 L2 D2
R' U2 B' U' R2 U2 D
R' U2 B' U' R2 U2 D'
R' U2 B' U' R2 U2 D2
R' U2 B' U' R2 D U2
R' U2 B' U' R2 D' U2
R' U2 B' U' R2 D2 U2
R' U2 B' U2 D B2 U'
R' U2 B' D U2 B2 U'
R' U2 B' D' F2 U D
R' U2 B' D' F2 U D'
R' U2 B' D' F2 U D2
R' U2 B' D' F2 D U
R' U2 B' D' F2 D' U
R' U2 B' D' F2 D2 U
R' U2 B' D2 U L2 D
R' U2 B' D2 U L2 D'
R' U2 B' D2 U L2 D2
R' U2 B' D2 F U L2
R' U2 B' D2 F' U L2
R' U2 B' D2 F2 U L2
R' U2 B' F U D2 L2
R' U2 B' F U' R2 U2
R' U2 B' F D' F2 U
R' U2 B' F D2 U L2
R' U2 B' F' U D2 L2
R' U2 B' F' U' R2 U2
R' U2 B' F' D' F2 U
R' U2 B' F' D2 U L2
R' U2 B' F2 U D2 L2
R' U2 B' F2 U' R2 U2
R' U2 B' F2 D' F2 U
R' U2 B' F2 D2 U L2
R' U2 B2 D' F2 B U
R' U2 B2 D' B F2 U
R' U2 B2 D2 B U L2
R U2 B' D2 L2 U L2
R' D L2 F L2 B2 U'
R' D L2 F B2 L2 U'
R' D L2 B2 F L2 U'
B2 R2 F' B2 R' U' L
R' D R2 B2 R2 F' U'
B2 R2 B2 F' R' U' L
R' D U2 B' U2 B' U'
R' D F B2 U2 B U
L2 D F R' U' F L'
R' D F' B2 U2 B U
B' U R U2 D' R' B
B' U R D' U2 R' B
R' D F2 B2 U2 B U
B U R U B2 U B'
B U R U2 D' B R2
B U R D L2 U2 B
B U R D' U2 B R2
R' D B D' B U' R2
R' D B D2 F2 B U'
R' D B D2 B F2 U'
R' D B2 R2 F' R2 U'
R' D B2 U2 D B U
R' D B2 U2 D' B U
R' D B2 U2 D2 B U
R' D B2 U2 B U D
R' D B2 U2 B U D'
R' D B2 U2 B U D2
R' D B2 U2 B D U
R' D B2 U2 B D' U
R' D B2 U2 B D2 U
R' D B2 D U2 B U
R' D B2 D' U2 B U
R' D B2 D2 U2 B U
R' D B2 F U2 B U
R' D B2 F' U2 B U
R' D B2 F2 U2 B U
B U D L2 R U2 B
B' U D' R F' U2 R'
B U D R L2 U2 B
B U D' R U2 B R
R' D' L2 F L2 B' U'
R' D' U2 F2 D B' U
R' D' U2 F2 D' B' U
R' D' U2 F2 D2 B' U
R' D' U2 F2 B' U D
R' D' U2 F2 B' U D'
R' D' U2 F2 B' U D2
R' D' U2 F2 B' D U
R' D' U2 F2 B' D' U
R' D' U2 F2 B' D2 U
R' D' U2 B' U D' L2
R' D' U2 B' D' U L2
R' D' U2 B' F2 U D
R' D' U2 B' F2 U D'
R' D' U2 B' F2 U D2
R' D' U2 B' F2 D U
R' D' U2 B' F2 D' U
R' D' U2 B' F2 D2 U
R' D' F U2 F B' U
R' D' F U2 B' F U
R' D' F' U2 F' B' U
R' D' F' U2 B' F' U
R' D' B U' D' L2 R2
R' D' B U' D' R2 L2
R' D' B U2 F2 B2 U
R' D' B U2 B2 F2 U
R' D' B D' U' L2 R2
R' D' B D' U' R2 L2
R' D' B D2 F2 B2 U'
R' D' B D2 B2 F2 U'
R' D' B2 U2 F2 B U
R' D' B2 U2 B F2 U
B' U' D' R F' U2 F
R' D2 L2 F L2 U' L2
R' D2 U' L2 U F U'
R' D2 U2 F B' U L2
R' D2 U2 F' B' U L2
R' D2 U2 F2 B' U L2
R' D2 U2 B' U L2 D
R' D2 U2 B' U L2 D'
R' D2 U2 B' U L2 D2
R' D2 U2 B' D F2 U
R' D2 U2 B' F U L2
R' D2 U2 B' F' U L2
R' D2 U2 B' F2 U L2
B2 U2 L F2 B U L'
B2 U2 L B U' R U2
B2 U2 L B F2 U L'
R' D2 F U2 B' U L2
R' D2 F' U2 B' U L2
R D2 U2 B' L2 U L2
R' D2 F2 U2 B' U L2
R' D2 B U' L2 D' R2
R' D2 B U2 B2 U L2
R' D2 B D' B2 U' R2
R' D2 B' U' L2 D2 R2
R' D2 B2 U2 B U L2
L2 F L2 D R' B U'
B2 U2 F2 L B U L2
R' F U R2 U B' U
F2 U2 B2 L B U L2
B U2 B2 U' R U2 B
R' F U2 D' F2 B' U
R' F U2 D' B' F2 U
R' F U2 D2 B' U L2
R' F U2 B' U D2 L2
R' F U2 B' U' R2 U2
R' F U2 B' D' F2 U
R' F U2 B' D2 U L2
R' F D B2 U2 B U
L2 F D R' B U' F2
R' F D' U2 F2 B' U
R' F D' U2 B' F2 U
R' F D2 U2 B' U L2
F2 D R' U2 B' U L'
R' F B D2 F2 U' L2
R' F B' U R2 U2 R2
F D R' B U' D' R2
F D R' B U2 B2 U
F D R' B D' U' R2
F D R' B D2 F2 U'
B D U L2 R U2 B
B D U R L2 U2 B
R' F' U R2 U B' U
R' F' U2 D' F2 B' U
R' F' U2 D' B' F2 U
R' F' U2 D2 B' U L2
R' F' U2 B' U D2 L2
R' F' U2 B' U' R2 U2
R' F' U2 B' D' F2 U
R' F' U2 B' D2 U L2
R' F' D B2 U2 B U
R' F' D' U2 F2 B' U
R' F' D' U2 B' F2 U
R' F' D2 U2 B' U L2
F2 D' R' U2 B' U L'
R' F' B D2 F2 U' L2
R' F' B' U R2 U2 R2
B' D' U R F' U2 R'
B' D' U' R F' U2 F
B D' U R U2 B R
L2 F2 L2 F' R' U' L
D2 F2 R' U2 B' U L'
D' F2 R' U2 B' U L'
B D' F2 U' L' R2 B'
B D' F2 U' L' B' R2
B D' F2 U' R2 L' B'
D F2 R' U2 B' U L'
R' F2 U R2 U B' U
R' F2 U2 D' F2 B' U
R' F2 U2 D' B' F2 U
R' F2 U2 D2 B' U L2
R' F2 U2 B' U D2 L2
R' F2 U2 B' U' R2 U2
R' F2 U2 B' D' F2 U
R' F2 U2 B' D2 U L2
R' F2 D B2 U2 B U
R' F2 D' U2 F2 B' U
R' F2 D' U2 B' F2 U
R' F2 D2 U2 B' U L2
F2 D2 R' U2 B' U L'
R' F2 B D2 F2 U' L2
R' F2 B' U R2 U2 R2
F D2 R' U2 B' U L
U2 F2 B2 L B U L2
B D2 F2 R U' L' B'
B D2 F2 R' U' L' B'
B D2 F2 R2 U' L' B'
B D2 F2 U' L' D B'
B D2 F2 U' L' D' B'
B D2 F2 U' L' D2 B'
B D2 F2 U' L' B' D
B D2 F2 U' L' B' D'
B D2 F2 U' L' B' D2
B D2 F2 U' D L' B'
B D2 F2 U' D' L' B'
B D2 F2 U' D2 L' B'
B D2 F2 U' B L' B'
B D2 F2 U' B' L' B'
B D2 F2 U' B2 L' B'
B D2 F2 D U' L' B'
B D2 F2 D' U' L' B'
B D2 F2 D2 U' L' B'
B D2 F2 B' R' U' L'
R' B U R2 U B2 U
R' B U R2 U2 D' R2
R' B U R2 D L2 U2
R' B U R2 D' U2 R2
R' B U' D' R2 D' L2
R' B U' D2 L2 D R2
B D2 B' F2 R' U' L'
R B R2 D2 F2 U' L2
R' B U2 D' F2 U R2
R' B U2 B2 U D2 L2
R' B U2 B2 U' R2 U2
R' B U2 B2 D' F2 U
R' B U2 B2 D2 U L2
R' B D B2 U L2 U2
R' B D B2 U' D2 R2
R' B D B2 D F2 U'
R' B D B2 D2 U' R2
R' B D' U' R2 D' L2
R' B D' U2 F2 U R2
R' B D2 U' L2 D R2
R' B D2 F2 U' L2 D
R' B D2 F2 U' L2 D'
R' B D2 F2 U' L2 D2
R' B D2 F2 D' B2 U'
R' B D2 F2 B U' L2
R' B D2 F2 B' U' L2
D2 B D2 F2 U' L' B'
R' B D2 F2 B2 U' L2
R' B D2 B F2 U' L2
D' B D2 F2 U' L' B'
R' B D2 B' F2 U' L2
R' B D2 B2 F2 U' L2
R' B F D2 F2 U' L2
D B D2 F2 U' L' B'
R' B F' D2 F2 U' L2
R' B F2 D2 F2 U' L2
F2 B U' L' D' R2 B'
F2 B U' L' D' B' R2
F2 B U' D' L' R2 B'
F2 B U' D' L' B' R2
F2 B U' D' R2 L' B'
F2 B U2 B2 U L' B'
F2 B D' U' L' R2 B'
F2 B D' U' L' B' R2
F2 B D' U' R2 L' B'
R' B' U L R2 U2 R2
R' B' U L' R2 U2 R2
R' B' U L2 R2 U2 R2
R' B' U R2 L U2 R2
R' B' U R2 L' U2 R2
R' B' U R2 L2 U2 R2
R' B' U R2 U2 R2 D
R' B' U R2 U2 R2 D'
R' B' U R2 U2 R2 D2
R' B' U R2 D2 L2 U2
R' B' U' L2 D2 L2 R2
R' B' U' L2 D2 R2 L2
R' B' U' D2 L2 D2 R2
R B' R2 U R2 U2 R2
U2 B' U' D' R F' U2
R' B' D B2 U' D' R2
R' B' D B2 U2 B2 U
R' B' D B2 D' U' R2
R' B' D B2 D2 F2 U'
U2 B' D' U' R F' U2
R' B' D2 U' L2 D2 R2
R' B' F U R2 U2 R2
U2 B' D2 F2 U L' B'
R' B' F' U R2 U2 R2
B2 F' U2 L B U L
R' B' F2 U R2 U2 R2
U2 B2 L F2 B U L'
U2 B2 L B U' R U2
U2 B2 L B F2 U L'
R' B2 U R2 U' F' U'
R2 B2 R2 F' R' U' L
R B2 R2 D F' B2 U'
R B2 R2 D B2 F' U'
R' B2 U2 D' F2 B U
R B2 R2 D2 F' U' L2
R' B2 U2 D' B F2 U
R' B2 U2 D2 B U L2
R B2 R2 F' U R2 U2
R B2 R2 F' U' D2 L2
R B2 R2 F' D B2 U'
R B2 R2 F' D2 U' L2
R' B2 U2 B U D2 L2
R' B2 U2 B U' R2 U2
R' B2 U2 B D' F2 U
R' B2 U2 B D2 U L2
R' B2 D B2 U2 B' U
R B2 U' R2 F' U' F
R' B2 D' U2 F2 B U
R' B2 D' U2 B F2 U
F' B2 U2 L B U L
B2 F2 U2 L B U L2
B F2 U' L' D' R2 B'
B F2 U' L' D' B' R2
F2 B2 U2 L B U L2
R' B2 D2 U2 B U L2
B F2 U' D' L' R2 B'
B F2 U' D' L' B' R2
B F2 U' D' R2 L' B'
B F2 U2 B2 U L' B'
B F2 D' U' L' R2 B'
B F2 D' U' L' B' R2
B F2 D' U' R2 L' B'
U2 B2 F2 L B U L2
